year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status,rgn_name,rgn_code
1994,2,0,31935,2226,7983.75,556.5,0.0697,0.23,Haida Gwaii,HG
1995,2,0,31935,2226,7983.75,556.5,0.0697,0.23,Haida Gwaii,HG
1996,2,5898,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
1997,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
1998,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
1999,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
2e3,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
2001,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
2002,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
2003,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
2004,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
2005,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
2006,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
2007,2,0,31935,8124,7983.75,2031,0.2544,0.85,Haida Gwaii,HG
2008,2,8317,31935,16441,7983.75,4110.25,0.5148,1,Haida Gwaii,HG
2009,2,0,31935,16441,7983.75,4110.25,0.5148,1,Haida Gwaii,HG
2010,2,1,31935,16442,7983.75,4110.5,0.5149,1,Haida Gwaii,HG
2011,2,0,31935,16442,7983.75,4110.5,0.5149,1,Haida Gwaii,HG
2012,2,0,31935,16442,7983.75,4110.5,0.5149,1,Haida Gwaii,HG
2013,2,0,31935,16442,7983.75,4110.5,0.5149,1,Haida Gwaii,HG
2014,2,NA,31935,16442,7983.75,4110.5,0.5149,1,Haida Gwaii,HG
2015,2,0,31935,16442,7983.75,4110.5,0.5149,1,Haida Gwaii,HG
2016,2,NA,31935,16442,7983.75,4110.5,0.5149,1,Haida Gwaii,HG
1990,3,0,51373,2440,12843.25,610,0.0475,0.16,Central Coast,CC
1991,3,0,51373,2440,12843.25,610,0.0475,0.16,Central Coast,CC
1992,3,64,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
1993,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
1994,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
1995,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
1996,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
1997,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
1998,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
1999,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
2e3,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
2001,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
2002,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
2003,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
2004,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
2005,3,0,51373,2504,12843.25,626,0.0487,0.16,Central Coast,CC
2006,3,5969,51373,8473,12843.25,2118.25,0.1649,0.55,Central Coast,CC
2007,3,2345,51373,10818,12843.25,2704.5,0.2106,0.7,Central Coast,CC
2008,3,8477,51373,19295,12843.25,4823.75,0.3756,1,Central Coast,CC
2009,3,0,51373,19295,12843.25,4823.75,0.3756,1,Central Coast,CC
2010,3,0,51373,19295,12843.25,4823.75,0.3756,1,Central Coast,CC
2011,3,0,51373,19295,12843.25,4823.75,0.3756,1,Central Coast,CC
2012,3,0,51373,19295,12843.25,4823.75,0.3756,1,Central Coast,CC
2013,3,0,51373,19295,12843.25,4823.75,0.3756,1,Central Coast,CC
2014,3,NA,51373,19295,12843.25,4823.75,0.3756,1,Central Coast,CC
2015,3,0,51373,19295,12843.25,4823.75,0.3756,1,Central Coast,CC
2016,3,NA,51373,19295,12843.25,4823.75,0.3756,1,Central Coast,CC
1990,4,22,50078,1171,12519.5,292.75,0.0234,0.08,North Vancouver Island,NV
1991,4,0,50078,1171,12519.5,292.75,0.0234,0.08,North Vancouver Island,NV
1992,4,97,50078,1268,12519.5,317,0.0253,0.08,North Vancouver Island,NV
1993,4,0,50078,1268,12519.5,317,0.0253,0.08,North Vancouver Island,NV
1994,4,0,50078,1268,12519.5,317,0.0253,0.08,North Vancouver Island,NV
1995,4,296,50078,1564,12519.5,391,0.0312,0.1,North Vancouver Island,NV
1996,4,189,50078,1753,12519.5,438.25,0.035,0.12,North Vancouver Island,NV
1997,4,11,50078,1764,12519.5,441,0.0352,0.12,North Vancouver Island,NV
1998,4,0,50078,1764,12519.5,441,0.0352,0.12,North Vancouver Island,NV
1999,4,0,50078,1764,12519.5,441,0.0352,0.12,North Vancouver Island,NV
2e3,4,0,50078,1764,12519.5,441,0.0352,0.12,North Vancouver Island,NV
2001,4,1,50078,1765,12519.5,441.25,0.0352,0.12,North Vancouver Island,NV
2002,4,0,50078,1765,12519.5,441.25,0.0352,0.12,North Vancouver Island,NV
2003,4,0,50078,1765,12519.5,441.25,0.0352,0.12,North Vancouver Island,NV
2004,4,0,50078,1765,12519.5,441.25,0.0352,0.12,North Vancouver Island,NV
2005,4,0,50078,1765,12519.5,441.25,0.0352,0.12,North Vancouver Island,NV
2006,4,1348,50078,3113,12519.5,778.25,0.0622,0.21,North Vancouver Island,NV
2007,4,658,50078,3771,12519.5,942.75,0.0753,0.25,North Vancouver Island,NV
2008,4,11,50078,3782,12519.5,945.5,0.0755,0.25,North Vancouver Island,NV
2009,4,176,50078,3958,12519.5,989.5,0.079,0.26,North Vancouver Island,NV
2010,4,0,50078,3958,12519.5,989.5,0.079,0.26,North Vancouver Island,NV
2011,4,0,50078,3958,12519.5,989.5,0.079,0.26,North Vancouver Island,NV
2012,4,0,50078,3958,12519.5,989.5,0.079,0.26,North Vancouver Island,NV
2013,4,4,50078,3962,12519.5,990.5,0.0791,0.26,North Vancouver Island,NV
2014,4,NA,50078,3962,12519.5,990.5,0.0791,0.26,North Vancouver Island,NV
2015,4,42,50078,4004,12519.5,1001,0.08,0.27,North Vancouver Island,NV
2016,4,NA,50078,4004,12519.5,1001,0.08,0.27,North Vancouver Island,NV
1990,5,0,33862,3412,8465.5,853,0.1008,0.34,West Vancouver Island,WV
1991,5,564,33862,3976,8465.5,994,0.1174,0.39,West Vancouver Island,WV
1992,5,0,33862,3976,8465.5,994,0.1174,0.39,West Vancouver Island,WV
1993,5,0,33862,3976,8465.5,994,0.1174,0.39,West Vancouver Island,WV
1994,5,0,33862,3976,8465.5,994,0.1174,0.39,West Vancouver Island,WV
1995,5,810,33862,4786,8465.5,1196.5,0.1413,0.47,West Vancouver Island,WV
1996,5,134,33862,4920,8465.5,1230,0.1453,0.48,West Vancouver Island,WV
1997,5,15,33862,4935,8465.5,1233.75,0.1457,0.49,West Vancouver Island,WV
1998,5,0,33862,4935,8465.5,1233.75,0.1457,0.49,West Vancouver Island,WV
1999,5,0,33862,4935,8465.5,1233.75,0.1457,0.49,West Vancouver Island,WV
2e3,5,0,33862,4935,8465.5,1233.75,0.1457,0.49,West Vancouver Island,WV
2001,5,1000,33862,5935,8465.5,1483.75,0.1753,0.58,West Vancouver Island,WV
2002,5,0,33862,5935,8465.5,1483.75,0.1753,0.58,West Vancouver Island,WV
2003,5,0,33862,5935,8465.5,1483.75,0.1753,0.58,West Vancouver Island,WV
2004,5,1,33862,5936,8465.5,1484,0.1753,0.58,West Vancouver Island,WV
2005,5,0,33862,5936,8465.5,1484,0.1753,0.58,West Vancouver Island,WV
2006,5,0,33862,5936,8465.5,1484,0.1753,0.58,West Vancouver Island,WV
2007,5,0,33862,5936,8465.5,1484,0.1753,0.58,West Vancouver Island,WV
2008,5,0,33862,5936,8465.5,1484,0.1753,0.58,West Vancouver Island,WV
2009,5,0,33862,5936,8465.5,1484,0.1753,0.58,West Vancouver Island,WV
2010,5,0,33862,5936,8465.5,1484,0.1753,0.58,West Vancouver Island,WV
2011,5,162,33862,6098,8465.5,1524.5,0.1801,0.6,West Vancouver Island,WV
2012,5,0,33862,6098,8465.5,1524.5,0.1801,0.6,West Vancouver Island,WV
2013,5,0,33862,6098,8465.5,1524.5,0.1801,0.6,West Vancouver Island,WV
2014,5,NA,33862,6098,8465.5,1524.5,0.1801,0.6,West Vancouver Island,WV
2015,5,0,33862,6098,8465.5,1524.5,0.1801,0.6,West Vancouver Island,WV
2016,5,NA,33862,6098,8465.5,1524.5,0.1801,0.6,West Vancouver Island,WV
1990,6,12,42599,1245,10649.75,311.25,0.0292,0.1,Strait of Georgia,SG
1991,6,6,42599,1251,10649.75,312.75,0.0294,0.1,Strait of Georgia,SG
1992,6,1,42599,1252,10649.75,313,0.0294,0.1,Strait of Georgia,SG
1993,6,54,42599,1306,10649.75,326.5,0.0307,0.1,Strait of Georgia,SG
1994,6,0,42599,1306,10649.75,326.5,0.0307,0.1,Strait of Georgia,SG
1995,6,613,42599,1919,10649.75,479.75,0.045,0.15,Strait of Georgia,SG
1996,6,16,42599,1935,10649.75,483.75,0.0454,0.15,Strait of Georgia,SG
1997,6,66,42599,2001,10649.75,500.25,0.047,0.16,Strait of Georgia,SG
1998,6,19,42599,2020,10649.75,505,0.0474,0.16,Strait of Georgia,SG
1999,6,182,42599,2202,10649.75,550.5,0.0517,0.17,Strait of Georgia,SG
2e3,6,7,42599,2209,10649.75,552.25,0.0519,0.17,Strait of Georgia,SG
2001,6,44,42599,2253,10649.75,563.25,0.0529,0.18,Strait of Georgia,SG
2002,6,5,42599,2258,10649.75,564.5,0.053,0.18,Strait of Georgia,SG
2003,6,115,42599,2373,10649.75,593.25,0.0557,0.19,Strait of Georgia,SG
2004,6,33,42599,2406,10649.75,601.5,0.0565,0.19,Strait of Georgia,SG
2005,6,0,42599,2406,10649.75,601.5,0.0565,0.19,Strait of Georgia,SG
2006,6,0,42599,2406,10649.75,601.5,0.0565,0.19,Strait of Georgia,SG
2007,6,25,42599,2431,10649.75,607.75,0.0571,0.19,Strait of Georgia,SG
2008,6,0,42599,2431,10649.75,607.75,0.0571,0.19,Strait of Georgia,SG
2009,6,2,42599,2433,10649.75,608.25,0.0571,0.19,Strait of Georgia,SG
2010,6,0,42599,2433,10649.75,608.25,0.0571,0.19,Strait of Georgia,SG
2011,6,0,42599,2433,10649.75,608.25,0.0571,0.19,Strait of Georgia,SG
2012,6,0,42599,2433,10649.75,608.25,0.0571,0.19,Strait of Georgia,SG
2013,6,23,42599,2456,10649.75,614,0.0577,0.19,Strait of Georgia,SG
2014,6,NA,42599,2456,10649.75,614,0.0577,0.19,Strait of Georgia,SG
2015,6,0,42599,2456,10649.75,614,0.0577,0.19,Strait of Georgia,SG
2016,6,NA,42599,2456,10649.75,614,0.0577,0.19,Strait of Georgia,SG
1990,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
1991,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
1992,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
1993,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
1994,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
1995,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
1996,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
1997,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
1998,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
1999,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
2e3,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
2001,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
2002,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
2003,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
2004,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
2005,8,0,4551,0,1137.75,0,0,0,Aristazabal Island,AZ
2006,8,1056,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2007,8,0,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2008,8,0,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2009,8,0,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2010,8,0,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2011,8,0,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2012,8,0,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2013,8,0,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2014,8,NA,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2015,8,0,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
2016,8,NA,4551,1056,1137.75,264,0.232,0.77,Aristazabal Island,AZ
