html,link,link_area,area_name
"<a href=""sta01rol-eng.html"">Statistical Area 1</a>, North Coast Haida Gwaii - Côte Nord de Haida Gwaii",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta01rol-eng.html,Statistical Area 1,North Coast Haida Gwaii - Côte Nord de Haida Gwaii
"<a href=""sta02rol-eng.html"">Statistical Area 2E</a>, East Coast Haida Gwaii - Côte Est de Haida Gwaii",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta02rol-eng.html,Statistical Area 2E,East Coast Haida Gwaii - Côte Est de Haida Gwaii
"<a href=""sta03rol-eng.html"">Statistical Area 3</a>, Prince Rupert District - District de Prince Rupert",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta03rol-eng.html,Statistical Area 3,Prince Rupert District - District de Prince Rupert
"<a href=""sta04rol-eng.html"">Statistical Area 4</a>, Prince Rupert District - District de Prince Rupert",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta04rol-eng.html,Statistical Area 4,Prince Rupert District - District de Prince Rupert
"<a href=""sta05rol-eng.html"">Statistical Area 5</a>, Prince Rupert District - District de Prince Rupert",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta05rol-eng.html,Statistical Area 5,Prince Rupert District - District de Prince Rupert
"<a href=""sta06rol-eng.html"">Statistical Area 6</a>, Central Coast - Côte Centrale",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta06rol-eng.html,Statistical Area 6,Central Coast - Côte Centrale
"<a href=""sta07rol-eng.html"">Statistical Area 7</a>, Central Coast - Côte Centrale",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta07rol-eng.html,Statistical Area 7,Central Coast - Côte Centrale
"<a href=""sta08rol-eng.html"">Statistical Area 8</a>, Central Coast - Côte Centrale",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta08rol-eng.html,Statistical Area 8,Central Coast - Côte Centrale
"<a href=""sta09rol-eng.html"">Statistical Area 9</a>, Central Coast - Côte Centrale",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta09rol-eng.html,Statistical Area 9,Central Coast - Côte Centrale
"<a href=""sta10rol-eng.html"">Statistical Area 10</a>, Central Coast - Côte Centrale",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta10rol-eng.html,Statistical Area 10,Central Coast - Côte Centrale
"<a href=""sta11rol-eng.html"">Statistical Area 11</a>, Johnstone Strait - Détroit de Johnstone",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta11rol-eng.html,Statistical Area 11,Johnstone Strait - Détroit de Johnstone
"<a href=""sta12rol-eng.html"">Statistical Area 12</a>, Johnstone Strait - Détroit de Johnstone",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta12rol-eng.html,Statistical Area 12,Johnstone Strait - Détroit de Johnstone
"<a href=""sta13rol-eng.html"">Statistical Area 13</a>, Johnstone Strait - Détroit de Johnstone",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta13rol-eng.html,Statistical Area 13,Johnstone Strait - Détroit de Johnstone
"<a href=""sta14rol-eng.html"">Statistical Area 14</a>, Strait of Georgia - Détroit de Géorgie",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta14rol-eng.html,Statistical Area 14,Strait of Georgia - Détroit de Géorgie
"<a href=""sta15rol-eng.html"">Statistical Area 15</a>, Strait of Georgia - Détroit de Géorgie ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta15rol-eng.html,Statistical Area 15,Strait of Georgia - Détroit de Géorgie 
"<a href=""sta16rol-eng.html"">Statistical Area 16</a>, Strait of Georgia - Détroit de Géorgie ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta16rol-eng.html,Statistical Area 16,Strait of Georgia - Détroit de Géorgie 
"<a href=""sta17rol-eng.html"">Statistical Area 17</a>, Strait of Georgia - Détroit de Géorgie ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta17rol-eng.html,Statistical Area 17,Strait of Georgia - Détroit de Géorgie 
"<a href=""sta18rol-eng.html"">Statistical Area 18</a>, Strait of Georgia - Détroit de Géorgie ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta18rol-eng.html,Statistical Area 18,Strait of Georgia - Détroit de Géorgie 
"<a href=""sta19rol-eng.html"">Statistical Area 19</a>, Strait of Georgia - Détroit de Géorgie ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta19rol-eng.html,Statistical Area 19,Strait of Georgia - Détroit de Géorgie 
"<a href=""sta20rol-eng.html"">Statistical Area 20</a>, Strait of Georgia - Détroit de Géorgie ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta20rol-eng.html,Statistical Area 20,Strait of Georgia - Détroit de Géorgie 
"  Statistical Area 21, West Coast Vancouver Island - No records - Côte ouest de l’île de Vancouver - <a href=""reg6roll-eng.html"">REGION 6</a>",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/reg6roll-eng.html,REGION 6,
"<a href=""sta22rol-eng.html"">Statistical Area 22</a>, West Coast Vancouver Island - Côte ouest de l’île de Vancouver",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta22rol-eng.html,Statistical Area 22,West Coast Vancouver Island - Côte ouest de l’île de Vancouver
"<a href=""sta23rol-eng.html"">Statistical Area 23</a>, West Coast Vancouver Island - Côte ouest de l’île de Vancouver",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta23rol-eng.html,Statistical Area 23,West Coast Vancouver Island - Côte ouest de l’île de Vancouver
"<a href=""sta24rol-eng.html"">Statistical Area 24</a>, West Coast Vancouver Island - Côte ouest de l’île de Vancouver",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta24rol-eng.html,Statistical Area 24,West Coast Vancouver Island - Côte ouest de l’île de Vancouver
"<a href=""sta25rol-eng.html"">Statistical Area 25</a>, West Coast Vancouver Island - Côte ouest de l’île de Vancouver",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta25rol-eng.html,Statistical Area 25,West Coast Vancouver Island - Côte ouest de l’île de Vancouver
"<a href=""sta26rol-eng.html"">Statistical Area 26</a>, West Coast Vancouver Island - Côte ouest de l’île de Vancouver",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta26rol-eng.html,Statistical Area 26,West Coast Vancouver Island - Côte ouest de l’île de Vancouver
"<a href=""sta27rol-eng.html"">Statistical Area 27</a>, West Coast Vancouver Island - Côte ouest de l’île de Vancouver",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta27rol-eng.html,Statistical Area 27,West Coast Vancouver Island - Côte ouest de l’île de Vancouver
"<a href=""sta28rol-eng.html"">Statistical Area 28</a>, Strait of Georgia - Détroit de Géorgie",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta28rol-eng.html,Statistical Area 28,Strait of Georgia - Détroit de Géorgie
"<a href=""sta29rol-eng.html"">Statistical Area 29</a>, Strait of Georgia - Détroit de Géorgie ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/sta29rol-eng.html,Statistical Area 29,Strait of Georgia - Détroit de Géorgie 
"<b>HERRING SECTION SPAWN TABLES (1940-2016) Tableaux de Pontes de sections de hareng</b><br><br><b><a href=""qcimapt-eng.html"">HAIDA GWAII (map - carte) Haida Gwaii</a></b>",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/qcimapt-eng.html,HAIDA GWAII (map - carte) Haida Gwaii,</b>
"  Section 000, Unknown Area 2W - No spawn records",NA,"  Section 000, Unknown Area 2W - No spawn records",NA
"<a href=""001tab-eng.html"">Section 001</a>, Tasu Sound &amp; Gowgaia Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/001tab-eng.html,Section 001,Tasu Sound &amp; Gowgaia Bay 
"<a href=""002tab-eng.html"">Section 002</a>, Port Louis",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/002tab-eng.html,Section 002,Port Louis
"<a href=""003tab-eng.html"">Section 003</a>, Rennell Sound",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/003tab-eng.html,Section 003,Rennell Sound
"<a href=""004tab-eng.html"">Section 004</a>, Cartwright Sound",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/004tab-eng.html,Section 004,Cartwright Sound
"<a href=""005tab-eng.html"">Section 005</a>, Englefield Bay",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/005tab-eng.html,Section 005,Englefield Bay
"<a href=""006tab-eng.html"">Section 006</a>, Louscoone Inlet",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/006tab-eng.html,Section 006,Louscoone Inlet
"  Section 010, Unknown Area 1 - No spawn records",NA,"  Section 010, Unknown Area 1 - No spawn records",NA
"<a href=""011tab-eng.html"">Section 011</a>, Masset Inlet  ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/011tab-eng.html,Section 011,Masset Inlet  
"<a href=""012tab-eng.html"">Section 012</a>, Naden Harbour ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/012tab-eng.html,Section 012,Naden Harbour 
"  Section 019, Offshore Area 1 - No spawn records ",NA,"  Section 019, Offshore Area 1 - No spawn records ",NA
"  Section 020, Unknown Area 2 - No spawn records",NA,"  Section 020, Unknown Area 2 - No spawn records",NA
"<a href=""021tab-eng.html"">Section 021</a>, Juan Perez Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/021tab-eng.html,Section 021,Juan Perez Sound 
"<a href=""022tab-eng.html"">Section 022</a>, Skidegate Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/022tab-eng.html,Section 022,Skidegate Inlet 
"<a href=""023tab-eng.html"">Section 023</a>, Cumshewa Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/023tab-eng.html,Section 023,Cumshewa Inlet 
"<a href=""024tab-eng.html"">Section 024</a>, Laskeek Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/024tab-eng.html,Section 024,Laskeek Bay 
"<a href=""025tab-eng.html"">Section 025</a>, Skincuttle Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/025tab-eng.html,Section 025,Skincuttle Inlet 
"  Section 029, Offshore Area 2E - No spawn records  <hr>",NA,"  Section 029, Offshore Area 2E - No spawn records  <hr>",NA
"  Section 030, Unknown Area 3 - No spawn records",NA,"  Section 030, Unknown Area 3 - No spawn records",NA
"  Section 031, Other Area 3 - No spawn records ",NA,"  Section 031, Other Area 3 - No spawn records ",NA
"<a href=""032tab-eng.html"">Section 032</a>, Portland Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/032tab-eng.html,Section 032,Portland Inlet 
"<a href=""033tab-eng.html"">Section 033</a>, Port Simpson ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/033tab-eng.html,Section 033,Port Simpson 
"  Section 040, Unknown Area 4 - No spawn records",NA,"  Section 040, Unknown Area 4 - No spawn records",NA
"<a href=""041tab-eng.html"">Section 041</a>, Dundas Island ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/041tab-eng.html,Section 041,Dundas Island 
"<a href=""042tab-eng.html"">Section 042</a>, Prince Rupert ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/042tab-eng.html,Section 042,Prince Rupert 
"<a href=""043tab-eng.html"">Section 043</a>, North Porcher Island ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/043tab-eng.html,Section 043,North Porcher Island 
"  Section 049, Offshore Area 4 - No spawn records ",NA,"  Section 049, Offshore Area 4 - No spawn records ",NA
"  Section 050, Unknown Area 5 - No spawn records",NA,"  Section 050, Unknown Area 5 - No spawn records",NA
"<a href=""051tab-eng.html"">Section 051</a>, Banks Island ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/051tab-eng.html,Section 051,Banks Island 
"<a href=""052tab-eng.html"">Section 052</a>, Kitikatla Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/052tab-eng.html,Section 052,Kitikatla Inlet 
"<a href=""053tab-eng.html"">Section 053</a>, Principe Channel ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/053tab-eng.html,Section 053,Principe Channel 
"  Section 059, Offshore Area 5 - No spawn records  <hr>",NA,"  Section 059, Offshore Area 5 - No spawn records  <hr>",NA
"  Section 060, Unknown Area 6 - No spawn records",NA,"  Section 060, Unknown Area 6 - No spawn records",NA
"<a href=""061tab-eng.html"">Section 061</a>, Caamano Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/061tab-eng.html,Section 061,Caamano Sound 
"<a href=""062tab-eng.html"">Section 062</a>, Gil Island ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/062tab-eng.html,Section 062,Gil Island 
"<a href=""063tab-eng.html"">Section 063</a>, Kitimat Arm ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/063tab-eng.html,Section 063,Kitimat Arm 
"<a href=""064tab-eng.html"">Section 064</a>, Gardner Canal ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/064tab-eng.html,Section 064,Gardner Canal 
"<a href=""065tab-eng.html"">Section 065</a>, Princess Royal Channel ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/065tab-eng.html,Section 065,Princess Royal Channel 
"<a href=""066tab-eng.html"">Section 066</a>, Surf Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/066tab-eng.html,Section 066,Surf Inlet 
"<a href=""067tab-eng.html"">Section 067</a>, Kitasu Bay &amp; Weeteeam Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/067tab-eng.html,Section 067,Kitasu Bay &amp; Weeteeam Bay 
"  Section 069, Offshore Area 6 - No spawn records ",NA,"  Section 069, Offshore Area 6 - No spawn records ",NA
"  Section 070, Unknown Area 7 - No spawn records",NA,"  Section 070, Unknown Area 7 - No spawn records",NA
"  Section 071, Area 7, West - No spawn records ",NA,"  Section 071, Area 7, West - No spawn records ",NA
"<a href=""072tab-eng.html"">Section 072</a>, Powell Anchorage ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/072tab-eng.html,Section 072,Powell Anchorage 
"<a href=""073tab-eng.html"">Section 073</a>, Bella Bella ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/073tab-eng.html,Section 073,Bella Bella 
"<a href=""074tab-eng.html"">Section 074</a>, Thompson Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/074tab-eng.html,Section 074,Thompson Bay 
"<a href=""075tab-eng.html"">Section 075</a>, McNaughton Group ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/075tab-eng.html,Section 075,McNaughton Group 
"<a href=""076tab-eng.html"">Section 076</a>, Kildidt Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/076tab-eng.html,Section 076,Kildidt Sound 
"<a href=""077tab-eng.html"">Section 077</a>, Milbanke Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/077tab-eng.html,Section 077,Milbanke Sound 
"<a href=""078tab-eng.html"">Section 078</a>, Spiller &amp; Mathieson Channels ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/078tab-eng.html,Section 078,Spiller &amp; Mathieson Channels 
"  Section 079, Offshore Area 7 - No spawn records ",NA,"  Section 079, Offshore Area 7 - No spawn records ",NA
"  Section 080, Unknown Area 8 - No spawn records",NA,"  Section 080, Unknown Area 8 - No spawn records",NA
"  Section 081, Area 8, West - No spawn records ",NA,"  Section 081, Area 8, West - No spawn records ",NA
"<a href=""082tab-eng.html"">Section 082</a>, Dean Channel &amp; Cousins Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/082tab-eng.html,Section 082,Dean Channel &amp; Cousins Inlet 
"<a href=""083tab-eng.html"">Section 083</a>, Bentinck Arms ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/083tab-eng.html,Section 083,Bentinck Arms 
"<a href=""084tab-eng.html"">Section 084</a>, Burke Channel ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/084tab-eng.html,Section 084,Burke Channel 
"<a href=""085tab-eng.html"">Section 085</a>, Kwakshua Channel ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/085tab-eng.html,Section 085,Kwakshua Channel 
"<a href=""086tab-eng.html"">Section 086</a>, Fitzhugh Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/086tab-eng.html,Section 086,Fitzhugh Sound 
"  Section 089, Offshore Area 8 - No spawn records ",NA,"  Section 089, Offshore Area 8 - No spawn records ",NA
"  Section 090, Unknown Area 9 - No spawn records",NA,"  Section 090, Unknown Area 9 - No spawn records",NA
"<a href=""091tab-eng.html"">Section 091</a>, Fish Egg Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/091tab-eng.html,Section 091,Fish Egg Inlet 
"<a href=""092tab-eng.html"">Section 092</a>, Rivers Inlet (Entrance) ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/092tab-eng.html,Section 092,Rivers Inlet (Entrance) 
"<a href=""093tab-eng.html"">Section 093</a>, Rivers Inlet (Head) ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/093tab-eng.html,Section 093,Rivers Inlet (Head) 
"  Section 100, Unknown Area 10 - No spawn records",NA,"  Section 100, Unknown Area 10 - No spawn records",NA
"  Section 101, Area 10, West - No spawn records ",NA,"  Section 101, Area 10, West - No spawn records ",NA
"<a href=""102tab-eng.html"">Section 102</a>, Takush Harbour ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/102tab-eng.html,Section 102,Takush Harbour 
"<a href=""103tab-eng.html"">Section 103</a>, Smith Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/103tab-eng.html,Section 103,Smith Inlet 
"  Section 109, Offshore Area 10 - No spawn records ",NA,"  Section 109, Offshore Area 10 - No spawn records ",NA
"  Section 110, Unknown Area 11 - No spawn records",NA,"  Section 110, Unknown Area 11 - No spawn records",NA
"<a href=""111tab-eng.html"">Section 111</a>, Belize Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/111tab-eng.html,Section 111,Belize Inlet 
"<a href=""112tab-eng.html"">Section 112</a>, Seymour Inlet &amp; Nugent Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/112tab-eng.html,Section 112,Seymour Inlet &amp; Nugent Sound 
"  Section 120, Unknown Area 12 - No spawn records",NA,"  Section 120, Unknown Area 12 - No spawn records",NA
"<a href=""121tab-eng.html"">Section 121</a>, Queen Charlotte Strait ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/121tab-eng.html,Section 121,Queen Charlotte Strait 
"<a href=""122tab-eng.html"">Section 122</a>, Beaver Harbour ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/122tab-eng.html,Section 122,Beaver Harbour 
"<a href=""123tab-eng.html"">Section 123</a>, West Cracroft Island ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/123tab-eng.html,Section 123,West Cracroft Island 
"<a href=""124tab-eng.html"">Section 124</a>, Wells Passage ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/124tab-eng.html,Section 124,Wells Passage 
"<a href=""125tab-eng.html"">Section 125</a>, Thompson Sound &amp; Cramer Passage ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/125tab-eng.html,Section 125,Thompson Sound &amp; Cramer Passage 
"<a href=""126tab-eng.html"">Section 126</a>, Kingcome Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/126tab-eng.html,Section 126,Kingcome Inlet 
"<a href=""127tab-eng.html"">Section 127</a>, Knight Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/127tab-eng.html,Section 127,Knight Inlet 
"  Section 130, Unknown Area 13 - No spawn records",NA,"  Section 130, Unknown Area 13 - No spawn records",NA
"<a href=""131tab-eng.html"">Section 131</a>, Thurlow Islands ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/131tab-eng.html,Section 131,Thurlow Islands 
"<a href=""132tab-eng.html"">Section 132</a>, Deepwater Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/132tab-eng.html,Section 132,Deepwater Bay 
"<a href=""133tab-eng.html"">Section 133</a>, Loughborough Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/133tab-eng.html,Section 133,Loughborough Inlet 
"<a href=""134tab-eng.html"">Section 134</a>, Bute Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/134tab-eng.html,Section 134,Bute Inlet 
"<a href=""135tab-eng.html"">Section 135</a>, Cape Mudge ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/135tab-eng.html,Section 135,Cape Mudge 
"<a href=""136tab-eng.html"">Section 136</a>, Reed Island <hr>",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/136tab-eng.html,Section 136,Reed Island <hr>
"  Section 140, Unknown Area 14 - No spawn records",NA,"  Section 140, Unknown Area 14 - No spawn records",NA
"<a href=""141tab-eng.html"">Section 141</a>, Oyster Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/141tab-eng.html,Section 141,Oyster Bay 
"<a href=""142tab-eng.html"">Section 142</a>, Baynes Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/142tab-eng.html,Section 142,Baynes Sound 
"<a href=""143tab-eng.html"">Section 143</a>, Qualicum ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/143tab-eng.html,Section 143,Qualicum 
