order_no,issued_date,revoked_date,closes_area,species,closure_type
PTN-2008-312,2008-10-24,2009-04-01,Portion of 4-10: Digby Island,All B.M. except butterclams,biotoxins
PTN-2008-313,2008-10-29,2008-10-31,"Area 24, except SA 24-3 to 24—9, 24-13, 24-14",All B.M.,biotoxins
PTN-2008-314,2008-10-29,2008-10-31,"SA 24-3 to 24-7, 24-13, 24-14",All B.M. except gducks and horseclams,biotoxins
PTN-2008-315,2008-10-30,2009-01-16,"Area 2, except SA 2-1",All B.M.,biotoxins
PTN-2008-316,2008-10-30,2009-01-16,SA 2-1,All B.M. except oysters and scallops,biotoxins
PTN-2008-317,2008-10-30,2008-11-04,"Areas 3 to 10, except SA 3-1, 3-2, 3-3, 4-1, 4-2, 4-5, 4-10 and 4-13",All B.M.,biotoxins
PTN-2008-318,2008-10-30,2008-11-14,"SA 3-1, 3-2, 3-3, 4-1, 4-2, 4-5, 4-10 and 4-13",All B.M. except gducks and hclams,biotoxins
PTN-2008-319,2008-10-30,2008-11-04,SA 17-4 to 17-7 and 17-17 ,All B.M.,biotoxins
PTN-2008-320,2008-10-31,2008-11-07,"Area 12, Area 13, except SA 13-1 to 13-12, 13-15 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-5), Areas 16 to 29 (except SA 17-20 and 29-5)",Scallops,biotoxins
PTN-2008-321,2008-10-31,2008-11-19,"Area 23, except SA 23-4",All B.M.,biotoxins
PTN-2008-322,2008-10-31,2008-11-19,SA 23-4,"Gducks, horseclams, butter clams, scallops",biotoxins
PTN-2008-323,2008-10-31,2008-11-26,"Area 24, except SA 24-4 to 24—9, 24-13, 24-14",All B.M.,biotoxins
PTN-2008-324,2008-10-31,2008-11-27,"SA 24-4 to 24-7, 24-13, 24-14",All B.M. except gducks and horseclams,biotoxins
PTN-2008-325,2008-11-04,2008-11-14,"Areas 3 to 10, except SA 3-1, 3-2, 3-3, 4-1, 4-2, 4-5, 4-10, 4-13, 5-3, 5-4, 5-9, and 5-12",All B.M.,biotoxins
PTN-2008-326,2008-11-04,2009-04-01,"SA 5-3, 5-4, 5-9 and 5-12",All BM except cockles,biotoxins
PTN-2008-327,2008-11-04,2008-11-18,SA 17-9,All B.M.,biotoxins
PTN-2008-328,2008-11-06,2008-12-12,"Area 12, except SA12-2 to 12-6, 12-8 to 12-13, 12-15 to 12-23, 12-26 and 12-35 to 12-40",All B.M.,biotoxins
PTN-2008-329,2008-11-06,2008-11-14,"SA 12-2 to 12-6, 12-8 to 12-13, 12-15 to 12-23, 12-26 and 12-35 to 12-40","All B.M. except littlenecks, cockles and butter clams.",biotoxins
PTN-2008-330,2008-11-07,2009-04-01,"Area 12, Area 13, except SA 13-1 to 13-12, 13-15 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-5), Areas 16 to 29 (except SA 17-20)",Scallops,biotoxins
PTN-2008-331,2008-11-07,2009-05-01,"Area 29, except SA 29-1 and 29-2",All B.M.,biotoxins
PSN-2008-332,2008-11-10,2008-11-20,Sections B and C (Baynes Sound Management Plan),All B.M.,sanitary closure
PTN-2008-333,2008-11-14,2008-11-26,"Areas 3 to 10, except SA 3-1 to 3-5, 4-1, 4-2, 4-5 to 4-7, 4-10, 4-13, 4-14, 5-3, 5-4, 5-9, 5-12, 7-12 and 7-17",All B.M.,biotoxins
PTN-2008-334,2008-11-14,2008-11-26,"SA 3-1, 3-2, 3-3, 4-1, 4-2, 4-5, 4-10, 4-13 and 4-14",All B.M. except gducks and hclams,biotoxins
PTN-2008-335,2008-11-14,2009-03-06,"SA 7-17, except portion (Lama Passage)",All B.M.,biotoxins
PTN-2008-336,2008-11-14,2009-03-06,SA 7-12 and portion of 7-17 (Lama Passage),All B.M. except manila and littleneck clams and mussels,biotoxins
PTN-2008-337,2008-11-14,2008-12-12,"SA 12-2 to 12-6, 12-8 to 12-13, 12-15 to 12-23, 12-26 and 12-35 to 12-40","All B.M. except littlenecks, cockles and butter clams.",biotoxins
PTN-2008-338,2008-11-14,2008-11-18,"SA 13-12, 13-13, 13-16, 13-17, 15-1, 15-3, 15-5 and 16-10 to 16-16",Gducks & hclams,biotoxins
PSN-2008-339,2008-11-14,2008-11-26,Area 12 - revoke closure on 12.AA,All B.M.,sanitary closure
PTN-2008-340,2008-11-18,2008-12-19,SA 17-9,All B.M.,biotoxins
PTN-2008-341,2008-11-18,2008-11-26,"SA 13-12, 13-13, 13-16, 13-17, 15-1, 15-3, 15-5, 16-5 to 16-16, 17-4 to 17-7 and 17-17",Gducks & hclams,biotoxins
PTN-2008-342,2008-11-19,2009-01-08,Area 23,All B.M.,biotoxins
PSN-2008-343,2008-11-20,2008-12-04,Section C (Baynes Sound Management Plan),All B.M.,sanitary closure
PSN-2008-344,2008-11-26,2010-01-15,Area 12 - new closure 12.27 Keogh River.,All B.M.,sanitary closure
PSN-2008-345,2008-11-26,2008-12-19,"Area 14 - reduce closure 14.4 Base Flats, revoke closure 14.19 Mud Bay.",All B.M.,sanitary closure
PSN-2008-346,2008-11-26,2009-04-27,"Area 17 - expand closure 17.11 Nanoose Harbour at Ted's Road, new closure 17.38 Clark Bay.",All B.M.,sanitary closure
PSN-2008-347,2008-11-26,2009-06-05,"Area 18 - new closure 18.28 Bedwell Harbour, and 18.D Winter Cove.",All B.M.,sanitary closure
PSN-2008-348,2008-11-26,2009-06-05,"Area 23 - revoke closure 23.cc San Mateo Bay, new closure 23.14 south of Bazett Island. ",All B.M.,sanitary closure
PSN-2008-349,2008-11-26,2009-11-17,"Area 26 - reinstate closure 26.1 Yaku Bay, reinstate closure 26.2 Hankin Cove, expand closure 26.4 Walters Cove, reduce closure 26.5 Malksope Inlet, revoke closure 26.6 Ououkinsh Inlet, reinstate closure 26.9 Chamiss Bay, revoke closures 26.14 Amai Inlet, 26.16 Kyuquot Sound and 26.19 Artlish River.",All B.M.,sanitary closure
PTN-2008-350,2008-11-26,2008-11-28,"Areas 3 to 10, except SA 3-1 to 3-5, 4-1, 4-5 to 4-7, 4-10, 4-14, 5-3, 5-4, 5-9, 5-12, 7-12 and 7-17",All B.M.,biotoxins
PTN-2008-351,2008-11-26,2009-01-05,"SA 3-1, 3-2, 3-3, 4-1, 4-5, 4-10 AND 4-14",All B.M. except gducks and hclams,biotoxins
PTN-2008-352,2008-11-26,2008-12-05,"SA 13-12, 13-13, 13-16, 13-17, 15-1, 15-5, 16-5 to 16-16, 17-4 to 17-7 and 17-17",Gducks & hclams,biotoxins
PTN-2008-353,2008-11-26,2008-11-27,"Area 24, except SA 24-4 to 24-7, 24-9, 24-13, 24-14",All B.M.,biotoxins
PTN-2008-354,2008-11-27,2008-11-28,"Area 24, except SA 24-4, 24-5, 24-9, 24-13, 24-14",All B.M.,biotoxins
PTN-2008-355,2008-11-27,2008-12-12,"SA 24-4, 24-5, 24-13, 24-14",All B.M. except gducks and horseclams,biotoxins
PTN-2008-356,2008-11-28,2008-12-09,"Areas 3 to 10, except SA 3-1 to 3-5, 4-1, 4-5 to 4-7, 4-9, 4-10, 4-14, 5-3, 5-4, 5-9, 5-12, 7-12, 7-15, 7-17, 7-24",All B.M.,biotoxins
PTN-2008-357,2008-11-28,2009-01-05,"SA 4-9, EXCEPT PORTION (HECATE ROCK)",ALL B.M.,biotoxins
PTN-2008-358,2008-11-28,2009-01-05,PORTION OF SA 4-9 (HECATE ROCK),"All B.M., except butter clams",biotoxins
PTN-2008-359,2008-11-28,2008-12-09,SA 7-15 and 7-24,"All B.M., except manila, littleneck clams & mussels",biotoxins
PTN-2008-360,2008-11-28,2008-12-12,"Area 24, except SA 24-4, 24-5, 24-9, 24-10, 24-13, 24-14",ALL B.M.,biotoxins
PTN-2008-361,2008-11-28,2008-12-12,"SA 24-10, 25-4 to 25-6 and 25-8",Gducks & hclams,biotoxins
PTN-2008-362,2008-11-28,2008-12-23,"Area 25, except SA 25-1 to 25-6, 25-8, 25-11",All B.M.,biotoxins
PTN-2008-363,2008-11-28,2008-12-23,"SA 25-11, except portion (Little Espinosa Inlet)",All B.M.,biotoxins
PTN-2008-364,2008-11-28,2008-12-23,SA 25-11 (portion Little Espinsoa Inlet),"Manila clams, littleneck clams, oysters, mussels",biotoxins
PTN-2008-365,2008-12-05,2009-02-13,"SA 13-12, 13-13, 13-16, 13-17, 15-1, 15-5, 16-5 to 16-16",Gducks & hclams,biotoxins
PSN-2008-366,2008-12-08,2008-12-09,Area 25 - remove 25.6 Hannah Channel.,All B.M.,sanitary closure
PTN-2008-367,2008-12-09,2009-01-05,"Areas 3 to 10, except SA 3-1 to 3-5, 4-1, 4-5 to 4-7, 4-9, 4-10, 4-14, 5-3, 5-4, 5-9, 5-12, 7-12, 7-15, 7-17, 7-21",All B.M.,biotoxins
PTN-2008-368,2008-12-09,2009-01-23,SA 7-15 and 7-21,"All B.M., except manila, littleneck clams & mussels",biotoxins
PSN-2008-369,2008-12-09,2010-01-15,"Area 25 - CORRECTION: reinstate 25.6, revoke 25.9 Hannah Channel.",All B.M.,sanitary closure
PTN-2008-370,2008-12-12,2009-04-01,"Area 12, except SA12-2 to 12-6, 12-8 to 12-13, 12-15 to 12-23, 12-26 and 12-35 to 12-42",All B.M.,biotoxins
PTN-2008-371,2008-12-12,2009-04-01,"SA 12-2 to 12-6, 12-8 to 12-13, 12-15 to 12-23, 12-26 and 12-35 to 12-42","All B.M. except littlenecks, cockles and butter clams.",biotoxins
PTN-2008-372,2008-12-12,2009-02-10,"Area 26, except SA 26-2 to 26-5",All B.M.,biotoxins
PTN-2008-373,2008-12-12,2009-02-10,SA 26-2 to 26-5,"All B.M., except manila, littleneck clams, oysters & mussels",biotoxins
PTN-2009-1,2009-01-05,2009-01-08,"Areas 3 to 10, except SA 3-1 to 3-5, 4-2 to 4-4, 4-9, 4-10, 5-3, 5-4, 5-9, 5-12, 7-12, 7-15, 7-17, 7-21",All B.M.,biotoxins
PTN-2009-2,2009-01-05,2009-03-05,"SA 4-9, except portion known as Hecate Rock","All B.M., except gducks, hclams",biotoxins
PTN-2009-3,2009-01-05,2009-03-05,Portion of SA 4-9 (Hecate Rock),"All B.M., except gducks, hclams and butter clams",biotoxins
PTN-2009-4,2009-01-05,2009-01-08,SA 3-1 to 3-5 and 4-2 to 4-4,All B.M. except gducks and hclams,biotoxins
PTN-2009-5,2009-01-08,2009-01-21,"Areas 3 to 10, except SA 4-2 to 4-4, 4-9, 4-10, 5-3, 5-4, 5-9, 5-12, 7-12, 7-15, 7-17, 7-21",All B.M.,biotoxins
PTN-2009-6,2009-01-08,2009-02-26,SA 4-2 to 4-4,All B.M. except gducks and hclams,biotoxins
PTN-2009-7,2009-01-08,2009-02-10,"Area 23, except SA 23-6",All B.M.,biotoxins
PTN-2009-8,2009-01-08,2009-02-10,SA 23-6 (except portion known as Useless Inlet),All B.M.,biotoxins
PTN-2009-9,2009-01-08,2009-02-10,Portion of SA 23-6 known as Useless Inlet,"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-10,2009-01-09,2009-01-16,Area 1,All B.M.,biotoxins
PTN-2009-11,2009-01-09,2009-01-23,"Area 24 except SA 24-4 to 24-7, 24-9",All B.M.,biotoxins
PTN-2009-12,2009-01-09,2009-01-23,Subareas 24-4 to 24-7,All B.M. except gducks and horseclams,biotoxins
PTN-2009-13,2009-01-16,2009-01-21,"Area 25 except SA 25-1 to 25-6, 25-8 and 25-11",All B.M.,biotoxins
PTN-2009-14,2009-01-16,2009-02-06,SA 25-11 except portion of 25-11 (Espinsoa Inlet),All B.M.,biotoxins
PTN-2009-15,2009-01-16,2009-02-06,portion of SA 25-11 (Espinosa Inlet),"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-16,2009-01-16,2009-08-31,"Area 1, except SA 1-5",All B.M.,biotoxins
PTN-2009-17,2009-01-16,2009-07-24,SA 1-5,All B.M. except razor clams and scallops,biotoxins
PTN-2009-18,2009-01-16,2009-02-04,Area 2,All B.M.,biotoxins
PTN-2009-19,2009-01-21,2009-01-23,"Areas 3 to 10, except SA 4-2 to 4-4, 4-9, 4-10, 5-3, 5-4, 5-9, 5-12, 6-11, 6-14 to 6-16, 7-12, 7-15, 7-17, 7-21",All B.M.,biotoxins
PTN-2009-20,2009-01-21,2009-03-04,"SA 6-11, 6-14 to 6-16",All B.M. except gducks and horseclams,biotoxins
PTN-2009-21,2009-01-21,2009-02-06,"Area 25 except SA 25-1 to 25-6, 25-8, 25-11, 25-13",All B.M.,biotoxins
PTN-2009-22,2009-01-21,2009-02-06,SA 25-13,"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-23,2009-01-23,2009-02-26,"Areas 3 to 10, except SA 4-2 to 4-4, 4-9, 4-10, 5-3, 5-4, 5-9, 5-12, 6-11, 6-14 to 6-16, 7-12, 7-15, 7-17 and 7-21 to 7-23",All B.M.,biotoxins
PTN-2009-24,2009-01-23,2009-02-27,SA 7-15 and 7-21 to 7-23,"All B.M., except manila, littleneck clams & mussels",biotoxins
PTN-2009-25,2009-01-23,2009-02-04,"Area 24 except SA 24-2 to 24-7, 24-9, 24-10, 24-13 and 24-14",All B.M.,biotoxins
PTN-2009-26,2009-01-23,2009-02-04,"Subareas 24-2, 24-3, 24-10, 24-10, 24-14","All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-27,2009-02-04,2009-02-13,"Area 2, except SA 2-1",All B.M.,biotoxins
PTN-2009-28,2009-02-04,2009-02-26,SA 2-1,All BM. Except oyseters and scallops,biotoxins
PTN-2009-29,2009-02-04,2009-03-26,"Area 24 except SA 24-2 to 24-10, 24-13 and 24-14",All B.M.,biotoxins
PTN-2009-30,2009-02-04,2009-03-26,"Subareas 24-8, 24-10","All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-31,2009-02-06,2009-02-26,Area 25 except SA 25-1 to 25-6 and 25-8 to 25-14,All B.M.,biotoxins
PTN-2009-32,2009-02-06,2009-02-26,SA 25-9 TO 14,"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-33,2009-02-10,2009-02-27,Area 23,All B.M.,biotoxins
PTN-2009-34,2009-02-10,2009-03-05,"Area 26, except SA  26-5",All B.M.,biotoxins
PTN-2009-35,2009-02-10,2009-03-05,SA 26-5,"All B.M., except manila, littleneck clams, oysters & mussels",biotoxins
PTN-2009-36,2009-02-13,2009-02-26,"Area 2, except SA 2-1, 2-14, 2-15, 2-17, 2-18",All B.M.,biotoxins
PTN-2009-38,2009-02-13,2009-05-29,"SA 15-1, 15-5, 16-5 to 16-16",Gducks & hclams,biotoxins
PTN-2009-39,2009-02-26,2009-04-01,"Area 2, except SA  2-14, 2-15, 2-17, 2-18",All B.M.,biotoxins
PTN-2009-40,2009-02-26,2009-02-27,"Areas 3 to 10, except SA  4-9, 4-10, 5-3, 5-4, 5-9, 5-12, 6-11, 6-14 to 6-16, 7-12, 7-15, 7-17 and 7-21 to 7-23",All B.M.,biotoxins
PTN-2009-41,2009-02-26,2009-04-28,SA 25-7 and 25-9 to 16,"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-42,2009-02-27,2009-03-04,"Areas 3 to 10, except SA  4-9, 4-10, 5-3, 5-4, 5-9, 5-12, 6-11, 6-14 to 6-16, 7-9, 7-12, 7-14, 7-15, 7-17 and 7-21 to 7-24",All B.M.,biotoxins
PTN-2009-43,2009-02-27,2009-03-06,"SA 7-9, 7-14, 7-15 and 7-21 to 7-24","All B.M., except manila, littleneck clams & mussels",biotoxins
PTN-2009-44,2009-02-27,2009-03-04,"Area 23, except SA 23-4 and 23-6",All B.M.,biotoxins
PTN-2009-45,2009-02-27,2009-03-04,SA 23-4,"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-46,2009-02-27,2009-03-16,SA 23-6 (except portion known as Useless Inlet),All B.M.,biotoxins
PTN-2009-47,2009-02-27,2009-03-16,Portion of SA 23-6 known as Useless Inlet,"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-48,2009-03-04,2009-03-06,"Areas 3 to 10, except SA  4-9, 4-10, 5-3, 5-4, 5-9, 5-12, 7-9, 7-12, 7-14, 7-15, 7-17 and 7-21 to 7-24",All B.M.,biotoxins
PTN-2009-49,2009-03-04,2009-03-06,"Area 23, except SA 23-4, 23-6, 23-10",All B.M.,biotoxins
PTN-2009-50,2009-03-04,2009-03-16,"SA 23-4, 23-10","All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-51,2009-03-05,2009-04-01,"SA 4-9, except portion known as Hecate Rock",All B.M.,biotoxins
PTN-2009-52,2009-03-05,2009-04-01,Portion of SA 4-9 (Hecate Rock),"All B.M., except butter clams",biotoxins
PTN-2009-53,2009-03-05,2009-03-26,"Area 26, except SA  26-2 to 26-6",All B.M.,biotoxins
PTN-2009-54,2009-03-05,2009-03-26,SA 26-2 to 26-6,"All B.M., except manila, littleneck clams, oysters & mussels",biotoxins
PTN-2009-55,2009-03-06,2009-04-01,"Areas 3 to 10, except SA  4-9, 4-10, 5-3, 5-4, 5-9, 5-12,",All B.M.,biotoxins
PTN-2009-56,2009-03-06,2009-03-16,"Area 23, except SA 23-4, 23-6, 23-8, 23-10",All B.M.,biotoxins
PTN-2009-57,2009-03-06,2009-05-05,SA 23-8,"All B.M., except manila, littleneck clams, varnish clams, oysters & mussels",biotoxins
PTN-2009-58,2009-03-16,2009-03-26,"Area 23, except SA 23-4 to 23-6, 23-8, 23-10",All B.M.,biotoxins
PTN-2009-59,2009-03-16,2009-03-26,SA 23-4 to 23-6 and 23-10,"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-60,2009-03-26,2009-05-29,"Area 23, except SA 23-4 to 23-11",All B.M.,biotoxins
PTN-2009-61,2009-03-26,2009-04-01,SA 23-4 to 23-7 and 23-9 to 23-11,"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-62,2009-03-26,2009-07-17,Area 24 except SA 24-2 to 24-14,All B.M.,biotoxins
PTN-2009-63,2009-03-26,2009-05-29,Subareas 24-8 and 24-10 to 24-12,"All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-64,2009-03-26,2009-04-08,"Area 26, except SA  26-2 to 26-6, 26-8 and 26-9",All B.M.,biotoxins
PTN-2009-65,2009-03-26,2009-04-08,"SA 26-2 to 26-6, 26-8 and 26-9","All B.M., except manila, littleneck clams, oysters & mussels",biotoxins
PTN-2009-66,2009-04-01,2009-11-13,Areas 3 to 10,All B.M.,biotoxins
PTN-2009-67,2009-04-01,2009-04-17,"Area 2, except SA 2-18, 2-19, 2-31",All B.M.,biotoxins
PTN-2009-68,2009-04-01,2009-04-17,"SA 2-18, 2-19, 2-31",All B.M. except gducks and horseclams,biotoxins
PTN-2009-69,2009-04-01,2009-11-27,Area 12.,All B.M.,biotoxins
PTN-2009-70,2009-04-01,2009-05-05,"SA 23-4, 23-5, 23-7 and 23-9 to 23-11","All B.M. except manila, littleneck, oysters and mussels",biotoxins
PTN-2009-71,2009-04-01,2009-04-21,"Area 12, Area 13, except SA 13-1 to 13-12, 13-15 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-5), Areas 16 to 29 (except SA 17-20, 23-6)",Scallops,biotoxins
PTN-2009-72,2009-04-01,2009-05-05,SA 23-6,"All B.M., except manila, littleneck clams, scallops, oysters & mussels",biotoxins
PTN-2009-73,2009-04-08,2009-04-21,"Area 27, except SA 27-3, 27-5 to 27-7",All B.M.,biotoxins
PTN-2009-74,2009-04-08,2009-04-21,"SA 27-3, 27-05, 27-6",All Bm except gducks & hclams,biotoxins
PTN-2009-75,2009-04-08,2009-04-21,SA 27-7,"All B.M., except manila, littleneck clams, oysters & mussels, gducks & hclams",biotoxins
PTN-2009-76,2009-04-08,2009-04-16,"Area 26, except SA  26-1 to 26-6, 26-8 and 26-9",All B.M.,biotoxins
PTN-2009-77,2009-04-08,2009-04-16,"SA 26-4 , 26-5, 26-8 and 26-9","All B.M., except manila, littleneck clams, oysters & mussels",biotoxins
PTN-2009-78,2009-04-08,2009-05-12,SA 26-1,All Bm except gducks & hclams,biotoxins
PTN-2009-79,2009-04-08,2009-04-16,"SA 26-2, 26-3, 26-6","All B.M., except manila, littleneck clams, oysters & mussels, gducks & hclams",biotoxins
PTN-2009-80,2009-04-16,2009-04-24,"Area 26, except SA  26-1 to 26-9",All B.M.,biotoxins
PTN-2009-81,2009-04-16,NA,"SA 26-4 , 26-5","All B.M., except manila, littleneck clams, oysters & mussels",biotoxins
PTN-2009-82,2009-04-16,2009-04-24,"SA 26-2, 26-3, 26-6 to 26-9","All B.M., except manila, littleneck clams, oysters & mussels, gducks & hclams",biotoxins
PTN-2009-83,2009-04-17,2009-04-29,"Area 2, except SA 2-18, 2-19, 2-31 TO 2-33",All B.M.,biotoxins
PTN-2009-84,2009-04-17,2009-04-29,"SA 2-18, 2-19, 2-31 TO 2-33",All B.M. except gducks and horseclams,biotoxins
PTN-2009-85,2009-04-21,2009-05-01,"Area 12, Area 13, except SA 13-1 to 13-12, 13-15 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-5), Areas 16 to 29 (except SA 17-20, 23-6, 27-9)",Scallops,biotoxins
PTN-2009-86,2009-04-21,2009-05-01,"Area 27, except SA 27-3, 27-5 to 27-7, 27-9",All B.M.,biotoxins
PTN-2009-87,2009-04-21,2009-05-01,SA 23-3 AND 27-5 TO 27-7,"All B.M., except manila, littleneck clams, oysters & mussels, gducks & hclams",biotoxins
PTN-2009-88,2009-04-21,2009-07-31,SA 27-9,"All B.M., except manila, littleneck clams, oysters & mussels, scallops",biotoxins
PTN-2009-89,2009-04-24,2009-05-01,"Area 26, except SA  26-1 to 26-6 AND 26-9",All B.M.,biotoxins
PTN-2009-90,2009-04-24,2009-05-01,"SA 26-2, 26-3, 26-6 AND 26-9","All B.M., except manila, littleneck clams, oysters & mussels, gducks & hclams",biotoxins
PSN-2009-91,2009-04-27,2009-05-12,Area 17 -new closure Area 17.3 Chemainus Bay,All B.M.,sanitary closure
PTN-2009-92,2009-04-28,2009-05-12,SA 25-7 and 25-9 to 16,"All B.M. except manila, littleneck, oysters, mussels, gducks and hclams",biotoxins
PTN-2009-93,2009-04-29,2009-05-13,"Area 2, except SA 2-18, 2-19, 2-31 TO 2-33, 2-35, 2-36 AND 2-38 TO 2-41",All B.M.,biotoxins
PTN-2009-94,2009-04-29,2009-05-15,"SA 2-18, 2-19, 2-31 TO 2-33, 2-35, 2-36 AND 2-38 TO 2-41",All B.M. except gducks and horseclams,biotoxins
PTN-2009-95,2009-05-01,2009-05-12,"Area 26, except SA  26-1 to 26-6",All B.M.,biotoxins
PTN-2009-96,2009-05-01,2009-05-12,"SA 26-2, 26-3, 26-6","All B.M., except manila, littleneck clams, oysters & mussels, gducks & hclams",biotoxins
PTN-2009-97,2009-05-01,2009-07-10,"Area 27, except SA 27-3,27-7, 27-9",All B.M.,biotoxins
PTN-2009-98,2009-05-01,2009-07-10,SA 23-3 and 27-7,"All B.M., except manila, littleneck clams, oysters & mussels, gducks & hclams",biotoxins
PTN-2009-99,2009-05-01,2009-07-10,"Area 12, Area 13, except SA 13-1 to 13-12, 13-15 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-5), Areas 16 to 29 (except SA 17-20, 23-6, 27-9 and 29-5)",Scallops,biotoxins
PTN-2009-100,2009-05-01,2009-07-10,"Area 29, except SA 29-1, 29-2 and 29-5",All B.M.,biotoxins
PTN-2009-101,2009-05-01,2009-07-10,SA 29-5,All BM except scallops,biotoxins
PSN-2009-102,2009-05-12,2009-06-05,Area 17 - revises map 17.3 to include newly classified area.,All B.M.,sanitary closure
PTN-2009-103,2009-05-12,2009-06-09,"SA 25-7, 25-9 to 25-16","All B.M., except manila, littleneck clams, oysters & mussels",biotoxins
PTN-2009-104,2009-05-12,2009-06-18,"Area 26, except SA 26-2 to 26-6",All B.M.,biotoxins
PTN-2009-105,2009-05-12,2009-06-18,SA 26-2 to 26-6,"All B.M., except manila, littleneck clams, oysters & mussels",biotoxins
PTN-2009-106,2009-05-13,2009-05-15,"Area 2, except SA 2-1, 2-18, 2-19, 2-31 to 2-33, 2-35, 2-36, 2-38 to 2-44 and 2-47) ",All B.M.,biotoxins
PTN-2009-107,2009-05-13,NA,SA 2-1,All B.M. except oysters and scallops,biotoxins
PSN-2009-108,2009-05-15,2009-06-18,"Area 14, Close Baynes Sound B and C",All B.M.,sanitary closure
PTN-2009-109,2009-05-15,2009-05-22,"Area 2, except SA 2-1, 2-18, 2-19, 2-31 to 2-33, 2-35, 2-36, 2-38 to 2-44 and 2-47) ",All B.M.,biotoxins
PTN-2009-110,2009-05-15,2009-05-22,"SA 2-18, 2-19, 2-31 to 2-33, 2-35, 2-36, 2-38 to 2-44 and 2-47) ",All B.M. except gducks and horseclams,biotoxins
PTN-2009-111,2009-05-22,2009-05-29,"Area 2, except SA 2-1, 2-38 to 2-44, 2-47 AND 2-49 TO 2-62) ",All B.M.,biotoxins
PTN-2009-112,2009-05-22,2009-05-29,"SA  2-38 to 2-44, 2-47, and 2-49 to 2-62",All B.M. except gducks and horseclams,biotoxins
PTN-2009-113,2009-05-29,2009-06-09,"Area 2, except SA 2-1, 2-49 to 2-66 and 2-68",All B.M. ,biotoxins
PTN-2009-114,2009-05-29,2009-06-09,Subareas 2-49 to 2-66 and 2-68,All B.M. except gducks and horseclams,biotoxins
