lic_area,desc,pfma,rgn_id
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",142,2
red sea urchin area n,"areas 1 through 10, 101, 105, 106, 109 and 142.",142,7
red sea urchin area s,areas 11 through 29 and 123.,11,4
red sea urchin area s,areas 11 through 29 and 123.,29,6
red sea urchin area s,areas 11 through 29 and 123.,123,5
red sea urchin area s,areas 11 through 29 and 123.,123,7
roe herring (co) wcvi,areas 23 and 25.,23,5
roe herring (co) wcvi,areas 23 and 25.,25,5
roe herring prince rupert,"areas 3, 4 and 5.",3,1
roe herring prince rupert,"areas 3, 4 and 5.",4,1
roe herring prince rupert,"areas 3, 4 and 5.",5,1
roe herring qci,area 2.,2,2
roe herring(co) prince rupert,"areas 3, 4 and 5.",3,1
roe herring(co) prince rupert,"areas 3, 4 and 5.",4,1
roe herring(co) prince rupert,"areas 3, 4 and 5.",5,1
sea cucumber area c,"portions of areas 7, 8, 9 and 10.",7,3
sea cucumber area c,"portions of areas 7, 8, 9 and 10.",7,8
sea cucumber area c,"portions of areas 7, 8, 9 and 10.",8,3
sea cucumber area c,"portions of areas 7, 8, 9 and 10.",9,3
sea cucumber area c,"portions of areas 7, 8, 9 and 10.",10,3
sea cucumber area c,"portions of areas 7, 8, 9 and 10.",10,4
sea cucumber area g,portions of areas 12 and 13.,12,4
sea cucumber area g,portions of areas 12 and 13.,13,4
sea cucumber area g,portions of areas 12 and 13.,13,6
sea cucumber area w,portions of area 24.,24,5
bc coast wide,areas 1 to 142,1,2
bc coast wide,areas 1 to 142,2,2
bc coast wide,areas 1 to 142,3,1
bc coast wide,areas 1 to 142,4,1
bc coast wide,areas 1 to 142,5,1
bc coast wide,areas 1 to 142,6,1
bc coast wide,areas 1 to 142,6,8
bc coast wide,areas 1 to 142,6,3
bc coast wide,areas 1 to 142,7,3
bc coast wide,areas 1 to 142,7,8
bc coast wide,areas 1 to 142,8,3
bc coast wide,areas 1 to 142,9,3
bc coast wide,areas 1 to 142,10,3
bc coast wide,areas 1 to 142,10,4
bc coast wide,areas 1 to 142,11,4
bc coast wide,areas 1 to 142,12,4
bc coast wide,areas 1 to 142,13,4
bc coast wide,areas 1 to 142,13,6
bc coast wide,areas 1 to 142,14,6
bc coast wide,areas 1 to 142,15,6
bc coast wide,areas 1 to 142,16,6
bc coast wide,areas 1 to 142,17,6
bc coast wide,areas 1 to 142,18,6
bc coast wide,areas 1 to 142,19,5
bc coast wide,areas 1 to 142,19,6
bc coast wide,areas 1 to 142,20,5
bc coast wide,areas 1 to 142,21,5
bc coast wide,areas 1 to 142,23,5
bc coast wide,areas 1 to 142,24,5
bc coast wide,areas 1 to 142,25,5
bc coast wide,areas 1 to 142,26,5
bc coast wide,areas 1 to 142,26,4
bc coast wide,areas 1 to 142,27,4
bc coast wide,areas 1 to 142,28,6
bc coast wide,areas 1 to 142,29,6
bc coast wide,areas 1 to 142,101,2
bc coast wide,areas 1 to 142,101,7
bc coast wide,areas 1 to 142,101,1
bc coast wide,areas 1 to 142,102,2
bc coast wide,areas 1 to 142,103,1
bc coast wide,areas 1 to 142,103,2
bc coast wide,areas 1 to 142,104,1
bc coast wide,areas 1 to 142,104,2
bc coast wide,areas 1 to 142,105,1
bc coast wide,areas 1 to 142,105,2
bc coast wide,areas 1 to 142,106,1
bc coast wide,areas 1 to 142,106,2
bc coast wide,areas 1 to 142,106,3
bc coast wide,areas 1 to 142,106,8
bc coast wide,areas 1 to 142,107,2
bc coast wide,areas 1 to 142,107,3
bc coast wide,areas 1 to 142,107,8
bc coast wide,areas 1 to 142,108,2
bc coast wide,areas 1 to 142,108,3
bc coast wide,areas 1 to 142,109,2
bc coast wide,areas 1 to 142,109,3
bc coast wide,areas 1 to 142,110,2
bc coast wide,areas 1 to 142,110,3
bc coast wide,areas 1 to 142,110,4
bc coast wide,areas 1 to 142,111,3
bc coast wide,areas 1 to 142,111,4
bc coast wide,areas 1 to 142,121,5
bc coast wide,areas 1 to 142,123,5
bc coast wide,areas 1 to 142,123,7
bc coast wide,areas 1 to 142,124,5
bc coast wide,areas 1 to 142,124,7
bc coast wide,areas 1 to 142,125,5
bc coast wide,areas 1 to 142,125,7
bc coast wide,areas 1 to 142,126,5
bc coast wide,areas 1 to 142,126,7
bc coast wide,areas 1 to 142,126,4
bc coast wide,areas 1 to 142,127,4
bc coast wide,areas 1 to 142,127,5
bc coast wide,areas 1 to 142,127,7
bc coast wide,areas 1 to 142,127,3
bc coast wide,areas 1 to 142,130,2
bc coast wide,areas 1 to 142,130,3
bc coast wide,areas 1 to 142,130,7
bc coast wide,areas 1 to 142,142,2
bc coast wide,areas 1 to 142,142,7
bc coast wide all british columbia coastal areas.,areas 1 to 142,1,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,2,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,3,1
bc coast wide all british columbia coastal areas.,areas 1 to 142,4,1
bc coast wide all british columbia coastal areas.,areas 1 to 142,5,1
bc coast wide all british columbia coastal areas.,areas 1 to 142,6,1
bc coast wide all british columbia coastal areas.,areas 1 to 142,6,8
bc coast wide all british columbia coastal areas.,areas 1 to 142,6,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,7,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,7,8
bc coast wide all british columbia coastal areas.,areas 1 to 142,8,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,9,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,10,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,10,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,11,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,12,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,13,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,13,6
bc coast wide all british columbia coastal areas.,areas 1 to 142,14,6
bc coast wide all british columbia coastal areas.,areas 1 to 142,15,6
bc coast wide all british columbia coastal areas.,areas 1 to 142,16,6
bc coast wide all british columbia coastal areas.,areas 1 to 142,17,6
bc coast wide all british columbia coastal areas.,areas 1 to 142,18,6
bc coast wide all british columbia coastal areas.,areas 1 to 142,19,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,19,6
bc coast wide all british columbia coastal areas.,areas 1 to 142,20,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,21,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,23,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,24,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,25,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,26,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,26,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,27,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,28,6
bc coast wide all british columbia coastal areas.,areas 1 to 142,29,6
bc coast wide all british columbia coastal areas.,areas 1 to 142,101,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,101,7
bc coast wide all british columbia coastal areas.,areas 1 to 142,101,1
bc coast wide all british columbia coastal areas.,areas 1 to 142,102,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,103,1
bc coast wide all british columbia coastal areas.,areas 1 to 142,103,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,104,1
bc coast wide all british columbia coastal areas.,areas 1 to 142,104,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,105,1
bc coast wide all british columbia coastal areas.,areas 1 to 142,105,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,106,1
bc coast wide all british columbia coastal areas.,areas 1 to 142,106,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,106,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,106,8
bc coast wide all british columbia coastal areas.,areas 1 to 142,107,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,107,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,107,8
bc coast wide all british columbia coastal areas.,areas 1 to 142,108,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,108,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,109,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,109,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,110,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,110,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,110,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,111,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,111,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,121,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,123,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,123,7
bc coast wide all british columbia coastal areas.,areas 1 to 142,124,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,124,7
bc coast wide all british columbia coastal areas.,areas 1 to 142,125,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,125,7
bc coast wide all british columbia coastal areas.,areas 1 to 142,126,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,126,7
bc coast wide all british columbia coastal areas.,areas 1 to 142,126,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,127,4
bc coast wide all british columbia coastal areas.,areas 1 to 142,127,5
bc coast wide all british columbia coastal areas.,areas 1 to 142,127,7
bc coast wide all british columbia coastal areas.,areas 1 to 142,127,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,130,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,130,3
bc coast wide all british columbia coastal areas.,areas 1 to 142,130,7
bc coast wide all british columbia coastal areas.,areas 1 to 142,142,2
bc coast wide all british columbia coastal areas.,areas 1 to 142,142,7
clam area f,west coast of vancouver island - areas 23 to 27.,23,5
clam area f,west coast of vancouver island - areas 23 to 27.,24,5
clam area f,west coast of vancouver island - areas 23 to 27.,25,5
clam area f,west coast of vancouver island - areas 23 to 27.,26,5
clam area f,west coast of vancouver island - areas 23 to 27.,26,4
clam area f,west coast of vancouver island - areas 23 to 27.,27,4
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",1,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",2,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",101,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",101,7
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",101,1
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",102,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",103,1
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",103,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",104,1
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",104,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",105,1
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",105,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",106,1
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",106,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",106,3
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",106,8
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",107,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",107,3
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",107,8
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",108,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",108,3
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",109,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",109,3
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",110,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",110,3
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",110,4
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",130,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",130,3
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",130,7
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",142,2
crab area a,"areas 1, 2, 101 to 110, 130 and 142.",142,7
crab area b,areas 3 to 10.,3,1
crab area b,areas 3 to 10.,4,1
crab area b,areas 3 to 10.,5,1
crab area b,areas 3 to 10.,6,1
crab area b,areas 3 to 10.,6,8
crab area b,areas 3 to 10.,6,3
crab area b,areas 3 to 10.,7,3
crab area b,areas 3 to 10.,7,8
crab area b,areas 3 to 10.,8,3
crab area b,areas 3 to 10.,9,3
crab area b,areas 3 to 10.,10,3
crab area b,areas 3 to 10.,10,4
crab area e,"areas 20 to 27, 121 and 123 to 127.",20,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",21,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",23,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",24,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",25,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",26,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",26,4
crab area e,"areas 20 to 27, 121 and 123 to 127.",27,4
crab area e,"areas 20 to 27, 121 and 123 to 127.",121,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",123,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",123,7
crab area e,"areas 20 to 27, 121 and 123 to 127.",124,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",124,7
crab area e,"areas 20 to 27, 121 and 123 to 127.",125,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",125,7
crab area e,"areas 20 to 27, 121 and 123 to 127.",126,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",126,7
crab area e,"areas 20 to 27, 121 and 123 to 127.",126,4
crab area e,"areas 20 to 27, 121 and 123 to 127.",127,4
crab area e,"areas 20 to 27, 121 and 123 to 127.",127,5
crab area e,"areas 20 to 27, 121 and 123 to 127.",127,7
crab area e,"areas 20 to 27, 121 and 123 to 127.",127,3
crab area h,"areas 14, 16 to 19 and subarea 29-5.",14,6
crab area h,"areas 14, 16 to 19 and subarea 29-5.",16,6
crab area h,"areas 14, 16 to 19 and subarea 29-5.",17,6
crab area h,"areas 14, 16 to 19 and subarea 29-5.",18,6
crab area h,"areas 14, 16 to 19 and subarea 29-5.",19,5
crab area h,"areas 14, 16 to 19 and subarea 29-5.",19,6
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",20,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",21,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",23,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",24,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",25,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",26,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",26,4
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",27,4
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",121,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",123,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",123,7
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",124,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",124,7
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",125,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",125,7
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",126,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",126,7
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",126,4
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",127,4
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",127,5
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",127,7
crab area quatsino - e,"areas 20 to 27, 121 and 123 to 127.",127,3
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",20,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",21,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",23,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",24,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",25,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",26,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",26,4
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",27,4
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",121,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",123,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",123,7
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",124,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",124,7
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",125,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",125,7
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",126,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",126,7
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",126,4
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",127,4
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",127,5
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",127,7
crab area sooke - e,"areas 20 to 27, 121 and 123 to 127.",127,3
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",20,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",21,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",23,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",24,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",25,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",26,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",26,4
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",27,4
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",121,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",123,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",123,7
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",124,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",124,7
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",125,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",125,7
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",126,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",126,7
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",126,4
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",127,4
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",127,5
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",127,7
crab area tofino - e,"areas 20 to 27, 121 and 123 to 127.",127,3
ecvi pfma 12 to 19,ecvi pfma 12 to 19,12,4
ecvi pfma 12 to 19,ecvi pfma 12 to 19,13,4
ecvi pfma 12 to 19,ecvi pfma 12 to 19,13,6
ecvi pfma 12 to 19,ecvi pfma 12 to 19,14,6
ecvi pfma 12 to 19,ecvi pfma 12 to 19,15,6
ecvi pfma 12 to 19,ecvi pfma 12 to 19,16,6
ecvi pfma 12 to 19,ecvi pfma 12 to 19,17,6
ecvi pfma 12 to 19,ecvi pfma 12 to 19,18,6
ecvi pfma 12 to 19,ecvi pfma 12 to 19,19,5
ecvi pfma 12 to 19,ecvi pfma 12 to 19,19,6
herring gill net gulf,areas 14 to 18.,14,6
herring gill net gulf,areas 14 to 18.,15,6
herring gill net gulf,areas 14 to 18.,16,6
herring gill net gulf,areas 14 to 18.,17,6
herring gill net gulf,areas 14 to 18.,18,6
herring seine gulf,areas 14 to 18.,14,6
herring seine gulf,areas 14 to 18.,15,6
herring seine gulf,areas 14 to 18.,16,6
herring seine gulf,areas 14 to 18.,17,6
herring seine gulf,areas 14 to 18.,18,6
rockfish area inside,"areas 13 to 19, and 28 and 29, and subareas 12-1 to 12-13, 12-15 to 12-48 and subareas 20-4 to 20-7",13,4
rockfish area inside,"areas 13 to 19, and 28 and 29, and subareas 12-1 to 12-13, 12-15 to 12-48 and subareas 20-4 to 20-7",13,6
rockfish area inside,"areas 13 to 19, and 28 and 29, and subareas 12-1 to 12-13, 12-15 to 12-48 and subareas 20-4 to 20-7",14,6
