sgc,name,type,pop,prev_pop
5951032,Granisle,VL,303,303
5951034,Houston,DM,2993,3147
5951038,Telkwa,VL,1327,1350
5951043,Smithers,T,5401,5404
5951051,Bulkley-Nechako A,RDA,5256,5391
5951053,Bulkley-Nechako G,RDA,903,975
5951801,Ye Koo Che 3,IRI,87,88
5951802,Nautley (Fort Fraser) 1,IRI,192,201
5951803,Nak'azdli (Necoslie 1),IRI,548,534
5951804,Sowchea 3,IRI,0,0
5951805,Binche 2 (Pinchie 2),IRI,182,111
5951806,Seaspunkut 4,IRI,15,15
5951807,Stellaquo (Stella) 1,IRI,202,205
5951809,Stony Creek 1,IRI,313,332
5951810,Tache 1,IRI,401,409
5951811,Tacla Lake (Ferry Landing) 9,IRI,0,0
5951813,Laketown 3,IRI,18,10
5951814,Dzitline Lee 9,IRI,10,15
5951815,Burns Lake 18,IRI,48,55
5951818,Cheslatta 1,IRI,84,84
5951819,Omineca 1,IRI,5,10
5951820,Palling 1,IRI,10,5
5951821,Duncan Lake 2,IRI,5,10
5951822,Francois Lake 7,IRI,10,10
5951823,Skins Lake 16A,IRI,5,0
5951824,Skins Lake 16B,IRI,23,20
5951825,Tatla West 11,IRI,0,5
5951826,Uncha Lake 13A,IRI,10,5
5951827,Woyenne 27,IRI,243,301
5951828,Babine  6,IRI,86,93
5951829,Babine 25,IRI,112,81
5951830,Jean Baptiste 28,IRI,0,5
5951833,Tatla't East 2,IRI,5,0
5951840,Williams Prairie Meadow 1A,IRI,15,10
5951844,Poison Creek 17A,IRI,5,0
5951845,Tadinlay 15,IRI,0,0
5951846,Nedoats 11,IRI,0,0
5951847,Babine Lake 21B,IRI,0,0
5951848,North Tacla Lake,IRI,192,183
5951849,Mission Lands 17,IRI,0,0
5953007,Valemount,VL,1021,1020
5953012,McBride,VL,616,586
5953019,Fraser-Fort George H,RDA,1586,1665
5953023,Prince George,CY,74003,71974
5953033,Mackenzie,DM,3714,3507
5953038,Fraser-Fort George A,RDA,3463,3362
5953042,Fraser-Fort George C,RDA,3527,3434
5953044,Fraser-Fort George D,RDA,4278,4175
5953046,Fraser-Fort George E,RDA,526,479
5953048,Fraser-Fort George F,RDA,1246,1207
5953050,Fraser-Fort George G,RDA,334,317
5953801,Fort George (Shelley) 2,IRI,105,80
5953802,McLeod Lake 1,IRI,87,73
5955003,Tumbler Ridge,DM,1987,2710
5955005,Pouce Coupe,VL,792,738
5955010,Chetwynd,DM,2503,2635
5955014,Dawson Creek,CY,12178,11583
5955021,Peace River D,RDA,5920,5479
5955023,Peace River E,RDA,2949,2764
5955025,Hudson's Hope,DM,1015,970
5955030,Taylor,DM,1469,1373
5955034,Fort St. John,CY,20155,18609
5955040,Peace River B,RDA,5628,5552
5955042,Peace River C,RDA,6772,6398
5955801,East Moberly Lake 169,IRI,381,324
5955802,West Moberly Lake 168A,IRI,140,95
5955803,Blueberry River 205,IRI,197,210
5955804,Doig River 206,IRI,118,120
5955807,Fort Ware 1,IRI,332,250
5955808,Halfway River 168,IRI,172,170
5955812,Ingenika Point,S-�,234,102
5957022,Stikine Region,RDA,477,402
5957802,Unnamed 10,IRI,28,0
5957803,Five Mile Point  3,IRI,114,64
5957804,Good Hope Lake,S-�,0,0
5957813,Lower Post,S-�,81,105
5957814,Liard River 3,IRI,40,58
5959007,Northern Rockies,RGM,4831,5290
5959805,Fontas 1,IRI,5,5
5959806,Fort Nelson 2,IRI,451,457
5959809,Kahntah 3,IRI,0,0
5959810,Prophet River 4,IRI,106,129
59,British Columbia,NA,4648055,4400057
