year,pfma,taxa,fn,n_lic
1994,111,rockfish,FALSE,184
1994,121,crab,FALSE,54
1994,121,rockfish,FALSE,184
1994,123,crab,FALSE,54
1994,123,echinoderm,FALSE,33
1994,123,rockfish,FALSE,184
1994,124,crab,FALSE,54
1994,124,rockfish,FALSE,184
1994,125,crab,FALSE,54
1994,125,rockfish,FALSE,184
1994,126,crab,FALSE,54
1994,126,rockfish,FALSE,184
1994,127,crab,FALSE,54
1994,127,rockfish,FALSE,184
1994,130,crab,FALSE,35
1994,130,rockfish,FALSE,184
1994,142,crab,FALSE,35
1994,142,echinoderm,FALSE,77
1994,142,rockfish,FALSE,184
1995,1,bivalve,FALSE,36
1995,1,crab,FALSE,41
1995,1,echinoderm,FALSE,84
1995,1,rockfish,FALSE,184
1995,1,salmon,FALSE,2
1995,2,crab,FALSE,41
1995,2,rockfish,FALSE,184
1995,2,salmon,FALSE,2
1995,3,crab,FALSE,35
1995,3,rockfish,FALSE,184
1995,3,salmon,FALSE,2
1995,4,crab,FALSE,35
1995,4,echinoderm,FALSE,22
1995,4,rockfish,FALSE,184
1995,4,salmon,FALSE,2
1995,5,crab,FALSE,35
1995,5,echinoderm,FALSE,22
1995,5,rockfish,FALSE,184
1995,5,salmon,FALSE,2
1995,6,crab,FALSE,35
1995,6,echinoderm,FALSE,22
1995,6,rockfish,FALSE,184
1995,6,salmon,FALSE,2
1995,7,crab,FALSE,35
1995,7,echinoderm,FALSE,22
1995,7,rockfish,FALSE,184
1995,7,salmon,FALSE,2
1995,8,crab,FALSE,35
1995,8,echinoderm,FALSE,22
1995,8,rockfish,FALSE,184
1995,8,salmon,FALSE,2
1995,9,crab,FALSE,35
1995,9,echinoderm,FALSE,22
1995,9,rockfish,FALSE,184
1995,9,salmon,FALSE,2
1995,10,bivalve,FALSE,30
1995,10,crab,FALSE,35
1995,10,echinoderm,FALSE,106
1995,10,rockfish,FALSE,184
1995,10,salmon,FALSE,2
1995,11,bivalve,FALSE,120
1995,11,echinoderm,FALSE,26
1995,11,rockfish,FALSE,184
1995,11,salmon,FALSE,4
1995,12,bivalve,FALSE,131
1995,12,echinoderm,FALSE,10
1995,12,rockfish,FALSE,259
1995,12,salmon,FALSE,4
1995,13,bivalve,FALSE,492
1995,13,echinoderm,FALSE,10
