rgn_id,pfmsa_id,area_km2,a_tot_km2
4.0,12-7,318.25,6325.25
4.0,127-1,117.0,6325.25
4.0,127-2,31.25,6325.25
4.0,127-3,237.75,6325.25
4.0,127-4,166.0,6325.25
4.0,12-8,133.25,6325.25
4.0,12-9,135.25,6325.25
4.0,13-1,18.25,6325.25
4.0,13-10,15.25,6325.25
4.0,13-11,10.25,6325.25
4.0,13-12,41.5,6325.25
4.0,13-13,18.5,6325.25
4.0,13-14,78.5,6325.25
4.0,13-15,1.25,6325.25
4.0,13-16,22.75,6325.25
4.0,13-17,32.5,6325.25
4.0,13-18,28.0,6325.25
4.0,13-2,2.75,6325.25
4.0,13-20,35.75,6325.25
4.0,13-21,108.5,6325.25
4.0,13-22,147.5,6325.25
4.0,13-23,41.75,6325.25
4.0,13-24,18.0,6325.25
4.0,13-25,19.25,6325.25
4.0,13-26,39.5,6325.25
4.0,13-27,9.5,6325.25
4.0,13-28,32.5,6325.25
4.0,13-29,9.5,6325.25
4.0,13-3,48.5,6325.25
4.0,13-30,12.5,6325.25
4.0,13-31,11.5,6325.25
4.0,13-32,29.0,6325.25
4.0,13-33,17.5,6325.25
4.0,13-34,1.25,6325.25
4.0,13-35,22.25,6325.25
4.0,13-36,21.75,6325.25
4.0,13-37,15.5,6325.25
4.0,13-38,3.0,6325.25
4.0,13-39,7.25,6325.25
4.0,13-4,1.0,6325.25
4.0,13-40,7.25,6325.25
4.0,13-41,19.0,6325.25
4.0,13-42,28.75,6325.25
4.0,13-43,35.5,6325.25
4.0,13-5,4.25,6325.25
4.0,13-6,8.5,6325.25
4.0,13-7,19.0,6325.25
4.0,13-8,6.75,6325.25
4.0,13-9,20.0,6325.25
4.0,26-10,0.25,6325.25
4.0,26-11,2.5,6325.25
4.0,27-1,45.25,6325.25
4.0,27-10,15.0,6325.25
4.0,27-11,49.25,6325.25
4.0,27-2,128.0,6325.25
4.0,27-3,16.25,6325.25
4.0,27-4,127.25,6325.25
4.0,27-5,34.75,6325.25
4.0,27-6,29.75,6325.25
4.0,27-7,74.0,6325.25
4.0,27-8,34.75,6325.25
4.0,27-9,0.75,6325.25
5.0,121-1,81.5,4485.5
5.0,121-2,53.0,4485.5
5.0,123-1,86.5,4485.5
5.0,123-3,106.0,4485.5
5.0,123-5,79.75,4485.5
5.0,123-6,10.0,4485.5
5.0,124-1,33.75,4485.5
5.0,124-3,446.0,4485.5
5.0,124-4,5.25,4485.5
5.0,125-1,140.75,4485.5
5.0,125-2,46.75,4485.5
5.0,125-3,167.25,4485.5
5.0,125-5,38.75,4485.5
5.0,126-1,262.0,4485.5
5.0,126-2,8.25,4485.5
5.0,126-4,46.5,4485.5
5.0,19-1,3.5,4485.5
5.0,19-2,3.75,4485.5
5.0,19-3,167.5,4485.5
5.0,19-4,88.0,4485.5
5.0,19-5,130.25,4485.5
5.0,20-1,115.5,4485.5
5.0,20-2,14.5,4485.5
5.0,20-3,80.0,4485.5
5.0,20-4,169.75,4485.5
5.0,20-5,189.5,4485.5
5.0,20-6,6.5,4485.5
5.0,20-7,9.5,4485.5
5.0,21-0,60.25,4485.5
5.0,22-0,0.25,4485.5
5.0,23-1,19.75,4485.5
5.0,23-10,31.75,4485.5
5.0,23-11,61.75,4485.5
5.0,23-2,21.0,4485.5
5.0,23-3,21.75,4485.5
5.0,23-4,51.5,4485.5
5.0,23-5,33.75,4485.5
5.0,23-6,74.0,4485.5
5.0,23-7,102.5,4485.5
5.0,23-8,99.75,4485.5
5.0,23-9,27.0,4485.5
5.0,24-1,34.75,4485.5
5.0,24-10,28.25,4485.5
5.0,24-11,16.75,4485.5
5.0,24-12,40.75,4485.5
5.0,24-13,10.25,4485.5
5.0,24-14,10.0,4485.5
5.0,24-2,54.0,4485.5
5.0,24-3,15.5,4485.5
5.0,24-4,26.5,4485.5
5.0,24-5,36.0,4485.5
5.0,24-6,101.75,4485.5
5.0,24-7,47.25,4485.5
5.0,24-8,34.0,4485.5
5.0,24-9,33.5,4485.5
5.0,25-1,23.25,4485.5
5.0,25-10,5.5,4485.5
5.0,25-11,21.0,4485.5
5.0,25-12,9.25,4485.5
5.0,25-13,135.25,4485.5
5.0,25-14,21.25,4485.5
5.0,25-15,11.75,4485.5
5.0,25-16,2.0,4485.5
5.0,25-2,12.0,4485.5
5.0,25-3,16.5,4485.5
5.0,25-4,30.5,4485.5
5.0,25-5,13.0,4485.5
5.0,25-6,66.5,4485.5
5.0,25-7,26.5,4485.5
5.0,25-8,24.25,4485.5
5.0,25-9,21.5,4485.5
5.0,26-1,97.5,4485.5
5.0,26-10,26.0,4485.5
5.0,26-11,3.75,4485.5
5.0,26-2,35.0,4485.5
5.0,26-3,10.25,4485.5
5.0,26-4,20.0,4485.5
5.0,26-5,35.75,4485.5
5.0,26-6,23.5,4485.5
5.0,26-7,90.25,4485.5
5.0,26-8,9.0,4485.5
5.0,26-9,10.0,4485.5
6.0,13-1,70.0,6212.25
6.0,13-14,7.0,6212.25
6.0,13-15,48.0,6212.25
6.0,13-16,19.0,6212.25
6.0,13-17,17.25,6212.25
6.0,13-18,6.75,6212.25
6.0,13-19,41.0,6212.25
6.0,13-2,7.0,6212.25
6.0,14-1,20.75,6212.25
6.0,14-10,17.5,6212.25
6.0,14-11,37.5,6212.25
6.0,14-12,74.5,6212.25
6.0,14-13,327.25,6212.25
6.0,14-14,9.75,6212.25
6.0,14-15,15.0,6212.25
6.0,14-2,24.5,6212.25
6.0,14-3,191.25,6212.25
6.0,14-4,75.75,6212.25
6.0,14-5,119.5,6212.25
6.0,14-6,80.5,6212.25
6.0,14-7,28.75,6212.25
6.0,14-8,38.25,6212.25
6.0,14-9,100.0,6212.25
6.0,15-1,157.0,6212.25
6.0,15-2,243.5,6212.25
6.0,15-3,116.75,6212.25
6.0,15-4,25.75,6212.25
6.0,15-5,305.25,6212.25
6.0,15-6,87.75,6212.25
6.0,16-1,88.75,6212.25
6.0,16-10,17.75,6212.25
6.0,16-11,74.75,6212.25
6.0,16-12,53.75,6212.25
6.0,16-13,88.0,6212.25
6.0,16-14,41.75,6212.25
6.0,16-15,49.5,6212.25
6.0,16-16,13.5,6212.25
6.0,16-17,23.5,6212.25
6.0,16-18,216.75,6212.25
6.0,16-19,29.0,6212.25
6.0,16-2,73.75,6212.25
6.0,16-20,4.25,6212.25
6.0,16-21,189.75,6212.25
6.0,16-22,8.25,6212.25
6.0,16-3,0.5,6212.25
6.0,16-4,4.0,6212.25
6.0,16-5,15.25,6212.25
6.0,16-6,41.75,6212.25
6.0,16-7,37.25,6212.25
6.0,16-8,14.5,6212.25
6.0,16-9,7.5,6212.25
6.0,17-1,18.5,6212.25
6.0,17-10,32.0,6212.25
6.0,17-11,233.5,6212.25
6.0,17-12,99.0,6212.25
6.0,17-13,16.0,6212.25
6.0,17-14,11.5,6212.25
6.0,17-15,4.5,6212.25
6.0,17-16,15.0,6212.25
6.0,17-17,24.0,6212.25
6.0,17-18,34.25,6212.25
6.0,17-19,6.5,6212.25
6.0,17-2,60.0,6212.25
6.0,17-20,5.75,6212.25
6.0,17-21,0.75,6212.25
6.0,17-3,16.25,6212.25
6.0,17-4,58.5,6212.25
6.0,17-5,29.75,6212.25
6.0,17-6,56.0,6212.25
6.0,17-7,12.75,6212.25
6.0,17-8,15.0,6212.25
6.0,17-9,45.25,6212.25
6.0,18-1,126.75,6212.25
6.0,18-10,7.5,6212.25
6.0,18-11,27.25,6212.25
6.0,18-2,21.75,6212.25
6.0,18-3,31.75,6212.25
6.0,18-4,74.5,6212.25
6.0,18-5,81.25,6212.25
6.0,18-6,73.25,6212.25
6.0,18-7,44.25,6212.25
6.0,18-8,12.5,6212.25
6.0,18-9,2.0,6212.25
6.0,19-10,3.5,6212.25
6.0,19-11,6.0,6212.25
6.0,19-12,1.75,6212.25
6.0,19-5,110.0,6212.25
6.0,19-6,2.25,6212.25
6.0,19-7,13.75,6212.25
6.0,19-8,44.0,6212.25
6.0,19-9,1.25,6212.25
6.0,28-1,87.25,6212.25
6.0,28-10,15.75,6212.25
6.0,28-11,13.25,6212.25
6.0,28-12,23.75,6212.25
6.0,28-13,3.75,6212.25
6.0,28-14,0.75,6212.25
6.0,28-2,121.75,6212.25
6.0,28-3,42.0,6212.25
6.0,28-4,36.75,6212.25
6.0,28-5,38.5,6212.25
6.0,28-6,7.25,6212.25
6.0,28-7,38.75,6212.25
6.0,28-8,9.0,6212.25
6.0,28-9,3.0,6212.25
6.0,29-1,47.5,6212.25
6.0,29-10,72.75,6212.25
6.0,29-11,1.0,6212.25
6.0,29-12,2.5,6212.25
6.0,29-2,134.75,6212.25
6.0,29-3,189.75,6212.25
6.0,29-4,58.5,6212.25
6.0,29-5,156.5,6212.25
6.0,29-6,15.75,6212.25
6.0,29-7,42.25,6212.25
6.0,29-8,113.0,6212.25
6.0,29-9,50.0,6212.25
8.0,106-2,516.25,916.5
8.0,6-10,0.25,916.5
8.0,6-11,7.25,916.5
8.0,6-12,6.25,916.5
8.0,6-13,125.25,916.5
8.0,6-14,70.75,916.5
8.0,6-15,20.75,916.5
8.0,6-16,84.5,916.5
8.0,6-17,56.5,916.5
8.0,6-20,19.75,916.5
8.0,6-21,5.25,916.5
8.0,7-31,3.75,916.5
