Stock,Year,B,B/Bmsy,F (1-SPR),F/Fmsy
Pacific ocean perch,1990,10972.7,0.418422056,0.651832,1.30366
Pacific ocean perch,1991,10706.3,0.408263423,0.726626,1.45325
Pacific ocean perch,1992,10252.6,0.390962477,0.729806,1.45961
Pacific ocean perch,1993,9826.99,0.374732688,0.714099,1.4282
Pacific ocean perch,1994,9500.05,0.362265482,0.67507,1.35014
Pacific ocean perch,1995,9303.17,0.354757855,0.63871,1.27742
Pacific ocean perch,1996,9237.28,0.352245272,0.61756,1.23512
Pacific ocean perch,1997,9202.24,0.350909091,0.560135,1.12027
Pacific ocean perch,1998,9209.29,0.351177929,0.55684,1.11368
Pacific ocean perch,1999,9167.72,0.349592739,0.493447,0.986894
Pacific ocean perch,2000,9178.16,0.349990848,0.185623,0.371247
Pacific ocean perch,2001,9405.45,0.358658099,0.313578,0.627155
Pacific ocean perch,2002,9569.44,0.364911531,0.198155,0.396311
Pacific ocean perch,2003,9794.51,0.373494128,0.177441,0.354881
Pacific ocean perch,2004,10072.3,0.384087096,0.161133,0.322266
Pacific ocean perch,2005,10438.4,0.39804759,0.087765,0.17553
Pacific ocean perch,2006,10940.5,0.417194173,0.093549,0.187098
Pacific ocean perch,2007,11509.2,0.438880415,0.153501,0.307002
Pacific ocean perch,2008,11985.3,0.45703554,0.129708,0.259417
Pacific ocean perch,2009,12318.2,0.469730018,0.180894,0.361788
Pacific ocean perch,2010,12450.3,0.474767389,0.130376,0.260753
Pacific ocean perch,2011,12532.1,0.477886669,,
Hake,1916,27840.3,2.5,0.009527,0.019054
Hake,1917,27824.4,2.498572214,0.014804,0.029608
Hake,1918,27799.9,2.496372166,0.015437,0.030874
Hake,1919,27774.8,2.494118239,0.010003,0.020006
Hake,1920,27759.2,2.492717392,0.010571,0.021142
Hake,1921,27743.4,2.491298585,0.00927,0.01854
Hake,1922,27730.6,2.490149172,0.008619,0.017238
Hake,1923,27719.7,2.489170375,0.010193,0.020386
Hake,1924,27706.9,2.488020962,0.010738,0.021476
Hake,1925,27694.1,2.48687155,0.012385,0.02477
Hake,1926,27679.3,2.485542541,0.016109,0.032218
Hake,1927,27658.9,2.483710664,0.014526,0.029052
Hake,1928,27641.6,2.482157161,0.016506,0.033012
Hake,1929,27620.8,2.480289365,0.020333,0.040666
Hake,1930,27593.8,2.477864822,0.021602,0.043204
Hake,1931,27566.6,2.475422319,0.023251,0.046502
Hake,1932,27538.3,2.472881039,0.015892,0.031784
Hake,1933,27525.1,2.471695707,0.014944,0.029888
Hake,1934,27514.2,2.47071691,0.015226,0.030452
Hake,1935,27504.1,2.469809952,0.018128,0.036256
Hake,1936,27489.9,2.468534822,0.016724,0.033448
Hake,1937,27478.7,2.467529086,0.01865,0.0373
Hake,1938,27464.8,2.466280895,0.018369,0.036738
Hake,1939,27451.8,2.465113522,0.019752,0.039504
Hake,1940,27436,2.463694716,0.041039,0.082078
Hake,1941,27378,2.458486439,0.050564,0.101128
Hake,1942,27301.5,2.451616901,0.0847,0.1694
Hake,1943,27153.2,2.438299875,0.231132,0.462264
Hake,1944,26623.3,2.390715976,0.319527,0.639054
Hake,1945,25819.9,2.318572357,0.49515,0.9903
Hake,1946,24252.3,2.177805196,0.393605,0.78721
Hake,1947,23385.9,2.10000431,0.27116,0.54232
Hake,1948,23010.3,2.066276225,0.26058,0.52116
Hake,1949,22721.8,2.040369536,0.255527,0.511054
Hake,1950,22481.7,2.018809065,0.260284,0.520568
Hake,1951,22256.9,1.9986225,0.263452,0.526904
Hake,1952,22054.5,1.980447409,0.252959,0.505918
Hake,1953,21887.6,1.965460142,0.223469,0.446938
Hake,1954,21798.9,1.95749507,0.262386,0.524772
Hake,1955,21618.9,1.941331451,0.265887,0.531774
Hake,1956,21442.4,1.925482125,0.327757,0.655514
Hake,1957,21095.9,1.894367158,0.334652,0.669304
Hake,1958,20744.8,1.862839122,0.297865,0.59573
Hake,1959,20544.9,1.844888525,0.305457,0.610914
Hake,1960,20322.8,1.824944415,0.324941,0.649882
Hake,1961,20049.1,1.800366735,0.311702,0.623404
Hake,1962,19826.5,1.780377726,0.356451,0.712902
Hake,1963,19495.5,1.750654627,0.274568,0.549136
Hake,1964,19421.1,1.743973664,0.318911,0.637822
Hake,1965,19234.6,1.727226359,0.341265,0.68253
Hake,1966,19025.6,1.708458601,0.391567,0.783134
Hake,1967,18696.3,1.678888159,0.208962,0.417924
Hake,1968,18859.9,1.693579092,0.386323,0.772646
Hake,1969,18583.7,1.668776917,0.304086,0.608172
Hake,1970,18548.7,1.665633991,0.35385,0.7077
Hake,1971,18361.1,1.648787908,0.399341,0.798682
Hake,1972,18019.3,1.618094992,0.386623,0.773246
Hake,1973,17764.1,1.595178572,0.457269,0.914538
Hake,1974,17371,1.559879024,0.446552,0.893104
Hake,1975,17098.4,1.535400121,0.434168,0.868336
Hake,1976,16907.4,1.518248726,0.398664,0.797328
Hake,1977,16830.6,1.511352248,0.51173,1.02346
Hake,1978,16386.5,1.471473009,0.659129,1.318258
Hake,1979,15206.9,1.365547426,0.633952,1.267904
Hake,1980,14474.7,1.299797416,0.737801,1.475602
Hake,1981,13137.1,1.179683768,0.696778,1.393556
Hake,1982,12367.3,1.110557357,0.807598,1.615196
Hake,1983,10767.8,0.966925644,0.802346,1.604692
Hake,1984,9337.12,0.838453609,0.712664,1.425328
Hake,1985,8927.78,0.801695743,0.75818,1.51636
Hake,1986,8412.36,0.755412118,0.74408,1.48816
Hake,1987,8003.6,0.718706336,0.796674,1.593348
Hake,1988,7296.45,0.655205763,0.805669,1.611338
Hake,1989,6587.01,0.591499553,0.833657,1.667314
Hake,1990,5738.23,0.515280906,0.826418,1.652836
Hake,1991,5101.67,0.458119165,0.860737,1.721474
Hake,1992,4270.32,0.383465695,0.868959,1.737918
Hake,1993,3586.4,0.322051127,0.855138,1.710276
Hake,1994,3154.58,0.283274606,0.772678,1.545356
Hake,1995,3164.72,0.284185156,0.769467,1.538934
Hake,1996,3242.73,0.291190289,0.823587,1.647174
Hake,1997,3177.11,0.285297752,0.824765,1.64953
Hake,1998,3124.85,0.280604914,0.825032,1.650064
Hake,1999,3020.87,0.271267731,0.719602,1.439204
Hake,2000,3118.24,0.28001135,0.288167,0.576334
Hake,2001,3475.66,0.31210691,0.195163,0.390326
Hake,2002,3840.89,0.344903791,0.170581,0.341162
Hake,2003,4188.1,0.376082513,0.18269,0.36538
Hake,2004,4508.59,0.404861837,0.13764,0.27528
Hake,2005,4814.14,0.43229958,0.071885,0.14377
Hake,2006,5119.76,0.459743609,0.086211,0.172422
Hake,2007,5409.94,0.485801159,0.071744,0.143488
Hake,2008,5692.73,0.511195102,0.064694,0.129388
Hake,2009,5964,0.535554574,0.07142,0.14284
Hake,2010,6212.09,0.557832531,0.117494,0.234988
Hake,2011,6415.64,0.57611089,,
Sablefish,1917,1027.69,2.5,0.015741,0.031482
Sablefish,1918,1027.23,2.498880986,0.02174,0.04348
Sablefish,1919,1026.6,2.497348422,0.024578,0.049156
Sablefish,1920,1025.89,2.495621248,0.016676,0.033352
Sablefish,1921,1025.42,2.494477907,0.017883,0.035766
Sablefish,1922,1024.92,2.493261587,0.017925,0.03585
Sablefish,1923,1024.43,2.492069593,0.017322,0.034644
Sablefish,1924,1023.96,2.490926252,0.018288,0.036576
Sablefish,1925,1023.47,2.489734258,0.021056,0.042112
Sablefish,1926,1022.91,2.48837198,0.029186,0.058372
Sablefish,1927,1022.1,2.486401541,0.033512,0.067024
Sablefish,1928,1021.18,2.484163512,0.037948,0.075896
Sablefish,1929,1020.14,2.481633567,0.043333,0.086666
Sablefish,1930,1018.95,2.478738725,0.058053,0.116106
Sablefish,1931,1017.32,2.474773521,0.061052,0.122104
Sablefish,1932,1015.62,2.470638033,0.053688,0.107376
Sablefish,1933,1014.19,2.467159357,0.051979,0.103958
Sablefish,1934,1012.82,2.46382664,0.044435,0.08887
Sablefish,1935,1011.72,2.461150736,0.05318,0.10636
Sablefish,1936,1010.38,2.457890998,0.062416,0.124832
Sablefish,1937,1008.76,2.453950121,0.079527,0.159054
Sablefish,1938,1006.64,2.448792924,0.079336,0.158672
Sablefish,1939,1004.57,2.443757359,0.079098,0.158196
Sablefish,1940,1002.54,2.438819099,0.063716,0.127432
Sablefish,1941,1001.03,2.435145812,0.091815,0.18363
Sablefish,1942,998.67,2.429395051,0.109093,0.218186
Sablefish,1943,995.74,2.422284444,0.128846,0.257692
Sablefish,1944,992.11,2.413434499,0.238862,0.477724
Sablefish,1945,983.19,2.391735348,0.263716,0.527432
Sablefish,1946,974.34,2.37021378,0.375477,0.750954
Sablefish,1947,959.77,2.334765348,0.335692,0.671384
Sablefish,1948,947.77,2.305573665,0.179869,0.359738
Sablefish,1949,943.19,2.294441904,0.202835,0.40567
Sablefish,1950,937.87,2.281502691,0.156297,0.312594
Sablefish,1951,934.45,2.273170898,0.166714,0.333428
Sablefish,1952,930.78,2.264262569,0.19067,0.38134
Sablefish,1953,926.26,2.253267036,0.176806,0.353612
Sablefish,1954,922.43,2.243930563,0.150829,0.301658
Sablefish,1955,919.6,2.237065652,0.177149,0.354298
Sablefish,1956,915.97,2.228230303,0.212414,0.424828
Sablefish,1957,911.32,2.216918526,0.242726,0.485452
Sablefish,1958,905.61,2.203033016,0.268703,0.537406
Sablefish,1959,899,2.186953264,0.281488,0.562976
Sablefish,1960,891.91,2.169705845,0.269133,0.538266
Sablefish,1961,885.62,2.154394808,0.256937,0.513874
Sablefish,1962,879.95,2.140611468,0.23059,0.46118
Sablefish,1963,875.36,2.129431054,0.258177,0.516354
Sablefish,1964,869.86,2.116061264,0.225913,0.451826
Sablefish,1965,865.67,2.105856338,0.186518,0.373036
Sablefish,1966,862.91,2.099142251,0.398791,0.797582
Sablefish,1967,850.8,2.069690276,0.245567,0.491134
Sablefish,1968,846.14,2.058356606,0.275547,0.551094
Sablefish,1969,840.66,2.045016007,0.281177,0.562354
Sablefish,1970,834.95,2.031120766,0.450156,0.900312
Sablefish,1971,821.45,1.998297152,0.345515,0.69103
Sablefish,1972,812.51,1.976546916,0.42112,0.84224
Sablefish,1973,800.32,1.946883301,0.464383,0.928766
Sablefish,1974,784.67,1.908822213,0.445302,0.890604
Sablefish,1975,769.84,1.872736428,0.482327,0.964654
Sablefish,1976,753.06,1.831921591,0.442757,0.885514
Sablefish,1977,737.66,1.794458932,0.523037,1.046074
Sablefish,1978,719.43,1.750104604,0.548535,1.09707
Sablefish,1979,700.7,1.704560714,0.667444,1.334888
Sablefish,1980,668.35,1.62584291,0.726587,1.453174
Sablefish,1981,636.31,1.547920579,0.707695,1.41539
Sablefish,1982,610.78,1.485803112,0.759985,1.51997
Sablefish,1983,574.45,1.397439889,0.823531,1.647062
Sablefish,1984,527.92,1.284236978,0.789787,1.579574
Sablefish,1985,496.22,1.207119851,0.775837,1.551674
Sablefish,1986,471.45,1.146865786,0.82265,1.6453
Sablefish,1987,441.24,1.073378159,0.741994,1.483988
Sablefish,1988,423.8,1.030943183,0.785742,1.571484
Sablefish,1989,403.03,0.98042941,0.813623,1.627246
Sablefish,1990,379.56,0.923320748,0.863878,1.727756
Sablefish,1991,348.64,0.848120542,0.796185,1.59237
Sablefish,1992,330.7,0.804474112,0.883814,1.767628
Sablefish,1993,299.19,0.727828917,0.9064705,1.812941
Sablefish,1994,266.93,0.649332484,0.88098,1.76196
Sablefish,1995,240,0.583843377,0.862543,1.725086
Sablefish,1996,224.09,0.545132774,0.877584,1.755168
Sablefish,1997,204.94,0.498545281,0.878215,1.75643
Sablefish,1998,190.42,0.463213615,0.9029071,1.8058142
Sablefish,1999,173.21,0.42135031,0.765502,1.531004
Sablefish,2000,169.62,0.41263416,0.827197,1.654394
Sablefish,2001,161.08,0.391852115,0.463154,0.926308
Sablefish,2002,164.24,0.399544123,0.460611,0.921222
Sablefish,2003,165.9,0.403565277,0.212829,0.425658
Sablefish,2004,172.09,0.418642781,0.20566,0.41132
Sablefish,2005,178.55,0.434340609,0.214496,0.428992
Sablefish,2006,184.8,0.449559206,0.234835,0.46967
Sablefish,2007,190.79,0.464125855,0.224695,0.44939
Sablefish,2008,196.96,0.47914011,0.324639,0.649278
Sablefish,2009,202.1,0.491631718,0.200727,0.401454
Sablefish,2010,207.91,0.505762925,0.168457,0.336914
halibut,1892,29168.1,2.500008571,0.00007,0.000138
halibut,1893,29168,2.5,0.00007,0.000138
halibut,1894,29167.9,2.499991429,0.00007,0.000138
halibut,1895,29167.8,2.499982858,0.00002,0.000036
halibut,1896,29167.8,2.499982858,0,0.000008
halibut,1897,29167.8,2.499982858,0.00001,0.00001
halibut,1898,29167.8,2.499982858,0,0.000006
halibut,1899,29167.8,2.499982858,0,0.000008
halibut,1900,29167.8,2.499982858,0.00001,0.000012
halibut,1901,29167.8,2.499982858,0.00001,0.000014
halibut,1902,29167.8,2.499982858,0.00001,0.000018
halibut,1903,29167.8,2.499982858,0.00001,0.000022
halibut,1904,29167.8,2.499982858,0.00001,0.000026
halibut,1905,29167.8,2.499982858,0.00001,0.000028
halibut,1906,29167.8,2.499982858,0.00002,0.000032
halibut,1907,29167.8,2.499982858,0.00002,0.000036
halibut,1908,29167.8,2.499982858,0.00002,0.000038
halibut,1909,29167.8,2.499982858,0.00002,0.000042
halibut,1910,29167.7,2.499974287,0.00002,0.000046
halibut,1911,29167.7,2.499974287,0.00003,0.00005
halibut,1912,29167.7,2.499974287,0.00003,0.000052
halibut,1913,29167.7,2.499974287,0.00003,0.000056
halibut,1914,29167.7,2.499974287,0.00003,0.00006
halibut,1915,29167.6,2.499965716,0.00003,0.000064
halibut,1916,29167.6,2.499965716,0.00003,0.000066
halibut,1917,29167.6,2.499965716,0.00004,0.00007
halibut,1918,29167.6,2.499965716,0.00004,0.000074
halibut,1919,29167.5,2.499957145,0.00004,0.000076
halibut,1920,29167.5,2.499957145,0.00004,0.00008
halibut,1921,29167.5,2.499957145,0.00004,0.000084
halibut,1922,29167.4,2.499948574,0.00004,0.000088
halibut,1923,29167.4,2.499948574,0.00004,0.00009
halibut,1924,29167.3,2.499940003,0.00005,0.000094
halibut,1925,29167.3,2.499940003,0.00005,0.000096
halibut,1926,29167.3,2.499940003,0.00005,0.0001
halibut,1927,29167.2,2.499931432,0.00005,0.000104
halibut,1928,29167.2,2.499931432,0.01207,0.02414
halibut,1929,29149.7,2.4984315,0.01279,0.025572
halibut,1930,29131.3,2.49685443,0.01409,0.02818
halibut,1931,29111.3,2.495140222,0.01736,0.034728
halibut,1932,29086.8,2.493040318,0.0108,0.021594
halibut,1933,29072.4,2.491806089,0.01079,0.02158
halibut,1934,29058.7,2.490631857,0.0101,0.02019
halibut,1935,29046.6,2.489594761,0.01146,0.022912
halibut,1936,29033.1,2.488437671,0.00763,0.015256
halibut,1937,29025.9,2.487820557,0.00908,0.018166
halibut,1938,29017.2,2.487074877,0.01082,0.021642
halibut,1939,29006.5,2.486157776,0.01574,0.03147
halibut,1940,28989.2,2.484674986,0.02161,0.043214
halibut,1941,28963.9,2.482506514,0.02734,0.054682
halibut,1942,28930.7,2.47966093,0.03172,0.06344
halibut,1943,28891.8,2.476326796,0.11291,0.225828
halibut,1944,28724.3,2.46197031,0.22321,0.446426
halibut,1945,28353.8,2.430214619,0.3422,0.684398
halibut,1946,27719.2,2.37582282,0.23124,0.462484
halibut,1947,27358.2,2.344881377,0.19957,0.399138
halibut,1948,27073.3,2.320462493,0.1243,0.248598
halibut,1949,26933.8,2.308505897,0.10431,0.208628
halibut,1950,26838.6,2.30034627,0.11579,0.231584
halibut,1951,26736.6,2.291603812,0.13311,0.26621
halibut,1952,26617.3,2.281378566,0.14005,0.280106
halibut,1953,26496.4,2.271016182,0.12255,0.2451
halibut,1954,26412.6,2.263833653,0.14152,0.28304
halibut,1955,26305.5,2.254654073,0.16458,0.329164
halibut,1956,26166.9,2.242774616,0.21272,0.425442
halibut,1957,25950.1,2.224192608,0.24148,0.482958
halibut,1958,25687.6,2.201693637,0.21293,0.42585
halibut,1959,25488.5,2.184628703,0.18529,0.370584
halibut,1960,25347.3,2.172526399,0.21906,0.438126
halibut,1961,25155.4,2.156078579,0.20844,0.416884
halibut,1962,24992.2,2.142090647,0.22231,0.44462
halibut,1963,24813.6,2.126782776,0.2338,0.467606
halibut,1964,24624,2.11053209,0.17934,0.35867
halibut,1965,24538.2,2.10317814,0.29237,0.584748
halibut,1966,24254.6,2.07887068,0.87584,1.751674
halibut,1967,20448.6,1.752657021,0.84514,1.690278
halibut,1968,17758.5,1.522087562,0.82055,1.641096
halibut,1969,15734.3,1.348592636,0.28141,0.562824
halibut,1970,15710.5,1.346552729,0.32498,0.649962
halibut,1971,15686.1,1.344461396,0.42245,0.844906
halibut,1972,15562.6,1.333876166,0.46258,0.925152
halibut,1973,15412.6,1.321019611,0.54844,1.09688
halibut,1974,15113.7,1.295400782,0.52324,1.046474
halibut,1975,14907.8,1.277753017,0.43866,0.877324
halibut,1976,14892.1,1.276407364,0.47514,0.95028
halibut,1977,14822.9,1.270476207,0.27268,0.54536
halibut,1978,15072.5,1.291869515,0.35335,0.706698
halibut,1979,15222.8,1.304751783,0.50598,1.011952
halibut,1980,15105.5,1.294697957,0.44526,0.890522
halibut,1981,15116.8,1.295666484,0.55896,1.11792
halibut,1982,14887.6,1.276021668,0.64794,1.295882
halibut,1983,14374.1,1.232009394,0.6547,1.309392
halibut,1984,13800.5,1.182845927,0.71027,1.420536
halibut,1985,13048.6,1.118400302,0.79779,1.595578
halibut,1986,12019,1.030152907,0.71663,1.433262
halibut,1987,11602,0.994411684,0.87691,1.753824
halibut,1988,10296.4,0.882508228,0.82751,1.655026
halibut,1989,9492.7,0.813622806,0.79316,1.586322
halibut,1990,8836.37,0.75736852,0.87169,1.743384
halibut,1991,7694.64,0.659510422,0.83805,1.67609
halibut,1992,6848.3,0.58697031,0.72038,1.440766
halibut,1993,6460.68,0.553747257,0.85869,1.717388
halibut,1994,5734.83,0.491534387,0.80827,1.61653
halibut,1995,5345.23,0.458141628,0.8038,1.60759
halibut,1996,5002.25,0.428744686,0.81252,1.625032
halibut,1997,4630.15,0.396851858,0.85359,1.707176
halibut,1998,4137.72,0.354645502,0.89842,1.796844
halibut,1999,3506.31,0.300527119,0.71386,1.42771
halibut,2000,3353.75,0.287451145,0.72017,1.440332
halibut,2001,3261.53,0.279546935,0.58584,1.171682
halibut,2002,3383.17,0.289972744,0.55122,1.102436
halibut,2003,3609.7,0.309388714,0.44086,0.881728
halibut,2004,3946.65,0.338268822,0.45593,0.911866
halibut,2005,4362.89,0.373944905,0.24805,0.4961
halibut,2006,5057.64,0.433492183,0.33772,0.67543
halibut,2007,5910.63,0.50660227,0.3911,0.782198
halibut,2008,6766.18,0.579931775,0.32339,0.646778
halibut,2009,7568.02,0.648657776,0.35707,0.714146
halibut,2010,8231.42,0.705518033,0.37099,0.741988
halibut,2011,8807.95,0.754932632,,
dungeness crab,1876,26278.1,4.000015222,0.000233535,0.000333621
dungeness crab,1877,26277.5,3.999923891,0.000233541,0.00033363
dungeness crab,1878,26276.8,3.999817338,0.000233546,0.000333637
dungeness crab,1879,26276.3,3.999741228,0.000233551,0.000333644
dungeness crab,1880,26275.7,3.999649897,0.00269231,0.003846157
dungeness crab,1881,26268.3,3.99852348,0.00514291,0.007347014
dungeness crab,1882,26254.5,3.996422863,0.00758711,0.010838729
dungeness crab,1883,26234.5,3.993378492,0.0100264,0.014323429
dungeness crab,1884,26209.1,3.989512139,0.0124622,0.017803143
dungeness crab,1885,26178.8,3.984899916,0.0148955,0.021279286
dungeness crab,1886,26143.9,3.979587488,0.0173272,0.024753143
dungeness crab,1887,26105.1,3.973681406,0.0197581,0.028225857
dungeness crab,1888,26062.8,3.96724256,0.0221888,0.031698286
dungeness crab,1889,26017.4,3.960331837,0.0246198,0.035171143
dungeness crab,1890,25969.2,3.952994901,0.0270515,0.038645
dungeness crab,1891,25918.6,3.94529264,0.0294842,0.042120286
dungeness crab,1892,25865.8,3.937255499,0.0319181,0.045597286
dungeness crab,1893,25811.2,3.928944364,0.0343557,0.049079571
dungeness crab,1894,25755,3.92038968,0.0367927,0.052561
dungeness crab,1895,25697.3,3.911606667,0.0392314,0.056044857
dungeness crab,1896,25638.4,3.902640992,0.041672,0.059531429
dungeness crab,1897,25578.3,3.893492655,0.0441145,0.063020714
dungeness crab,1898,25517.3,3.884207322,0.0465589,0.066512714
dungeness crab,1899,25455.4,3.874784991,0.0490053,0.070007571
dungeness crab,1900,25392.8,3.865256108,0.0514537,0.073505286
dungeness crab,1901,25329.5,3.855620671,0.0539042,0.077006
dungeness crab,1902,25265.7,3.845909126,0.0563568,0.080509714
dungeness crab,1903,25201.3,3.836106249,0.0588114,0.084016286
dungeness crab,1904,25136.5,3.826242484,0.0612681,0.087525857
dungeness crab,1905,25071.2,3.816302611,0.0637268,0.091038286
dungeness crab,1906,25005.6,3.806317071,0.0661877,0.094553857
dungeness crab,1907,24939.7,3.796285867,0.0686506,0.098072286
dungeness crab,1908,24873.5,3.786208996,0.0711156,0.101593714
dungeness crab,1909,24807.1,3.776101682,0.0735827,0.105118143
dungeness crab,1910,24740.4,3.765948702,0.0762585,0.108940714
dungeness crab,1911,24672.8,3.755658726,0.0787312,0.112473143
dungeness crab,1912,24605.1,3.745353528,0.0812059,0.116008429
dungeness crab,1913,24537.3,3.735033108,0.0836826,0.119546571
dungeness crab,1914,24469.4,3.724697466,0.0861613,0.123087571
dungeness crab,1915,24401.4,3.714346602,0.0886421,0.126631571
dungeness crab,1916,24333.3,3.703980516,0.0900601,0.128657286
dungeness crab,1917,24268.3,3.694086308,0.119744,0.171062857
dungeness crab,1918,24118.6,3.671299186,0.0988206,0.141172286
dungeness crab,1919,24047,3.660400335,0.0793165,0.113309286
dungeness crab,1920,24042.5,3.659715351,0.0559848,0.079978286
dungeness crab,1921,24109.8,3.669959662,0.0702347,0.100335286
dungeness crab,1922,24135.1,3.673810792,0.0988813,0.141259
dungeness crab,1923,24074.4,3.664571124,0.0996516,0.142359429
dungeness crab,1924,24014.9,3.655514118,0.122052,0.17436
dungeness crab,1925,23890.4,3.636562904,0.121689,0.173841429
dungeness crab,1926,23776.8,3.619270873,0.120762,0.172517143
dungeness crab,1927,23676.7,3.604033793,0.143814,0.205448571
dungeness crab,1928,23514,3.579267829,0.142218,0.203168571
dungeness crab,1929,23371.8,3.557622346,0.160528,0.229325714
dungeness crab,1930,23185.1,3.529203136,0.151735,0.216764286
dungeness crab,1931,23046.3,3.508075196,0.152768,0.21824
dungeness crab,1932,22913.1,3.48779968,0.174279,0.24897
dungeness crab,1933,22713,3.457340741,0.177378,0.253397143
dungeness crab,1934,22514.2,3.427079686,0.302407,0.43201
dungeness crab,1935,21846.6,3.325458558,0.303832,0.434045714
dungeness crab,1936,21242.5,3.233503311,0.26141,0.373442857
dungeness crab,1937,20878.1,3.178034858,0.345118,0.493025714
dungeness crab,1938,20197.4,3.074419667,0.383433,0.547761429
dungeness crab,1939,19415.6,2.955415176,0.419677,0.599538571
dungeness crab,1940,18560.1,2.825192176,0.432108,0.617297143
dungeness crab,1941,17755.3,2.702686658,0.41516,0.593085714
dungeness crab,1942,17175.5,2.614430322,0.538626,0.769465714
dungeness crab,1943,15911.5,2.422026029,0.575114,0.821591429
dungeness crab,1944,14714.6,2.239835604,0.529736,0.756765714
dungeness crab,1945,14242.1,2.167912322,0.516366,0.737665714
dungeness crab,1946,14023.1,2.134576452,0.637819,0.91117
dungeness crab,1947,12955.1,1.972007002,0.605994,0.865705714
dungeness crab,1948,12254.4,1.865347439,0.702755,1.003935714
dungeness crab,1949,10739.4,1.634736281,0.718098,1.025854286
dungeness crab,1950,9411.54,1.43261131,0.769356,1.09908
dungeness crab,1951,7856.18,1.19585661,0.715777,1.022538571
dungeness crab,1952,7343.97,1.117888728,0.714435,1.020621429
dungeness crab,1953,7030.41,1.070159068,0.676974,0.967105714
dungeness crab,1954,7048.1,1.072851815,0.736284,1.051834286
dungeness crab,1955,6655.78,1.01313342,0.74553,1.065042857
dungeness crab,1956,6227.03,0.947869701,0.702294,1.003277143
dungeness crab,1957,6150.37,0.936200624,0.759299,1.084712857
dungeness crab,1958,5759.6,0.876718167,0.734648,1.049497143
dungeness crab,1959,5659.62,0.861499353,0.745409,1.06487
dungeness crab,1960,5509.08,0.838584367,0.758223,1.083175714
dungeness crab,1961,5346.98,0.813909734,0.80263,1.146614286
