park,year,count,park_name,rgn_area,tot_area,rgn_id
Gowlland Tod Park,2010,29371,gowllandtodpark,12813203.4213595,12813203.4213595,6
"Hakai
Conservation Study Area",2010,NA,hakaiconservationstudyarea,5451687.40582871,5451687.40582871,3
Helliwell Park,2010,52931,helliwellpark,28130888.1118606,28130888.1118606,6
Hemer Park,2010,18869,hemerpark,1096755.89778773,1096755.89778773,6
"Horne Lake
Caves Park",2010,12128,hornelakecavespark,1577716.23052645,1577716.23052645,6
Inland Lake Park,2010,28375,inlandlakepark,26757193.3870752,27579100.4506013,6
Jedediah Island Marine Park,2010,6301,jedediahislandmarinepark,6035110.00549902,6035110.00549902,6
John Dean Park,2010,35683,johndeanpark,1749675.38587125,1749675.38587125,6
Juan De Fuca Park,2010,354660,juandefucapark,15820956.9684626,15820956.9684626,5
"Kennedy Lake
Park",2010,39382,kennedylakepark,2406077.82736557,2406077.82736557,5
Kitimat River Park,2010,1845,kitimatriverpark,568884.30007429,568884.30007429,1
Koksilah River Park,2010,NA,koksilahriverpark,1944564.64185608,2076297.83237753,6
Little Qualicum Falls Park,2010,253825,littlequalicumfallspark,4638961.73067469,4638961.73067469,6
Loveland Bay Park,2010,11270,lovelandbaypark,272176.704810947,272176.704810947,4
Macmillan Park,2010,445785,macmillanpark,3022182.33007833,3022182.33007833,6
Mansons Landing Park,2010,20785,mansonslandingpark,1036858.76313306,1036858.76313306,6
Maquinna Marine Park,2010,27752,maquinnamarinepark,25599798.0275614,25599798.0275614,5
"Maquinna
Protected Area",2010,NA,maquinnaprotectedarea,525994.751815572,525994.751815572,5
Miracle Beach Park,2010,114142,miraclebeachpark,1363860.80401495,1363860.80401495,6
"Mitlenatch Island
Nature Park",2010,NA,mitlenatchislandnaturepark,1617187.23268115,1617187.23268115,6
Montague Harbour Marine Park,2010,115734,montagueharbourmarinepark,1019777.08416331,1019777.08416331,6
Morton Lake Park,2010,12543,mortonlakepark,738071.955651232,738071.955651232,4
Mount Maxwell Park,2010,42749,mountmaxwellpark,2341397.02538607,2341397.02538607,6
Mount Seymour Park,2010,696520,mountseymourpark,35517411.229745,35517411.229745,6
Murrin Park,2010,113684,murrinpark,313301.432637416,313301.432637416,6
Naikoon Park,2010,146711,naikoonpark,690122986.068831,690122986.068831,2
Newcastle Island Marine Park,2010,45999,newcastleislandmarinepark,3635987.60027038,3635987.60027038,6
Peace Arch Park,2010,107506,peacearchpark,68861.3531157505,68861.3531157505,6
Petroglyph Park,2010,42504,petroglyphpark,17048.5362713262,17048.5362713262,6
Pirates Cove Marine Park,2010,8851,piratescovemarinepark,316701.526521343,316701.526521343,6
Plumper Cove Marine Park,2010,10561,plumpercovemarinepark,656410.725061331,656410.725061331,6
Porpoise Bay Park,2010,128380,porpoisebaypark,589939.280725068,589939.280725068,6
Porteau Cove Park,2010,405395,porteaucovepark,579658.066692783,579658.066692783,6
Princess Louisa Marine Park,2010,13439,princesslouisamarinepark,9684911.81134113,9684911.81134113,6
Prudhomme Lake Park,2010,29444,prudhommelakepark,91329.5589935469,91329.5589935469,1
Pure Lake Park,2010,31476,purelakepark,1418116.20159778,1418116.20159778,2
Raft Cove Park,2010,NA,raftcovepark,7868998.0818119,7868998.0818119,4
Rathtrevor Beach Park,2010,476496,rathtrevorbeachpark,3491404.33031584,3491404.33031584,6
Roberts Creek Park,2010,49891,robertscreekpark,396384.83589731,396384.83589731,6
Roberts Memorial Park,2010,30790,robertsmemorialpark,139280.474251091,139280.474251091,6
Rosewall Creek Park,2010,32802,rosewallcreekpark,655199.186368803,655199.186368803,6
Ruckle Park,2010,120117,rucklepark,5336719.37112203,5336719.37112203,6
Saltery Bay Park,2010,57819,salterybaypark,594255.465218217,594255.465218217,6
Sandwell Park,2010,5390,sandwellpark,169919.098354179,169919.098354179,6
Sargeant Bay Park,2010,55066,sargeantbaypark,1461532.64195496,1461532.64195496,6
Shannon Falls Park,2010,199563,shannonfallspark,906214.392914996,906214.392914996,6
Skookumchuck Narrows Park,2010,23167,skookumchucknarrowspark,1411125.70403188,1411125.70403188,6
Smelt Bay Park,2010,12109,smeltbaypark,204384.91739187,204384.91739187,6
Smuggler Cove Marine Park,2010,12821,smugglercovemarinepark,1846004.54767561,1846004.54767561,6
Sooke Potholes Park,2010,137613,sookepotholespark,62601.4624335589,62601.4624335589,5
Spider Lake Park,2010,52668,spiderlakepark,577856.882190879,577856.882190879,6
Sproat Lake Park,2010,191952,sproatlakepark,402649.303968133,402649.303968133,5
Squitty Bay Park,2010,3485,squittybaypark,493366.068009589,493366.068009589,6
Stamp River Park,2010,60827,stampriverpark,2860236.67330243,3463816.02731671,5
"Stawamus Chief
Park",2010,203663,stawamuschiefpark,5304401.62011077,5304401.62011077,6
Strathcona Park,2010,124290,strathconapark,674290915.880177,2486682018.63985,5
Tantalus Park,2010,NA,tantaluspark,47549360.3042622,114253130.397342,6
Taylor Arm Park,2010,31980,taylorarmpark,150781.209891367,727883.754009974,5
Tetrahedron Park,2010,1967,tetrahedronpark,60535446.3291914,60535446.3291914,6
Thurston Bay Marine Park,2010,NA,thurstonbaymarinepark,5259235.61191285,5259235.61191285,4
Tribune Bay Park,2010,55475,tribunebaypark,948749.141236842,948749.141236842,6
Wakes Cove Park,2010,560,wakescovepark,2042610.62744109,2042610.62744109,6
Wallace Island Marine Park,2010,7830,wallaceislandmarinepark,886652.154194804,886652.154194804,6
Weewanie Hot Springs Park,2010,4505,weewaniehotspringspark,353531.879106369,353531.879106369,1
West Shawnigan Lake Park,2010,18431,westshawniganlakepark,96571.3611274377,96571.3611274377,6
"Broughton Archipelago
Marine Park",2011,NA,broughtonarchipelagomarinepark,119702311.758879,119702311.758879,4
Diana Lake Park,2011,8652,dianalakepark,2523626.82540361,2523626.82540361,1
"Kitimat River
Park",2011,1386,kitimatriverpark,568884.30007429,568884.30007429,1
Mount Seymour Park,2011,791576,mountseymourpark,35517411.229745,35517411.229745,6
