name,desig,code,class,tot_area,rgn_name,rgn_id,rgn_code,rgn_area
LEPAS BAY ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,15067.6682674536,Haida Gwaii,2,HG,15067.6682674536
NAIKOON PARK,PROVINCIAL PARK,PP,Class A,690122986.068831,Haida Gwaii,2,HG,690122986.068831
PURE LAKE PARK,PROVINCIAL PARK,PP,Class A,1418116.20159778,Haida Gwaii,2,HG,1418116.20159778
VLADIMIR J.KRAJINA(PORT CHANAL) ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,91768789.1789064,Haida Gwaii,2,HG,91768789.1789064
CODVILLE LAGOON MARINE PARK,PROVINCIAL PARK,PP,Class A,8674421.72269401,Central Coast,3,CC,8674421.72269401
JACKSON NARROWS MARINE PARK,PROVINCIAL PARK,PP,Class A,671183.950250998,Central Coast,3,CC,671183.950250998
SIR ALEXANDER MACKENZIE PARK,PROVINCIAL PARK,PP,Class A,54450.6740949675,Central Coast,3,CC,54450.6740949675
OLIVER COVE MARINE PARK,PROVINCIAL PARK,PP,Class A,616655.023141325,Central Coast,3,CC,616655.023141325
GREEN INLET MARINE PARK,PROVINCIAL PARK,PP,Class A,353774.304313235,Central Coast,3,CC,353774.304313235
PENROSE ISLAND MARINE PARK,PROVINCIAL PARK,PP,Class A,20258170.5234342,Central Coast,3,CC,20258170.5234342
ANNE VALLEE (TRIANGLE ISLAND) ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,9803932.55674445,Central Coast,3,CC,9803932.55674445
HAKAI CONSERVATION STUDY AREA,PROTECTED AREA,PA,NA,5451687.40582871,Central Coast,3,CC,5451687.40582871
MAIN LAKE PARK,PROVINCIAL PARK,PP,Class A,35307082.2291134,North Vancouver Island,4,NV,35307082.2291134
SMALL INLET MARINE PARK,PROVINCIAL PARK,PP,Class A,8798384.72690356,North Vancouver Island,4,NV,8798384.72690356
OCTOPUS ISLANDS MARINE PARK,PROVINCIAL PARK,PP,Class A,8622382.68495486,North Vancouver Island,4,NV,8622382.68495486
ELK FALLS PARK,PROVINCIAL PARK,PP,Class A,10548582.3736823,North Vancouver Island,4,NV,10548582.3736823
RAFT COVE PARK,PROVINCIAL PARK,PP,Class A,7868998.0818119,North Vancouver Island,4,NV,7868998.0818119
BROUGHTON ARCHIPELAGO MARINE PARK,PROVINCIAL PARK,PP,Class A,119702311.758879,North Vancouver Island,4,NV,119702311.758879
LOWER NIMPKISH PARK,PROVINCIAL PARK,PP,Class A,2380576.71676304,North Vancouver Island,4,NV,2380576.71676304
MARBLE RIVER PARK,PROVINCIAL PARK,PP,Class A,14272401.5254949,North Vancouver Island,4,NV,14272401.5254949
ALLISON HARBOUR MARINE PARK,PROVINCIAL PARK,PP,NA,1315460.84749404,North Vancouver Island,4,NV,1315460.84749404
DUKE OF EDINBURGH ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,5072178.621226,North Vancouver Island,4,NV,5072178.621226
SURGE NARROWS PARK,PROVINCIAL PARK,PP,Class A,5153643.57703032,North Vancouver Island,4,NV,5153643.57703032
SARTINE ISLAND ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,10919696.4862059,North Vancouver Island,4,NV,10919696.4862059
KINGCOME RIVER/ATLATZI RIVER ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,4260899.85598648,North Vancouver Island,4,NV,3584630.02761304
MISTY LAKE ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,740451.117377197,North Vancouver Island,4,NV,740451.117377197
SMALL INLET PROTECTED AREA,PROTECTED AREA,PA,NA,1612329.68110495,North Vancouver Island,4,NV,1612329.68110495
HOMATHKO ESTUARY PARK,PROVINCIAL PARK,PP,Class A,4559872.91745019,North Vancouver Island,4,NV,4559872.91745019
LANZ AND COX ISLAND PARK,PROVINCIAL PARK,PP,Class A,55613426.5643456,North Vancouver Island,4,NV,55613426.5643456
WOSS LAKE PARK,PROVINCIAL PARK,PP,Class A,65267741.9953818,North Vancouver Island,4,NV,31594227.6709553
ELK FALLS PROTECTED AREA,PROTECTED AREA,PA,NA,156994.524293542,North Vancouver Island,4,NV,156994.524293542
CAPE SCOTT PARK,PROVINCIAL PARK,PP,Class A,223096246.553779,North Vancouver Island,4,NV,223096246.553779
LOWER TSITIKA RIVER PARK,PROVINCIAL PARK,PP,Class A,36090719.5933323,North Vancouver Island,4,NV,36090719.5933323
ROBSON BIGHT (MICHAEL BIGG) ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,18428340.0157734,North Vancouver Island,4,NV,18428340.0157734
THURSTON BAY MARINE PARK,PROVINCIAL PARK,PP,Class A,5259235.61191285,North Vancouver Island,4,NV,5259235.61191285
ROCK BAY MARINE PARK,PROVINCIAL PARK,PP,Class A,4820758.07695965,North Vancouver Island,4,NV,4820758.07695965
GOD'S POCKET MARINE PARK,PROVINCIAL PARK,PP,Class A,20371657.9031716,North Vancouver Island,4,NV,20371657.9031716
READ ISLAND PARK,PROVINCIAL PARK,PP,Class A,6383536.8133941,North Vancouver Island,4,NV,6383536.8133941
LOVELAND BAY PARK,PROVINCIAL PARK,PP,Class A,272176.704810947,North Vancouver Island,4,NV,272176.704810947
KLASKISH RIVER ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,1607970.9883569,North Vancouver Island,4,NV,1607970.9883569
BROOKS PENINSULA PARK (MUQQIWN),PROVINCIAL PARK,PP,Class A,398715888.20695,North Vancouver Island,4,NV,65428870.5780462
REBECCA SPIT MARINE PARK,PROVINCIAL PARK,PP,Class A,1671022.67064077,North Vancouver Island,4,NV,1671022.67064077
QUATSINO PARK,PROVINCIAL PARK,PP,Class A,6399848.09214647,North Vancouver Island,4,NV,6399848.09214647
CORMORANT CHANNEL MARINE PARK,PROVINCIAL PARK,PP,Class A,7750240.95407332,North Vancouver Island,4,NV,7750240.95407332
RENDEZVOUS ISLAND SOUTH PARK,PROVINCIAL PARK,PP,Class A,1637895.25552302,North Vancouver Island,4,NV,1637895.25552302
ECHO BAY MARINE PARK,PROVINCIAL PARK,PP,Class A,17753.1236102991,North Vancouver Island,4,NV,17753.1236102991
MOUNT DERBY ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,5927312.56223923,North Vancouver Island,4,NV,5927312.56223923
BERESFORD ISLAND ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,4259333.75325745,North Vancouver Island,4,NV,4259333.75325745
TSITIKA MOUNTAIN ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,5975667.19885387,North Vancouver Island,4,NV,5975667.19885387
LAWN POINT PARK,PROVINCIAL PARK,PP,Class A,5941549.54847972,North Vancouver Island,4,NV,5941549.54847972
MORTON LAKE PARK,PROVINCIAL PARK,PP,Class A,738071.955651232,North Vancouver Island,4,NV,738071.955651232
TAHSISH KWOIS PARK,PROVINCIAL PARK,PP,Class A,109927875.783508,North Vancouver Island,4,NV,495270.054025546
SOLANDER ISLAND ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,102651.176708877,North Vancouver Island,4,NV,102651.176708877
BYERS/CONROY/HARVEY/SINNETT ISLANDS ECOLOGICAL RES,ECOLOGICAL RESERVE,OI,NA,119321284.017454,Aristazabal Island,8,AZ,119321284.017454
MOORE/MCKENNY/WHITMORE ISLANDS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,2060361.73357724,Aristazabal Island,8,AZ,1869249.69974508
DISCOVERY ISLAND MARINE PARK,PROVINCIAL PARK,PP,Class A,675210.475771731,West Vancouver Island,5,WV,675210.475771731
JUAN DE FUCA PARK,PROVINCIAL PARK,PP,Class A,15820956.9684626,West Vancouver Island,5,WV,15820956.9684626
KENNEDY RIVER BOG PARK,PROVINCIAL PARK,PP,Class A,359820.858488299,West Vancouver Island,5,WV,359820.858488299
BAERIA ROCKS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,1400695.96130487,West Vancouver Island,5,WV,1400695.96130487
BLIGH ISLAND PARK,PROVINCIAL PARK,PP,Class A,46799393.3944099,West Vancouver Island,5,WV,46799393.3944099
STAMP RIVER PARK,PROVINCIAL PARK,PP,Class A,3463816.02731671,West Vancouver Island,5,WV,2860236.67330243
OAK BAY ISLANDS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,2321235.55407001,West Vancouver Island,5,WV,2321235.55407001
CLANNINICK CREEK ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,596277.136490743,West Vancouver Island,5,WV,596277.136490743
MAQUINNA PROTECTED AREA,PROTECTED AREA,PA,NA,525994.751815572,West Vancouver Island,5,WV,525994.751815572
TRIAL ISLANDS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,79123.1377092711,West Vancouver Island,5,WV,79123.1377092711
MEGIN RIVER ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,534300.750665541,West Vancouver Island,5,WV,534300.750665541
SULPHUR PASSAGE PARK,PROVINCIAL PARK,PP,Class A,22326641.8776078,West Vancouver Island,5,WV,22326641.8776078
STRATHCONA PARK,PROVINCIAL PARK,PP,Class A,2486682018.63985,West Vancouver Island,5,WV,674290915.880177
WHITE RIDGE PARK,PROVINCIAL PARK,PP,Class A,13805897.8893452,West Vancouver Island,5,WV,8954876.5064795
MAQUINNA MARINE PARK,PROVINCIAL PARK,PP,Class A,25599798.0275614,West Vancouver Island,5,WV,25599798.0275614
CARMANAH WALBRAN PARK,PROVINCIAL PARK,PP,Class A,163644831.26361,West Vancouver Island,5,WV,153353240.246816
SYDNEY INLET PARK,PROVINCIAL PARK,PP,Class A,27091127.7324715,West Vancouver Island,5,WV,27091127.7324715
FLORES ISLAND PARK,PROVINCIAL PARK,PP,Class A,69064560.7882986,West Vancouver Island,5,WV,69064560.7882986
SOOKE POTHOLES PARK,PROVINCIAL PARK,PP,Class A,62601.4624335589,West Vancouver Island,5,WV,62601.4624335589
SANTA GERTRUDIS BOCA DEL INFIERNO PARK,PROVINCIAL PARK,PP,Class A,4412497.87346287,West Vancouver Island,5,WV,4412497.87346287
TAHSISH RIVER ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,869150.646042198,West Vancouver Island,5,WV,869150.646042198
WOSS LAKE PARK,PROVINCIAL PARK,PP,Class A,65267741.9953818,West Vancouver Island,5,WV,387578.808498294
SOOKE MOUNTAIN PARK,PROVINCIAL PARK,PP,Class B,4511154.31706563,West Vancouver Island,5,WV,4511154.31706563
BIG BUNSBY MARINE PARK,PROVINCIAL PARK,PP,Class A,6193190.12811768,West Vancouver Island,5,WV,6193190.12811768
CLELAND ISLAND ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,70528.181639622,West Vancouver Island,5,WV,70528.181639622
VARGAS ISLAND PARK,PROVINCIAL PARK,PP,Class A,58041628.6893113,West Vancouver Island,5,WV,58041628.6893113
WEYMER CREEK PARK,PROVINCIAL PARK,PP,Class A,3046648.08808719,West Vancouver Island,5,WV,3046648.08808719
TRANQUIL CREEK PARK,PROVINCIAL PARK,PP,Class A,2976111.69246172,West Vancouver Island,5,WV,2976111.69246172
RACE ROCKS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,2273038.21331658,West Vancouver Island,5,WV,2273038.21331658
THUNDERBIRD'S NEST (T'iitsk'in Paawats),PROTECTED AREA,PA,NA,23378735.0704553,West Vancouver Island,5,WV,23378735.0704553
HESQUIAT PENINSULA PARK,PROVINCIAL PARK,PP,Class A,77904486.0676403,West Vancouver Island,5,WV,77904486.0676403
CLAYOQUOT ARM PARK,PROVINCIAL PARK,PP,Class A,35558850.7667489,West Vancouver Island,5,WV,35558850.7667489
SPROAT LAKE PARK,PROVINCIAL PARK,PP,Class A,402649.303968133,West Vancouver Island,5,WV,402649.303968133
FOSSLI PARK,PROVINCIAL PARK,PP,Class A,524113.605730653,West Vancouver Island,5,WV,524113.605730653
RUGGED POINT MARINE PARK,PROVINCIAL PARK,PP,Class A,3492064.94819906,West Vancouver Island,5,WV,3492064.94819906
CLAYOQUOT PLATEAU PARK,PROVINCIAL PARK,PP,Class A,31315860.149504,West Vancouver Island,5,WV,28384306.5839855
BROOKS PENINSULA PARK (MUQQIWN),PROVINCIAL PARK,PP,Class A,398715888.20695,West Vancouver Island,5,WV,333287017.628852
TEN MILE POINT ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,151701.487721361,West Vancouver Island,5,WV,151701.487721361
DIXIE COVE MARINE PARK,PROVINCIAL PARK,PP,Class A,1635692.87674353,West Vancouver Island,5,WV,1635692.87674353
KENNEDY LAKE PARK,PROVINCIAL PARK,PP,Class A,2406077.82736557,West Vancouver Island,5,WV,2406077.82736557
DAWLEY PASSAGE PARK,PROVINCIAL PARK,PP,Class A,1576042.51883068,West Vancouver Island,5,WV,1576042.51883068
FRENCH BEACH PARK,PROVINCIAL PARK,PP,Class A,545719.2749293,West Vancouver Island,5,WV,545719.2749293
CATALA ISLAND MARINE PARK,PROVINCIAL PARK,PP,Class A,9554266.83375764,West Vancouver Island,5,WV,9554266.83375764
SAN JUAN RIDGE ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,963526.468994159,West Vancouver Island,5,WV,963526.468994159
SAN JUAN RIVER ESTUARY ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,1443839.6453931,West Vancouver Island,5,WV,1443839.6453931
NITINAT LAKE ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,773195.693574689,West Vancouver Island,5,WV,773195.693574689
HESQUIAT LAKE PARK,PROVINCIAL PARK,PP,Class A,573900.032036662,West Vancouver Island,5,WV,573900.032036662
EPPER PASSAGE PARK,PROVINCIAL PARK,PP,Class A,3280801.17167437,West Vancouver Island,5,WV,3280801.17167437
ARTLISH CAVES PARK,PROVINCIAL PARK,PP,Class A,2811773.00567475,West Vancouver Island,5,WV,2811773.00567475
GIBSON MARINE PARK,PROVINCIAL PARK,PP,Class A,1426743.13634381,West Vancouver Island,5,WV,1426743.13634381
NUCHATLITZ PARK,PROVINCIAL PARK,PP,Class A,21048784.9057055,West Vancouver Island,5,WV,21048784.9057055
TAYLOR ARM PARK,PROVINCIAL PARK,PP,Class A,727883.754009974,West Vancouver Island,5,WV,150781.209891367
CHECLESET BAY ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,333784902.399075,West Vancouver Island,5,WV,333784902.399075
POWER RIVER WATERSHED PROTECTED AREA,PROTECTED AREA,PA,NA,16808295.9476454,West Vancouver Island,5,WV,16808295.9476454
TAHSISH KWOIS PARK,PROVINCIAL PARK,PP,Class A,109927875.783508,West Vancouver Island,5,WV,109432605.729486
KLANAWA RIVER ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,988219.626103567,West Vancouver Island,5,WV,988219.626103567
HITCHIE CREEK PARK,PROVINCIAL PARK,PP,Class A,2379124.18566988,West Vancouver Island,5,WV,357749.123440899
PITT POLDER ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,999982.390320674,Strait of Georgia,6,SG,554262.037904978
PORTEAU COVE PARK,PROVINCIAL PARK,PP,Class A,579658.066692783,Strait of Georgia,6,SG,579658.066692783
ENGLISHMAN RIVER FALLS PARK,PROVINCIAL PARK,PP,Class A,971149.286096643,Strait of Georgia,6,SG,971149.286096643
BURGOYNE BAY PARK,PROVINCIAL PARK,PP,NA,5012461.52449696,Strait of Georgia,6,SG,5012461.52449696
MOUNT ERSKINE PARK,PROVINCIAL PARK,PP,Class A,1076215.96563911,Strait of Georgia,6,SG,1076215.96563911
GERALD ISLAND PARK,PROVINCIAL PARK,PP,NA,119766.949203026,Strait of Georgia,6,SG,119766.949203026
ROSEWALL CREEK PARK,PROVINCIAL PARK,PP,Class A,655199.186368803,Strait of Georgia,6,SG,655199.186368803
BODEGA RIDGE PARK,PROVINCIAL PARK,PP,Class A,3967202.23623831,Strait of Georgia,6,SG,3967202.23623831
DESOLATION SOUND MARINE PARK,PROVINCIAL PARK,PP,Class A,81397917.118145,Strait of Georgia,6,SG,81397917.118145
APODACA PARK,PROVINCIAL PARK,PP,Class A,116093.514512463,Strait of Georgia,6,SG,116093.514512463
SANDWELL PARK,PROVINCIAL PARK,PP,Class A,169919.098354179,Strait of Georgia,6,SG,169919.098354179
SPIDER LAKE PARK,PROVINCIAL PARK,PP,Class A,577856.882190879,Strait of Georgia,6,SG,577856.882190879
TANTALUS PARK,PROVINCIAL PARK,PP,Class A,114253130.397342,Strait of Georgia,6,SG,47549360.3042622
YELLOWPOINT BOG ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,1375185.39978313,Strait of Georgia,6,SG,1375185.39978313
BOWSER ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,1130848.08985708,Strait of Georgia,6,SG,1130848.08985708
TEAKERNE ARM PARK,PROVINCIAL PARK,PP,Class A,1378251.60697746,Strait of Georgia,6,SG,1378251.60697746
AMBROSE LAKE ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,2947235.37527135,Strait of Georgia,6,SG,2947235.37527135
CANOE ISLETS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,10251.742379941,Strait of Georgia,6,SG,10251.742379941
PINECONE BURKE PARK,PROVINCIAL PARK,PP,Class A,372030774.756606,Strait of Georgia,6,SG,130280480.966819
WOODLEY RANGE ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,1587737.8751152,Strait of Georgia,6,SG,1587737.8751152
MALASPINA PARK,PROVINCIAL PARK,PP,Class A,5755550.24729528,Strait of Georgia,6,SG,5755550.24729528
EVES PARK,PROVINCIAL PARK,PP,Class C,192217.491551967,Strait of Georgia,6,SG,192217.491551967
PEACE ARCH PARK,PROVINCIAL PARK,PP,Class A,68861.3531157505,Strait of Georgia,6,SG,68861.3531157505
GALIANO ISLAND ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,254246.81802845,Strait of Georgia,6,SG,254246.81802845
SATELLITE CHANNEL ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,3401912.45094498,Strait of Georgia,6,SG,3401912.45094498
TETRAHEDRON PARK,PROVINCIAL PARK,PP,Class A,60535446.3291914,Strait of Georgia,6,SG,60535446.3291914
BOWEN ISLAND ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,3996080.55598763,Strait of Georgia,6,SG,3996080.55598763
COWICHAN RIVER PARK,PROVINCIAL PARK,PP,Class A,14045234.7121445,Strait of Georgia,6,SG,2381283.37258452
WHALEBOAT ISLAND MARINE PARK,PROVINCIAL PARK,PP,Class A,105160.571800947,Strait of Georgia,6,SG,105160.571800947
MOUNT TZUHALEM ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,182364.521914563,Strait of Georgia,6,SG,182364.521914563
JOHN DEAN PARK,PROVINCIAL PARK,PP,Class A,1749675.38587125,Strait of Georgia,6,SG,1749675.38587125
MOUNT MAXWELL PARK,PROVINCIAL PARK,PP,Class A,2341397.02538607,Strait of Georgia,6,SG,2341397.02538607
LASQUETI ISLAND ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,2105397.32243948,Strait of Georgia,6,SG,2105397.32243948
COMOX LAKE BLUFFS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,437351.328089309,Strait of Georgia,6,SG,437351.328089309
HARDY ISLAND MARINE PARK,PROVINCIAL PARK,PP,Class A,140635.888345532,Strait of Georgia,6,SG,140635.888345532
WEST SHAWNIGAN LAKE PARK,PROVINCIAL PARK,PP,Class A,96571.3611274377,Strait of Georgia,6,SG,96571.3611274377
SECHELT INLETS MARINE PARK - HALFWAY BEACH SITE,PROVINCIAL PARK,PP,Class A,36510.3503790665,Strait of Georgia,6,SG,36510.3503790665
SECHELT INLETS MARINE PARK - KUNECHIN POINT SITE,PROVINCIAL PARK,PP,Class A,444312.394776923,Strait of Georgia,6,SG,444312.394776923
SECHELT INLETS MARINE PARK - PIPER POINT SITE,PROVINCIAL PARK,PP,Class A,54827.3649532299,Strait of Georgia,6,SG,54827.3649532299
SECHELT INLETS MARINE PARK - SKAIAKOS POINT SITE,PROVINCIAL PARK,PP,Class A,5488.92141790502,Strait of Georgia,6,SG,5488.92141790502
STAWAMUS CHIEF PARK,PROVINCIAL PARK,PP,Class A,5304401.62011077,Strait of Georgia,6,SG,5304401.62011077
STAWAMUS CHIEF PROTECTED AREA,PROTECTED AREA,PA,NA,23622.0597495511,Strait of Georgia,6,SG,23622.0597495511
WALSH COVE PARK,PROVINCIAL PARK,PP,Class A,908121.242960887,Strait of Georgia,6,SG,908121.242960887
SABINE CHANNEL PARK,PROVINCIAL PARK,PP,Class A,22561873.8096378,Strait of Georgia,6,SG,22561873.8096378
BUCCANEER BAY PARK,PROVINCIAL PARK,PP,Class A,447975.339532468,Strait of Georgia,6,SG,447975.339532468
PETROGLYPH PARK,PROVINCIAL PARK,PP,Class A,17048.5362713262,Strait of Georgia,6,SG,17048.5362713262
DRUMBEG PARK,PROVINCIAL PARK,PP,Class A,550660.933450546,Strait of Georgia,6,SG,550660.933450546
SARGEANT BAY PARK,PROVINCIAL PARK,PP,Class A,1461532.64195496,Strait of Georgia,6,SG,1461532.64195496
BAYNES ISLAND ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,446644.848689743,Strait of Georgia,6,SG,446644.848689743
ALICE LAKE PARK,PROVINCIAL PARK,PP,Class A,4117248.62176708,Strait of Georgia,6,SG,4117248.62176708
COLLISON POINT PARK,PROVINCIAL PARK,PP,NA,226504.897244871,Strait of Georgia,6,SG,226504.897244871
CHEMAINUS RIVER PARK,PROVINCIAL PARK,PP,Class A,1183916.53310944,Strait of Georgia,6,SG,1183916.53310944
WAKES COVE PARK,PROVINCIAL PARK,PP,Class A,2042610.62744109,Strait of Georgia,6,SG,2042610.62744109
MOUNT MAXWELL ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,4177601.26635611,Strait of Georgia,6,SG,4177601.26635611
PRINCESS LOUISA MARINE PARK,PROVINCIAL PARK,PP,Class A,9684911.81134113,Strait of Georgia,6,SG,9684911.81134113
KOKSILAH RIVER PARK,PROVINCIAL PARK,PP,Class A,2076297.83237753,Strait of Georgia,6,SG,1944564.64185608
HA'THAYIM MARINE PARK,PROVINCIAL PARK,PP,Class A,12916622.4120597,Strait of Georgia,6,SG,12916622.4120597
PLUMPER COVE MARINE PARK,PROVINCIAL PARK,PP,Class A,656410.725061331,Strait of Georgia,6,SG,656410.725061331
MOUNT SEYMOUR PARK,PROVINCIAL PARK,PP,Class A,35517411.229745,Strait of Georgia,6,SG,35517411.229745
MIRACLE BEACH PARK,PROVINCIAL PARK,PP,Class A,1363860.80401495,Strait of Georgia,6,SG,1363860.80401495
SECHELT INLETS MARINE PARK - TZOONIE NARROWS SITE,PROVINCIAL PARK,PP,Class A,808452.366196916,Strait of Georgia,6,SG,808452.366196916
DENMAN ISLAND PARK,PROVINCIAL PARK,PP,NA,5611378.15764199,Strait of Georgia,6,SG,5611378.15764199
TRIBUNE BAY PARK,PROVINCIAL PARK,PP,Class A,948749.141236842,Strait of Georgia,6,SG,948749.141236842
SMELT BAY PARK,PROVINCIAL PARK,PP,Class A,204384.91739187,Strait of Georgia,6,SG,204384.91739187
WALLACE ISLAND MARINE PARK,PROVINCIAL PARK,PP,Class A,886652.154194804,Strait of Georgia,6,SG,886652.154194804
MEMORY ISLAND PARK,PROVINCIAL PARK,PP,Class A,11025.0574645165,Strait of Georgia,6,SG,11025.0574645165
DIONISIO POINT PARK,PROVINCIAL PARK,PP,Class A,1406924.8466792,Strait of Georgia,6,SG,1406924.8466792
BELLHOUSE PARK,PROVINCIAL PARK,PP,Class A,31054.1929862764,Strait of Georgia,6,SG,31054.1929862764
SALTERY BAY PARK,PROVINCIAL PARK,PP,Class A,594255.465218217,Strait of Georgia,6,SG,594255.465218217
DENMAN ISLAND PROTECTED AREA,PROTECTED AREA,PA,NA,921130.825731259,Strait of Georgia,6,SG,921130.825731259
SECHELT INLETS MARINE PARK - THORNHILL SITE,PROVINCIAL PARK,PP,Class A,41836.2947006661,Strait of Georgia,6,SG,41836.2947006661
