term,estimate,std.error,statistic,p.value,goal,n_obs,years,lfs_lead
(Intercept),1.0001,3e-4,3986.8608,0,SPP,112,14,2
trend_adj,0.0361,0.1096,0.3291,0.7427,SPP,112,14,2
(Intercept),1.0036,0.001,1030.3098,0,ICO,112,14,2
trend_adj,0.3588,0.1152,3.1139,0.0024,ICO,112,14,2
(Intercept),1.3251,0.0922,14.3674,0,LSP,98,14,2
trend_adj,-0.0059,0.3977,-0.0149,0.9882,LSP,98,14,2
(Intercept),1.019,0.0036,281.9562,0,LEF,66,11,2
trend_adj,0.3105,0.1031,3.0103,0.0037,LEF,66,11,2
(Intercept),1.0049,0.0024,410.3419,0,LEO,66,11,2
trend_adj,0.3516,0.1708,2.0582,0.0436,LEO,66,11,2
(Intercept),0.9899,0.0102,97.4357,0,TR,70,14,2
trend_adj,-1.0035,0.2568,-3.9084,2e-4,TR,70,14,2
(Intercept),0.98740000000000006,0.0116,85.213,0,AO,91,13,3
trend_adj,-0.36,0.1645,-2.1885,0.0313,AO,91,13,3
(Intercept),1.0853,0.0592,18.3397,0,FIS,104,13,3
trend_adj,-0.6293,0.158,-3.9833,1e-4,FIS,104,13,3
(Intercept),1.153,0.0314,36.7423,0,SAL,49,7,3
trend_adj,-0.6985,0.1052,-6.6423,0,SAL,49,7,3
(Intercept),1.0001,2e-4,5950.7624,0,CPP,91,13,3
trend_adj,0.782,0.0507,15.4351,0,CPP,91,13,3
(Intercept),1,0,25804.3328,0,CSS,91,13,3
trend_adj,0.6358,0.0371,17.1438,0,CSS,91,13,3
(Intercept),1.0001,4e-4,2752.6141,0,CW,91,13,3
trend_adj,-0.4546,0.1777,-2.5588,0.0122,CW,91,13,3
(Intercept),0.9957,0.0025,392.6126,0,HAB,104,13,3
trend_adj,-0.3929,0.1502,-2.6166,0.0102,HAB,104,13,3
(Intercept),1.0003,3e-4,2955.1864,0,SPP,104,13,3
trend_adj,0.0619,0.0986,0.6278,0.5315,SPP,104,13,3
(Intercept),1.0059,0.0012,821.0845,0,ICO,104,13,3
trend_adj,0.3864,0.0966,3.9997,1e-4,ICO,104,13,3
(Intercept),1.7212,0.1893,9.0912,0,LSP,91,13,3
trend_adj,-0.5798,0.5245,-1.1052,0.272,LSP,91,13,3
(Intercept),1.0341,0.0053,195.8508,0,LEF,60,10,3
trend_adj,0.1644,0.1005,1.6354,0.1074,LEF,60,10,3
(Intercept),1.01,0.0036,280.6104,0,LEO,60,10,3
trend_adj,-0.0993,0.1766,-0.562,0.5762,LEO,60,10,3
(Intercept),0.9681,0.0108,89.6551,0,TR,65,13,3
trend_adj,-1.3688,0.1874,-7.3038,0,TR,65,13,3
(Intercept),0.9745,0.0131,74.2218,0,AO,84,12,4
trend_adj,-0.285,0.1393,-2.0464,0.0439,AO,84,12,4
(Intercept),1.2458,0.0643,19.3844,0,FIS,96,12,4
trend_adj,-0.9878,0.1288,-7.6704,0,FIS,96,12,4
(Intercept),1.1379,0.0338,33.7078,0,SAL,42,6,4
trend_adj,-0.5122,0.0795,-6.4408,0,SAL,42,6,4
(Intercept),1,2e-4,4092.7232,0,CPP,84,12,4
trend_adj,0.7313,0.0532,13.748,0,CPP,84,12,4
(Intercept),1,1e-4,18305.158,0,CSS,84,12,4
trend_adj,0.6041,0.0377,16.0163,0,CSS,84,12,4
(Intercept),1,3e-4,2952.108,0,CW,84,12,4
trend_adj,-0.3439,0.1197,-2.872,0.0052,CW,84,12,4
(Intercept),0.9932,0.0026,380.4577,0,HAB,96,12,4
trend_adj,-0.3548,0.1154,-3.0732,0.0028,HAB,96,12,4
(Intercept),1.0005,4e-4,2504.5658,0,SPP,96,12,4
trend_adj,0.0676,0.0873,0.7744,0.4406,SPP,96,12,4
(Intercept),1.0085,0.0014,700.3051,0,ICO,96,12,4
trend_adj,0.4186,0.0852,4.9147,0,ICO,96,12,4
(Intercept),2.198,0.2696,8.1516,0,LSP,84,12,4
trend_adj,-0.9494,0.5387,-1.7625,0.0817,LSP,84,12,4
(Intercept),1.0492,0.0071,146.8493,0,LEF,54,9,4
trend_adj,0.0772,0.1025,0.7526,0.4551,LEF,54,9,4
(Intercept),1.0143,0.0044,231.2447,0,LEO,54,9,4
trend_adj,-0.3959,0.1598,-2.4769,0.0165,LEO,54,9,4
(Intercept),0.9523,0.0102,93.3829,0,TR,60,12,4
trend_adj,-1.2608,0.1429,-8.8243,0,TR,60,12,4
(Intercept),0.9568,0.0125,76.3627,0,AO,77,11,5
trend_adj,-0.2391,0.1051,-2.2742,0.0258,AO,77,11,5
(Intercept),1.4001,0.0571,24.5141,0,FIS,88,11,5
trend_adj,-1.1032,0.0881,-12.5291,0,FIS,88,11,5
(Intercept),1.0561,0.0251,42.1366,0,SAL,35,5,5
trend_adj,-0.3089,0.0447,-6.9076,0,SAL,35,5,5
(Intercept),1,3e-4,3085.6676,0,CPP,77,11,5
trend_adj,0.6937,0.0547,12.6805,0,CPP,77,11,5
(Intercept),1,1e-4,14308.5223,0,CSS,77,11,5
trend_adj,0.5795,0.0373,15.5535,0,CSS,77,11,5
(Intercept),1.0001,4e-4,2752.6111,0,CW,77,11,5
trend_adj,-0.7124,0.1071,-6.6491,0,CW,77,11,5
(Intercept),0.9897,0.003,325.3089,0,HAB,88,11,5
trend_adj,-0.4228,0.1075,-3.9351,2e-4,HAB,88,11,5
(Intercept),1.0007,4e-4,2575.206,0,SPP,88,11,5
trend_adj,0.0732,0.0679,1.0776,0.2842,SPP,88,11,5
(Intercept),1.0116,0.0016,627.2963,0,ICO,88,11,5
trend_adj,0.4566,0.0763,5.9849,0,ICO,88,11,5
(Intercept),2.932,0.3826,7.6634,0,LSP,77,11,5
trend_adj,-1.4811,0.5862,-2.5265,0.0136,LSP,77,11,5
(Intercept),1.0636,0.0092,116.2227,0,LEF,48,8,5
trend_adj,0.0282,0.1084,0.2606,0.7956,LEF,48,8,5
(Intercept),1.0174,0.0049,207.938,0,LEO,48,8,5
trend_adj,-0.4859,0.1401,-3.4684,0.0011,LEO,48,8,5
(Intercept),0.9403,0.0106,88.4089,0,TR,55,11,5
trend_adj,-1.2043,0.1413,-8.5242,0,TR,55,11,5
(Intercept),0.939,0.0142,65.9957,0,AO,70,10,6
trend_adj,-0.4745,0.0997,-4.7586,0,AO,70,10,6
(Intercept),1.4839,0.0428,34.7022,0,FIS,80,10,6
trend_adj,-1.0601,0.0525,-20.2029,0,FIS,80,10,6
(Intercept),1.0351,0.0553,18.7201,0,SAL,28,4,6
trend_adj,-0.3912,0.1104,-3.544,0.0015,SAL,28,4,6
(Intercept),1,4e-4,2563.5355,0,CPP,70,10,6
trend_adj,0.6828,0.0541,12.6243,0,CPP,70,10,6
(Intercept),1,1e-4,12505.2277,0,CSS,70,10,6
trend_adj,0.568,0.0346,16.418,0,CSS,70,10,6
(Intercept),0.9998,3e-4,2995.1352,0,CW,70,10,6
trend_adj,-0.5151,0.0895,-5.7559,0,CW,70,10,6
(Intercept),0.9857,0.0037,262.9361,0,HAB,80,10,6
trend_adj,-0.4416,0.1139,-3.8782,2e-4,HAB,80,10,6
(Intercept),1.0011,4e-4,2675.2598,0,SPP,80,10,6
trend_adj,0.086,0.0545,1.5787,0.1185,SPP,80,10,6
(Intercept),1.0153,0.0017,593.3318,0,ICO,80,10,6
trend_adj,0.5023,0.0675,7.445,0,ICO,80,10,6
(Intercept),3.3954,0.4695,7.2319,0,LSP,70,10,6
trend_adj,-1.5274,0.5921,-2.5794,0.0121,LSP,70,10,6
(Intercept),1.0772,0.0114,94.8837,0,LEF,42,7,6
trend_adj,0.0042,0.1217,0.0343,0.9728,LEF,42,7,6
(Intercept),1.0194,0.0051,199.9925,0,LEO,42,7,6
trend_adj,-0.4487,0.1237,-3.6269,8e-4,LEO,42,7,6
(Intercept),0.9348,0.0112,83.0973,0,TR,50,10,6
trend_adj,-1.1524,0.1814,-6.3542,0,TR,50,10,6
