term,estimate,std.error,statistic,p.value,goal,n_obs,years,lfs_lead
trend_adj,-1.0507,0.5452,-1.9272,0.0575,LSP,84,12,4
pressures,-0.3133,5.4229,-0.0578,0.9541,LSP,84,12,4
resilience,-8.7878,5.7145,-1.5378,0.128,LSP,84,12,4
(Intercept),2.0884,0.5781,3.6127,7e-4,LEF,54,9,4
trend_adj,0.0513,0.0948,0.5409,0.591,LEF,54,9,4
pressures,-0.6886,0.519,-1.3267,0.1906,LEF,54,9,4
resilience,-0.5781,0.1631,-3.5454,9e-4,LEF,54,9,4
(Intercept),-1.2416,0.4543,-2.7329,0.0087,LEO,54,9,4
trend_adj,0.0887,0.1654,0.536,0.5944,LEO,54,9,4
pressures,0.8062,0.1652,4.8798,0,LEO,54,9,4
resilience,2.2222,0.4457,4.986,0,LEO,54,9,4
(Intercept),0.7118,0.4276,1.6649,0.1015,TR,60,12,4
trend_adj,-1.2757,0.1469,-8.6826,0,TR,60,12,4
pressures,0.2617,0.8944,0.2926,0.7709,TR,60,12,4
resilience,0.2721,0.4389,0.62,0.5378,TR,60,12,4
(Intercept),0.1815,0.3337,0.544,0.5881,AO,77,11,5
trend_adj,-0.2824,0.104,-2.7158,0.0082,AO,77,11,5
pressures,0.3108,0.2732,1.1379,0.2589,AO,77,11,5
resilience,1.0271,0.4199,2.4459,0.0169,AO,77,11,5
(Intercept),0.4055,1.1104,0.3652,0.7159,FIS,88,11,5
trend_adj,-1.1009,0.0855,-12.8731,0,FIS,88,11,5
pressures,2.6508,1.0156,2.6101,0.0107,FIS,88,11,5
resilience,0.7163,1.5655,0.4575,0.6485,FIS,88,11,5
(Intercept),1.0819,0.5149,2.1011,0.0439,SAL,35,5,5
trend_adj,-0.3089,0.0463,-6.6754,0,SAL,35,5,5
pressures,0.0049,0.4702,0.0105,0.9917,SAL,35,5,5
resilience,-0.0368,0.6877,-0.0535,0.9577,SAL,35,5,5
(Intercept),0.998,0.0041,245.567,0,CPP,77,11,5
trend_adj,0.7082,0.0596,11.891,0,CPP,77,11,5
pressures,-0.0031,0.0051,-0.6151,0.5404,CPP,77,11,5
resilience,0.0041,0.0071,0.5791,0.5643,CPP,77,11,5
(Intercept),0.9997,9e-4,1115.7554,0,CSS,77,11,5
trend_adj,0.5882,0.0415,14.189,0,CSS,77,11,5
pressures,-7e-4,0.001,-0.6888,0.4931,CSS,77,11,5
resilience,7e-4,0.0016,0.455,0.6504,CSS,77,11,5
(Intercept),0.99,0.0061,161.4605,0,CW,77,11,5
trend_adj,-0.7409,0.104,-7.1219,0,CW,77,11,5
pressures,0.0323,0.0119,2.7151,0.0083,CW,77,11,5
resilience,-1e-4,0.0076,-0.0171,0.9864,CW,77,11,5
(Intercept),0.7407,0.063,11.7613,0,HAB,88,11,5
trend_adj,-0.6627,0.1065,-6.2198,0,HAB,88,11,5
pressures,-0.1981,0.0531,-3.7278,3e-4,HAB,88,11,5
resilience,0.3946,0.09,4.3836,0,HAB,88,11,5
(Intercept),1.0022,0.0032,312.2937,0,SPP,88,11,5
trend_adj,0.1295,0.1173,1.1046,0.2725,SPP,88,11,5
pressures,-0.0064,0.0055,-1.1546,0.2515,SPP,88,11,5
resilience,1e-4,0.0048,0.0258,0.9795,SPP,88,11,5
(Intercept),1.0091,0.0145,69.6459,0,ICO,88,11,5
trend_adj,0.4341,0.0964,4.5025,0,ICO,88,11,5
pressures,-0.0091,0.0078,-1.174,0.2437,ICO,88,11,5
resilience,0.0059,0.0191,0.3076,0.7591,ICO,88,11,5
(Intercept),13.11,6.0994,2.1494,0.0349,LSP,77,11,5
trend_adj,-1.6369,0.5911,-2.7691,0.0071,LSP,77,11,5
pressures,1.0212,7.4845,0.1364,0.8918,LSP,77,11,5
resilience,-14.3991,8.0435,-1.7902,0.0776,LSP,77,11,5
(Intercept),2.3587,0.7836,3.0101,0.0043,LEF,48,8,5
trend_adj,-0.0132,0.0979,-0.1349,0.8933,LEF,48,8,5
pressures,-0.8298,0.7068,-1.174,0.2467,LEF,48,8,5
resilience,-0.7684,0.2094,-3.6687,7e-4,LEF,48,8,5
(Intercept),-1.4591,0.6081,-2.3993,0.0207,LEO,48,8,5
trend_adj,-0.0695,0.1596,-0.4354,0.6654,LEO,48,8,5
pressures,0.8834,0.2194,4.0269,2e-4,LEO,48,8,5
resilience,2.4402,0.5978,4.0821,2e-4,LEO,48,8,5
(Intercept),0.5359,0.4494,1.1926,0.2385,TR,55,11,5
trend_adj,-1.2337,0.1444,-8.5431,0,TR,55,11,5
pressures,1.2202,1.0436,1.1693,0.2477,TR,55,11,5
resilience,0.1575,0.452,0.3484,0.729,TR,55,11,5
(Intercept),-0.2117,0.385,-0.54990000000000006,0.5843,AO,70,10,6
trend_adj,-0.4913,0.0953,-5.1563,0,AO,70,10,6
pressures,0.6136,0.3152,1.9469,0.0558,AO,70,10,6
resilience,1.4626,0.4818,3.0355,0.0034,AO,70,10,6
(Intercept),0.3315,0.8106,0.409,0.6837,FIS,80,10,6
trend_adj,-1.0566,0.0489,-21.6105,0,FIS,80,10,6
pressures,2.6689,0.7534,3.5423,7e-4,FIS,80,10,6
resilience,0.9273,1.1478,0.8079,0.4217,FIS,80,10,6
(Intercept),0.9699,0.9489,1.0221,0.3169,SAL,28,4,6
trend_adj,-0.3905,0.1152,-3.3908,0.0024,SAL,28,4,6
pressures,0.0617,0.8661,0.0713,0.9438,SAL,28,4,6
resilience,0.0713,1.2755,0.0559,0.9559,SAL,28,4,6
(Intercept),0.9982,0.005,200.7106,0,CPP,70,10,6
trend_adj,0.6935,0.0594,11.6787,0,CPP,70,10,6
pressures,-0.0028,0.0061,-0.4486,0.6552,CPP,70,10,6
resilience,0.0036,0.0088,0.4068,0.6854,CPP,70,10,6
(Intercept),0.9998,0.001,956.6892,0,CSS,70,10,6
trend_adj,0.5735,0.0389,14.7271,0,CSS,70,10,6
pressures,-7e-4,0.0012,-0.5574,0.5792,CSS,70,10,6
resilience,5e-4,0.0018,0.2795,0.7808,CSS,70,10,6
(Intercept),0.995,0.0058,172.5728,0,CW,70,10,6
trend_adj,-0.5467,0.0893,-6.1226,0,CW,70,10,6
pressures,0.0261,0.0111,2.3424,0.0222,CW,70,10,6
resilience,-0.0052,0.0072,-0.7232,0.4721,CW,70,10,6
(Intercept),0.6107,0.0724,8.4384,0,HAB,80,10,6
trend_adj,-0.7807,0.1065,-7.3291,0,HAB,80,10,6
pressures,-0.2993,0.0608,-4.9199,0,HAB,80,10,6
resilience,0.5931,0.1041,5.6974,0,HAB,80,10,6
(Intercept),1.0029,0.0031,320.257,0,SPP,80,10,6
trend_adj,0.1403,0.0949,1.4782,0.1435,SPP,80,10,6
pressures,-0.0057,0.0055,-1.0407,0.3013,SPP,80,10,6
resilience,-6e-4,0.0048,-0.1253,0.9006,SPP,80,10,6
(Intercept),1.0125,0.0157,64.5088,0,ICO,80,10,6
trend_adj,0.4816,0.0847,5.6879,0,ICO,80,10,6
pressures,-0.0116,0.0084,-1.3866,0.1696,ICO,80,10,6
resilience,0.007,0.0208,0.3339,0.7394,ICO,80,10,6
(Intercept),15.5347,7.5671,2.0529,0.044,LSP,70,10,6
trend_adj,-1.6088,0.5904,-2.725,0.0082,LSP,70,10,6
pressures,2.0596,9.215,0.2235,0.8238,LSP,70,10,6
resilience,-17.4859,10.0922,-1.7326,0.0878,LSP,70,10,6
(Intercept),2.6067,1.0476,2.4884,0.0173,LEF,42,7,6
trend_adj,-0.0699,0.106,-0.6597,0.5134,LEF,42,7,6
pressures,-0.9358,0.9503,-0.9848,0.3309,LEF,42,7,6
resilience,-0.9841,0.2585,-3.8068,5e-4,LEF,42,7,6
(Intercept),-1.5919,0.7566,-2.1041,0.042,LEO,42,7,6
trend_adj,-0.1256,0.1438,-0.8736,0.3878,LEO,42,7,6
pressures,0.9231,0.2712,3.4039,0.0016,LEO,42,7,6
resilience,2.5792,0.7447,3.4636,0.0013,LEO,42,7,6
(Intercept),0.7172,0.4712,1.5219,0.1349,TR,50,10,6
trend_adj,-1.2003,0.19,-6.3161,0,TR,50,10,6
pressures,1.0882,1.1543,0.9427,0.3508,TR,50,10,6
resilience,-0.082,0.5094,-0.1609,0.8729,TR,50,10,6
