term,estimate,std.error,statistic,p.value,goal,n_obs,years,lfs_lead
(Intercept),1.003,0.0022,464.2869,0,CW,91,13,3
trend_adj,-0.4862,0.1782,-2.7283,0.0077,CW,91,13,3
res_minus_prs,-0.0085,0.0061,-1.3928,0.1672,CW,91,13,3
(Intercept),0.9416,0.0232,40.5767,0,HAB,104,13,3
trend_adj,-0.5028,0.1543,-3.2595,0.0015,HAB,104,13,3
res_minus_prs,0.1003,0.0428,2.344,0.021,HAB,104,13,3
(Intercept),0.9984,0.0016,640.864,0,SPP,104,13,3
trend_adj,-0.0183,0.1185,-0.1541,0.8778,SPP,104,13,3
res_minus_prs,0.004,0.0033,1.212,0.2283,SPP,104,13,3
(Intercept),1.0049,0.0035,288.4332,0,ICO,104,13,3
trend_adj,0.3742,0.1045,3.5814,5e-4,ICO,104,13,3
res_minus_prs,0.0018,0.0057,0.313,0.755,ICO,104,13,3
(Intercept),2.6942,1.3441,2.0045,0.0481,LSP,91,13,3
trend_adj,-0.6406,0.5325,-1.2031,0.2322,LSP,91,13,3
res_minus_prs,-1.9564,2.6755,-0.7312,0.4666,LSP,91,13,3
(Intercept),0.9524,0.0323,29.5122,0,LEF,60,10,3
trend_adj,0.1289,0.097,1.3284,0.1894,LEF,60,10,3
res_minus_prs,-0.217,0.0847,-2.5627,0.0131,LEF,60,10,3
(Intercept),1.0086,0.0037,269.2228,0,LEO,60,10,3
trend_adj,-0.0512,0.1797,-0.2852,0.7766,LEO,60,10,3
res_minus_prs,0.0167,0.0131,1.2733,0.2081,LEO,60,10,3
(Intercept),0.8694,0.1221,7.1226,0,TR,65,13,3
trend_adj,-1.3859,0.1891,-7.3291,0,TR,65,13,3
res_minus_prs,0.2463,0.3035,0.8116,0.4201,TR,65,13,3
(Intercept),0.8662,0.0611,14.1823,0,AO,84,12,4
trend_adj,-0.3172,0.1385,-2.2901,0.0246,AO,84,12,4
res_minus_prs,0.2742,0.151,1.8156,0.0731,AO,84,12,4
(Intercept),2.0205,0.5323,3.7961,3e-4,FIS,96,12,4
trend_adj,-0.9846,0.128,-7.6908,0,FIS,96,12,4
res_minus_prs,-1.4703,1.0028,-1.4661,0.146,FIS,96,12,4
(Intercept),1.0909,0.2532,4.3088,1e-4,SAL,42,6,4
trend_adj,-0.5135,0.0808,-6.3546,0,SAL,42,6,4
res_minus_prs,0.091,0.4858,0.1873,0.8524,SAL,42,6,4
(Intercept),0.9985,0.0017,595.4268,0,CPP,84,12,4
trend_adj,0.7469,0.056,13.3401,0,CPP,84,12,4
res_minus_prs,0.0033,0.0037,0.9038,0.3688,CPP,84,12,4
(Intercept),0.9997,4e-4,2774.1033,0,CSS,84,12,4
trend_adj,0.6138,0.0395,15.5579,0,CSS,84,12,4
res_minus_prs,7e-4,8e-4,0.8596,0.3926,CSS,84,12,4
(Intercept),1.0033,0.0021,488.4417,0,CW,84,12,4
trend_adj,-0.3699,0.1196,-3.0927,0.0027,CW,84,12,4
res_minus_prs,-0.0096,0.0059,-1.6312,0.1067,CW,84,12,4
(Intercept),0.9157,0.0247,37.1129,0,HAB,96,12,4
trend_adj,-0.4968,0.1191,-4.1708,1e-4,HAB,96,12,4
res_minus_prs,0.1443,0.0457,3.158,0.0021,HAB,96,12,4
(Intercept),0.9984,0.0019,523.9105,0,SPP,96,12,4
trend_adj,6e-4,0.1061,0.0054,0.9957,SPP,96,12,4
res_minus_prs,0.0045,0.004,1.1055,0.2718,SPP,96,12,4
(Intercept),1.0058,0.0041,245.3825,0,ICO,96,12,4
trend_adj,0.3962,0.0913,4.3378,0,ICO,96,12,4
res_minus_prs,0.0047,0.0068,0.692,0.4907,ICO,96,12,4
(Intercept),4.1972,1.9199,2.1862,0.0317,LSP,84,12,4
trend_adj,-1.0456,0.546,-1.9149,0.059,LSP,84,12,4
res_minus_prs,-4.013,3.8157,-1.0517,0.2961,LSP,84,12,4
(Intercept),0.9212,0.0441,20.878,0,LEF,54,9,4
trend_adj,0.031,0.0971,0.3193,0.7508,LEF,54,9,4
res_minus_prs,-0.3376,0.1151,-2.9342,0.005,LEF,54,9,4
(Intercept),1.0134,0.0046,219.3114,0,LEO,54,9,4
trend_adj,-0.3675,0.1664,-2.2088,0.0317,LEO,54,9,4
res_minus_prs,0.011,0.0167,0.6598,0.5124,LEO,54,9,4
(Intercept),0.9014,0.1227,7.3458,0,TR,60,12,4
trend_adj,-1.2663,0.1445,-8.7621,0,TR,60,12,4
res_minus_prs,0.1273,0.3059,0.4161,0.6789,TR,60,12,4
(Intercept),0.8852,0.0596,14.8637,0,AO,77,11,5
trend_adj,-0.2572,0.1058,-2.4307,0.0175,AO,77,11,5
res_minus_prs,0.1838,0.1494,1.23,0.2226,AO,77,11,5
(Intercept),2.2987,0.4744,4.8457,0,FIS,88,11,5
trend_adj,-1.0981,0.0868,-12.6551,0,FIS,88,11,5
res_minus_prs,-1.712,0.8974,-1.9078,0.0598,FIS,88,11,5
(Intercept),1.0639,0.1947,5.4631,0,SAL,35,5,5
trend_adj,-0.3088,0.0455,-6.7893,0,SAL,35,5,5
res_minus_prs,-0.0152,0.3771,-0.0404,0.968,SAL,35,5,5
(Intercept),0.9986,0.0023,439.9747,0,CPP,77,11,5
trend_adj,0.7065,0.0584,12.1072,0,CPP,77,11,5
res_minus_prs,0.0032,0.005,0.6467,0.5198,CPP,77,11,5
(Intercept),0.9997,5e-4,2132.7421,0,CSS,77,11,5
trend_adj,0.5882,0.0395,14.9054,0,CSS,77,11,5
res_minus_prs,7e-4,0.001,0.6941,0.4898,CSS,77,11,5
(Intercept),1.0032,0.0023,432.8983,0,CW,77,11,5
trend_adj,-0.7178,0.1066,-6.733,0,CW,77,11,5
res_minus_prs,-0.0092,0.0068,-1.36,0.178,CW,77,11,5
(Intercept),0.8657,0.0281,30.7631,0,HAB,88,11,5
trend_adj,-0.6145,0.1066,-5.7626,0,HAB,88,11,5
res_minus_prs,0.2309,0.0522,4.425,0,HAB,88,11,5
(Intercept),0.9995,0.002,508.4053,0,SPP,88,11,5
trend_adj,0.0427,0.0844,0.5053,0.6147,SPP,88,11,5
res_minus_prs,0.0026,0.0042,0.6118,0.5423,SPP,88,11,5
(Intercept),1.0065,0.0046,218.8847,0,ICO,88,11,5
trend_adj,0.4245,0.0809,5.2502,0,ICO,88,11,5
res_minus_prs,0.0091,0.0077,1.1762,0.2428,ICO,88,11,5
(Intercept),6.5459,2.7368,2.3918,0.0193,LSP,77,11,5
trend_adj,-1.6226,0.5928,-2.7372,0.0078,LSP,77,11,5
res_minus_prs,-7.2405,5.4297,-1.3335,0.1865,LSP,77,11,5
(Intercept),0.8804,0.0569,15.4717,0,LEF,48,8,5
trend_adj,-0.0304,0.1002,-0.303,0.7633,LEF,48,8,5
res_minus_prs,-0.4793,0.1472,-3.2554,0.0022,LEF,48,8,5
(Intercept),1.0168,0.0052,196.9296,0,LEO,48,8,5
trend_adj,-0.4732,0.1451,-3.2601,0.0021,LEO,48,8,5
res_minus_prs,0.0073,0.0189,0.3856,0.7016,LEO,48,8,5
(Intercept),1.0004,0.1404,7.1251,0,TR,55,11,5
trend_adj,-1.2064,0.1425,-8.4681,0,TR,55,11,5
res_minus_prs,-0.1513,0.3524,-0.4293,0.6695,TR,55,11,5
(Intercept),0.8768,0.0671,13.0589,0,AO,70,10,6
trend_adj,-0.4836,0.1002,-4.824,0,AO,70,10,6
res_minus_prs,0.1616,0.1704,0.9483,0.3464,AO,70,10,6
(Intercept),2.3555,0.3623,6.5017,0,FIS,80,10,6
trend_adj,-1.055,0.051,-20.7053,0,FIS,80,10,6
res_minus_prs,-1.6672,0.6884,-2.4217,0.0178,FIS,80,10,6
(Intercept),1.0453,0.3662,2.8545,0.0085,SAL,28,4,6
trend_adj,-0.391,0.1128,-3.467,0.0019,SAL,28,4,6
res_minus_prs,-0.0199,0.7044,-0.0283,0.9777,SAL,28,4,6
(Intercept),0.9987,0.0027,367.7244,0,CPP,70,10,6
trend_adj,0.6922,0.058,11.9417,0,CPP,70,10,6
res_minus_prs,0.0028,0.0061,0.468,0.6413,CPP,70,10,6
(Intercept),0.9997,5e-4,1878.6912,0,CSS,70,10,6
trend_adj,0.5748,0.0368,15.6116,0,CSS,70,10,6
res_minus_prs,7e-4,0.0012,0.5585,0.5784,CSS,70,10,6
(Intercept),1.0036,0.0021,469.7689,0,CW,70,10,6
trend_adj,-0.5147,0.0881,-5.8438,0,CW,70,10,6
res_minus_prs,-0.0111,0.0062,-1.7909,0.0778,CW,70,10,6
(Intercept),0.8023,0.0336,23.8627,0,HAB,80,10,6
trend_adj,-0.707,0.1086,-6.5088,0,HAB,80,10,6
res_minus_prs,0.3403,0.0621,5.4772,0,HAB,80,10,6
(Intercept),1.0002,0.002,505.6988,0,SPP,80,10,6
trend_adj,0.0679,0.0694,0.9782,0.331,SPP,80,10,6
res_minus_prs,0.0018,0.0043,0.4263,0.6711,SPP,80,10,6
(Intercept),1.0089,0.0049,206.1271,0,ICO,80,10,6
trend_adj,0.4704,0.0708,6.6403,0,ICO,80,10,6
res_minus_prs,0.0116,0.0083,1.3966,0.1666,ICO,80,10,6
(Intercept),7.8872,3.4202,2.3061,0.0242,LSP,70,10,6
trend_adj,-1.6023,0.5916,-2.7085,0.0086,LSP,70,10,6
res_minus_prs,-9.0689,6.8408,-1.3257,0.1894,LSP,70,10,6
(Intercept),0.8224,0.0699,11.7657,0,LEF,42,7,6
trend_adj,-0.077,0.1084,-0.7097,0.4821,LEF,42,7,6
res_minus_prs,-0.6586,0.1788,-3.6837,7e-4,LEF,42,7,6
(Intercept),1.0185,0.0054,189.3266,0,LEO,42,7,6
trend_adj,-0.4401,0.1258,-3.4979,0.0012,LEO,42,7,6
res_minus_prs,0.0106,0.0198,0.5377,0.5938,LEO,42,7,6
(Intercept),1.047,0.1706,6.1373,0,TR,50,10,6
trend_adj,-1.1804,0.1873,-6.3018,0,TR,50,10,6
res_minus_prs,-0.2841,0.4307,-0.6596,0.5127,TR,50,10,6
