rgn_id,stockid,area_km2
7,BIGEYEEPAC,135295.817
5,SWORDEPAC,26819.775
6,SWORDEPAC,6868.36
4,SWORDEPAC,239.675
7,SWORDEPAC,135295.817
5,YFINEPAC,26819.775
6,YFINEPAC,6868.36
4,YFINEPAC,239.675
7,YFINEPAC,135295.817
5,PHALNPAC,27993.255
6,PHALNPAC,8024.861
1,PHALNPAC,17243.674
2,PHALNPAC,45892.401
3,PHALNPAC,20205.384
4,PHALNPAC,13505.133
8,PHALNPAC,3181.527
7,PHALNPAC,315888.095
5,ALBANPAC,27351.36
6,ALBANPAC,7455.651
1,ALBANPAC,16414.125
2,ALBANPAC,45314.092
3,ALBANPAC,19502.182
4,ALBANPAC,12746.983
8,ALBANPAC,3145.177
7,ALBANPAC,315888.095
5,BMARLINPAC,27351.36
6,BMARLINPAC,7455.651
2,BMARLINPAC,3403.898
3,BMARLINPAC,10155.662
4,BMARLINPAC,12746.962
7,BMARLINPAC,222554.13
5,PACBTUNA,27351.36
6,PACBTUNA,7455.651
2,PACBTUNA,3403.898
3,PACBTUNA,10155.662
4,PACBTUNA,12746.962
7,PACBTUNA,222554.13
5,SWORDNPAC,5548.187
7,SWORDNPAC,59965.784
