rgn_name,year,species,stockid,catch,rgn_catch,rgn_ass_catch_prop
North Vancouver Island,2009,bocaccio,BOCACCBCW,22561.37,5608324.96,0.004022835723841508
Aristazabal Island,2009,bocaccio,BOCACCBCW,204.18,25609.350000000002,0.007972869284070075
Pacific Offshore,2009,bocaccio,BOCACCBCW,0,169631.05,0
West Vancouver Island,2008,bocaccio,BOCACCBCW,31358.38,44447984.55,7.055073546636211e-4
North Coast,2008,bocaccio,BOCACCBCW,890.56,3751913.03,2.373615787144192e-4
Haida Gwaii,2008,bocaccio,BOCACCBCW,9074.02,7449780.51,0.001218025146891207
Central Coast,2008,bocaccio,BOCACCBCW,21181.62,22705959.03,9.328661243514979e-4
North Vancouver Island,2008,bocaccio,BOCACCBCW,12529.97,2432808.94,0.005150412674823531
Aristazabal Island,2008,bocaccio,BOCACCBCW,67.4,27200.52,0.0024778938049713757
West Vancouver Island,2007,bocaccio,BOCACCBCW,16810.36,28149583.85,5.971796986263439e-4
North Coast,2007,bocaccio,BOCACCBCW,1147.11,2272795.24,5.047133062457487e-4
Haida Gwaii,2007,bocaccio,BOCACCBCW,11001.3,7386760.319999999,0.0014893267851419877
Central Coast,2007,bocaccio,BOCACCBCW,37738.37,29969006.09,0.0012592466325599123
North Vancouver Island,2007,bocaccio,BOCACCBCW,12357.81,9642762.209999999,0.001281563283514797
Pacific Offshore,2007,bocaccio,BOCACCBCW,50.72,302963.38,1.674129724853215e-4
West Vancouver Island,2015,dogfish,NA,162216.46,32733550.720067725,NA
Strait of Georgia,2015,dogfish,NA,105429.92,16916651.25803751,NA
North Coast,2015,dogfish,NA,0,6183163.396933077,NA
Haida Gwaii,2015,dogfish,NA,1876.9,13542664.750681318,NA
Central Coast,2015,dogfish,NA,382.74,4916529.47,NA
North Vancouver Island,2015,dogfish,NA,5745.64,5466401.905034657,NA
Aristazabal Island,2015,dogfish,NA,0,130331.65999999999,NA
West Vancouver Island,2014,dogfish,NA,128860.01,22189020.67017055,NA
Strait of Georgia,2014,dogfish,NA,46870.91,15508684.950623112,NA
North Coast,2014,dogfish,NA,5597.57,8738613.755689513,NA
Haida Gwaii,2014,dogfish,NA,1100.42,9029312.29,NA
Central Coast,2014,dogfish,NA,134.54,4845805.251217306,NA
North Vancouver Island,2014,dogfish,NA,9500.75,5490220.951330182,NA
Aristazabal Island,2014,dogfish,NA,296.62,1330071.9520534652,NA
Pacific Offshore,2014,dogfish,NA,0,9361.24,NA
West Vancouver Island,2013,dogfish,NA,315488.61,17316756.11883684,NA
Strait of Georgia,2013,dogfish,NA,60540.52,14096211.830460355,NA
North Coast,2013,dogfish,NA,675.66,4330308.408733,NA
Haida Gwaii,2013,dogfish,NA,623.22,6216991.811604084,NA
Central Coast,2013,dogfish,NA,325.73,9412649.495147534,NA
North Vancouver Island,2013,dogfish,NA,1460,4996359.600110408,NA
West Vancouver Island,2012,dogfish,NA,580154.02,15713811.249980953,NA
Strait of Georgia,2012,dogfish,NA,70884.07,11309120.898615398,NA
North Coast,2012,dogfish,NA,17136.24,3888577.477974049,NA
Haida Gwaii,2012,dogfish,NA,9208.43,10845063.119959434,NA
Central Coast,2012,dogfish,NA,13678.72,5370408.079975308,NA
North Vancouver Island,2012,dogfish,NA,117468.15,5365299.907356744,NA
Aristazabal Island,2012,dogfish,NA,25479.17,85526.64,NA
Pacific Offshore,2012,dogfish,NA,3514.14,14818.8,NA
West Vancouver Island,2011,dogfish,NA,739776.42,15620818.084793031,NA
Strait of Georgia,2011,dogfish,NA,62172.41,7687581.640764271,NA
North Coast,2011,dogfish,NA,13170.48,8595484.047202013,NA
Haida Gwaii,2011,dogfish,NA,4002.28,7319205.81,NA
Central Coast,2011,dogfish,NA,14511.33,5212590.872784705,NA
North Vancouver Island,2011,dogfish,NA,17062.74,6452203.007632233,NA
Aristazabal Island,2011,dogfish,NA,244.67,993976.140166846,NA
West Vancouver Island,2010,dogfish,NA,1309636.12,10583536.314029172,NA
Strait of Georgia,2010,dogfish,NA,155730.07,7873037.449448899,NA
North Coast,2010,dogfish,NA,104757.67,3841450.283543457,NA
Haida Gwaii,2010,dogfish,NA,20712.78,9241521.132846788,NA
Central Coast,2010,dogfish,NA,24615.75,9532951.747544048,NA
North Vancouver Island,2010,dogfish,NA,65576.96,5870856.955335896,NA
Aristazabal Island,2010,dogfish,NA,6939.5,588791.5203010635,NA
Pacific Offshore,2010,dogfish,NA,3278.45,34715.009999999995,NA
West Vancouver Island,2009,dogfish,NA,3427477.01,14065268.216425687,NA
Strait of Georgia,2009,dogfish,NA,232568.36,18544835.568107594,NA
North Coast,2009,dogfish,NA,44026.65,5081576.212980492,NA
Haida Gwaii,2009,dogfish,NA,33277.56,14117849.720231751,NA
Central Coast,2009,dogfish,NA,41877.68,5085115.877180197,NA
North Vancouver Island,2009,dogfish,NA,135762.91,6671595.270052206,NA
Aristazabal Island,2009,dogfish,NA,9671.36,454057.20029877074,NA
Pacific Offshore,2009,dogfish,NA,5773.62,9615.72,NA
West Vancouver Island,2008,dogfish,NA,1372207.18,14536209.030206352,NA
Strait of Georgia,2008,dogfish,NA,317244.28,12169803.32048056,NA
North Coast,2008,dogfish,NA,29376.84,9152255.537298894,NA
Haida Gwaii,2008,dogfish,NA,21973.33,11240284.73,NA
Central Coast,2008,dogfish,NA,53754.29,4152124.140710771,NA
North Vancouver Island,2008,dogfish,NA,31322.26,4130771.8948168396,NA
Aristazabal Island,2008,dogfish,NA,3201.72,1142380.2229039313,NA
Pacific Offshore,2008,dogfish,NA,2526.75,12437.29,NA
West Vancouver Island,2007,dogfish,NA,3139161.39,9911612.701645885,NA
Strait of Georgia,2007,dogfish,NA,293403.63,13400668.095038457,NA
North Coast,2007,dogfish,NA,28997.12,4634037.613483222,NA
Haida Gwaii,2007,dogfish,NA,33921.25,11755290.6,NA
Central Coast,2007,dogfish,NA,41293.13,9862748.438992398,NA
