category,data_desc,data_ban2010,zone,zone_desc,origin,layer_name,layer_type,buffer_m,dir,load_layer,active_layer,layer_id
shallow suspension reefs,sponge dfo observers,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_Sponge_DFOobervers_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,11
shallow suspension reefs,sponge dfo surveys,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_Sponge_DFOsurveys_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,11
shallow suspension reefs,sponge reefs hecate update,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,Sponge_Reefs_Hecate_Update_2008,poly,NA,bcmca/bcmca_eco_set_inverts_complete/FeatureData_Inverts,TRUE,TRUE,11
shallow suspension reefs,sponge reefs hecate update,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_SpongeReefs_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,11
soft shelf,benthic mud/sand substrate shelf,"MEC substrate sand or mud, shelf",shelf,offshore 50 m - 200 m,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,12
soft slope,benthic mud/sand substrate slope,"MEC substrate sand or mud, slope",slope,offshore 200 m to abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,13
soft deep,benthic mud/sand substrate deep,"MEC substrate sand or mud, deep",deep,offshore beyond abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,14
hard shelf,benthic hard substrate shelf,"MEC substrate hard, shelf",shelf,offshore 50 m - 200 m,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,15
hard slope,benthic hard substrate slope,"MEC substrate hard, slope",slope,offshore 200 m to abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,16
hard deep,benthic hard substrate deep,"MEC substrate hard, deep",deep,offshore beyond abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,17
unknown deep,benthic unknown substrate deep,"MEC substrate hard, deep",deep,offshore beyond abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,18
canyons,canyons tbd,DFO (Manson 2007),offshore,50 m + depth,ban,canyons tbd,,,NA,TRUE,TRUE,19
seamounts,seamount peaks,DFO (Manson 2007),offshore,50 m + depth,chi,BCMCA_ECO_Physical_Seamounts_DATA,point,1000,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,20
seamounts,offshore pacific shallower than 1000 m,DFO (Manson 2007),offshore,50 m + depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,point,1000,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,20
shallow pelagic (< 50 m),offshore above 50 m,bathymetry,offshore,50 m + depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,21
deep pelagic (> 50 m),offshore below 50 m,bathymetry,offshore,50 m + depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,22
deep suspension reefs,coral dfo observers,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_Coral_DFOobservers_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,23
deep suspension reefs,coral dfo surveys,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_Coral_DFOsurveys_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,23
deep suspension reefs,sponge dfo observers,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_Sponge_DFOobervers_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,23
deep suspension reefs,sponge dfo surveys,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_Sponge_DFOsurveys_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,23
deep suspension reefs,sponge reefs hecate update,NA,offshore,50 m + depth,ohibc,Sponge_Reefs_Hecate_Update_2008,poly,NA,bcmca/bcmca_eco_set_inverts_complete/FeatureData_Inverts,TRUE,TRUE,23
deep suspension reefs,sponge reefs hecate update,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_SpongeReefs_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,23
hydrothermal vents,hydrothermal vent zones points,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Physical_HydothermalVents_DATA,point,1000,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,24
hydrothermal vents,hydrothermal vent zones polygons,NA,offshore,50 m + depth,ohibc,dfo_endeavour_vent_zones,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,24
zone,intertidal zone,NA,intertidal,"0 - 50 m depth, 0 - 1 km from shore",,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,
zone,subtidal coastal zone,NA,subtidal coastal,0 - 50 m depth > 1 km from shore,,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,
zone,shelf zone,NA,shelf,offshore 50 m - 200 m,,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,
zone,slope zone,NA,slope,offshore 200 m to abyssal boundary,,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,
zone,deep zone,NA,deep,offshore beyond abyssal boundary,,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,
zone,offshore zone,NA,offshore,50 m + depth,,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,
