sciname,comname,status,year,cosewic_risk_score,status_history,trend
Megaptera novaeangliae,Humpback Whale North Pacific population,threatened,1982,0.6,The Western North Atlantic and North Pacific populations were given a single designation of Threatened in April 1982. Split into two populations in April 1985 Western North Atlantic population and North Pacific population. The North Pacific population designated Threatened in 1985. Status re-examined and confirmed in May 2003. Status re-examined and designated Special Concern in May 2011.,0.02675
Megaptera novaeangliae,Humpback Whale North Pacific population,threatened,1985,0.6,The Western North Atlantic and North Pacific populations were given a single designation of Threatened in April 1982. Split into two populations in April 1985 Western North Atlantic population and North Pacific population. The North Pacific population designated Threatened in 1985. Status re-examined and confirmed in May 2003. Status re-examined and designated Special Concern in May 2011.,0.02675
Megaptera novaeangliae,Humpback Whale North Pacific population,threatened,2003,0.6,The Western North Atlantic and North Pacific populations were given a single designation of Threatened in April 1982. Split into two populations in April 1985 Western North Atlantic population and North Pacific population. The North Pacific population designated Threatened in 1985. Status re-examined and confirmed in May 2003. Status re-examined and designated Special Concern in May 2011.,0.02675
Megaptera novaeangliae,Humpback Whale North Pacific population,special concern,2011,0.4,The Western North Atlantic and North Pacific populations were given a single designation of Threatened in April 1982. Split into two populations in April 1985 Western North Atlantic population and North Pacific population. The North Pacific population designated Threatened in 1985. Status re-examined and confirmed in May 2003. Status re-examined and designated Special Concern in May 2011.,0.02675
Enhydra lutris,Sea Otter,endangered,1978,0.8,Designated Endangered in April 1978. Status re-examined and confirmed Endangered in April 1986. Status re-examined and designated Threatened in April 1996 and in May 2000. Status re-examined and designated Special Concern in April 2007.,0.0735
Enhydra lutris,Sea Otter,endangered,1986,0.8,Designated Endangered in April 1978. Status re-examined and confirmed Endangered in April 1986. Status re-examined and designated Threatened in April 1996 and in May 2000. Status re-examined and designated Special Concern in April 2007.,0.0735
Enhydra lutris,Sea Otter,threatened,1996,0.6,Designated Endangered in April 1978. Status re-examined and confirmed Endangered in April 1986. Status re-examined and designated Threatened in April 1996 and in May 2000. Status re-examined and designated Special Concern in April 2007.,0.0735
Enhydra lutris,Sea Otter,special concern,2007,0.4,Designated Endangered in April 1978. Status re-examined and confirmed Endangered in April 1986. Status re-examined and designated Threatened in April 1996 and in May 2000. Status re-examined and designated Special Concern in April 2007.,0.0735
Sterna forsteri,Forster's Tern,data deficient,1996,NA,Species considered in April 1996 and placed in the Data Deficient category.,NA
Gavia adamsii,Yellow-billed Loon,not at risk,1997,0,Designated Not at Risk in April 1997.,NA
Gavia immer,Common Loon,not at risk,1997,0,Designated Not at Risk in April 1997.,NA
Asemichthys taylori,Spinynose Sculpin,data deficient,1997,NA,Species considered in April 1997 and placed in the Data Deficient category.,NA
Chlidonias niger,Black Tern,not at risk,1988,0,Designated Not at Risk in April 1988 and in April 1996.,NA
Podiceps grisegena,Red-necked Grebe,not at risk,1982,0,Designated Not at Risk in April 1982.,NA
Haliaeetus leucocephalus,Bald Eagle,not at risk,1984,0,Designated Not at Risk in April 1984.,NA
Callorhinus ursinus,Northern Fur Seal,not at risk,1996,0,Designated Not at Risk in April 1996. Status re-examined and designated Threatened in April 2006. Status re-examined and confirmed in November 2010.,-0.23074999999999998
Callorhinus ursinus,Northern Fur Seal,threatened,2006,0.6,Designated Not at Risk in April 1996. Status re-examined and designated Threatened in April 2006. Status re-examined and confirmed in November 2010.,-0.23074999999999998
Callorhinus ursinus,Northern Fur Seal,threatened,2010,0.6,Designated Not at Risk in April 1996. Status re-examined and designated Threatened in April 2006. Status re-examined and confirmed in November 2010.,-0.23074999999999998
Eumetopias jubatus,Steller Sea Lion,not at risk,1987,0,Designated Not at Risk in April 1987. Status re-examined and designated Special Concern in November 2003 and November 2013.,-0.0814
Eumetopias jubatus,Steller Sea Lion,special concern,2003,0.4,Designated Not at Risk in April 1987. Status re-examined and designated Special Concern in November 2003 and November 2013.,-0.0814
Eumetopias jubatus,Steller Sea Lion,special concern,2013,0.4,Designated Not at Risk in April 1987. Status re-examined and designated Special Concern in November 2003 and November 2013.,-0.0814
Phocoenoides dalli,Dall's Porpoise,not at risk,1989,0,Designated Not at Risk in April 1989.,NA
Cygnus buccinator,Trumpeter Swan,special concern,1978,0.4,Designated Special Concern in April 1978. Status re-examined and designated Not at Risk in April 1996.,0.1111
Cygnus buccinator,Trumpeter Swan,not at risk,1996,0,Designated Special Concern in April 1978. Status re-examined and designated Not at Risk in April 1996.,0.1111
Delphinus delphis,Short-beaked Common Dolphin,not at risk,1991,0,Designated Not at Risk in April 1991.,NA
Lissodelphis borealis,Northern Right Whale Dolphin,not at risk,1990,0,Designated Not at Risk in April 1990.,NA
Lagenorhynchus obliquidens,Pacific White-sided Dolphin,not at risk,1990,0,Designated Not at Risk in April 1990.,NA
Grampus griseus,Risso's Dolphin,not at risk,1990,0,Designated Not at Risk in April 1990.,NA
Stenella coeruleoalba,Striped Dolphin,not at risk,1993,0,Designated Not at Risk in April 1993.,NA
Mirounga angustirostris,Northern Elephant Seal,not at risk,1986,0,Designated Not at Risk in April 1986.,NA
Zalophus californianus,California Sea Lion,not at risk,1987,0,Designated Not at Risk in April 1987.,NA
Berardius bairdii,Baird's Beaked Whale,not at risk,1992,0,Designated Not at Risk in April 1992.,NA
Ziphius cavirostris,Cuvier's Beaked Whale,not at risk,1990,0,Designated Not at Risk in April 1990.,NA
Pseudorca crassidens,False Killer Whale,not at risk,1990,0,Designated Not at Risk in April 1990.,NA
Eschrichtius robustus,Grey Whale Eastern North Pacific population,not at risk,1987,0,Designated Not at Risk in April 1987. Status re-examined and designated Special Concern in May 2004.,-0.11764999999999999
Eschrichtius robustus,Grey Whale Eastern North Pacific population,special concern,2004,0.4,Designated Not at Risk in April 1987. Status re-examined and designated Special Concern in May 2004.,-0.11764999999999999
Mesoplodon carlhubbsi,Hubbs' Beaked Whale,not at risk,1989,0,Designated Not at Risk in April 1989.,NA
Kogia breviceps,Pygmy Sperm Whale,not at risk,1994,0,Designated Not at Risk in April 1994.,NA
Globicephala macrorhynchus,Short-finned Pilot Whale,not at risk,1993,0,Designated Not at Risk in April 1993.,NA
Physeter macrocephalus,Sperm Whale,not at risk,1996,0,Designated Not at Risk in April 1996.,NA
Fulica americana,American Coot,not at risk,1991,0,Designated Not at Risk in April 1991.,NA
Falco columbarius,Merlin,not at risk,1985,0,Designated Not at Risk in April 1985.,NA
Gasterosteus aculeatus,Paxton Lake Benthic Threespine Stickleback,threatened,1998,0.6,Designated Threatened in April 1998. Status re-examined and confirmed in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.0701
Gasterosteus aculeatus,Paxton Lake Benthic Threespine Stickleback,threatened,1999,0.6,Designated Threatened in April 1998. Status re-examined and confirmed in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.0701
Gasterosteus aculeatus,Paxton Lake Benthic Threespine Stickleback,endangered,2000,0.8,Designated Threatened in April 1998. Status re-examined and confirmed in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.0701
Gasterosteus aculeatus,Paxton Lake Benthic Threespine Stickleback,endangered,2010,0.8,Designated Threatened in April 1998. Status re-examined and confirmed in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.0701
Gasterosteus aculeatus,Paxton Lake Limnetic Threespine Stickleback,threatened,1998,0.6,Designated Threatened in April 1998. Status re-examined and confirmed in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.0701
Gasterosteus aculeatus,Paxton Lake Limnetic Threespine Stickleback,threatened,1999,0.6,Designated Threatened in April 1998. Status re-examined and confirmed in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.0701
Gasterosteus aculeatus,Paxton Lake Limnetic Threespine Stickleback,endangered,2000,0.8,Designated Threatened in April 1998. Status re-examined and confirmed in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.0701
Gasterosteus aculeatus,Paxton Lake Limnetic Threespine Stickleback,endangered,2010,0.8,Designated Threatened in April 1998. Status re-examined and confirmed in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.0701
Gasterosteus aculeatus,Vananda Creek Benthic Threespine Stickleback,threatened,1999,0.6,Designated Threatened in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.05405
Gasterosteus aculeatus,Vananda Creek Benthic Threespine Stickleback,endangered,2000,0.8,Designated Threatened in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.05405
Gasterosteus aculeatus,Vananda Creek Benthic Threespine Stickleback,endangered,2010,0.8,Designated Threatened in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.05405
Gasterosteus aculeatus,Hadley Lake Benthic Threespine Stickleback,extinct,1999,1,Extinct in 1999. Designated Extinct in April 1999. Status re-examined and confirmed in May 2000.,0
Gasterosteus aculeatus,Hadley Lake Benthic Threespine Stickleback,extinct,1999,1,Extinct in 1999. Designated Extinct in April 1999. Status re-examined and confirmed in May 2000.,0
Gasterosteus aculeatus,Hadley Lake Benthic Threespine Stickleback,extinct,2000,1,Extinct in 1999. Designated Extinct in April 1999. Status re-examined and confirmed in May 2000.,0
Haliotis kamtschatkana,Northern Abalone,threatened,1999,0.6,Designated Threatened in April 1999. Status re-examined and confirmed in May 2000. Status re-examined and designated Endangered in April 2009.,-0.10439999999999999
Haliotis kamtschatkana,Northern Abalone,threatened,2000,0.6,Designated Threatened in April 1999. Status re-examined and confirmed in May 2000. Status re-examined and designated Endangered in April 2009.,-0.10439999999999999
Haliotis kamtschatkana,Northern Abalone,endangered,2009,0.8,Designated Threatened in April 1999. Status re-examined and confirmed in May 2000. Status re-examined and designated Endangered in April 2009.,-0.10439999999999999
Gasterosteus aculeatus,Vananda Creek Limnetic Threespine Stickleback,threatened,1999,0.6,Designated Threatened in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.05405
Gasterosteus aculeatus,Vananda Creek Limnetic Threespine Stickleback,endangered,2000,0.8,Designated Threatened in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.05405
Gasterosteus aculeatus,Vananda Creek Limnetic Threespine Stickleback,endangered,2010,0.8,Designated Threatened in April 1999. Status re-examined and designated Endangered in May 2000. Status re-examined and confirmed in April 2010.,-0.05405
Orcinus orca,Killer Whale Northeast Pacific transient population,special concern,1999,0.4,Designated Special Concern in April 1999. Status re-examined and designated Threatened in November 2001 and in November 2008.,-0.5
Orcinus orca,Killer Whale Northeast Pacific transient population,threatened,2001,0.6,Designated Special Concern in April 1999. Status re-examined and designated Threatened in November 2001 and in November 2008.,-0.5
Gasterosteus aculeatus,Hadley Lake Limnetic Threespine Stickleback,extinct,1999,1,Extinct in 1999. Designated Extinct in April 1999. Status re-examined and confirmed in May 2000.,0
Gasterosteus aculeatus,Hadley Lake Limnetic Threespine Stickleback,extinct,1999,1,Extinct in 1999. Designated Extinct in April 1999. Status re-examined and confirmed in May 2000.,0
Gasterosteus aculeatus,Hadley Lake Limnetic Threespine Stickleback,extinct,2000,1,Extinct in 1999. Designated Extinct in April 1999. Status re-examined and confirmed in May 2000.,0
Ostrea lurida,Olympia Oyster,special concern,2000,0.4,Designated Special Concern in November 2000 and in May 2011.,NA
Orcinus orca,Killer Whale Northeast Pacific northern resident population,threatened,1999,0.6,The North Pacific resident populations were given a single designation of Threatened in April 1999. Split into three populations in November 2001. The Northeast Pacific northern resident population was designated Threatened in November 2001. Status re-examined and confirmed in November 2008.,-0
Orcinus orca,Killer Whale Northeast Pacific northern resident population,threatened,2001,0.6,The North Pacific resident populations were given a single designation of Threatened in April 1999. Split into three populations in November 2001. The Northeast Pacific northern resident population was designated Threatened in November 2001. Status re-examined and confirmed in November 2008.,-0
Orcinus orca,Killer Whale Northeast Pacific northern resident population,threatened,2008,0.6,The North Pacific resident populations were given a single designation of Threatened in April 1999. Split into three populations in November 2001. The Northeast Pacific northern resident population was designated Threatened in November 2001. Status re-examined and confirmed in November 2008.,-0
Orcinus orca,Killer Whale Northeast Pacific southern resident population,threatened,1999,0.6,The North Pacific resident populations were given a single designation of Threatened in April 1999. Split into three populations in November 2001. The Northeast Pacific southern resident population was designated Endangered in November 2001. Status re-examined and confirmed in November 2008.,-0.0821
Orcinus orca,Killer Whale Northeast Pacific southern resident population,endangered,2001,0.8,The North Pacific resident populations were given a single designation of Threatened in April 1999. Split into three populations in November 2001. The Northeast Pacific southern resident population was designated Endangered in November 2001. Status re-examined and confirmed in November 2008.,-0.0821
Orcinus orca,Killer Whale Northeast Pacific southern resident population,endangered,2008,0.8,The North Pacific resident populations were given a single designation of Threatened in April 1999. Split into three populations in November 2001. The Northeast Pacific southern resident population was designated Endangered in November 2001. Status re-examined and confirmed in November 2008.,-0.0821
Orcinus orca,Killer Whale Northeast Pacific offshore population,threatened,1999,0.6,The North Pacific resident populations were given a single designation of Threatened in April 1999. Split into three populations in November 2001. The Northeast Pacific offshore population was designated Special Concern in November 2001. Status re-examined and designated Threatened in November 2008.,-0.0373
Orcinus orca,Killer Whale Northeast Pacific offshore population,special concern,2001,0.4,The North Pacific resident populations were given a single designation of Threatened in April 1999. Split into three populations in November 2001. The Northeast Pacific offshore population was designated Special Concern in November 2001. Status re-examined and designated Threatened in November 2008.,-0.0373
Orcinus orca,Killer Whale Northeast Pacific offshore population,threatened,2008,0.6,The North Pacific resident populations were given a single designation of Threatened in April 1999. Split into three populations in November 2001. The Northeast Pacific offshore population was designated Special Concern in November 2001. Status re-examined and designated Threatened in November 2008.,-0.0373
Anarrhichthys ocellatus,Wolf-eel,not at risk,2003,0,Designated Not at Risk in May 2003.,NA
Oncorhynchus kisutch,Coho Salmon Interior Fraser population,endangered,2002,0.8,Designated Endangered in May 2002. Status re-examined and designated Threatened in November 2016.,0.07145
Oncorhynchus kisutch,Coho Salmon Interior Fraser population,threatened,2016,0.6,Designated Endangered in May 2002. Status re-examined and designated Threatened in November 2016.,0.07145
Balaenoptera musculus,Blue Whale Pacific population,special concern,1983,0.4,The species was considered a single unit and designated Special Concern in April 1983. Split into two populations in May 2002. The Pacific population was designated Endangered in May 2002. Status re-examined and confirmed in May 2012.,-0.07375
Balaenoptera musculus,Blue Whale Pacific population,endangered,2002,0.8,The species was considered a single unit and designated Special Concern in April 1983. Split into two populations in May 2002. The Pacific population was designated Endangered in May 2002. Status re-examined and confirmed in May 2012.,-0.07375
Balaenoptera musculus,Blue Whale Pacific population,endangered,2012,0.8,The species was considered a single unit and designated Special Concern in April 1983. Split into two populations in May 2002. The Pacific population was designated Endangered in May 2002. Status re-examined and confirmed in May 2012.,-0.07375
Oncorhynchus nerka,Sockeye Salmon Sakinaw population,endangered,2002,0.8,Designated Endangered in an emergency assessment on 20 October 2002. Status re-examined and confirmed in May 2003. Status re-examined in an emergency reassessment on 20 April 2006 and confirmed Endangered. Status re-examined and confirmed in April 2016.,0
Oncorhynchus nerka,Sockeye Salmon Sakinaw population,endangered,2003,0.8,Designated Endangered in an emergency assessment on 20 October 2002. Status re-examined and confirmed in May 2003. Status re-examined in an emergency reassessment on 20 April 2006 and confirmed Endangered. Status re-examined and confirmed in April 2016.,0
Oncorhynchus nerka,Sockeye Salmon Sakinaw population,endangered,2006,0.8,Designated Endangered in an emergency assessment on 20 October 2002. Status re-examined and confirmed in May 2003. Status re-examined in an emergency reassessment on 20 April 2006 and confirmed Endangered. Status re-examined and confirmed in April 2016.,0
Oncorhynchus nerka,Sockeye Salmon Sakinaw population,endangered,2016,0.8,Designated Endangered in an emergency assessment on 20 October 2002. Status re-examined and confirmed in May 2003. Status re-examined in an emergency reassessment on 20 April 2006 and confirmed Endangered. Status re-examined and confirmed in April 2016.,0
Oncorhynchus nerka,Sockeye Salmon Cultus population,endangered,2002,0.8,Designated Endangered in an emergency assessment in October 2002. Status re-examined and confirmed in May 2003.,0
Oncorhynchus nerka,Sockeye Salmon Cultus population,endangered,2003,0.8,Designated Endangered in an emergency assessment in October 2002. Status re-examined and confirmed in May 2003.,0
Gasterosteus aculeatus,Enos Lake Limnetic Threespine Stickleback,threatened,1988,0.6,Original designation including both Benthic and Limnetic species was Threatened in April 1988. Split into two species when re-examined in November 2002 and the Enos Lake Limnetic Threespine Stickleback was designated Endangered. Status re-examined and confirmed in May 2012.,-0.0436
Gasterosteus aculeatus,Enos Lake Limnetic Threespine Stickleback,endangered,2002,0.8,Original designation including both Benthic and Limnetic species was Threatened in April 1988. Split into two species when re-examined in November 2002 and the Enos Lake Limnetic Threespine Stickleback was designated Endangered. Status re-examined and confirmed in May 2012.,-0.0436
Gasterosteus aculeatus,Enos Lake Limnetic Threespine Stickleback,endangered,2012,0.8,Original designation including both Benthic and Limnetic species was Threatened in April 1988. Split into two species when re-examined in November 2002 and the Enos Lake Limnetic Threespine Stickleback was designated Endangered. Status re-examined and confirmed in May 2012.,-0.0436
Gasterosteus aculeatus,Enos Lake Benthic Threespine Stickleback,threatened,1988,0.6,Original designation including both Benthic and Limnetic species was Threatened in April 1988. Split into two species when re-examined in November 2002 and the Enos Lake Benthic Threespine Stickleback was designated Endangered. Status re-examined and confirmed in May 2012.,-0.0436
Gasterosteus aculeatus,Enos Lake Benthic Threespine Stickleback,endangered,2002,0.8,Original designation including both Benthic and Limnetic species was Threatened in April 1988. Split into two species when re-examined in November 2002 and the Enos Lake Benthic Threespine Stickleback was designated Endangered. Status re-examined and confirmed in May 2012.,-0.0436
Gasterosteus aculeatus,Enos Lake Benthic Threespine Stickleback,endangered,2012,0.8,Original designation including both Benthic and Limnetic species was Threatened in April 1988. Split into two species when re-examined in November 2002 and the Enos Lake Benthic Threespine Stickleback was designated Endangered. Status re-examined and confirmed in May 2012.,-0.0436
Balaenoptera borealis,Sei Whale Pacific population,endangered,2003,0.8,Designated Endangered in May 2003. Status re-examined and confirmed in May 2013.,0
Balaenoptera borealis,Sei Whale Pacific population,endangered,2013,0.8,Designated Endangered in May 2003. Status re-examined and confirmed in May 2013.,0
Eubalaena japonica,North Pacific Right Whale,endangered,1980,0.8,The Right Whale was considered a single species and designated Endangered in 1980. Status re-examined and confirmed in April 1985 and in April 1990. Split into two species in May 2003. North Pacific Right Whale was not re-evaluated in May 2003 it retained the Endangered status of the original Right Whale. Status re-examined andconfirmed Endangered in November 2004 and May 2015.,0
Eubalaena japonica,North Pacific Right Whale,endangered,1985,0.8,The Right Whale was considered a single species and designated Endangered in 1980. Status re-examined and confirmed in April 1985 and in April 1990. Split into two species in May 2003. North Pacific Right Whale was not re-evaluated in May 2003 it retained the Endangered status of the original Right Whale. Status re-examined andconfirmed Endangered in November 2004 and May 2015.,0
Eubalaena japonica,North Pacific Right Whale,endangered,2003,0.8,The Right Whale was considered a single species and designated Endangered in 1980. Status re-examined and confirmed in April 1985 and in April 1990. Split into two species in May 2003. North Pacific Right Whale was not re-evaluated in May 2003 it retained the Endangered status of the original Right Whale. Status re-examined andconfirmed Endangered in November 2004 and May 2015.,0
Eubalaena japonica,North Pacific Right Whale,endangered,2004,0.8,The Right Whale was considered a single species and designated Endangered in 1980. Status re-examined and confirmed in April 1985 and in April 1990. Split into two species in May 2003. North Pacific Right Whale was not re-evaluated in May 2003 it retained the Endangered status of the original Right Whale. Status re-examined andconfirmed Endangered in November 2004 and May 2015.,0
Eubalaena japonica,North Pacific Right Whale,endangered,2015,0.8,The Right Whale was considered a single species and designated Endangered in 1980. Status re-examined and confirmed in April 1985 and in April 1990. Split into two species in May 2003. North Pacific Right Whale was not re-evaluated in May 2003 it retained the Endangered status of the original Right Whale. Status re-examined andconfirmed Endangered in November 2004 and May 2015.,0
Ardenna creatopus,Pink-footed Shearwater,threatened,2004,0.6,Designated Threatened in May 2004. Status re-examined and designated Endangered in November 2016.,-0.08335000000000001
Ardenna creatopus,Pink-footed Shearwater,endangered,2016,0.8,Designated Threatened in May 2004. Status re-examined and designated Endangered in November 2016.,-0.08335000000000001
Spirinchus thaleichthys,Longfin Smelt Pygmy populations,data deficient,2004,NA,Species considered in November 2004 and placed in the Data Deficient category.,NA
Balaenoptera physalus,Fin Whale Pacific population,special concern,1987,0.4,The species was considered a single unit and designated Special Concern in April 1987. Split into two populations Atlantic and Pacific in May 2005. The Pacific population was designated Threatened in May 2005.,-0.05555
Balaenoptera physalus,Fin Whale Pacific population,threatened,2005,0.6,The species was considered a single unit and designated Special Concern in April 1987. Split into two populations Atlantic and Pacific in May 2005. The Pacific population was designated Threatened in May 2005.,-0.05555
Oncorhynchus tshawytscha,Chinook Salmon Okanagan population,endangered,2005,0.8,Designated Endangered in an emergency assessment on 4 May 2005. Status re-examined and designated Threatened in April 2006. Status re-examined and designated Endangered in April 2017.,-0.0376
Oncorhynchus tshawytscha,Chinook Salmon Okanagan population,threatened,2006,0.6,Designated Endangered in an emergency assessment on 4 May 2005. Status re-examined and designated Threatened in April 2006. Status re-examined and designated Endangered in April 2017.,-0.0376
Oncorhynchus tshawytscha,Chinook Salmon Okanagan population,endangered,2017,0.8,Designated Endangered in an emergency assessment on 4 May 2005. Status re-examined and designated Threatened in April 2006. Status re-examined and designated Endangered in April 2017.,-0.0376
Carcharodon carcharias,White Shark Pacific population,data deficient,2006,NA,Species considered in April 2006 and placed in the Data Deficient category.,NA
Prionace glauca,Blue Shark North Pacific population,data deficient,2006,NA,Species considered in April 2006 and placed in the Data Deficient category. Status re-examined and designated Not at Risk in November 2016.,NA
Prionace glauca,Blue Shark North Pacific population,not at risk,2016,0,Species considered in April 2006 and placed in the Data Deficient category. Status re-examined and designated Not at Risk in November 2016.,NA
Gasterosteus aculeatus,Misty Lake Lentic Threespine Stickleback,endangered,2006,0.8,Designated Endangered in November 2006.,NA
Gasterosteus aculeatus,Misty Lake Lotic Threespine Stickleback,endangered,2006,0.8,Designated Endangered in November 2006.,NA
Apristurus brunneus,Brown Cat Shark,data deficient,2007,NA,Species considered in April 2007 and placed in the Data Deficient category.,NA
Sebastes pinniger,Canary Rockfish,threatened,2007,0.6,Designated Threatened in November 2007.,NA
Galeorhinus galeus,Tope,special concern,2007,0.4,Designated Special Concern in April 2007.,NA
Cetorhinus maximus,Basking Shark Pacific population,endangered,2007,0.8,Designated Endangered in April 2007.,NA
Bathyraja interrupta,Sandpaper Skate,not at risk,2007,0,Designated Not at Risk in April 2007.,NA
Sebastolobus altivelis,Longspine Thornyhead,special concern,2007,0.4,Designated Special Concern in April 2007.,NA
Chordeiles minor,Common Nighthawk,threatened,2007,0.6,Designated Threatened in April 2007.,NA
Hexanchus griseus,Bluntnose Sixgill Shark,special concern,2007,0.4,Designated Special Concern in April 2007.,NA
Raja rhina,Longnose Skate,not at risk,2007,0,Designated Not at Risk in April 2007.,NA
Sebastes ruberrimus,Yelloweye Rockfish Pacific Ocean outside waters population,special concern,2008,0.4,Designated Special Concern in November 2008.,NA
Sebastes ruberrimus,Yelloweye Rockfish Pacific Ocean inside waters population,special concern,2008,0.4,Designated Special Concern in November 2008.,NA
Sebastes crameri,Darkblotched Rockfish,special concern,2009,0.4,Designated Special Concern in November 2009.,NA
Sebastes maliger,Quillback Rockfish,threatened,2009,0.6,Designated Threatened in November 2009.,NA
Sebastes reedi,Yellowmouth Rockfish,threatened,2010,0.6,Designated Threatened in April 2010.,NA
Thaleichthys pacificus,Eulachon Nass  Skeena Rivers population,threatened,2011,0.6,Designated Threatened in May 2011. Status re-examined and designated Special Concern in May 2013.,0.5
Thaleichthys pacificus,Eulachon Nass  Skeena Rivers population,special concern,2013,0.4,Designated Threatened in May 2011. Status re-examined and designated Special Concern in May 2013.,0.5
Thaleichthys pacificus,Eulachon Central Pacific Coast population,endangered,2011,0.8,Designated Endangered in May 2011.,NA
Thaleichthys pacificus,Eulachon Fraser River population,endangered,2011,0.8,Designated Endangered in May 2011.,NA
Squalus suckleyi,North Pacific Spiny Dogfish,special concern,2011,0.4,Designated Special Concern in November 2011.,NA
Dermochelys coriacea,Leatherback Sea Turtle Pacific population,endangered,1981,0.8,The species was considered a single unit and designated Endangered in April 1981. Status re-examined and confirmed in May 2001. Split into two populations in May 2012. The Pacific population was designated Endangered in May 2012.,-0
Dermochelys coriacea,Leatherback Sea Turtle Pacific population,endangered,2001,0.8,The species was considered a single unit and designated Endangered in April 1981. Status re-examined and confirmed in May 2001. Split into two populations in May 2012. The Pacific population was designated Endangered in May 2012.,-0
Dermochelys coriacea,Leatherback Sea Turtle Pacific population,endangered,2012,0.8,The species was considered a single unit and designated Endangered in April 1981. Status re-examined and confirmed in May 2001. Split into two populations in May 2012. The Pacific population was designated Endangered in May 2012.,-0
Acipenser transmontanus,White Sturgeon Upper Kootenay River population,special concern,1990,0.4,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Upper Kootenay River population was designated Endangered in November 2012.,-0.09535
