iucn_sid,am_sid,pop_trend
22680364,NA,decreasing
22680367,NA,increasing
22680391,NA,stable
22680398,NA,decreasing
22680402,NA,decreasing
22680423,ITS-175149,increasing
22680427,ITS-175147,decreasing
22680441,ITS-175170,decreasing
22680455,ITS-175141,stable
22680459,ITS-175144,increasing
22680462,ITS-175145,increasing
22680472,NA,increasing
22680485,ITS-175187,stable
22680492,NA,increasing
22689714,NA,decreasing
22693162,NA,decreasing
22693195,NA,decreasing
22693207,NA,stable
22693231,NA,stable
22693235,NA,decreasing
22693277,NA,decreasing
22693305,NA,stable
22693319,NA,stable
22693341,NA,stable
22693344,NA,decreasing
22693348,NA,unknown
22693356,NA,decreasing
22693363,ITS-176642,decreasing
22693373,NA,decreasing
22693376,NA,decreasing
22693396,NA,decreasing
22693424,NA,decreasing
22693427,ITS-176661,decreasing
22693468,NA,decreasing
22693735,ITS-554381,decreasing
22693749,ITS-176567,decreasing
22693764,NA,stable
22693777,NA,decreasing
22694240,ITS-176792,stable
22694296,ITS-176841,increasing
22694308,ITS-176832,unknown
22694317,ITS-176830,increasing
22694321,ITS-176829,decreasing
22694334,ITS-176814,increasing
22694337,ITS-176817,increasing
22694362,ITS-176816,unknown
22694420,NA,unknown
22694432,NA,increasing
22694502,ITS-176845,decreasing
22694524,ITS-176935,increasing
22694623,ITS-176888,unknown
22694787,NA,decreasing
22694841,ITS-176974,increasing
22694847,ITS-176978,increasing
22694864,ITS-176991,stable
22694870,ITS-176996,decreasing
22694875,ITS-176998,decreasing
22694896,ITS-177008,decreasing
22694903,ITS-177013,decreasing
22694906,NA,decreasing
22694924,ITS-177023,decreasing
22694931,ITS-177029,decreasing
22694934,ITS-177032,decreasing
22695144,NA,increasing
22696453,NA,stable
22696599,NA,decreasing
22696753,ITS-174724,decreasing
22696776,ITS-174717,increasing
22696974,NA,increasing
22696998,NA,increasing
22697829,NA,decreasing
22697839,NA,increasing
22697842,NA,stable
22697847,NA,decreasing
22697866,ITS-174536,increasing
22698039,NA,decreasing
22698182,NA,stable
22698195,NA,unknown
22698511,SLB-40419,decreasing
22698572,NA,increasing
22705986,NA,increasing
22711374,NA,increasing
22712077,NA,increasing
22717434,NA,decreasing
22718575,NA,decreasing
22721033,NA,increasing
22721058,NA,stable
22721836,NA,stable
22724332,NA,decreasing
22727750,NA,decreasing
22728182,NA,decreasing
22728950,ITS-174725,decreasing
22728995,NA,increasing
22729867,NA,decreasing
22732425,NA,decreasing
22733989,ITS-174685,increasing
22734194,NA,decreasing
46967817,Rep-4381,decreasing
62030590,NA,decreasing
62101215,NA,decreasing
62101249,NA,decreasing
62169677,NA,decreasing
70207409,NA,stable
102998555,NA,decreasing
233,Fis-29588,stable
234,Fis-29594,stable
2476,ITS-Mam-180525,NA
5363,Fis-48198,unknown
6335,ITS-Mam-180483,unknown
8010,ITS-Mam-180655,unknown
8951,Fis-30039,stable
10303,ITS-Mam-180681,NA
12103,Fis-25001,NA
13244,ITS-Mam-180517,NA
14214,Fis-24809,stable
15106,ITS-Mam-180639,unknown
18878,Fis-24923,stable
19488,Fis-30583,decreasing
20085,Fis-30643,NA
21857,Fis-22833,decreasing
22563,ITS-Mam-180426,unknown
23148,Fis-29576,decreasing
29609,Fis-30888,NA
39378,Fis-23129,unknown
39388,Fis-23277,decreasing
41670,ITS-Mam-622021,unknown
41672,ITS-Mam-622018,unknown
41711,ITS-Mam-612591,unknown
44205,Fis-131445,NA
44566,Fis-30530,unknown
44993,Fis-32809,decreasing
60140,Fis-31217,stable
60196,Fis-26520,NA
60215,Fis-61628,NA
60225,Fis-29423,decreasing
61743,W-Msc-405014,stable
62223,Fis-29858,unknown
63107,Fis-26997,unknown
63573,URM-Cn-5082,NA
135301,Fis-22920,stable
135567,Fis-29454,stable
135574,Fis-24741,unknown
135660,Fis-52203,unknown
135719,Fis-63912,unknown
154635,Fis-28135,unknown
154650,Fis-24651,NA
154663,Fis-28541,unknown
154674,Fis-52896,unknown
154698,Fis-50465,unknown
154722,Fis-24768,unknown
154750,Fis-31271,unknown
154755,Fis-23135,decreasing
154778,Fis-125736,NA
154803,Fis-52166,unknown
154820,Fis-29263,unknown
154845,Fis-24759,stable
154866,Fis-24895,unknown
154953,Fis-30261,unknown
154969,Fis-120470,unknown
154973,Fis-32457,unknown
154977,Fis-24555,stable
154998,Fis-32104,stable
155009,Fis-143777,unknown
155012,Fis-50053,unknown
155030,Fis-22897,unknown
155068,Fis-24930,stable
155077,Fis-116901,unknown
155082,Fis-54783,NA
155093,Fis-32362,unknown
155094,Fis-24514,unknown
155179,Fis-24933,unknown
155189,Fis-50311,unknown
155203,Fis-55811,unknown
155216,Fis-30824,unknown
155287,Fis-29650,NA
155305,Fis-145428,NA
155320,Fis-149461,unknown
155322,Fis-54508,unknown
161430,Fis-52119,stable
161486,Fis-28825,unknown
161594,Fis-52110,NA
161731,Fis-20033,unknown
162562,W-Msc-342190,NA
162906,W-Msc-139424,NA
162909,SLB-71435,unknown
162910,SLB-71429,NA
162926,W-Msc-342313,unknown
162939,W-Msc-410348,NA
162941,W-Msc-181386,unknown
162948,SLB-71450,NA
162950,SLB-71523,unknown
162986,W-Msc-138849,unknown
162988,W-Msc-141962,unknown
163063,SLB-71492,NA
163065,W-Msc-342092,NA
163067,W-Msc-342386,NA
163080,W-Msc-138803,unknown
163089,W-Msc-342242,unknown
163094,SLB-71490,unknown
163095,W-Msc-138852,NA
163163,W-Msc-181382,unknown
163207,SLB-70957,unknown
163218,W-Msc-341818,unknown
163228,W-Msc-141680,unknown
163247,SLB-71509,unknown
163256,SLB-71465,unknown
163267,W-Msc-140609,unknown
163294,W-Msc-342337,unknown
163338,W-Msc-139422,unknown
163347,W-Msc-181379,NA
163353,W-Msc-157031,unknown
163375,W-Msc-140649,NA
165701,Fis-138631,unknown
170331,Fis-22735,stable
170344,Fis-22739,stable
170350,Fis-29358,stable
170355,Fis-22738,stable
176066,SLB-71422,unknown
176070,SLB-71510,unknown
176079,W-Msc-341869,unknown
176085,W-Msc-342067,unknown
178105,Fis-30668,unknown
178902,Fis-30043,unknown
178917,Fis-30042,unknown
183283,Fis-29645,unknown
183337,Fis-23215,unknown
183346,Fis-30867,unknown
183353,Fis-25017,unknown
183355,Fis-24832,unknown
183411,Fis-22908,unknown
183514,Fis-24699,unknown
183593,Fis-26911,unknown
183618,Fis-24766,stable
183696,Fis-30868,unknown
183724,Fis-30514,unknown
183729,Fis-22970,unknown
183750,Fis-30655,unknown
183761,Fis-35686,unknown
183848,Fis-24451,unknown
183856,Fis-29948,stable
183926,Fis-24925,unknown
183957,Fis-24450,stable
183991,Fis-24482,unknown
184042,Fis-30783,unknown
184056,Fis-54081,unknown
184099,Fis-24354,unknown
185038,ITS-660110,stable
185061,ITS-660111,unknown
185064,SLB-173556,unknown
185067,SLB-184805,unknown
187583,Fis-53989,unknown
190067,Fis-29877,unknown
190089,Fis-33804,unknown
190107,Fis-24609,unknown
190109,Fis-52159,unknown
190116,Fis-30255,unknown
190133,Fis-23454,stable
190147,Fis-31235,unknown
190149,Fis-33790,unknown
190157,Fis-49079,unknown
190163,Fis-30017,unknown
190217,Fis-34615,unknown
190239,Fis-25469,unknown
190261,Fis-25178,stable
190264,Fis-34410,unknown
190278,Fis-50449,unknown
190287,Fis-23582,unknown
190298,Fis-34206,unknown
190315,Fis-64212,unknown
190316,Fis-49922,unknown
190317,Fis-28239,stable
190324,Fis-29801,unknown
190346,Fis-23893,unknown
190350,Fis-25456,unknown
190353,Fis-34848,unknown
190356,Fis-26565,unknown
190378,Fis-30575,unknown
190384,Fis-32810,unknown
190385,Fis-23905,unknown
190403,Fis-26349,unknown
190422,Fis-23639,decreasing
190425,Fis-23605,unknown
190432,Fis-30588,stable
190447,Fis-53389,unknown
190452,Fis-23192,stable
190464,Fis-136019,unknown
190485,Fis-139729,unknown
192929,Fis-29881,stable
194989,Fis-27300,unknown
194997,Fis-136946,unknown
195038,Fis-23580,unknown
195097,Fis-29523,stable
195838,Fis-27254,unknown
195852,Fis-30362,unknown
196019,Fis-24017,NA
196032,Fis-131623,NA
196044,Fis-24018,NA
196052,Fis-32714,unknown
196058,Fis-131582,unknown
198578,Fis-29731,unknown
198579,Fis-31166,unknown
198614,Fis-26531,stable
198615,Fis-23484,unknown
198628,Fis-23637,unknown
198650,Fis-24929,stable
198651,Fis-23759,stable
198716,Fis-30711,stable
198757,Fis-29880,stable
198758,Fis-23888,unknown
199068,Fis-33178,unknown
199187,Fis-32379,unknown
199249,Fis-26350,NA
202413,Fis-22922,unknown
202415,Fis-22963,unknown
202625,Fis-48267,unknown
202670,Fis-30832,stable
13462250,Fis-13152,unknown
13462713,Fis-49902,unknown
13462731,Fis-49909,unknown
13485635,Fis-47643,unknown
13485675,Fis-49913,unknown
15147816,Fis-27598,unknown
15148566,Fis-126093,unknown
15148858,Fis-27984,unknown
15149121,Fis-26352,unknown
15522140,Fis-50841,unknown
15598524,Fis-26206,stable
15598887,Fis-25165,unknown
15601872,Fis-24154,stable
15601909,Fis-32350,unknown
15601934,Fis-33227,unknown
15622831,Fis-31237,unknown
16509242,Fis-30341,stable
16509297,Fis-25421,stable
18123960,Fis-23904,unknown
18125776,Fis-25475,unknown
18127741,Fis-31020,unknown
18127840,Fis-64697,unknown
18128749,Fis-50491,unknown
18139045,Fis-27245,unknown
18140291,Fis-26351,stable
18155920,Fis-32336,unknown
18155933,Fis-28109,unknown
18158583,Fis-32421,stable
18180983,Fis-57570,unknown
18227109,Fis-33181,unknown
18227119,Fis-31004,unknown
18252612,Fis-31240,stable
18252619,Fis-32102,stable
18252629,Fis-32103,stable
18253296,Fis-32330,unknown
18253303,Fis-28170,unknown
18256560,Fis-33821,unknown
18257303,Fis-34827,unknown
18257501,Fis-28178,unknown
19014407,Fis-24899,stable
20431538,Fis-28451,unknown
20662028,Fis-49921,unknown
21104612,Fis-28112,unknown
21110056,Fis-27275,unknown
21110276,Fis-30920,unknown
21112867,Fis-50370,unknown
21112879,Fis-50569,unknown
21112898,Fis-50633,unknown
21132822,Fis-50301,unknown
21133028,Fis-34782,unknown
21133058,Fis-49750,unknown
22680409,ITS-175160,decreasing
22680415,ITS-175153,decreasing
22694218,ITS-660062,stable
22694245,ITS-176793,stable
22694251,ITS-176794,stable
22694343,ITS-176808,stable
22694346,ITS-176811,stable
22694479,ITS-176866,stable
22694552,ITS-176931,stable
22694629,ITS-176890,decreasing
22694646,ITS-176887,increasing
22694716,ITS-824103,stable
22694918,ITS-177021,decreasing
22696887,ITS-174728,decreasing
22697611,ITS-174684,increasing
22697724,ITS-174763,increasing
22697852,ITS-174594,increasing
22698175,ITS-174550,decreasing
22698305,ITS-174525,decreasing
22698375,ITS-554453,decreasing
22724836,ITS-175163,decreasing
22724879,ITS-175171,unknown
42830239,Fis-50380,unknown
42830260,Fis-139531,unknown
42830277,Fis-50469,unknown
42830286,Fis-50636,unknown
57453720,Fis-34595,unknown
60469175,Fis-50764,unknown
60469186,Fis-29601,unknown
60469264,Fis-132165,unknown
60469615,Fis-143859,NA
60470361,Fis-50462,NA
60470687,Fis-50600,NA
60470770,Fis-50614,unknown
60471825,Fis-50466,unknown
60471850,Fis-112702,NA
60471877,Fis-27226,unknown
60472409,Fis-50635,NA
60477122,Fis-33155,NA
60477337,Fis-51000,NA
60479648,Fis-49729,unknown
60482374,Fis-168166,unknown
60482562,Fis-139713,unknown
60483137,Fis-150167,unknown
60483273,Fis-30919,unknown
62030608,ITS-176824,decreasing
65134524,Fis-29704,unknown
65374916,Fis-30693,unknown
67899637,Fis-27745,unknown
69743659,Fis-55752,unknown
69778452,Fis-47586,unknown
NA,ITS-96967,NA
NA,Fis-22919,NA
NA,Fis-22915,NA
NA,Fis-22916,NA
NA,Fis-22921,NA
NA,Fis-22917,NA
NA,Fis-22900,NA
NA,Fis-22880,NA
NA,Fis-22864,NA
NA,Fis-29393,NA
NA,Fis-22874,NA
NA,Fis-22964,NA
NA,Fis-23014,NA
NA,Fis-23264,NA
NA,Fis-23265,NA
NA,Fis-23262,NA
NA,Fis-29457,NA
NA,Fis-22996,NA
NA,Fis-29418,NA
NA,Fis-23237,NA
NA,Fis-23030,NA
NA,Fis-29299,NA
NA,Fis-29417,NA
NA,Fis-11256,NA
NA,Fis-153539,NA
NA,Fis-23635,NA
NA,Fis-30085,NA
NA,Fis-24151,NA
NA,Fis-48258,NA
NA,Fis-156254,NA
NA,Fis-24332,NA
NA,Fis-23897,NA
NA,Fis-24353,NA
NA,Fis-29725,NA
NA,Fis-30273,NA
NA,Fis-30707,NA
NA,Fis-29800,NA
NA,Fis-23929,NA
NA,Fis-23950,NA
NA,Fis-24003,NA
NA,Fis-149472,NA
NA,Fis-24300,NA
NA,Fis-24371,NA
NA,Fis-24636,NA
NA,Fis-24935,NA
NA,Fis-57562,NA
NA,Fis-24471,NA
NA,Fis-24432,NA
NA,Fis-24469,NA
NA,Fis-30256,NA
NA,Fis-30257,NA
NA,Fis-30258,NA
NA,Fis-30259,NA
NA,Fis-30260,NA
NA,Fis-30263,NA
NA,Fis-24756,NA
NA,Fis-30268,NA
NA,Fis-14540,NA
NA,Fis-30269,NA
NA,Fis-30736,NA
NA,Fis-30737,NA
NA,Fis-29736,NA
NA,Fis-30708,NA
NA,Fis-24418,NA
NA,Fis-29735,NA
NA,Fis-29938,NA
NA,Fis-30134,NA
NA,Fis-30480,NA
NA,Fis-25031,NA
NA,Fis-29727,NA
NA,Fis-29728,NA
NA,Fis-24938,NA
NA,Fis-24399,NA
NA,Fis-24407,NA
NA,Fis-29639,NA
NA,Fis-29640,NA
NA,Fis-24472,NA
NA,Fis-29743,NA
NA,Fis-24483,NA
NA,Fis-24495,NA
NA,Fis-24496,NA
NA,Fis-24610,NA
NA,Fis-24750,NA
NA,Fis-24751,NA
NA,Fis-49057,NA
NA,Fis-24753,NA
NA,Fis-30250,NA
NA,Fis-24897,NA
NA,Fis-30496,NA
NA,Fis-30516,NA
NA,Fis-144084,NA
NA,Fis-25045,NA
NA,Fis-25046,NA
NA,Fis-29659,NA
NA,Fis-30485,NA
NA,Fis-24891,NA
NA,Fis-24894,NA
NA,Fis-30487,NA
NA,Fis-10690,NA
NA,Fis-29627,NA
NA,Fis-29628,NA
NA,Fis-30556,NA
NA,Fis-24758,NA
NA,Fis-30630,NA
NA,Fis-30757,NA
NA,Fis-29620,NA
NA,Fis-24510,NA
NA,Fis-57210,NA
NA,Fis-24728,NA
NA,Fis-30146,NA
NA,Fis-30147,NA
NA,Fis-24947,NA
NA,Fis-30631,NA
NA,Fis-24949,NA
NA,Fis-24950,NA
NA,Fis-30632,NA
NA,Fis-24951,NA
NA,Fis-24952,NA
NA,Fis-30633,NA
NA,Fis-24953,NA
NA,Fis-24954,NA
NA,Fis-24955,NA
NA,Fis-24957,NA
NA,Fis-24959,NA
NA,Fis-30634,NA
NA,Fis-24960,NA
NA,Fis-24963,NA
NA,Fis-30637,NA
NA,Fis-24965,NA
NA,Fis-24968,NA
NA,Fis-30639,NA
NA,Fis-24970,NA
NA,Fis-24971,NA
NA,Fis-30641,NA
NA,Fis-30642,NA
NA,Fis-24974,NA
NA,Fis-24975,NA
NA,Fis-24976,NA
NA,Fis-24977,NA
NA,Fis-24978,NA
NA,Fis-30644,NA
NA,Fis-24979,NA
NA,Fis-24982,NA
NA,Fis-24984,NA
NA,Fis-30887,NA
NA,Fis-24987,NA
NA,Fis-24988,NA
NA,Fis-30889,NA
NA,Fis-24562,NA
NA,Fis-24672,NA
NA,Fis-24673,NA
NA,Fis-24674,NA
NA,Fis-30817,NA
NA,Fis-30854,NA
NA,Fis-24901,NA
NA,Fis-30910,NA
NA,Fis-150528,NA
NA,Fis-30764,NA
NA,Fis-24437,NA
NA,Fis-30765,NA
NA,Fis-24439,NA
NA,Fis-24440,NA
NA,Fis-30766,NA
NA,Fis-30768,NA
NA,Fis-30769,NA
NA,Fis-30774,NA
NA,Fis-24467,NA
NA,Fis-24498,NA
NA,Fis-24511,NA
NA,Fis-24513,NA
NA,Fis-30807,NA
NA,Fis-24552,NA
NA,Fis-24553,NA
NA,Fis-24554,NA
NA,Fis-14939,NA
NA,Fis-24652,NA
NA,Fis-24668,NA
NA,Fis-115192,NA
NA,Fis-24671,NA
NA,Fis-30821,NA
NA,Fis-30822,NA
NA,Fis-30825,NA
NA,Fis-30827,NA
NA,Fis-30828,NA
NA,Fis-30829,NA
NA,Fis-30830,NA
NA,Fis-30843,NA
NA,Fis-24767,NA
NA,Fis-24773,NA
NA,Fis-24808,NA
NA,Fis-24812,NA
NA,Fis-24813,NA
NA,Fis-30851,NA
NA,Fis-24825,NA
NA,Fis-30852,NA
NA,Fis-30857,NA
NA,Fis-30881,NA
NA,Fis-30882,NA
NA,Fis-30883,NA
NA,Fis-14977,NA
NA,Fis-155578,NA
NA,Fis-30901,NA
NA,Fis-25035,NA
NA,Fis-62940,NA
NA,Fis-30905,NA
NA,Fis-30759,NA
NA,Fis-24404,NA
NA,Fis-147788,NA
NA,Fis-24421,NA
NA,Fis-24441,NA
NA,Fis-30771,NA
NA,Fis-24456,NA
NA,Fis-24457,NA
NA,Fis-30773,NA
NA,Fis-24458,NA
NA,Fis-24468,NA
NA,Fis-24693,NA
NA,Fis-125929,NA
NA,Fis-30850,NA
NA,Fis-24846,NA
NA,Fis-24941,NA
NA,Fis-25004,NA
NA,Fis-25041,NA
NA,Fis-30906,NA
NA,Fis-30907,NA
NA,Fis-25042,NA
NA,Fis-24433,NA
NA,Fis-30777,NA
NA,Fis-24611,NA
NA,Fis-24744,NA
NA,Fis-30834,NA
NA,Fis-30835,NA
NA,Fis-30836,NA
NA,Fis-24745,NA
NA,Fis-30837,NA
NA,Fis-30840,NA
NA,Fis-30841,NA
NA,Fis-24746,NA
NA,Fis-30856,NA
NA,Fis-8227,NA
NA,Fis-24507,NA
NA,Fis-30787,NA
NA,Fis-24545,NA
NA,Fis-10768,NA
NA,Fis-30819,NA
NA,Fis-24715,NA
NA,Fis-17283,NA
NA,Fis-24786,NA
NA,Fis-30858,NA
NA,Fis-30864,NA
NA,Fis-30865,NA
NA,Fis-30866,NA
NA,Fis-30880,NA
NA,Fis-1099,NA
NA,Fis-31255,NA
NA,Fis-31256,NA
NA,Fis-25573,NA
NA,Fis-139602,NA
NA,Fis-32138,NA
NA,Fis-32327,NA
NA,Fis-26523,NA
NA,Fis-32343,NA
NA,Fis-32387,NA
NA,Fis-26609,NA
NA,Fis-32495,NA
NA,Fis-26926,NA
NA,Fis-27016,NA
NA,Fis-27025,NA
NA,Fis-27028,NA
NA,Fis-32896,NA
NA,Fis-33019,NA
NA,Fis-27194,NA
NA,Fis-33124,NA
NA,Fis-33191,NA
NA,Fis-33413,NA
NA,Fis-27841,NA
NA,Fis-34636,NA
NA,Fis-34639,NA
NA,Fis-34692,NA
NA,Fis-34702,NA
NA,Fis-28129,NA
NA,Fis-34713,NA
NA,Fis-28136,NA
NA,Fis-28156,NA
NA,Fis-57568,NA
NA,Fis-34768,NA
NA,Fis-28175,NA
NA,Fis-34787,NA
NA,Fis-28181,NA
NA,Fis-28186,NA
NA,Fis-34794,NA
NA,Fis-34795,NA
NA,Fis-28189,NA
NA,Fis-34804,NA
NA,Fis-34829,NA
NA,Fis-34831,NA
NA,Fis-28224,NA
NA,Fis-35069,NA
NA,Fis-35216,NA
NA,Fis-147731,NA
NA,Fis-35242,NA
NA,Fis-35470,NA
NA,Fis-28931,NA
NA,Fis-29256,NA
NA,Fis-47542,NA
NA,Fis-47774,NA
NA,Fis-49870,NA
NA,Fis-50075,NA
NA,Fis-50089,NA
NA,Fis-50127,NA
NA,Fis-143470,NA
NA,Fis-50295,NA
NA,Fis-167420,NA
NA,Fis-50433,NA
NA,Fis-50631,NA
NA,Fis-51602,NA
NA,Fis-52195,NA
NA,Fis-52352,NA
NA,Fis-52688,NA
NA,Fis-52868,NA
NA,Fis-52885,NA
NA,Fis-52893,NA
NA,Fis-52894,NA
NA,Fis-52940,NA
NA,Fis-53166,NA
NA,Fis-53240,NA
NA,Fis-53392,NA
NA,Fis-53393,NA
NA,Fis-53394,NA
NA,Fis-53396,NA
NA,Fis-53397,NA
NA,Fis-53728,NA
NA,Fis-53729,NA
NA,Fis-54023,NA
NA,Fis-54370,NA
NA,Fis-54537,NA
NA,Fis-54551,NA
NA,Fis-54628,NA
NA,Fis-147792,NA
NA,Fis-54879,NA
NA,Fis-144041,NA
NA,Fis-54895,NA
NA,Fis-54896,NA
NA,Fis-54902,NA
NA,Fis-54907,NA
NA,Fis-54909,NA
NA,Fis-55090,NA
NA,Fis-55519,NA
NA,Fis-125842,NA
NA,Fis-56163,NA
NA,Fis-56185,NA
NA,Fis-56826,NA
NA,Fis-56840,NA
NA,Fis-57179,NA
NA,Fis-57502,NA
NA,Fis-57503,NA
NA,Fis-57505,NA
NA,Fis-57507,NA
NA,Fis-57512,NA
NA,Fis-57528,NA
NA,Fis-57529,NA
NA,Fis-57574,NA
NA,Fis-57663,NA
NA,Fis-62376,NA
NA,Fis-63259,NA
NA,Fis-63650,NA
NA,Fis-64711,NA
NA,Fis-114098,NA
NA,Fis-114124,NA
NA,Fis-116315,NA
NA,Fis-116321,NA
NA,Fis-116739,NA
NA,Fis-116755,NA
NA,Fis-116917,NA
NA,Fis-116935,NA
NA,Fis-116939,NA
NA,Fis-116940,NA
NA,Fis-117115,NA
NA,Fis-124211,NA
NA,Fis-124272,NA
NA,Fis-124273,NA
NA,Fis-124274,NA
NA,Fis-124275,NA
NA,Fis-124276,NA
NA,Fis-124280,NA
NA,Fis-124376,NA
NA,Fis-124381,NA
NA,Fis-149783,NA
NA,Fis-125600,NA
NA,Fis-125615,NA
NA,Fis-125622,NA
NA,Fis-125639,NA
NA,Fis-125642,NA
NA,Fis-125662,NA
NA,Fis-125665,NA
NA,Fis-127016,NA
NA,Fis-131936,NA
NA,Fis-132010,NA
NA,Fis-132018,NA
NA,Fis-132037,NA
NA,Fis-132060,NA
NA,Fis-132442,NA
NA,Fis-132487,NA
NA,Fis-132763,NA
NA,Fis-132808,NA
NA,Fis-134163,NA
NA,Fis-134188,NA
NA,Fis-134463,NA
NA,Fis-134593,NA
NA,Fis-138079,NA
NA,Fis-138158,NA
NA,Fis-139428,NA
NA,Fis-139548,NA
NA,Fis-141387,NA
NA,Fis-142473,NA
NA,Fis-143534,NA
NA,Fis-143552,NA
NA,Fis-143556,NA
NA,Fis-143560,NA
NA,Fis-143735,NA
NA,Fis-143868,NA
NA,Fis-144053,NA
NA,Fis-144121,NA
NA,Fis-144240,NA
NA,Fis-144330,NA
NA,Fis-147633,NA
NA,Fis-148363,NA
NA,Fis-148816,NA
NA,Fis-149263,NA
NA,Fis-149460,NA
NA,Fis-149572,NA
NA,Fis-156400,NA
NA,Fis-158070,NA
NA,Fis-160414,NA
NA,Fis-162475,NA
NA,Fis-163753,NA
NA,Fis-163919,NA
NA,Fis-164265,NA
NA,Fis-169054,NA
NA,Fis-30057,NA
NA,Fis-29726,NA
NA,Fis-154605,NA
NA,Fis-30847,NA
NA,Fis-32329,NA
NA,Fis-33134,NA
NA,Fis-158249,NA
NA,Fis-34791,NA
NA,Fis-35980,NA
NA,Fis-49907,NA
NA,Fis-50608,NA
NA,Fis-50627,NA
NA,Fis-52571,NA
NA,Fis-53189,NA
NA,Fis-53296,NA
NA,Fis-53631,NA
NA,Fis-54429,NA
NA,Fis-168350,NA
NA,Fis-154822,NA
NA,Fis-57501,NA
NA,Fis-57510,NA
NA,Fis-61169,NA
NA,Fis-62571,NA
NA,Fis-63956,NA
NA,Fis-116910,NA
NA,Fis-117113,NA
NA,Fis-117130,NA
NA,Fis-123121,NA
NA,Fis-125628,NA
NA,Fis-125693,NA
NA,Fis-125726,NA
NA,Fis-126951,NA
NA,Fis-127585,NA
NA,Fis-128093,NA
NA,Fis-128094,NA
NA,Fis-131323,NA
NA,Fis-132064,NA
NA,Fis-132076,NA
NA,Fis-132167,NA
NA,Fis-132490,NA
NA,Fis-133346,NA
NA,Fis-133521,NA
NA,Fis-134197,NA
NA,Fis-134472,NA
NA,Fis-138067,NA
NA,Fis-138121,NA
NA,Fis-138122,NA
NA,Fis-138174,NA
NA,Fis-138189,NA
NA,Fis-139317,NA
NA,Fis-139596,NA
NA,Fis-149527,NA
NA,Fis-143547,NA
NA,Fis-143865,NA
NA,Fis-143917,NA
NA,Fis-144103,NA
NA,Fis-144113,NA
NA,Fis-144234,NA
NA,Fis-144237,NA
NA,Fis-144485,NA
NA,Fis-144500,NA
NA,Fis-144517,NA
NA,Fis-144631,NA
NA,Fis-144634,NA
NA,Fis-145111,NA
NA,Fis-145426,NA
NA,Fis-145427,NA
NA,Fis-145434,NA
NA,Fis-146042,NA
NA,Fis-146046,NA
NA,Fis-146367,NA
NA,Fis-147612,NA
NA,Fis-149478,NA
NA,Fis-149809,NA
NA,Fis-152016,NA
NA,Fis-159261,NA
NA,Fis-163771,NA
NA,Fis-164375,NA
NA,W-Pho-128549,NA
NA,W-Msc-140170,NA
NA,W-Msc-139557,NA
NA,W-Msc-141134,NA
NA,W-Msc-140223,NA
NA,W-Msc-139033,NA
