sciname,comname,iucn_sid,am_sid,year,risk_score,risk_source,cat_ts
Delphinus delphis,Common Dophin,6336,ITS-Mam-180438,1996,0,iucn,LC
Delphinus delphis,Common Dophin,6336,ITS-Mam-180438,2008,0,iucn,LC
Dermochelys coriacea,Leatherback Turtle,46967817,Rep-4381,2013,0.7,bc,CR
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,1996,0.4,bc,LC
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2000,0.4,bc,EN
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2008,0.4,bc,EN
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2011,0.4,bc,EN
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2015,0.4,bc,EN
Eschrichtius robustus,Gray Whale,8097,ITS-Mam-180521,1996,0.4,bc,VU
Eschrichtius robustus,Gray Whale,8097,ITS-Mam-180521,2008,0.4,bc,LC
Eubalaena japonica,North Pacific Right Whale,41711,ITS-Mam-612591,1996,1,bc,EN
Eubalaena japonica,North Pacific Right Whale,41711,ITS-Mam-612591,2008,1,bc,EN
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,1994,0.4,bc,VU
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,1996,0.4,bc,EN
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,2008,0.4,bc,EN
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,2012,0.4,bc,NT
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,2016,0.4,bc,NT
Gavia immer,Common Loon,22697842,NA,1988,0,bc,LC
Gavia immer,Common Loon,22697842,NA,1994,0,bc,LC
Gavia immer,Common Loon,22697842,NA,2000,0,bc,LC
Gavia immer,Common Loon,22697842,NA,2004,0,bc,LC
Gavia immer,Common Loon,22697842,NA,2008,0,bc,LC
Gavia immer,Common Loon,22697842,NA,2009,0,bc,LC
Gavia immer,Common Loon,22697842,NA,2012,0,bc,LC
Gavia immer,Common Loon,22697842,NA,2016,0,bc,LC
Grampus griseus,Risso's Dolphin,9461,ITS-Mam-180457,2008,0.2,bc,LC
Grampus griseus,Risso's Dolphin,9461,ITS-Mam-180457,2012,0.2,bc,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,1988,0,bc,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,1994,0,bc,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2000,0,bc,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2004,0,bc,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2008,0,bc,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2009,0,bc,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2012,0,bc,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2016,0,bc,LC
Haliotis kamtschatkana,Northern Abalone,61743,W-Msc-405014,2006,0.6,bc,EN
Hippoglossus stenolepis,Halibut,NA,Fis-29418,NA,NA,iucn,NE
Hypomesus pretiosus,Surf Smelt,NA,Fis-22880,NA,NA,iucn,NE
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,1996,0.1,bc,LC
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,2008,0.1,bc,LC
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,2012,0.1,bc,LC
Lamna ditropis,Salmon Shark,39342,Fis-29426,2009,0,iucn,LC
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1965,0.4,bc,EN
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1986,0.4,bc,EN
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1988,0.4,bc,EN
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1990,0.4,bc,VU
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1994,0.4,bc,VU
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1996,0.4,bc,VU
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,2008,0.4,bc,LC
Mesoplodon densirostris,Blainville's Beaked Whale,13244,ITS-Mam-180517,NA,NA,iucn,DD
Oncorhynchus gorbuscha,Pink Salmon,NA,Fis-22915,2017,0,bc,NE
Oncorhynchus kisutch,Coho Salmon,NA,Fis-22917,2017,0.2,bc,NE
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,2008,0.2,bc,LC
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,2011,0.2,bc,LC
Oncorhynchus tshawytscha,Chinook Salmon,NA,Fis-22921,2017,0.2,bc,NE
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,1996,0,bc,LC
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,2008,0,bc,LC
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,2016,0,bc,LC
Phocoena phocoena,Harbor Porpoise,17027,ITS-Mam-180473,1996,0.4,bc,VU
Phocoena phocoena,Harbor Porpoise,17027,ITS-Mam-180473,2008,0.4,bc,LC
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,1996,0.1,bc,VU
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,2008,0.1,bc,LC
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,2012,0.1,bc,LC
Physeter macrocephalus,Sperm Whale,41755,ITS-Mam-180488,1996,0.3,bc,VU
Physeter macrocephalus,Sperm Whale,41755,ITS-Mam-180488,2008,0.3,bc,VU
Pseudorca crassidens,False Killer Whale,18596,ITS-Mam-180463,1996,0,iucn,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,1988,0.4,bc,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,1994,0.4,bc,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2000,0.4,bc,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2004,0.4,bc,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2008,0.4,bc,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2009,0.4,bc,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2012,0.4,bc,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2015,0.4,bc,NT
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2016,0.4,bc,NT
Squalus suckleyi,Spiny Dogfish,195488,Fis-164793,2016,0,iucn,LC
Thaleichthys pacificus,Eulachon,202415,Fis-22963,2013,0.5,bc,LC
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,1965,0,bc,CR
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,1996,0,bc,LC
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,2008,0,bc,LC
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,2015,0,bc,LC
Ziphius cavirostris,Cuvier's Beaked Whale,23211,ITS-Mam-180498,2008,0,iucn,LC
Orcinus orca pop. 2,Killer Whale (Northeast Pacific Offshore Population),15421,ITS-Mam-180469,1996,0.6,bc,VU
Orcinus orca pop. 3,Killer Whale (West Coast Transient Population),15421,ITS-Mam-180469,1996,0.6,bc,VU
Orcinus orca pop. 5,Killer Whale (Northeast Pacific Southern Resident Population),15421,ITS-Mam-180469,1996,0.8,bc,VU
Orcinus orca pop. 6,Killer Whale (Northeast Pacific Northern Resident Population),15421,ITS-Mam-180469,1996,0.6,bc,VU
