sgc,name,type,pop,prev_pop,year
5907014,Oliver,T,4224,4285,2001
5907022,Okanagan-Similkameen A,RDA,1897,1845,2001
5907024,Princeton,T,2610,2826,2001
5907026,Okanagan-Similkameen B,RDA,1122,1064,2001
5907028,Okanagan-Similkameen C,RDA,4154,4077,2001
5907035,Summerland,DM,10713,10584,2001
5907041,Penticton,C,30985,30987,2001
5907047,Okanagan-Similkameen D,RDA,5703,5315,2001
5907049,Okanagan-Similkameen E,RDA,1996,1998,2001
5907051,Okanagan-Similkameen F,RDA,1989,1903,2001
5907053,Okanagan-Similkameen G,RDA,2052,1959,2001
5907055,Okanagan-Similkameen H,RDA,1969,2053,2001
5907801,Lower Similkameen 2,R,48,28,2001
5907802,Osoyoos 1,R,567,523,2001
5907803,Penticton 1,R,901,1073,2001
5907805,Chopaka 7 & 8,R,48,48,2001
5907806,Blind Creek 6,R,23,21,2001
5907807,Chuchuwayha 2,R,65,NA,2001
5907808,Alexis 9,R,15,11,2001
5907809,Ashnola 10,R,62,39,2001
5909009,Hope,DM,6184,6247,2001
5909014,Fraser Valley A,RDA,596,733,2001
5909016,Fraser Valley B,RDA,745,736,2001
5909020,Chilliwack,C,62927,60186,2001
5909027,Harrison Hot Springs,VL,1343,898,2001
5909032,Kent,DM,4926,4844,2001
5909034,Fraser Valley D,RDA,1032,901,2001
5909036,Fraser Valley E,RDA,3400,3290,2001
5909048,Fraser Valley C,RDA,716,773,2001
5909052,Abbotsford,C,115463,105403,2001
5909056,Mission,DM,31272,30519,2001
5909060,Fraser Valley F,RDA,1237,1410,2001
5909062,Fraser Valley G,RDA,1827,1700,2001
5909064,Fraser Valley H,RDA,387,356,2001
5909801,Aywawwis 15,R,0,0,2001
5909802,Boothroyd 5A,R,0,0,2001
5909803,Boothroyd 8A,R,0,0,2001
5909804,Chawathil 4,R,152,145,2001
5909805,Inkahtsaph 6,R,5,2,2001
5909806,Kopchitchin 2,R,50,46,2001
5909807,Ohamil 1,R,64,64,2001
5909808,Puckatholetchin 11,R,5,5,2001
5909809,Saddle Rock 9,R,5,5,2001
5909810,Lukseetsissum 9,R,21,NA,2001
5909811,Ruby Creek 2,R,0,0,2001
5909812,Schkam 2,R,129,65,2001
5909813,Sho-ook 5,R,0,0,2001
5909814,Skawahlook 1,R,27,14,2001
5909815,Speyum 3,R,0,6,2001
5909816,Spuzzum 1,R,50,37,2001
5909817,Tuckkwiowhum 1,R,37,24,2001
5909818,Yale Town 1,R,17,15,2001
5909819,Kahmoose 4,R,65,66,2001
5909820,Chaumox 11,R,0,0,2001
5909821,Kwawkwawapilt 6,R,360,358,2001
5909822,Skowkale 10,R,267,146,2001
5909823,Skowkale 11,R,186,18,2001
5909824,Skwah 4,R,205,219,2001
5909825,Skwali 3,R,5,0,2001
5909826,Skway 5,R,84,49,2001
5909827,Soowahlie 14,R,234,191,2001
5909828,Squiaala 7,R,111,73,2001
5909829,Squiaala 8,R,5,8,2001
5909830,Tzeachten 13,R,683,575,2001
5909831,Yakweakwioose 12,R,42,40,2001
5909832,Seabird Island,R,535,496,2001
5909833,Scowlitz 1,R,10,15,2001
5909834,Tseatah 2,R,0,9,2001
5909835,Aitchelitch 9,R,18,22,2001
5909836,Boston Bar 1A,R,5,0,2001
5909837,Cheam 1,R,212,164,2001
5909838,Schelowat 1,R,5,5,2001
5909839,Chehalis 5,R,460,476,2001
5909840,Swahliseah 14,R,0,0,2001
5909841,Stullawheets 8,R,40,16,2001
5909842,Douglas 8,R,48,10,2001
5909843,Peters 1,R,44,44,2001
5909844,Popkum 1,R,0,0,2001
5909845,Skookumchuck 4,R,66,44,2001
5909846,Franks 10,R,0,0,2001
5909847,Bucktum 4,R,5,3,2001
5909848,Tipella 7,R,0,5,2001
5909849,Skwahla 2,R,0,9,2001
5909852,Baptiste Smith 1A,R,0,0,2001
5909855,Sachteen 2,R,5,3,2001
5909860,Sachteen 2A,R,5,0,2001
5909865,Samahquam 1,R,0,0,2001
5909870,Kuthlalth 3,R,0,0,2001
5909875,Baptiste Smith 1B,R,53,51,2001
5909876,Albert Flat 5,R,21,13,2001
5909877,Upper Sumas 6,R,175,136,2001
5909878,Matsqui Main 2,R,73,66,2001
5909879,Holachten 8,R,322,283,2001
5909880,Lakahahmen 11,R,242,206,2001
5909881,Skweahm 10,R,259,89,2001
5909882,Squawkum Creek 3,R,83,65,2001
5915001,Langley,DM,86896,80179,2001
5915002,Langley,C,23643,22523,2001
5915004,Surrey,C,347825,304477,2001
5915007,White Rock,C,18250,17210,2001
5915011,Delta,DM,96950,95411,2001
5915015,Richmond,C,164345,148867,2001
5915020,Greater Vancouver A,RDA,8034,7096,2001
5915022,Vancouver,C,545671,514008,2001
5915025,Burnaby,C,193954,179209,2001
5915029,New Westminster,C,54656,49350,2001
5915034,Coquitlam,C,112890,101820,2001
5915036,Belcarra,VL,682,665,2001
5915038,Anmore,VL,1344,961,2001
5915039,Port Coquitlam,C,51257,46682,2001
5915043,Port Moody,C,23816,20847,2001
5915046,North Vancouver,DM,82310,80418,2001
5915051,North Vancouver,C,44303,41475,2001
5915055,West Vancouver,DM,41421,40882,2001
5915062,Bowen Island,IM,2957,2738,2001
5915065,Lions Bay,VL,1379,1412,2001
5915070,Pitt Meadows,DM,14670,13436,2001
5915075,Maple Ridge,DM,63169,56173,2001
5915801,Semiahmoo,R,131,200,2001
5915802,Tsawwassen,R,474,512,2001
5915803,Musqueam 2,R,1305,1392,2001
5915804,Coquitlam 2,R,5,NA,2001
5915805,Coquitlam 1,R,15,NA,2001
5915806,Burrard Inlet 3,R,1203,462,2001
5915807,Mission 1,R,339,321,2001
5915808,Capilano 5,R,2230,2141,2001
5915809,Barnston Island 3,R,46,37,2001
5915810,Musqueam 4,R,5,7,2001
5915811,Seymour Creek 2,R,54,33,2001
5915813,Katzie 2,R,31,29,2001
5915816,McMillan Island 6,R,59,62,2001
5915825,Matsqui 4,R,417,443,2001
5915830,Katzie 1,R,224,176,2001
5915835,Langley 5,R,0,3,2001
5915840,Whonnock 1,R,5,8,2001
5917005,North Saanich,DM,10436,10411,2001
5917010,Sidney,T,10929,10701,2001
5917015,Central Saanich,DM,15348,14611,2001
5917021,Saanich,DM,103654,101388,2001
5917027,Capital F,RDA,9279,9249,2001
5917029,Capital G,RDA,4307,4156,2001
5917030,Oak Bay,DM,17798,17865,2001
5917034,Victoria,C,74125,73504,2001
5917040,Esquimalt,DM,16127,16151,2001
5917041,Colwood,C,13745,13848,2001
5917042,Metchosin,DM,4857,4709,2001
5917044,Langford,DM,18840,17515,2001
5917047,View Royal,T,7271,6441,2001
5917049,Highlands,DM,1674,1423,2001
5917052,Sooke,DM,8735,8436,2001
5917054,Capital H (Part 1),RDA,3801,3568,2001
5917056,Capital H (Part 2),RDA,161,207,2001
5917801,Cole Bay 3,R,257,256,2001
5917802,Union Bay 4,R,100,NA,2001
5917803,East Saanich 2,R,1429,1470,2001
5917804,South Saanich 1,R,586,NA,2001
5917805,Galiano Island 9,R,0,2,2001
5917806,Mayne Island 6,R,0,0,2001
5917809,Becher Bay 1,R,159,93,2001
5917811,Esquimalt,R,NA,NA,2001
5917812,New Songhees 1A,R,1874,1774,2001
5917815,Gordon River 2,R,105,88,2001
5917816,Pacheena 1,R,0,0,2001
5917817,T'Sou-ke 1 (Sooke 1),R,81,81,2001
5917818,T'Sou-ke 2 (Sooke 2),R,76,42,2001
5919008,North Cowichan,DM,26148,25305,2001
5919012,Duncan,C,4699,4588,2001
5919013,Cowichan Valley D,RDA,2689,2721,2001
5919015,Cowichan Valley G,RDA,2358,2429,2001
5919016,Lake Cowichan,T,2827,2858,2001
5919017,Cowichan Valley H,RDA,2250,2357,2001
5919021,Ladysmith,T,6587,6456,2001
5919033,Cowichan Valley F,RDA,1763,1762,2001
5919035,Cowichan Valley I,RDA,1149,1426,2001
5919043,Cowichan Valley A,RDA,3416,3259,2001
5919046,Cowichan Valley B,RDA,7081,6591,2001
5919049,Cowichan Valley C,RDA,4545,4287,2001
5919051,Cowichan Valley E,RDA,3805,3828,2001
5919801,Halalt 2,R,115,132,2001
5919802,Squaw-hay-one 11,R,45,42,2001
5919803,Tsussie 6,R,67,86,2001
5919804,Chemainus 13,R,557,557,2001
5919805,Claoose 4,R,0,0,2001
5919806,Cowichan 9,R,15,26,2001
5919807,Cowichan 1,R,1191,1691,2001
5919808,Kil-pah-las 3,R,10,6,2001
5919809,Kuper Island 7,R,302,185,2001
5919810,Lyacksun 3,R,0,0,2001
5919811,Shingle Point 4,R,0,1,2001
5919812,Cowichan Lake,R,10,13,2001
5919814,Malachan 11,R,184,163,2001
5919815,Malahat 11,R,98,99,2001
5919816,Oyster Bay 12,R,58,69,2001
5919817,Portier Pass 5,R,0,2,2001
5919818,Theik 2,R,29,39,2001
5919819,Wyah 3,R,0,0,2001
5921007,Nanaimo,C,73000,70130,2001
5921010,Nanaimo A,RDA,6423,6252,2001
5921014,Nanaimo B,RDA,3522,3479,2001
5921016,Nanaimo C,RDA,929,974,2001
5921018,Parksville,C,10323,9472,2001
5921020,Nanaimo D,RDA,4656,4717,2001
5921023,Qualicum Beach,T,6921,6734,2001
5921030,Nanaimo E,RDA,4820,4677,2001
5921032,Nanaimo F,RDA,5546,5288,2001
5921034,Nanaimo G,RDA,7041,6423,2001
5921036,Nanaimo H,RDA,3108,2951,2001
5921801,Nanaimo River 3,R,33,41,2001
5921802,Nanaimo River 2,R,20,20,2001
5921803,Nanaimo River 4,R,158,184,2001
5921804,Nanaimo Town 1,R,238,183,2001
5921805,Nanoose,R,207,190,2001
5921806,Qualicum,R,71,68,2001
5923008,Port Alberni,C,17743,18782,2001
5923019,Ucluelet,DM,1559,1658,2001
5923025,Tofino,DM,1466,1170,2001
5923033,Alberni-Clayoquot B,RDA,502,511,2001
5923035,Alberni-Clayoquot D,RDA,2016,2053,2001
5923037,Alberni-Clayoquot E,RDA,2779,3000,2001
5923039,Alberni-Clayoquot F,RDA,1897,2026,2001
5923047,Alberni-Clayoquot A,RDA,285,387,2001
5923049,Alberni-Clayoquot C,RDA,369,355,2001
5923801,Ahahswinis 1,R,117,101,2001
5923802,Alberni 2,R,10,8,2001
5923803,Anacla 12,R,84,91,2001
5923804,Clakamucus 2,R,5,4,2001
5923805,Elhlateese 2,R,21,27,2001
5923806,Hesquiat 1,R,5,5,2001
5923807,Ittatsoo 1,R,208,191,2001
5923808,Marktosis 15,R,557,480,2001
5923809,Numukamis 1,R,5,4,2001
5923810,Macoah 1,R,10,13,2001
5923812,Openit 27,R,0,0,2001
5923813,Opitsat 1,R,148,151,2001
5923814,Sachsa 4,R,10,7,2001
5923815,Stuart Bay 6,R,0,0,2001
5923816,Tsahaheh 1,R,322,403,2001
5923821,Keeshan 9,R,0,0,2001
5923822,Klehkoot 2,R,10,9,2001
5923823,Esowista 3,R,140,125,2001
5923824,Refuge Cove 6,R,77,91,2001
5925005,Comox,T,11172,11069,2001
5925010,Courtenay,C,18304,17404,2001
5925014,Cumberland,VL,2618,2548,2001
5925018,Comox-Strathcona A,RDA,4780,4951,2001
5925019,Comox-Strathcona K,RDA,1982,2037,2001
5925022,Comox-Strathcona B,RDA,7941,8074,2001
5925024,Comox-Strathcona C,RDA,7584,8615,2001
5925025,Gold River,VL,1359,2041,2001
5925029,Zeballos,VL,224,232,2001
5925030,Tahsis,VL,600,940,2001
5925034,Campbell River,DM,28456,28851,2001
5925039,Sayward,VL,379,440,2001
5925042,Comox-Strathcona D,RDA,4920,4575,2001
5925046,Comox-Strathcona H,RDA,785,894,2001
5925049,Comox-Strathcona G,RDA,156,205,2001
5925052,Comox-Strathcona I,RDA,938,885,2001
5925054,Comox-Strathcona J,RDA,2548,2671,2001
5925801,Comox 1,R,254,214,2001
5925802,Pentledge 2,R,0,NA,2001
5925803,Ahaminaquus 12,R,0,134,2001
5925804,Campbell River 11,R,284,239,2001
5925805,Chenahkint 12,R,10,9,2001
5925806,Houpsitas 6,R,160,166,2001
5925808,Nuchatl 2,R,0,0,2001
5925809,Nuchatl 1,R,0,0,2001
5925812,Quinsam 12,R,212,184,2001
5925813,Village Island 1,R,10,11,2001
5925814,Yuquot 1,R,5,3,2001
5925815,Aupe 6,R,0,0,2001
5925816,Aupe 6A,R,0,0,2001
5925817,Cape Mudge 10,R,181,189,2001
5925818,Squirrel Cove 8,R,0,0,2001
5925819,Tatpo-oose 10,R,0,0,2001
5925820,Tork 7,R,62,67,2001
5925825,Matsayno 5,R,0,0,2001
5925830,Saaiyouck 6,R,0,0,2001
5925833,Oclucje 7,R,32,18,2001
5925835,Tsa Xana 18,R,175,0,2001
5927008,Powell River,DM,12983,13131,2001
5927010,Powell River A,RDA,988,1005,2001
5927012,Powell River B,RDA,1450,1379,2001
5927016,Powell River C,RDA,2135,2289,2001
5927018,Powell River D,RDA,1129,1155,2001
5927020,Powell River E,RDA,367,379,2001
5927802,Sliammon 1,R,677,565,2001
5927805,Harwood Island 2,R,0,0,2001
5927806,Sechelt (Part),IGD,36,33,2001
5929005,Gibsons,T,3906,3732,2001
5929011,Sechelt,DM,7775,7343,2001
5929018,Sunshine Coast A,RDA,2374,2581,2001
5929022,Sunshine Coast B,RDA,2353,2316,2001
5929024,Sunshine Coast D,RDA,3090,2866,2001
5929026,Sunshine Coast E,RDA,3311,3367,2001
5929028,Sunshine Coast F,RDA,1971,1945,2001
5929801,Chekwelp 26,R,24,28,2001
5929802,Chekwelp 26A,R,0,0,2001
5929803,Sechelt (Part),IGD,795,736,2001
5929804,Schaltuuch 27,R,0,0,2001
5931006,Squamish,DM,14247,13994,2001
5931012,Pemberton,VL,1637,857,2001
5931017,Squamish-Lillooet C,RDA,1504,1547,2001
5931020,Whistler,DM,8896,7172,2001
5931021,Squamish-Lillooet D,RDA,750,644,2001
5931026,Lillooet,DM,2741,2886,2001
5931032,Squamish-Lillooet A,RDA,223,277,2001
5931034,Squamish-Lillooet B,RDA,428,507,2001
5931801,Cheakamus 11,R,45,48,2001
5931802,Kowtain 17,R,23,39,2001
5931803,Mount Currie  1,R,117,NA,2001
5931804,Mount Currie 10,R,183,NA,2001
5931805,Nequatque 1,R,153,132,2001
5931806,Seaichem 16,R,0,44,2001
5931807,Stawamus 24,R,50,21,2001
5931808,Waiwakum 14,R,91,100,2001
5931809,Yekwaupsum 18,R,24,38,2001
5931810,Nequatque 3A,R,5,3,2001
5931811,Mount Currie  2,R,0,NA,2001
5931812,Nesuch 3,R,88,NA,2001
5931813,Bridge River 1,R,214,131,2001
5931814,Cayoosh Creek 1,R,69,89,2001
5931815,Chilhil 6,R,49,64,2001
5931816,Fountain  1,R,159,158,2001
5931817,Fountain  3,R,10,14,2001
5931818,Fountain 10,R,10,12,2001
5931819,Fountain 11,R,5,4,2001
5931820,Fountain 12,R,5,3,2001
5931821,Lillooet 1,R,197,188,2001
5931822,Fountain Creek 8,R,5,5,2001
5931823,McCartney's Flat 4,R,33,30,2001
5931824,Seton Lake 5,R,5,7,2001
5931826,Necait 6,R,20,20,2001
5931827,Nesikep 6,R,10,11,2001
5931828,Pashilqua 2,R,35,37,2001
5931829,Pavilion 1,R,NA,76,2001
5931830,Seton Lake 5A,R,0,0,2001
5931831,Slosh 1,R,174,189,2001
5931832,Towinock 2,R,10,8,2001
5931833,Mission 5,R,27,26,2001
5931837,Mount Currie  8,R,50,NA,2001
5931838,Mount Currie  6,R,704,NA,2001
5931839,Slosh 1A,R,0,0,2001
5931840,Nequatque 2,R,15,20,2001
5933006,Merritt,C,7088,7631,2001
5933008,Thompson-Nicola M,RDA,1793,1790,2001
5933012,Thompson-Nicola N,RDA,707,679,2001
5933015,Lytton,VL,319,322,2001
5933019,Ashcroft,VL,1788,1858,2001
5933024,Cache Creek,VL,1056,1115,2001
5933028,Clinton,VL,621,729,2001
5933032,Thompson-Nicola E,RDA,1307,1347,2001
5933035,Logan Lake,DM,2185,2492,2001
5933037,Thompson-Nicola I,RDA,1302,1248,2001
5933039,Thompson-Nicola J,RDA,1509,1573,2001
5933042,Kamloops,C,77281,76394,2001
5933044,Thompson-Nicola P,RDA,3746,3545,2001
5933054,Chase,VL,2460,2460,2001
5933060,Thompson-Nicola L,RDA,2860,2849,2001
5933068,Thompson-Nicola A,RDA,4399,4514,2001
5933070,Thompson-Nicola B,RDA,368,416,2001
5933072,Thompson-Nicola O,RDA,3257,3211,2001
5933801,Coldwater 1,R,263,282,2001
5933802,Douglas Lake 3,R,171,182,2001
5933803,Hamilton Creek 2,R,0,2,2001
5933804,Hamilton Creek 7,R,0,0,2001
5933805,Joeyaska 2,R,37,40,2001
5933806,Nicola Lake 1,R,155,140,2001
5933807,Nicola Mameet 1,R,442,385,2001
5933808,Nooaitch 10,R,119,121,2001
5933809,Paul's Basin 2,R,16,20,2001
5933811,Zoht 4,R,35,37,2001
5933812,Bonaparte 3,R,129,122,2001
5933814,Canoe Creek 1,R,59,40,2001
5933815,Halhalaeden 14A,R,5,4,2001
5933816,Chuchhriaschin 5,R,0,0,2001
5933817,Skeetchestn,R,241,184,2001
5933818,Halhalaeden 14,R,5,7,2001
5933819,High Bar 1,R,5,2,2001
5933820,Inkluckcheen 21,R,131,137,2001
5933821,Canoe Creek 2,R,64,21,2001
5933822,Chuchhriaschin 5A,R,0,1,2001
5933823,Kitzowit 20,R,23,9,2001
5933824,Skuppah 2A,R,0,0,2001
5933825,Inklyuhkinatko 2,R,48,27,2001
5933826,Kanaka Bar 1A,R,53,47,2001
5933827,Kanaka Bar 2,R,10,21,2001
5933828,Basque 18,R,0,0,2001
5933829,Klahkamich 17,R,79,66,2001
5933830,Klahkowit 5,R,0,0,2001
5933831,Kleetlekut 22,R,10,15,2001
5933832,Klickkumcheen 18,R,101,96,2001
5933834,Kumcheen 1,R,37,32,2001
5933835,Leon Creek 2,R,0,0,2001
5933836,Lower Hat Creek 2,R,50,62,2001
5933839,Lytton  4A,R,0,0,2001
5933840,Lytton  4E,R,10,9,2001
5933841,Lytton  9A,R,56,44,2001
5933842,Lytton  9B,R,0,1,2001
5933844,Ashcroft 4,R,77,67,2001
5933845,105 Mile Post 2,R,10,5,2001
5933846,Oregon Jack Creek 5,R,0,0,2001
5933847,Spatsum 11,R,0,0,2001
5933848,Nickel Palm 4,R,10,16,2001
5933850,Nickeyeah 25,R,15,21,2001
5933851,Nicomen 1,R,42,60,2001
5933852,Nohomeen 23,R,10,14,2001
5933853,Nuuautin 2,R,119,123,2001
5933854,Oregon Jack Creek 3,R,0,3,2001
5933855,Papyum 27,R,39,41,2001
5933856,Papyum 27A,R,0,0,2001
5933857,Pemynoos 9,R,0,1,2001
5933858,Seah 5,R,24,8,2001
5933859,Shackan 11,R,66,61,2001
5933860,Siska Flat 3,R,95,95,2001
5933861,Kloklowuck 7,R,5,2,2001
5933862,Siska Flat 5A,R,0,0,2001
5933863,Siska Flat 5B,R,0,0,2001
5933864,Siska Flat 8,R,34,16,2001
5933865,Skuppah 4,R,10,9,2001
5933866,Skwayaynope 26,R,5,14,2001
5933867,Spences Bridge 4,R,20,13,2001
5933868,Spintlum Flat 3,R,5,5,2001
5933869,Staiyahanny 8,R,0,0,2001
5933870,Nkaih 10,R,0,5,2001
5933871,Spences Bridge 4C,R,5,15,2001
5933872,Marble Canyon 3,R,NA,67,2001
5933873,Stryen 9,R,27,29,2001
5933874,Tsaukan 12,R,5,2,2001
5933875,Upper Hat Creek 1,R,28,31,2001
5933876,Upper Nepa 6,R,5,11,2001
5933877,Whispering Pines 4,R,60,43,2001
5933878,Yawaucht 11,R,10,11,2001
5933879,Zacht 5,R,10,9,2001
5933880,Kamloops 1,R,1410,1023,2001
5933883,Neskonlith 1 (Neskainlith),R,32,86,2001
5933884,Sahhaltkum 4,R,268,251,2001
5933885,Neskonlith 2,R,107,66,2001
5933886,Nekalliston 2,R,0,2,2001
5933887,North Thompson 1,R,237,220,2001
5933888,Louis Creek 4,R,22,13,2001
5933889,Squaam 2,R,10,14,2001
5933890,Cameron Bar 13,R,0,0,2001
5935010,Kelowna,C,96288,89442,2001
5935012,Central Okanagan I,RDA,3672,3446,2001
5935016,Lake Country,DM,9267,9007,2001
5935018,Peachland,DM,4654,4524,2001
5935025,Central Okanagan G,RDA,10066,9264,2001
5935027,Central Okanagan H,RDA,15935,13637,2001
5935801,Duck Lake 7,R,1979,1892,2001
5935802,Tsinstikeptum  9,R,5022,4545,2001
5935803,Tsinstikeptum 10,R,856,784,2001
5937005,Lumby,VL,1618,1689,2001
5937010,Coldstream,DM,9106,8975,2001
5937014,Vernon,C,33494,32165,2001
5937017,North Okanagan B,RDA,3067,3113,2001
5937021,North Okanagan C,RDA,3627,3587,2001
5937022,North Okanagan D,RDA,2840,2982,2001
5937023,North Okanagan E,RDA,938,987,2001
5937024,Spallumcheen,DM,5134,5322,2001
5937028,Armstrong,C,4256,3906,2001
5937033,Enderby,C,2818,2754,2001
5937041,North Okanagan F,RDA,3855,3997,2001
5937801,Okanagan (Part) 1,R,1800,1438,2001
5937802,Enderby 2,R,238,267,2001
5937803,Priest's Valley 6,R,436,423,2001
5937805,Harris 3,R,0,2,2001
5939007,Golden,T,4020,3968,2001
5939011,Columbia-Shuswap A,RDA,3135,3305,2001
5939019,Revelstoke,C,7500,8047,2001
5939023,Columbia-Shuswap B,RDA,625,655,2001
5939032,Salmon Arm,DM,15210,14664,2001
5939037,Columbia-Shuswap C,RDA,6762,6274,2001
5939039,Columbia-Shuswap D,RDA,3904,3904,2001
5939043,Columbia-Shuswap E,RDA,1491,1551,2001
5939044,Columbia-Shuswap F,RDA,2126,2128,2001
5939045,Sicamous,DM,2720,2827,2001
5939801,Chum Creek 2,R,83,72,2001
5939802,Hustalen 1,R,26,53,2001
5939803,North Bay 5,R,51,105,2001
5939804,Okanagan (Part) 1,R,95,67,2001
5939805,Quaaout 1,R,230,209,2001
5939806,Salmon River 1,R,34,62,2001
5939807,Scotch Creek 4,R,29,30,2001
5939808,Switsemalph 3,R,63,57,2001
5939809,Switsemalph 6,R,115,138,2001
5939810,Switsemalph 7,R,0,0,2001
5941005,100 Mile House,DM,1739,1850,2001
5941009,Williams Lake,C,11153,11235,2001
5941010,Cariboo D,RDA,3294,3450,2001
5941012,Cariboo E,RDA,4668,4872,2001
5941013,Quesnel,C,10044,10532,2001
5941014,Cariboo F,RDA,4963,4627,2001
5941015,Cariboo G,RDA,5001,5130,2001
5941016,Cariboo H,RDA,1844,2135,2001
5941017,Cariboo L,RDA,4244,4395,2001
5941019,Cariboo A,RDA,6428,6561,2001
5941021,Cariboo B,RDA,4338,4432,2001
5941025,Wells,DM,235,249,2001
5941026,Cariboo C,RDA,1323,1393,2001
5941027,Cariboo I,RDA,1773,1726,2001
5941039,Cariboo J,RDA,880,872,2001
5941041,Cariboo K,RDA,674,841,2001
5941801,Alkali Lake 1,R,396,350,2001
5941802,Canim Lake 1,R,232,231,2001
5941803,Canim Lake 4,R,0,2,2001
5941804,Canoe Creek 3,R,0,0,2001
5941805,Deep Creek 2,R,120,106,2001
5941806,Dog Creek 1,R,100,88,2001
5941807,Dog Creek 2,R,44,28,2001
5941808,Lohbiee 3,R,77,58,2001
5941809,Quesnel 1,R,53,NA,2001
5941810,Soda Creek 1,R,55,59,2001
5941811,Johny Sticks 2,R,15,37,2001
5941812,Williams Lake 1,R,273,127,2001
5941813,Canim Lake 2,R,15,17,2001
5941814,Alexandria 3A,R,26,4,2001
5941815,Alexandria 1,R,10,8,2001
5941816,Alexandria 3,R,0,5,2001
5941817,Alexis Creek 14,R,0,8,2001
5941818,Alexis Creek 16,R,0,0,2001
5941819,Alexis Creek 24,R,0,0,2001
5941820,Alexis Creek 25,R,0,0,2001
5941821,Anahim's Flat 1,R,386,NA,2001
5941822,Anahim's Meadow 2,R,15,NA,2001
5941823,Anahim's Meadow 2 A,R,0,NA,2001
5941824,Andy Cahoose Meadow 16,R,0,0,2001
5941825,Baezaeko River 25,R,0,0,2001
5941826,Cahoose  8,R,0,0,2001
5941827,Charley Boy's Meadow 3,R,5,2,2001
5941828,Chilco Lake 1,R,10,17,2001
5941829,Chilco Lake 1A,R,52,67,2001
5941830,Garden 2,R,5,4,2001
5941831,Tanakut 4,R,21,20,2001
5941832,Garden 2A,R,5,9,2001
5941833,Kluskus 1,R,52,52,2001
5941834,Louis Squinas Ranch 14,R,5,0,2001
5941835,Coglistiko River 29,R,5,2,2001
5941836,Baezaeko River 26,R,0,0,2001
5941837,Nazco 20,R,119,95,2001
5941838,Puntzi Lake 2,R,0,2,2001
5941839,Redstone Flat 1,R,185,190,2001
5941840,Squinas 2,R,319,198,2001
5941841,Stone 1,R,238,225,2001
5941842,Alexis Creek 17,R,0,0,2001
5941843,Seymour Meadows 19,R,0,0,2001
5941844,Agats Meadow 8,R,5,0,2001
5941845,Thomas Squinas Ranch 2A,R,10,3,2001
5941846,Toby's Meadow 4,R,0,0,2001
5941847,Alexis Creek  6,R,0,0,2001
5941848,Alexis Creek 21,R,0,2,2001
5941849,Baptiste Meadow 2,R,5,0,2001
5941850,Toosey 1,R,100,75,2001
5941851,Towdystan Lake 3,R,10,9,2001
5941852,Trout Lake Alec 16,R,20,15,2001
