shp,data_type,dupes,domain,category,layer,data_cols,raster,value
BCMCA_ECO_fishInverts_trawlSurvey2006_MARXAN.shp,marxan,FALSE,eco,fishinverts,trawlsurvey2006,"OBJECTID,DFO_ID,Survey,Year_,No_Tows,Catch_kg,No_Species,Density_kg,Shape_Leng,Shape_Area,Unit_ID,ID_Density,ID_Richnes,Poss_Spp,Perc_Spp,logDensity,transRichn",FALSE,
BCMCA_ECO_fishInverts_trawlSurvey2007_MARXAN.shp,marxan,FALSE,eco,fishinverts,trawlsurvey2007,"OBJECTID,DFO_ID,Survey,Year_,No_Tows,Catch_kg,No_Species,Density_kg,Shape_Leng,Shape_Area,Unit_ID,ID_Density,ID_Richnes,Poss_Spp,Perc_Spp,logDensity,transRichn",FALSE,
BCMCA_ECO_fishInverts_trawlSurvey2008_MARXAN.shp,marxan,FALSE,eco,fishinverts,trawlsurvey2008,"OBJECTID,DFO_ID,Survey,Year_,No_Tows,Catch_kg,No_Species,Density_kg,Shape_Leng,Shape_Area,Unit_ID,ID_Density,ID_Richnes,Poss_Spp,Perc_Spp,logDensity,transRichn",FALSE,
BCMCA_ECO_fishInverts_trawlSurvey2009_MARXAN.shp,marxan,FALSE,eco,fishinverts,trawlsurvey2009,"OBJECTID,DFO_ID,Survey,Year_,No_Tows,Catch_kg,No_Species,Density_kg,Shape_Leng,Shape_Area,Unit_ID,ID_Density,ID_Richnes,Poss_Spp,Perc_Spp,logDensity,transRichn",FALSE,
BCMCA_ECO_fishInverts_untrawlableAreas_MARXAN.shp,marxan,FALSE,eco,fishinverts,untrawlableareas,"OBJECTID,ID,DFO_ID,Untrawl_ar,Shape_Leng,Shape_Area,Unit_ID",FALSE,
BCMCA_ECO_Inverts_Coral_DFOobservers_MARXAN.shp,marxan,FALSE,eco,inverts,coral_dfoobservers,"OBJECTID,ID,Shape_Leng,Coral,DFO_ID,Unit_ID,Shape_Le_1,Shape_Area",TRUE,Coral
BCMCA_ECO_Inverts_Coral_DFOsurveys_MARXAN.shp,marxan,FALSE,eco,inverts,coral_dfosurveys,"OBJECTID,ID,Shape_Leng,Coral,DFO_ID,Unit_ID,Shape_Le_1,Shape_Area",TRUE,Coral
BCMCA_ECO_inverts_hab1_rockPlatformSubmerged_MARXAN.shp,marxan,FALSE,eco,inverts,hab1_rockplatformsubmerged,"ID,UNIT_ID,Shape_Leng",TRUE,UNIT_ID
BCMCA_ECO_inverts_hab2_rockSubHighCurrent_MARXAN.shp,marxan,FALSE,eco,inverts,hab2_rocksubhighcurrent,"Id,UNIT_ID,Shape_Leng",TRUE,UNIT_ID
BCMCA_ECO_inverts_hab3_sandSubstrate_MARXAN.shp,marxan,FALSE,eco,inverts,hab3_sandsubstrate,"ID,UNIT_ID,Shape_Leng",TRUE,UNIT_ID
BCMCA_ECO_inverts_hab4_mudflats_adjacentEst_MARXAN.shp,marxan,FALSE,eco,inverts,hab4_mudflats_adjacentest,"ID,UNIT_ID,Shape_Leng",TRUE,UNIT_ID
BCMCA_ECO_Inverts_Sponge_DFOobervers_MARXAN.shp,marxan,FALSE,eco,inverts,sponge_dfoobervers,"OBJECTID,ID,Shape_Leng,Sponge,DFO_ID,Unit_ID,Shape_Le_1,Shape_Area",TRUE,Sponge
BCMCA_ECO_Inverts_Sponge_DFOsurveys_MARXAN.shp,marxan,FALSE,eco,inverts,sponge_dfosurveys,"OBJECTID,ID,Shape_Leng,Sponge,DFO_ID,Unit_ID,Shape_Le_1,Shape_Area",TRUE,Sponge
BCMCA_ECO_Inverts_SpongeReefs_MARXAN.shp,marxan,FALSE,eco,inverts,spongereefs,"UNIT_ID,Shape_Leng,Shape_Area,ID",TRUE,UNIT_ID
BCMCA_ECO_Kelp_BullKelp_Bioband_MARXAN.shp,marxan,FALSE,eco,kelp,bullkelp_bioband,"MARSECTION,ID,UNIT_ID,GEOMETRY_L",TRUE,UNIT_ID
BCMCA_ECO_Kelp_BullKelp_Polygons_MARXAN.shp,marxan,FALSE,eco,kelp,bullkelp_polygons,"MARSECTION,ID_NUMBER,ID,UNIT_ID,Shape_Leng,Shape_Area",TRUE,UNIT_ID
BCMCA_ECO_Kelp_GiantKelp_Bioband_MARXAN.shp,marxan,FALSE,eco,kelp,giantkelp_bioband,"MARSECTION,ID,UNIT_ID,GEOMETRY_L",TRUE,UNIT_ID
BCMCA_ECO_Kelp_GiantKelp_Polygons_DATA.shp,feature,TRUE,eco,kelp,giantkelp_polygons,"FEATURE,DATA_SOURC,Dataset_ID,Shape_Leng,Shape_Area",TRUE,Shape_Area
BCMCA_ECO_Kelp_GiantKelp_Polygons_MARXAN.shp,marxan,TRUE,eco,kelp,giantkelp_polygons,"MARSECTION,ID_NUMBER,UNIT_ID,Shape_Leng,Shape_Area,ID",TRUE,UNIT_ID
BCMCA_ECO_Kelp_GiantPerrenialKelp_MARXAN.shp,marxan,FALSE,eco,kelp,giantperrenialkelp,"UNIT_ID,Shape_Leng,Shape_Area,ID,PRESENCE",TRUE,UNIT_ID
BCMCA_ECO_Mammals_CaliforniaSeaLionHaulouts_PlyData.shp,poly_feature,TRUE,eco,mammals,californiasealionhaulouts,Id,FALSE,
BCMCA_ECO_Mammals_CaliforniaSeaLionHaulouts_PtDATA.shp,pt_feature,TRUE,eco,mammals,californiasealionhaulouts,"RI,LOCATION,FEATURE,SPECIES,PROJECT,DataSource",FALSE,
BCMCA_ECO_Mammals_CaliforniaSeaLionHaulouts_MARXAN.shp,marxan,TRUE,eco,mammals,californiasealionhaulouts,"Id,UNIT_ID,Shape_Leng,Shape_Area",FALSE,
BCMCA_ECO_Mammals_Chlorophyll_DATA.shp,feature,TRUE,eco,mammals,chlorophyll,"POINTID,GRID_CODE",FALSE,
BCMCA_ECO_Mammals_Chlorophyll_MARXAN.shp,marxan,TRUE,eco,mammals,chlorophyll,"Unit_ID,Count_,Avg_GRID_C,Shape_Leng,Shape_Area,ID,Log_avg_gr,log10_avg_",FALSE,
BCMCA_ECO_Mammals_HarbourSealHaulouts_DATA.shp,feature,TRUE,eco,mammals,harboursealhaulouts,"KEY,SITE_NAME,MAX_HCOUNT,FIRST_HDOC,LONG_DD,MN_LAT_DEG,REGION,SUBAREA,FISH_AREA,SITE_COMM,HSEAL_ID,SOURCE,RI,DataSource",FALSE,
BCMCA_ECO_Mammals_HarbourSealHaulouts_MARXAN.shp,marxan,TRUE,eco,mammals,harboursealhaulouts,"MARSECTION,ID_NUMBER,Unit_ID,Shape_Leng,Shape_Area,ID",FALSE,
BCMCA_ECO_Mammals_StellerSeaLionHaulouts_PlyData.shp,poly_feature,TRUE,eco,mammals,stellersealionhaulouts,NA,FALSE,
BCMCA_ECO_Mammals_StellerSeaLionHaulouts_PtDATA.shp,pt_feature,TRUE,eco,mammals,stellersealionhaulouts,NA,FALSE,
BCMCA_ECO_Mammals_stellerSeaLionHaulouts_MARXAN.shp,marxan,TRUE,eco,mammals,stellersealionhaulouts,NA,FALSE,
BCMCA_ECO_Mammals_StellerSeaLionRookeries_PlyData.shp,poly_feature,TRUE,eco,mammals,stellersealionrookeries,NA,FALSE,
BCMCA_ECO_Mammals_StellerSeaLionRookeries_PtDATA.shp,pt_feature,TRUE,eco,mammals,stellersealionrookeries,NA,FALSE,
BCMCA_ECO_Mammals_stellerSeaLionRookeries_MARXAN.shp,marxan,TRUE,eco,mammals,stellersealionrookeries,NA,FALSE,
BCMCA_ECO_Physical_BenthicClasses_DATA.shp,feature,TRUE,eco,physical,benthicclasses,Marxan_ID,TRUE,Marxan_ID
BCMCA_ECO_Physical_BenthicClasses_MARXAN.shp,marxan,TRUE,eco,physical,benthicclasses,"MARXAN_ID,Unit_ID,Shape_Leng,Shape_Area,ID",FALSE,ID
BCMCA_ECO_Physical_CoastalClasses_MARXAN.shp,marxan,FALSE,eco,physical,coastalclasses,"UNIT_ID,ID,Shape_Leng",TRUE,ID
BCMCA_ECO_Physical_Ecosections_Data.shp,feature,TRUE,eco,physical,ecosections,"FID_ecosec,Id,FID_ecos_1,MARSECTION,ID_NUMBER,ID_1,Area_m2",FALSE,
BCMCA_ECO_Physical_Ecosections_MARXAN.shp,marxan,TRUE,eco,physical,ecosections,"ID,MARSECTION,Shape_Leng,Shape_Area,Unit_ID",FALSE,
BCMCA_ECO_Physical_Exposure_MARXAN.shp,marxan,FALSE,eco,physical,exposure,"UNIT_ID,ID,Shape_Leng",TRUE,ID
BCMCA_ECO_Physical_HighRugosity_DATA.shp,feature,TRUE,eco,physical,highrugosity,"ID,GRIDCODE",FALSE,
BCMCA_ECO_Physical_HighRugosity_MARXAN.shp,marxan,TRUE,eco,physical,highrugosity,"Unit_ID,Shape_Leng,Shape_Area,ID",FALSE,
BCMCA_ECO_Physical_highTidalCurrent_Data.shp,feature,FALSE,eco,physical,hightidalcurrent,"ID,GRIDCODE",FALSE,
BCMCA_ECO_Physical_HydothermalVents_DATA.shp,feature,FALSE,eco,physical,hydothermalvents,"Name_area,Longitude,Latitude,Regional_L,National_J,Full_Sprea,Tectonic_S,Depth,Activity,Deposit_Ty,Site_Descr,Dominate_b,Citations",FALSE,Latitude
BCMCA_ECO_Physical_HydrothermalVents_MARXAN.shp,marxan,FALSE,eco,physical,hydrothermalvents,"Unit_ID,Shape_Leng,Shape_Area,OCCURENCE,ID",TRUE,Unit_ID
BCMCA_ECO_Physical_Seamounts_DATA.shp,feature,TRUE,eco,physical,seamounts,"NAME,DEPTH,Source,ID",TRUE,DEPTH
BCMCA_ECO_Physical_Seamounts_MARXAN.shp,marxan,TRUE,eco,physical,seamounts,"Unit_ID,Shape_Leng,Shape_Area,ID,PRESENCE",FALSE,Unit_ID
BCMCA_ECO_VascPlants_DuneVegetation_DATA.shp,feature,TRUE,eco,vascplants,dunevegetation,"SHAPE_Leng,SHAPE_Area",TRUE,SHAPE_Area
BCMCA_ECO_VascPlants_DuneVegetation_MARXAN.shp,marxan,TRUE,eco,vascplants,dunevegetation,"UNIT_ID,Shape_Leng,Shape_Area,ID",FALSE,UNIT_ID
BCMCA_ECO_VascPlants_Eelgrass_Bioband_MARXAN.shp,marxan,FALSE,eco,vascplants,eelgrass_bioband,"MARSECTION,UNIT_ID,ID,GEOMETRY_L",TRUE,UNIT_ID
BCMCA_ECO_VascPlants_Eelgrass_Polygons_DATA.shp,feature,FALSE,eco,vascplants,eelgrass_polygons,"RA,RI,LOCATION,FEATURE,TYPE_USE,COMMENTS,SOURCE_1,SOURCE_2,SURVEY_TYP,DATE_,CONTACT,PROJECT,DATA_SOURC,Dataset_ID,SOURCETHM,SP_SRCTHM,YEAR_PHT,COVERAGE,NAME,DENSITY,REFERENCE1,REFERENCE2,OBS_METHOD,ACCURACY,DISTRIBUTI,PRIM_COV_I,SEC_COV_IN,TER_COV_IN,DISTRIBU_1,PRIM_COV_S,SEC_COV_SU,TER_COV_SU,DISTRIBU_2,LINKID,BUFF_DIST,CREW,FEATURE_TY,RI_LOS,Shape_Leng,Shape_Area",TRUE,DENSITY
BCMCA_ECO_VascPlants_EelgrassPolygons_MARXAN.shp,marxan,FALSE,eco,vascplants,eelgrasspolygons,"MARSECTION,ID,UNIT_ID,Shape_Leng,Shape_Area",FALSE,UNIT_ID
BCMCA_ECO_VascPlants_PriorityEelgrassHabitat_DATA.shp,feature,TRUE,eco,vascplants,priorityeelgrasshabitat,"RA,RI,LOCATION,FEATURE,TYPE_USE,COMMENTS,SOURCE_1,SOURCE_2,SURVEY_TYP,DATE_,CONTACT,PROJECT,DATA_SOURC,Dataset_ID,SOURCETHM,SP_SRCTHM,YEAR_PHT,COVERAGE,NAME,DENSITY,REFERENCE1,REFERENCE2,OBS_METHOD,ACCURACY,DISTRIBUTI,PRIM_COV_I,SEC_COV_IN,TER_COV_IN,DISTRIBU_1,PRIM_COV_S,SEC_COV_SU,TER_COV_SU,DISTRIBU_2,LINKID,BUFF_DIST,CREW,FEATURE_TY,RI_LOS,Shape_Leng,Shape_Area",TRUE,DENSITY
BCMCA_ECO_VascPlants_PriorityEelgrassHabitat_MARXAN.shp,marxan,TRUE,eco,vascplants,priorityeelgrasshabitat,"UNIT_ID,Shape_Leng,Shape_Area,ID",FALSE,UNIT_ID
BCMCA_ECO_VascPlants_SaltMarsh_Bioband_MARXAN.shp,marxan,FALSE,eco,vascplants,saltmarsh_bioband,"MARSECTION,UNIT_ID,ID,Shape_Leng",TRUE,UNIT_ID
BCMCA_ECO_VascPlants_Surfgrass_Bioband_MARXAN.shp,marxan,FALSE,eco,vascplants,surfgrass_bioband,"MARSECTION,UNIT_ID,ID,GEOMETRY_L",TRUE,UNIT_ID
BCMCA_hu_CommercialFish_Crab_data.shp,feature,TRUE,hu,commercialfish,crab,"OBJECTID,FID_1,VESSELS,SOAK_HRS,TRAPS,LANDED,CATCH_LB,SOAK_DAYS,SHAPE_AREA,SHAPE_LEN",TRUE,"VESSELS,SOAK_HRS,TRAPS,CATCH_LB"
BCMCA_hu_CommercialFish_crab_marxan_data.shp,marxan,TRUE,hu,commercialfish,crab,"UNIT_ID,AREA,COST,X510,ID",FALSE,
BCMCA_hu_CommercialFish_Geoduck_data.shp,feature,TRUE,hu,commercialfish,geoduck,"OBJECTID,ID,GRIDCELL,CATCH_LBS,EFFORT_HRS,SHAPE_AREA,SHAPE_LEN",TRUE,"CATCH_LBS,EFFORT_HRS"
BCMCA_hu_CommercialFish_geoduck_marxan_data.shp,marxan,TRUE,hu,commercialfish,geoduck,"UNIT_ID,AREA,COST,X511,ID",FALSE,
BCMCA_hu_CommercialFish_GreenSeaUrchin_data.shp,feature,TRUE,hu,commercialfish,greenseaurchin,"OBJECTID,ID,GRIDCELL,CATCH_LBS,EFFORT_HRS,SHAPE_AREA,SHAPE_LEN",TRUE,"CATCH_LBS,EFFORT_HRS"
BCMCA_hu_CommercialFish_greenseaurchin_marxan_data.shp,marxan,TRUE,hu,commercialfish,greenseaurchin,"UNIT_ID,AREA,COST,X512,ID",FALSE,
BCMCA_hu_CommercialFish_GroundfishTrawl_data.shp,feature,TRUE,hu,commercialfish,groundfishtrawl,"OBJECTID,FID_1,VESSELS,EFFORT_HRS,CATCH_KG,SHAPE_AREA,SHAPE_LEN",TRUE,"VESSELS,EFFORT_HRS,CATCH_KG"
BCMCA_hu_CommercialFish_groundfishTrawl_marxan_data.shp,marxan,TRUE,hu,commercialfish,groundfishtrawl,"UNIT_ID,AREA,COST,X513,ID",FALSE,
BCMCA_hu_CommercialFish_Halibut_data.shp,feature,TRUE,hu,commercialfish,halibut,"STAT_AREA,HEMI,STATUS,TYPE,REGION,REG_AREA,STAT_NUM,IPHC_STAT_,sum_lbs,avg_WPUE,Yrs_No_Dat",TRUE,"sum_lbs,avg_WPUE"
BCMCA_hu_CommercialFish_halibut_marxan_data.shp,marxan,TRUE,hu,commercialfish,halibut,"UNIT_ID,AREA,COST,X514",FALSE,
BCMCA_hu_CommercialFish_HerringRoe_Gillnet_Data.shp,feature,TRUE,hu,commercialfish,herringroe_gillnet,"MGNT_AREA,SUBAREA,NAME,LABEL,PID,Area_Name,Total_Catc",TRUE,"MGNT_AREA,Total_Catc"
BCMCA_hu_CommercialFish_herringroe_gillnet_marxan_data.shp,marxan,TRUE,hu,commercialfish,herringroe_gillnet,"UNIT_ID,AREA,COST,X515,ID",FALSE,X515
BCMCA_hu_CommercialFish_HerringRoe_Seine_Data.shp,feature,TRUE,hu,commercialfish,herringroe_seine,"MGNT_AREA,SUBAREA,NAME,LABEL,PID,Stat_Area,Total,Catch",TRUE,"MGNT_AREA,Catch"
BCMCA_hu_CommercialFish_herringroe_seine_marxan_data.shp,marxan,TRUE,hu,commercialfish,herringroe_seine,"UNIT_ID,AREA,COST,X516,ID",FALSE,X516
BCMCA_hu_CommercialFish_HumpbackShrimp_data.shp,feature,TRUE,hu,commercialfish,humpbackshrimp,"FID_SDE_EC,OBJECTID,ID,GRIDCELL,CATCH_LBS,GRIDCELL_1,CATCH_LB_1,GRIDCELL_2,CATCH_LB_2,GRIDCELL_3,CATCH_LB_3,GRIDCELL_4,CATCH_LB_4,GRIDCELL_5,CATCH_LB_5,GRIDCELL_6,CATCH_LB_6,GRIDCELL_7,CATCH_LB_7,Cumu_Catch",TRUE,CATCH_LBS
BCMCA_hu_CommercialFish_humpbackShrimp_marxan_data.shp,marxan,TRUE,hu,commercialfish,humpbackshrimp,"UNIT_ID,AREA,COST,X517,ID",FALSE,
BCMCA_hu_CommercialFish_Krill_data.shp,feature,TRUE,hu,commercialfish,krill,"OBJECTID,GRIDCELL,SHAPE_AREA,SHAPE_LEN,Sum_EFFORT,Sum_CATCH",TRUE,"Sum_EFFORT,Sum_CATCH"
BCMCA_hu_CommercialFish_krill_marxan_data.shp,marxan,TRUE,hu,commercialfish,krill,"UNIT_ID,AREA,COST,X518,ID",FALSE,
BCMCA_hu_CommercialFish_PinkShrimp_data.shp,feature,TRUE,hu,commercialfish,pinkshrimp,"OBJECTID,GRIDCELL,SHAPE_AREA,SHAPE_LEN,Sum_EFFORT,Sum_CATCH",TRUE,"Sum_EFFORT,Sum_CATCH"
BCMCA_hu_CommercialFish_pinkShrimp_marxan_data.shp,marxan,TRUE,hu,commercialfish,pinkshrimp,"UNIT_ID,AREA,COST,X522,ID",FALSE,
BCMCA_hu_CommercialFish_Prawn_data.shp,feature,TRUE,hu,commercialfish,prawn,"OBJECTID,FID_1,VESSEL,PRAWN_LB,HUMPBACK,COONSTRI,SOAKHRS,SHAPE_AREA,SHAPE_LEN",TRUE,"VESSEL,PRAWN_LB,HUMPBACK"
BCMCA_hu_CommercialFish_prawn_marxan_data.shp,marxan,TRUE,hu,commercialfish,prawn,"UNIT_ID,AREA,COST,X523,ID",FALSE,
BCMCA_hu_CommercialFish_RedSeaUrchin_data.shp,feature,TRUE,hu,commercialfish,redseaurchin,"OBJECTID,ID,GRIDCELL,CATCH_LBS,EFFORT_HRS,SHAPE_AREA,SHAPE_LEN",TRUE,"CATCH_LBS,EFFORT_HRS"
BCMCA_hu_CommercialFish_redseaurchin_marxan_data.shp,marxan,TRUE,hu,commercialfish,redseaurchin,"UNIT_ID,AREA,COST,X524,ID",FALSE,
BCMCA_hu_CommercialFish_rockfishZN_data.shp,feature,TRUE,hu,commercialfish,rockfishzn,"OBJECTID,FID_1,VESSEL,CATCH_KG,SOAKTIME,SHAPE_AREA,SHAPE_LEN",TRUE,"VESSEL,CATCH_KG,SOAKTIME"
BCMCA_hu_CommercialFish_rockfishzn_marxan_data.shp,marxan,TRUE,hu,commercialfish,rockfishzn,"UNIT_ID,AREA,COST,X535,ID",FALSE,
BCMCA_hu_CommercialFish_Sablefish_Longline_data.shp,feature,TRUE,hu,commercialfish,sablefish_longline,"OBJECTID,FID_1,VESSELS,EFFORT_HOO,CATCH_KG_,SHAPE_AREA,SHAPE_LEN",TRUE,"VESSELS,EFFORT_HOO,CATCH_KG_"
BCMCA_hu_CommercialFish_sablefish_longline_marxan_data.shp,marxan,TRUE,hu,commercialfish,sablefish_longline,"UNIT_ID,AREA,COST,X525,ID",FALSE,
BCMCA_hu_CommercialFish_Sablefish_Trap_data.shp,feature,TRUE,hu,commercialfish,sablefish_trap,"OBJECTID,FID_1,VESSELS,TRAPS,CATCH__KG_,SHAPE_AREA,SHAPE_LEN",TRUE,"TRAPS,CATCH__KG_"
BCMCA_hu_CommercialFish_sablefish_trap_marxan_data.shp,marxan,TRUE,hu,commercialfish,sablefish_trap,"UNIT_ID,AREA,COST,X526,ID",FALSE,
BCMCA_hu_CommercialFish_sardine_marxan_data.shp,marxan,FALSE,hu,commercialfish,sardine,"UNIT_ID,AREA,COST,X527,ID",FALSE,
bcmca_hu_commercialFish_Sardines_Catch_data.shp,feature,FALSE,hu,commercialfish,sardines_catch,"FID_1,ID,X_TABS,WGT_MT",FALSE,
BCMCA_hu_CommercialFish_Schedule2_data.shp,feature,TRUE,hu,commercialfish,schedule2,"OBJECTID,FID_1,VESSELS,EFFORT_MIN,CATCH_KG_,SHAPE_AREA,SHAPE_LEN",TRUE,"VESSELS,EFFORT_MIN,CATCH_KG_"
BCMCA_hu_CommercialFish_schedule2_marxan_data.shp,marxan,TRUE,hu,commercialfish,schedule2,"UNIT_ID,AREA,COST,X528,ID",FALSE,
BCMCA_hu_CommercialFish_SeaCucumber_data.shp,feature,TRUE,hu,commercialfish,seacucumber,"OBJECTID,ID,GRIDCELL,CATCH_LBS,EFFORT_HRS,SHAPE_AREA,SHAPE_LEN",TRUE,"CATCH_LBS,EFFORT_HRS"
BCMCA_hu_CommercialFish_seacucumber_marxan_data.shp,marxan,TRUE,hu,commercialfish,seacucumber,"UNIT_ID,AREA,COST,X529,ID",FALSE,
BCMCA_hu_CommercialFish_ShrimpTrawl_data.shp,feature,TRUE,hu,commercialfish,shrimptrawl,"OBJECTID,FID_1,VESSELS,CATCH_LBS_,TOW_HOURS,SHAPE_AREA,SHAPE_LEN",TRUE,"VESSELS,CATCH_LBS_,TOW_HOURS"
