year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status,rgn_name
1974,2,0,10172,506,2543,126.5,0.0497,16.57,Haida Gwaii
1975,2,0,10172,506,2543,126.5,0.0497,16.57,Haida Gwaii
1976,2,0,10172,506,2543,126.5,0.0497,16.57,Haida Gwaii
1977,2,0,10172,506,2543,126.5,0.0497,16.57,Haida Gwaii
1978,2,0,10172,506,2543,126.5,0.0497,16.57,Haida Gwaii
1979,2,0,10172,506,2543,126.5,0.0497,16.57,Haida Gwaii
1980,2,0,10172,506,2543,126.5,0.0497,16.57,Haida Gwaii
1981,2,1,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1982,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1983,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1984,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1985,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1986,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1987,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1988,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1989,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1990,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1991,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1992,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1993,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1994,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1995,2,0,10172,507,2543,126.75,0.0498,16.6,Haida Gwaii
1996,2,3236,10172,3743,2543,935.75,0.368,100,Haida Gwaii
1997,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
1998,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
1999,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
2000,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
2001,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
2002,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
2003,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
2004,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
2005,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
2006,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
2007,2,0,10172,3743,2543,935.75,0.368,100,Haida Gwaii
2008,2,2936,10172,6679,2543,1669.75,0.6566,100,Haida Gwaii
2009,2,0,10172,6679,2543,1669.75,0.6566,100,Haida Gwaii
2010,2,13,10172,6692,2543,1673,0.6579,100,Haida Gwaii
2011,2,0,10172,6692,2543,1673,0.6579,100,Haida Gwaii
2012,2,0,10172,6692,2543,1673,0.6579,100,Haida Gwaii
2013,2,0,10172,6692,2543,1673,0.6579,100,Haida Gwaii
1886,3,0,14347,0,3586.75,0,0,0,Central Coast
1911,3,0,14347,0,3586.75,0,0,0,Central Coast
1913,3,0,14347,0,3586.75,0,0,0,Central Coast
1914,3,0,14347,0,3586.75,0,0,0,Central Coast
1920,3,0,14347,0,3586.75,0,0,0,Central Coast
1921,3,0,14347,0,3586.75,0,0,0,Central Coast
1922,3,0,14347,0,3586.75,0,0,0,Central Coast
1923,3,0,14347,0,3586.75,0,0,0,Central Coast
1927,3,0,14347,0,3586.75,0,0,0,Central Coast
1928,3,0,14347,0,3586.75,0,0,0,Central Coast
1931,3,0,14347,0,3586.75,0,0,0,Central Coast
1934,3,0,14347,0,3586.75,0,0,0,Central Coast
1936,3,0,14347,0,3586.75,0,0,0,Central Coast
1937,3,0,14347,0,3586.75,0,0,0,Central Coast
1938,3,0,14347,0,3586.75,0,0,0,Central Coast
1939,3,0,14347,0,3586.75,0,0,0,Central Coast
1940,3,0,14347,0,3586.75,0,0,0,Central Coast
1941,3,0,14347,0,3586.75,0,0,0,Central Coast
1943,3,0,14347,0,3586.75,0,0,0,Central Coast
1944,3,0,14347,0,3586.75,0,0,0,Central Coast
1946,3,0,14347,0,3586.75,0,0,0,Central Coast
1947,3,0,14347,0,3586.75,0,0,0,Central Coast
1948,3,0,14347,0,3586.75,0,0,0,Central Coast
1949,3,0,14347,0,3586.75,0,0,0,Central Coast
1950,3,0,14347,0,3586.75,0,0,0,Central Coast
1951,3,0,14347,0,3586.75,0,0,0,Central Coast
1953,3,0,14347,0,3586.75,0,0,0,Central Coast
1954,3,0,14347,0,3586.75,0,0,0,Central Coast
1955,3,0,14347,0,3586.75,0,0,0,Central Coast
1956,3,0,14347,0,3586.75,0,0,0,Central Coast
1957,3,0,14347,0,3586.75,0,0,0,Central Coast
1958,3,0,14347,0,3586.75,0,0,0,Central Coast
1959,3,0,14347,0,3586.75,0,0,0,Central Coast
1960,3,0,14347,0,3586.75,0,0,0,Central Coast
1961,3,0,14347,0,3586.75,0,0,0,Central Coast
1962,3,0,14347,0,3586.75,0,0,0,Central Coast
1963,3,0,14347,0,3586.75,0,0,0,Central Coast
1964,3,0,14347,0,3586.75,0,0,0,Central Coast
1965,3,0,14347,0,3586.75,0,0,0,Central Coast
1966,3,0,14347,0,3586.75,0,0,0,Central Coast
1967,3,0,14347,0,3586.75,0,0,0,Central Coast
1968,3,0,14347,0,3586.75,0,0,0,Central Coast
1969,3,0,14347,0,3586.75,0,0,0,Central Coast
1970,3,0,14347,0,3586.75,0,0,0,Central Coast
1971,3,4,14347,4,3586.75,1,3e-04,0.1,Central Coast
1972,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1973,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1974,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1975,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1976,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1977,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1978,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1979,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1980,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1981,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1982,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1983,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1984,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1985,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1986,3,0,14347,4,3586.75,1,3e-04,0.1,Central Coast
1987,3,496,14347,500,3586.75,125,0.0349,11.63,Central Coast
1988,3,0,14347,500,3586.75,125,0.0349,11.63,Central Coast
1989,3,0,14347,500,3586.75,125,0.0349,11.63,Central Coast
1990,3,0,14347,500,3586.75,125,0.0349,11.63,Central Coast
1991,3,0,14347,500,3586.75,125,0.0349,11.63,Central Coast
1992,3,59,14347,559,3586.75,139.75,0.039,13,Central Coast
1993,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
1994,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
1995,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
1996,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
1997,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
1998,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
1999,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
2000,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
2001,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
2002,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
2003,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
2004,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
2005,3,0,14347,559,3586.75,139.75,0.039,13,Central Coast
2006,3,1540,14347,2099,3586.75,524.75,0.1463,48.77,Central Coast
2007,3,1082,14347,3181,3586.75,795.25,0.2217,73.9,Central Coast
2008,3,2391,14347,5572,3586.75,1393,0.3884,100,Central Coast
2009,3,0,14347,5572,3586.75,1393,0.3884,100,Central Coast
2010,3,0,14347,5572,3586.75,1393,0.3884,100,Central Coast
2011,3,0,14347,5572,3586.75,1393,0.3884,100,Central Coast
2012,3,0,14347,5572,3586.75,1393,0.3884,100,Central Coast
2013,3,0,14347,5572,3586.75,1393,0.3884,100,Central Coast
1886,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1911,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1913,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1914,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1920,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1921,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1922,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1923,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1927,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1928,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1931,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1934,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1936,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1937,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1938,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1939,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1940,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1941,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1943,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1944,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1946,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1947,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1948,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1949,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1950,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1951,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1953,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1954,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1955,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1956,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1957,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1958,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1959,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1960,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1961,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1962,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1963,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1964,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1965,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1966,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1967,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1968,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1969,4,0,14647,0,3661.75,0,0,0,North Vancouver Island
1970,4,15,14647,15,3661.75,3.75,0.001,0.33,North Vancouver Island
1971,4,1,14647,16,3661.75,4,0.0011,0.37,North Vancouver Island
1972,4,0,14647,16,3661.75,4,0.0011,0.37,North Vancouver Island
1973,4,346,14647,362,3661.75,90.5,0.0247,8.23,North Vancouver Island
1974,4,12,14647,374,3661.75,93.5,0.0255,8.5,North Vancouver Island
1975,4,0,14647,374,3661.75,93.5,0.0255,8.5,North Vancouver Island
1976,4,0,14647,374,3661.75,93.5,0.0255,8.5,North Vancouver Island
1977,4,0,14647,374,3661.75,93.5,0.0255,8.5,North Vancouver Island
1978,4,0,14647,374,3661.75,93.5,0.0255,8.5,North Vancouver Island
1979,4,0,14647,374,3661.75,93.5,0.0255,8.5,North Vancouver Island
1980,4,0,14647,374,3661.75,93.5,0.0255,8.5,North Vancouver Island
1981,4,0,14647,374,3661.75,93.5,0.0255,8.5,North Vancouver Island
1982,4,20,14647,394,3661.75,98.5,0.0269,8.97,North Vancouver Island
1983,4,0,14647,394,3661.75,98.5,0.0269,8.97,North Vancouver Island
1984,4,0,14647,394,3661.75,98.5,0.0269,8.97,North Vancouver Island
1985,4,0,14647,394,3661.75,98.5,0.0269,8.97,North Vancouver Island
1986,4,99,14647,493,3661.75,123.25,0.0337,11.23,North Vancouver Island
1987,4,0,14647,493,3661.75,123.25,0.0337,11.23,North Vancouver Island
1988,4,5,14647,498,3661.75,124.5,0.034,11.33,North Vancouver Island
1989,4,0,14647,498,3661.75,124.5,0.034,11.33,North Vancouver Island
1990,4,21,14647,519,3661.75,129.75,0.0354,11.8,North Vancouver Island
1991,4,0,14647,519,3661.75,129.75,0.0354,11.8,North Vancouver Island
1992,4,90,14647,609,3661.75,152.25,0.0416,13.87,North Vancouver Island
1993,4,0,14647,609,3661.75,152.25,0.0416,13.87,North Vancouver Island
1994,4,0,14647,609,3661.75,152.25,0.0416,13.87,North Vancouver Island
1995,4,151,14647,760,3661.75,190,0.0519,17.3,North Vancouver Island
1996,4,70,14647,830,3661.75,207.5,0.0567,18.9,North Vancouver Island
1997,4,13,14647,843,3661.75,210.75,0.0576,19.2,North Vancouver Island
1998,4,0,14647,843,3661.75,210.75,0.0576,19.2,North Vancouver Island
1999,4,0,14647,843,3661.75,210.75,0.0576,19.2,North Vancouver Island
2000,4,0,14647,843,3661.75,210.75,0.0576,19.2,North Vancouver Island
2001,4,0,14647,843,3661.75,210.75,0.0576,19.2,North Vancouver Island
2002,4,0,14647,843,3661.75,210.75,0.0576,19.2,North Vancouver Island
2003,4,0,14647,843,3661.75,210.75,0.0576,19.2,North Vancouver Island
2004,4,0,14647,843,3661.75,210.75,0.0576,19.2,North Vancouver Island
2005,4,0,14647,843,3661.75,210.75,0.0576,19.2,North Vancouver Island
2006,4,217,14647,1060,3661.75,265,0.0724,24.13,North Vancouver Island
2007,4,445,14647,1505,3661.75,376.25,0.1028,34.27,North Vancouver Island
2008,4,11,14647,1516,3661.75,379,0.1035,34.5,North Vancouver Island
2009,4,170,14647,1686,3661.75,421.5,0.1151,38.37,North Vancouver Island
2010,4,0,14647,1686,3661.75,421.5,0.1151,38.37,North Vancouver Island
2011,4,0,14647,1686,3661.75,421.5,0.1151,38.37,North Vancouver Island
2012,4,0,14647,1686,3661.75,421.5,0.1151,38.37,North Vancouver Island
2013,4,3,14647,1689,3661.75,422.25,0.1153,38.43,North Vancouver Island
1886,5,0,8132,0,2033,0,0,0,West Vancouver Island
1911,5,69,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1913,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1914,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1920,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1921,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1922,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1923,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1927,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1928,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1931,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1934,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1936,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1937,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1938,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1939,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1940,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1941,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1943,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1944,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1946,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1947,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1948,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1949,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1950,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1951,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1953,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1954,5,0,8132,69,2033,17.25,0.0085,2.83,West Vancouver Island
1955,5,49,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1956,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1957,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1958,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1959,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1960,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1961,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1962,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1963,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1964,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1965,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1966,5,0,8132,118,2033,29.5,0.0145,4.83,West Vancouver Island
1967,5,6,8132,124,2033,31,0.0152,5.07,West Vancouver Island
1968,5,0,8132,124,2033,31,0.0152,5.07,West Vancouver Island
1969,5,0,8132,124,2033,31,0.0152,5.07,West Vancouver Island
1970,5,0,8132,124,2033,31,0.0152,5.07,West Vancouver Island
1971,5,1,8132,125,2033,31.25,0.0154,5.13,West Vancouver Island
1972,5,4,8132,129,2033,32.25,0.0159,5.3,West Vancouver Island
1973,5,0,8132,129,2033,32.25,0.0159,5.3,West Vancouver Island
1974,5,4,8132,133,2033,33.25,0.0164,5.47,West Vancouver Island
1975,5,0,8132,133,2033,33.25,0.0164,5.47,West Vancouver Island
1976,5,0,8132,133,2033,33.25,0.0164,5.47,West Vancouver Island
1977,5,0,8132,133,2033,33.25,0.0164,5.47,West Vancouver Island
1978,5,0,8132,133,2033,33.25,0.0164,5.47,West Vancouver Island
1979,5,0,8132,133,2033,33.25,0.0164,5.47,West Vancouver Island
1980,5,0,8132,133,2033,33.25,0.0164,5.47,West Vancouver Island
1981,5,18,8132,151,2033,37.75,0.0186,6.2,West Vancouver Island
1982,5,0,8132,151,2033,37.75,0.0186,6.2,West Vancouver Island
1983,5,0,8132,151,2033,37.75,0.0186,6.2,West Vancouver Island
1984,5,0,8132,151,2033,37.75,0.0186,6.2,West Vancouver Island
1985,5,0,8132,151,2033,37.75,0.0186,6.2,West Vancouver Island
1986,5,270,8132,421,2033,105.25,0.0518,17.27,West Vancouver Island
1987,5,0,8132,421,2033,105.25,0.0518,17.27,West Vancouver Island
1988,5,3,8132,424,2033,106,0.0521,17.37,West Vancouver Island
1989,5,7,8132,431,2033,107.75,0.053,17.67,West Vancouver Island
1990,5,0,8132,431,2033,107.75,0.053,17.67,West Vancouver Island
1991,5,17,8132,448,2033,112,0.0551,18.37,West Vancouver Island
1992,5,0,8132,448,2033,112,0.0551,18.37,West Vancouver Island
1993,5,0,8132,448,2033,112,0.0551,18.37,West Vancouver Island
1994,5,0,8132,448,2033,112,0.0551,18.37,West Vancouver Island
1995,5,480,8132,928,2033,232,0.1141,38.03,West Vancouver Island
1996,5,107,8132,1035,2033,258.75,0.1273,42.43,West Vancouver Island
1997,5,13,8132,1048,2033,262,0.1289,42.97,West Vancouver Island
1998,5,0,8132,1048,2033,262,0.1289,42.97,West Vancouver Island
