goal,lag,adj_r_squared,intercept,res_reg,res_soc
MAR,2,0.823923822243636,-0.8568***,1.0732***,NA
MAR,3,0.824580552856995,-0.3171**,0.4177**,NA
MAR,4,0.8526158544638321,0.2224*,-0.2843*,NA
MAR,1,0.6457159466222903,-0.0630**,NA,NA
MAR,5,0.8580493142213494,0.1059***,NA,NA
MAR,6,0.8895837537866671,0.1212***,NA,NA
SAL,1,0.4468717530774513,0.0013,-0.1237°,NA
SAL,2,0.5859609959605113,-0.0053,-0.2475*,NA
SAL,3,0.6270444088118332,0.0018,-0.3489*,NA
SAL,4,0.6290161417162962,0.0402,-0.4324*,NA
SAL,5,0.6365386950259573,0.0676,-0.5525*,NA
SAL,6,0.6433537901822165,0.0778,-0.6443*,NA
SAL,3,0.6320765945214848,-0.4193**,NA,0.4906*
SAL,4,0.6103869149603265,-0.4665**,NA,0.5797*
SAL,5,0.6247043837103532,-0.6085**,NA,0.7850**
SAL,6,0.6440706922738446,-0.7456***,NA,0.9672**
SPP,2,0.5986469349099446,-0.0113,-0.2510°,NA
SPP,3,0.5989733403932836,-0.0018,-0.2825°,NA
SPP,4,0.6287336811200737,0.0307,-0.3524°,NA
SPP,5,0.6361133228942022,0.0629,-0.4581°,NA
SPP,1,0.4912690532346541,-0.0783,NA,0.0779
SPP,2,0.6146090900988298,-0.2192°,NA,0.2329
SPP,3,0.6201558388371358,-0.2319,NA,0.2533
SPP,4,0.6607285202470163,-0.2728°,NA,0.3411
SPP,5,0.6734599271656592,-0.3579°,NA,0.4832°
SPP,6,0.6605592470655707,-0.5230*,NA,0.6721*
SPP,1,0.47370710079593337,-0.0279*,NA,NA
SPP,6,0.5853109156086416,-0.1183***,NA,NA
TR,3,0.6909814328526528,0.2375°,NA,-0.3903°
TR,4,0.7148260038946244,0.3762**,NA,-0.5636*
TR,5,0.6507150780109727,0.5746**,NA,-0.8488**
TR,6,0.7092156400466196,0.5527**,NA,-0.7951**
TR,1,0.4957870546922847,-0.0227°,NA,NA
TR,2,0.6504069272819712,-0.0318*,NA,NA
