goal,model,lag,yrs,rgns,adj_r_squared,aic,model_error,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,res_ecol,res_reg,res_soc,rmse,rsquared,mae,rmsesd,rsquaredsd,maesd
CW,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,degenerate model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_soc + factor(year) + factor(rgn_code),1,14,5,0.1385251149292821,-444.28203814224497,NA,0.0027,NA,-0.0048,0.0024,0.0028,NA,0.0016,0.0022,-0.0137,-0.0014,0.0061,-0.0080,0.0200°,-0.0175,-0.0029,0.0077,0.0139,-0.0227*,0.0084,0.0000,0.0014,0.0005,NA,NA,-0.0067,0.019855223377477603,0.1648588111218321,0.01257744121732848,0.0067933477701442625,0.15751494938732338,0.0037961306175113897
CW,d_prs ~ res_soc + factor(year) + factor(rgn_code),2,13,5,0.10926180803640773,-390.2791394837177,NA,-0.0176,NA,-0.0107,0.0028,0.0034,NA,-0.0000,0.0003,-0.0014,0.0183,0.0117,0.0253*,0.0151,-0.0069,0.0185,0.0356**,0.0037,-0.0008,0.0221°,0.0152,0.0157,NA,NA,NA,0.0013,0.023854186560018465,0.07659465911592578,0.01539786068188178,0.005085701636936276,0.083291819189365,0.002592705366003542
CW,d_prs ~ res_soc + factor(year) + factor(rgn_code),3,12,5,0.11024058849055396,-355.6556324303049,NA,0.0049,NA,-0.0134,0.0100,0.0111,NA,0.0086,0.0102,0.0060,0.0118,0.0332*,0.0088,0.0139,0.0021,0.0344**,0.0125,0.0133,0.0004,0.0248°,0.0169,NA,NA,NA,NA,-0.0390,0.023783676186960173,0.14461585726389917,0.016088592822418205,0.009406234772922174,0.14550870002308153,0.004210138853842876
CW,d_prs ~ res_soc + factor(year) + factor(rgn_code),4,11,5,0.22246046717270018,-347.58149511317396,NA,0.0381,NA,-0.0155,0.0177,0.0188,NA,0.0183,0.0207,-0.0078,0.0259*,0.0090,0.0003,0.0161,0.0098,0.0041,0.0150,0.0072,-0.0044,0.0191°,NA,NA,NA,NA,NA,-0.0844,0.02151861074098523,0.2008090358394116,0.016492593763962452,0.006158834110416193,0.18476782500790365,0.0037110339408554615
CW,d_prs ~ res_soc + factor(year) + factor(rgn_code),5,10,5,0.2246677994199292,-293.9215769210396,NA,0.0692,NA,-0.0163,0.0263,0.0266,NA,0.0288,0.0331,0.0195,0.0155,0.0144,0.0162,0.0389**,-0.0051,0.0206,0.0230°,0.0164,0.0037,NA,NA,NA,NA,NA,NA,-0.1461,0.026903591134136474,0.20972699548104828,0.019252030503518546,0.008455010271127137,0.21995430217286407,0.005316553662767142
CW,d_prs ~ res_soc + factor(year) + factor(rgn_code),6,9,5,0.39058924896133196,-285.57861777830124,NA,0.0294,NA,-0.0291°,0.0168,0.0160,NA,0.0170,0.0276,-0.0178,-0.0070,0.0022,0.0103,-0.0058,-0.0168,0.0010,0.0050,-0.0022,NA,NA,NA,NA,NA,NA,NA,-0.0602,0.022751082011754048,0.36667275526310317,0.01655381614648923,0.006631299439592141,0.1992435143950115,0.003959980352923627
CW,intercept only,1,14,6,0.124193913596923,-535.5728555125961,NA,0.0004,-0.0022,-0.0074,-0.0008,-0.0004,NA,-0.0019,-0.0014,-0.0117,-0.0013,0.0053,-0.0071,0.0173°,-0.0150,-0.0024,0.0067,0.0120,-0.0196*,0.0074,0.0001,0.0013,0.0005,NA,NA,NA,0.019183916490444916,0.09267634950177966,0.01171190793146944,0.00535280834581089,0.13830743748533586,0.0027816434182194195
CW,intercept only,2,13,6,0.10688081581206832,-472.33722703253716,NA,-0.0106,-0.0045,-0.0150*,-0.0014,-0.0009,NA,-0.0042,-0.0039,-0.0012,0.0158,0.0098,0.0217*,0.0132,-0.0058,0.0161,0.0307**,0.0030,-0.0007,0.0192°,0.0131,0.0135,NA,NA,NA,NA,0.020596227349660115,0.1049596846251314,0.013482066206144486,0.006354197738130683,0.08750246445984894,0.00300404696213823
CW,intercept only,3,12,6,0.12045074901329822,-431.6000252005649,NA,-0.0118,-0.0065,-0.0226**,-0.0018,-0.0009,NA,-0.0051,-0.0041,0.0052,0.0098,0.0283*,0.0072,0.0119,0.0018,0.0297**,0.0107,0.0115,0.0006,0.0216°,0.0148,NA,NA,NA,NA,NA,0.021839767677652566,0.14176596278819692,0.014235796525042487,0.00785755703100631,0.16338712848288928,0.0033460372950504962
