term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared
res_reg,8.318123376383458e-4,0.0012599360718502134,0.6602020183586229,0.5111467561669545,CSS,77,11,5,-0.007478316609805802
(Intercept),0.9999739871175414,4.541378616386322e-4,2201.9172405256168,2.3872090761404343e-184,CW,77,11,5,0
(Intercept),0.062291721742638306,2.8963239263625513,0.021507166783264302,0.9828982035635707,FIS,77,11,5,-0.010643801065660652
res_reg,2.805106054125958,6.278838788401991,0.4467555464726109,0.6563389748695497,FIS,77,11,5,-0.010643801065660652
(Intercept),0.9397510439343634,0.06029283119279206,15.58644743235593,8.811994037369778e-27,HAB,88,11,5,-0.0024919647083565533
res_reg,0.10238193985523433,0.11564794106820166,0.8852897761046702,0.37846897781049926,HAB,88,11,5,-0.0024919647083565533
(Intercept),1.0220607619882096,0.01122774233526174,91.02994453108667,2.7314334469908297e-87,ICO,88,11,5,0.023433743954924702
res_reg,-0.037842447285838805,0.021535981280516356,-1.7571731138192872,0.08244720516118623,ICO,88,11,5,0.023433743954924702
(Intercept),2.187967542645328,0.28923726856964455,7.564611412164867,7.470687727128593e-11,LSP,77,11,5,0
(Intercept),1.729706640021523,1.1681984425527583,1.4806616556017245,0.1438436608798962,SAL,63,9,5,-0.009867934727643357
res_reg,-1.3565604305362768,2.1607243148371924,-0.6278267066377192,0.5324608769917393,SAL,63,9,5,-0.009867934727643357
(Intercept),0.9939004119065671,0.00390277694130024,254.66492880718965,1.5102532982005625e-125,SPP,88,11,5,0.01934577168073337
res_reg,0.012337683502840186,0.00748593338180783,1.6481155887418106,0.10297784805580783,SPP,88,11,5,0.01934577168073337
(Intercept),0.9904239639553298,0.02370147308939107,41.78744334666059,6.256649125986132e-24,TR,25,5,5,0
(Intercept),0.794392972873127,0.13021492683449093,6.100629107466585,5.6669701102184696e-8,AO,70,10,6,0.00674489813611423
res_reg,0.2739184694229815,0.22603501088741368,1.2118408929111348,0.2297674292086129,AO,70,10,6,0.00674489813611423
(Intercept),0.9931768325912669,0.0036987080299357477,268.5199330557919,1.2742880418457933e-104,CPP,70,10,6,0.010477084290812844
res_reg,0.008939555883293263,0.006795493012338805,1.3155124826206739,0.1927560697572815,CPP,70,10,6,0.010477084290812844
(Intercept),0.9990300732425813,9.1640633738853e-4,1090.1605897766956,5.485380394024175e-146,CSS,70,10,6,-0.01200990493008125
res_reg,7.166039607106958e-4,0.0016836778712416868,0.4256182093681681,0.671730130482657,CSS,70,10,6,-0.01200990493008125
(Intercept),0.9995229727922219,3.9967486825402026e-4,2500.840188322669,8.97724029150362e-173,CW,70,10,6,0
(Intercept),-0.5517962477762873,3.3848642820651746,-0.16301872151861438,0.8709871983313273,FIS,70,10,6,-0.00991693288705009
res_reg,4.186533456383969,7.372636290248346,0.567847550261149,0.5720087252481146,FIS,70,10,6,-0.00991693288705009
(Intercept),0.9228888029227545,0.07346770321221434,12.561830063707777,2.0025667125680638e-20,HAB,80,10,6,-0.0016421453506239025
res_reg,0.13172901087154043,0.14118912059906943,0.9329968931926944,0.3537007353449423,HAB,80,10,6,-0.0016421453506239025
(Intercept),1.0271598195956297,0.013201723290424404,77.80498022865385,1.0801407606269364e-75,ICO,80,10,6,0.028609426799050763
res_reg,-0.04627462470105103,0.025370872101217207,-1.823927238939135,0.07199322244993787,ICO,80,10,6,0.028609426799050763
(Intercept),2.470962178584375,0.35554309497917524,6.94982468645356,1.6397326743223876e-9,LSP,70,10,6,0
(Intercept),0.4400540399954432,1.39828606423245,0.314709594303937,0.7541949762111896,SAL,56,8,6,-0.015051459105179799
res_reg,1.1139260804239732,2.59371874200413,0.42947065245912447,0.6692895408927471,SAL,56,8,6,-0.015051459105179799
(Intercept),0.994040859689443,0.003825978257132313,259.8135151020191,2.4169028679504532e-116,SPP,80,10,6,0.02339733180634962
res_reg,0.012505380677887869,0.007352707134389675,1.700785907737083,0.09296706767204649,SPP,80,10,6,0.02339733180634962
(Intercept),0.9809584283378247,0.023744048566081512,41.31386547697382,4.5257482255179084e-20,TR,20,4,6,0
