goal,r_squared,aic,fixed_effects,intercept,pred_status,rgn_namecentral_coast,rgn_namehaida_gwaii,rgn_namenorth_coast,rgn_namenorth_vancouver_island,rgn_namepacific_offshore,rgn_namestrait_of_georgia,rgn_namewest_vancouver_island
FP,0.0729200827104508,1039.310972590327,none,38.26917 ***,0.21389 **,NA,NA,NA,NA,NA,NA,NA
FP,0.49118041324126904,971.5906100700373,region,43.10562 ***,0.03112,14.87452 ***,1.38516,4.2855,13.05452 **,-21.90402 ***,13.41994 **,12.49612 **
HAB,0.009269168104473202,738.274997982645,none,91.0929 ***,0.06511,NA,NA,NA,NA,NA,NA,NA
HAB,0.8038573244014732,537.6498501403094,region,100.57517 ***,-0.00691,-3.72194 ***,-2.87882 ***,-0.78697,-1.24391 .,0.08466,-12.19857 ***,-0.013
HS,0.473460163088128,305.31176681712196,none,38.01923 ***,0.61811 ***,NA,NA,NA,NA,NA,NA,NA
HS,0.9769668632359227,-39.46227890215831,region,84.93828 ***,0.15267 ***,-0.20965 **,-0.2107 **,-0.21247 **,-0.40908 ***,NA,-3.40894 ***,-0.32341 ***
ICO,-0.004719223448429011,303.0432437292369,none,68.54563 ***,-0.00679,NA,NA,NA,NA,NA,NA,NA
ICO,0.852767787879576,63.90906120741391,region,67.40273 ***,0.00049,0.00042,0.00042,-0.00479,0.61301 ***,1.69138 ***,1.16118 ***,1.69156 ***
Index,0.2995923114131076,777.0450882875291,none,38.14986 ***,0.50066 ***,NA,NA,NA,NA,NA,NA,NA
Index,0.8094445321030639,617.1087466086166,region,67.09638 ***,0.10615 *,1.53351,4.10649 ***,2.73713 **,2.70436 **,-11.42581 ***,0.43374,6.04041 ***
LSP,0.0076656203706683135,1009.8915782634314,none,38.519 ***,0.11187,NA,NA,NA,NA,NA,NA,NA
LSP,0.5677406438785888,926.6749685368088,region,62.58209 ***,-0.07259,-7.41609,15.79879 *,-30.36362 ***,-37.51299 ***,NA,-41.2207 ***,4.23398
LV,0.2787226555194039,452.6658645915135,none,59.31003 ***,0.27794 ***,NA,NA,NA,NA,NA,NA,NA
LV,0.41840817228875526,436.7541909080352,region,68.91606 ***,0.15944 **,NA,-1.89248 *,-2.23537 **,-2.43663 **,NA,1.39841,-0.46569
LVF,-0.007325349719737639,597.1353618816836,none,71.0058 ***,-0.0354,NA,NA,NA,NA,NA,NA,NA
LVF,0.5611689235041026,522.1179736831309,region,78.0755 ***,-0.09308 *,NA,-2.54327 *,-11.26377 ***,-5.73278 ***,NA,0.86694,-2.30021 .
LVO,0.0037812809282714577,484.9759959764176,none,86.34475 ***,0.04773,NA,NA,NA,NA,NA,NA,NA
LVO,0.5337105249177558,416.84940931598726,region,94.08361 ***,-0.07344 *,NA,0.30841,5.54953 ***,1.08759,NA,5.64521 ***,3.76609 ***
SAL,-0.08102222737847953,625.0819212114645,region,56.39854 ***,-0.00512,3.71388,3.71388,0,3.71388,NA,3.71388,3.71388
SAL,-0.013026362152928739,614.4292344536716,none,59.31012 ***,-0.00604,NA,NA,NA,NA,NA,NA,NA
SP,0.02032380244098342,1025.2513069472268,none,48.45097 ***,0.14867 .,NA,NA,NA,NA,NA,NA,NA
SP,0.5661578684511139,927.6737319689414,region,59.91943 ***,-0.04682,2.06848,13.80172 ***,-9.40617 **,-12.33276 ***,12.06081 ***,-13.80931 ***,8.86074 **
SPP,0.19444063673853684,615.4202857173444,none,68.04845 ***,0.23163 ***,NA,NA,NA,NA,NA,NA,NA
SPP,0.9987105162180879,-201.8697420489757,region,86.44512 ***,0.00075,2.08223 ***,2.227 ***,-1.64233 ***,0.79193 ***,7.96476 ***,-1.52346 ***,3.53859 ***
TR,0.053959988836849604,175.39632028391225,none,120.51321 ***,-0.27389,NA,NA,NA,NA,NA,NA,NA
TR,0.2653895614440155,172.2963263618173,region,134.71706 ***,-0.41066 *,NA,NA,-9.90495 *,0.35384,NA,2.89074,0.29707
