goal,model,lag,yrs,rgns,adj_r_squared,aic,model_error,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,res_ecol,res_reg,res_soc
AO,intercept only,2,13,6,0.4737165666965245,-184.34955476552022,NA,-0.1000*,0.0135,0.0137,-0.0048,0.0486,NA,0.0275,0.0338,0.0827°,0.1557**,0.1746***,0.1246**,0.0484,-0.0698,-0.1094*,-0.1051*,0.0062,0.0782°,0.0524,0.0961*,0.0996*,NA,NA,NA,NA
AO,d_prs ~ res_reg + factor(year) + factor(rgn_code),3,12,6,0.642335293208891,-170.0502607847622,NA,-0.0836°,0.0350,0.0395,-0.0101,0.0706*,NA,0.0393,0.0627°,0.1284**,0.1846***,0.1736***,0.0726,-0.0748,-0.1532**,-0.2005***,-0.0782°,-0.0326,0.0840°,0.0584,0.1039*,NA,NA,NA,-0.0713,NA
AO,d_prs ~ res_ecol + factor(year) + factor(rgn_code),3,12,6,0.638031244302454,-168.96172574259725,NA,5.7738,0.2287,0.2305,0.0117,0.2425,NA,0.1330,0.1941,0.1285**,0.1775**,0.1667**,0.0545,-0.0805,-0.1590**,-0.2128***,-0.0852°,-0.0483,0.0690,0.0384,0.0926°,NA,NA,-7.0275,NA,NA
AO,d_prs ~ res_soc + factor(year) + factor(rgn_code),3,12,5,0.6525617644782625,-151.92267055330035,NA,-0.9578°,NA,-0.1308°,0.0032,-0.0237,NA,-0.1534,-0.0793,0.1387**,0.1690***,0.1648**,0.0706,-0.0488,-0.1347*,-0.1897***,-0.0815°,-0.0418,0.0827°,0.0263,0.0594,NA,NA,NA,NA,1.5509°
AO,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),3,12,6,0.6377485639509453,-168.18148859813397,NA,13.1753,0.4668,0.4888,0.0160,0.4416,NA,0.2324,0.3847,0.1284**,0.1715**,0.1606*,0.0346,-0.0875,-0.1657**,-0.2128***,-0.0778°,-0.0444,0.0722,0.0469,0.1109*,NA,NA,-15.8483,-0.0758,NA
AO,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),3,12,5,0.6490066639396521,-150.46197077124268,NA,-0.7408,NA,-0.0947,-0.0121,-0.0134,NA,-0.1214,-0.0478,0.1365**,0.1659**,0.1595**,0.0632,-0.0587,-0.1422**,-0.1890***,-0.0784,-0.0336,0.0928°,0.0403,0.0729,NA,NA,NA,-0.0569,1.2041
AO,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),3,12,5,0.6465718370350787,-149.9227559541002,NA,-0.5881,NA,-0.1302,-0.0078,-0.0252,NA,-0.1596,-0.0822,0.1387**,0.1686*,0.1644*,0.0695,-0.0492,-0.1351°,-0.1900**,-0.0815°,-0.0422,0.0824,0.0260,0.0595,NA,NA,-0.4269,NA,1.5493°
AO,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),3,12,5,0.6431654760726002,-148.5311430825018,NA,10.3720,NA,-0.0727,-0.3426,-0.0589,NA,-0.3047,-0.1303,0.1360**,0.1545*,0.1475°,0.0307,-0.0717,-0.1544*,-0.2000**,-0.0786,-0.0428,0.0841,0.0320,0.0781,NA,NA,-12.8010,-0.0639,1.1122
AO,intercept only,3,12,6,0.6429552320028787,-170.93537955259154,NA,-0.1049**,0.0372,0.0315,-0.0002,0.0778*,NA,0.0471,0.0517,0.1285**,0.1833***,0.1726***,0.0714,-0.0749,-0.1535**,-0.2072***,-0.0852°,-0.0428,0.0745,0.0440,0.0899°,NA,NA,NA,NA,NA
AO,d_prs ~ res_reg + factor(year) + factor(rgn_code),4,11,6,0.6799491903408259,-145.2044322339784,NA,-0.0306,0.0291,0.0362,-0.0088,0.0900*,NA,0.0456,0.0713°,0.1109*,0.1420**,0.0768,-0.0974°,-0.2011***,-0.2889***,-0.2232***,-0.1636**,-0.0732,0.0369,0.0132,NA,NA,NA,NA,-0.0860,NA
AO,d_prs ~ res_ecol + factor(year) + factor(rgn_code),4,11,6,0.6991794801062735,-150.4095725290481,NA,298.6234*,9.7778*,10.1826*,0.6077*,8.4932*,NA,4.4262*,7.3452*,0.1110*,-0.1554,-0.2204,-0.9558*,-0.4869***,-0.5697***,-0.5170***,-0.1721***,-0.3660**,-0.2551°,-0.2848*,NA,NA,NA,-357.0703*,NA,NA
AO,d_prs ~ res_soc + factor(year) + factor(rgn_code),4,11,5,0.703207254990492,-133.44448524859138,NA,-1.3856*,NA,-0.1919*,0.0349,-0.0246,NA,-0.2234*,-0.1099,0.1168*,0.1251*,0.0781,-0.0719,-0.1566**,-0.2471***,-0.1999***,-0.1591**,-0.0619,0.0064,-0.0340,NA,NA,NA,NA,NA,2.3552*
AO,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),4,11,6,0.7013891297163513,-150.33121578343122,NA,312.8299*,10.2359*,10.6721*,0.6212*,8.8806*,NA,4.6222*,7.7072*,0.1109*,-0.1675,-0.2328°,-0.9947*,-0.5003***,-0.5827***,-0.5207***,-0.1619**,-0.3645**,-0.2545°,-0.2770*,NA,NA,NA,-374.0159*,-0.1041,NA
AO,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),4,11,5,0.698442848523565,-131.643683661897,NA,-1.2375°,NA,-0.1684,0.0244,-0.0180,NA,-0.2014,-0.0887,0.1153*,0.1230*,0.0745,-0.0769,-0.1634**,-0.2522***,-0.1994***,-0.1570**,-0.0562,0.0133,-0.0245,NA,NA,NA,NA,-0.0389,2.1191°
AO,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),4,11,5,0.7079904738088268,-133.9601489974761,NA,184.1322,NA,0.0746,-5.4661,-0.8262,NA,-3.4251,-1.5717,0.1152*,-0.0533,-0.1019,-0.5897,-0.3363*,-0.4215**,-0.3762**,-0.1621**,-0.2312°,-0.1612,-0.2017,NA,NA,NA,-214.5971,NA,2.0873*
AO,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),4,11,5,0.7049672640406965,-132.59002667757275,NA,203.2515,NA,0.1435,-6.0438,-0.8958,NA,-3.7114,-1.6825,0.1124*,-0.0752,-0.1267,-0.6513,-0.3666*,-0.4484**,-0.3932**,-0.1586**,-0.2384°,-0.1660,-0.2017,NA,NA,NA,-236.4082,-0.0694,1.6395
AO,intercept only,4,11,6,0.6801835322171813,-145.983492079798,NA,-0.0570,0.0327,0.0299,0.0036,0.0991**,NA,0.0550,0.0580,0.1110*,0.1405**,0.0755,-0.0988*,-0.2012***,-0.2891***,-0.2313***,-0.1721***,-0.0855°,0.0254,-0.0042,NA,NA,NA,NA,NA,NA
AO,d_prs ~ res_reg + factor(year) + factor(rgn_code),5,10,6,0.7274997943484169,-139.90812939746786,NA,0.0112,0.0156,0.0233,-0.0151,0.1039**,NA,0.0582,0.0883*,0.0859°,0.0660,-0.0791°,-0.2058***,-0.3164***,-0.2932***,-0.2821***,-0.1834***,-0.0960°,0.0140,NA,NA,NA,NA,NA,-0.1265,NA
AO,d_prs ~ res_ecol + factor(year) + factor(rgn_code),5,10,6,0.7388341542484737,-143.17937729478848,NA,267.6654*,8.7566*,9.1204*,0.5453*,7.6413*,NA,3.9913*,6.6003*,0.0860°,-0.2015,-0.3462*,-0.9760*,-0.5725***,-0.5450***,-0.5500***,-0.1958***,-0.3655**,-0.2544°,NA,NA,NA,NA,-320.0272*,NA,NA
AO,d_prs ~ res_soc + factor(year) + factor(rgn_code),5,10,5,0.7592492136188149,-130.68552443796705,NA,-1.9216**,NA,-0.2647**,0.0743,-0.0208,NA,-0.2889*,-0.1304°,0.0963*,0.0641,-0.0445,-0.1557**,-0.2305***,-0.2214***,-0.2386***,-0.1468**,-0.0997*,-0.0261,NA,NA,NA,NA,NA,NA,3.2814**
AO,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),5,10,6,0.7451916429753603,-144.39322960497782,NA,284.1340*,9.2843*,9.6825*,0.5567*,8.0871*,NA,4.2155*,7.0231*,0.0859°,-0.2152,-0.3603**,-1.0207**,-0.5881***,-0.5600***,-0.5522***,-0.1817***,-0.3604**,-0.2506°,NA,NA,NA,NA,-339.6608*,-0.1436,NA
AO,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),5,10,5,0.755403129186445,-129.00035593262305,NA,-1.7319*,NA,-0.2365*,0.0609,-0.0129,NA,-0.2607*,-0.1035,0.0944*,0.0614,-0.0491,-0.1621**,-0.2392***,-0.2279***,-0.2379***,-0.1440**,-0.0923°,-0.0171,NA,NA,NA,NA,NA,-0.0507,2.9798*
AO,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),5,10,5,0.75890340046822935,-129.95166336541897,NA,122.2702,NA,-0.0820,-3.6089,-0.5559,NA,-2.4263,-1.1065,0.0949*,-0.0559,-0.1659,-0.5035,-0.3522*,-0.3392*,-0.3574**,-0.1493**,-0.2132°,-0.1382,NA,NA,NA,NA,-143.6252,NA,3.0531**
AO,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),5,10,5,0.7562764903531891,-128.62596323635245,NA,141.6933,NA,-0.0120,-4.1965,-0.6266,NA,-2.7139,-1.2172,0.0920°,-0.0784,-0.1914,-0.5665,-0.3838*,-0.3671*,-0.3747**,-0.1455**,-0.2198°,-0.1422,NA,NA,NA,NA,-165.7629,-0.0750,2.5716*
AO,intercept only,5,10,6,0.7238397153432835,-139.58664190679482,NA,-0.0290,0.0227,0.0199,0.0041,0.1178**,NA,0.0724°,0.0688°,0.0860°,0.0637,-0.0810°,-0.2079***,-0.3165***,-0.2936***,-0.2940***,-0.1958***,-0.1141*,-0.0029,NA,NA,NA,NA,NA,NA,NA
AO,d_prs ~ res_reg + factor(year) + factor(rgn_code),6,9,6,0.7296903033142753,-137.06381785210897,NA,0.0221,0.0092,0.0051,-0.0276,0.1274**,NA,0.0789*,0.1117**,0.0350,-0.0682,-0.1666***,-0.2984***,-0.2949***,-0.3286***,-0.2765***,-0.1824***,-0.0934*,NA,NA,NA,NA,NA,NA,-0.1590,NA
AO,d_prs ~ res_ecol + factor(year) + factor(rgn_code),6,9,6,0.7246069487977911,-135.75964589972506,NA,133.7913,4.3867,4.5600,0.2682,3.9070,NA,2.0572,3.3526,0.0351,-0.2035,-0.3016*,-0.6850°,-0.4231**,-0.4548***,-0.4195**,-0.1981***,-0.2419°,NA,NA,NA,NA,NA,-159.9835,NA,NA
AO,d_prs ~ res_soc + factor(year) + factor(rgn_code),6,9,5,0.7714821205326445,-128.51626943467775,NA,-2.4638***,NA,-0.3416***,0.1010*,-0.0056,NA,-0.3482**,-0.1397*,0.0549,-0.0415,-0.1132*,-0.2121***,-0.1738**,-0.2275***,-0.1974***,-0.1509**,-0.0982*,NA,NA,NA,NA,NA,NA,NA,4.1722***
AO,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),6,9,6,0.7322441275602117,-137.0616794356687,NA,148.0987,4.8394,5.0392,0.2700,4.2880,NA,2.2463,3.7262,0.0350,-0.2147°,-0.3132*,-0.7231*,-0.4365***,-0.4677***,-0.4172**,-0.1815***,-0.2311°,NA,NA,NA,NA,NA,-177.0212,-0.1687,NA
AO,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),6,9,5,0.7679557394730084,-126.97681989561721,NA,-2.2198**,NA,-0.3082**,0.0837,0.0035,NA,-0.3119*,-0.1054,0.0526,-0.0448,-0.1191*,-0.2202***,-0.1848**,-0.2358***,-0.1962***,-0.1470**,-0.0883°,NA,NA,NA,NA,NA,NA,-0.0677,3.7866**
AO,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),6,9,5,0.7665626273362413,-126.61767800123528,NA,-35.2842,NA,-0.3922°,1.0749,0.1350,NA,0.2133,0.1169,0.0555,-0.0094,-0.0807,-0.1196,-0.1408,-0.1957,-0.1655,-0.1500**,-0.0681,NA,NA,NA,NA,NA,37.9370,NA,4.2606***
AO,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),6,9,5,0.7625483261023968,-125.00649016981492,NA,-20.3811,NA,-0.3382,0.6231,0.0807,NA,-0.0035,0.0345,0.0530,-0.0269,-0.1008,-0.1686,-0.1659,-0.2178,-0.1786,-0.1467**,-0.0722,NA,NA,NA,NA,NA,20.9763,-0.0638,3.8578*
AO,intercept only,6,9,6,0.7235756063150676,-136.18953738066793,NA,-0.0306,0.0208,0.0101,-0.0022,0.1458***,NA,0.0974*,0.0874*,0.0351,-0.0710,-0.1690***,-0.3010***,-0.2951***,-0.3291***,-0.2915***,-0.1981***,-0.1162*,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + factor(year) + factor(rgn_code),1,14,6,0.3059829253438149,-197.40057488693472,NA,-0.0002,-0.1037**,-0.1022**,-0.0966**,-0.0678*,NA,-0.0608°,-0.0700*,0.0492,0.1065*,0.1206**,0.1000*,0.0434,-0.0210,-0.0133,0.0392,0.0216,0.0876°,0.0743,0.1782***,0.1531**,0.1455**,NA,-0.0243,NA
CPP,d_prs ~ res_ecol + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_soc + factor(year) + factor(rgn_code),1,14,5,0.6231131942484109,-369.10516637641996,NA,0.0463,NA,0.0058,0.0335,0.0615**,NA,0.0765**,0.0611*,0.0119,0.0471**,0.0415*,0.0372*,0.0107,-0.0304°,-0.0334*,0.0045,-0.0006,0.0236,0.0288°,0.0553***,0.0824***,0.0713***,NA,NA,-0.1661
CPP,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),1,14,5,0.6394446293902638,-372.40600014050574,NA,0.4048*,NA,0.0639*,0.1036*,0.1383**,NA,0.1754**,0.1940**,0.0130,0.0495**,0.0451**,0.0420*,0.0160,-0.0259,-0.0191,0.0172,0.0164,0.0392*,0.0456*,0.0721***,0.0991***,0.0880***,NA,-0.0795*,-0.7165*
CPP,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,intercept only,1,14,6,0.31246589080020504,-199.1285126122069,NA,-0.0048,-0.1018**,-0.1070***,-0.0920**,-0.0647*,NA,-0.0570°,-0.0746*,0.0492,0.1064*,0.1205**,0.0999*,0.0437,-0.0209,-0.0163,0.0363,0.0170,0.0830°,0.0693,0.1732***,0.1481**,0.1405**,NA,NA,NA
CPP,d_prs ~ res_reg + factor(year) + factor(rgn_code),2,13,6,0.3831616108692738,-74.20057970611143,NA,0.0857,-0.2488***,-0.2449***,-0.2330***,-0.1750**,NA,-0.1595**,-0.1802**,0.1046,0.1845*,0.1787*,0.0920,-0.0256,-0.0766,-0.0200,0.0125,0.0570,0.1124,0.2040*,0.3036***,0.2605**,NA,NA,-0.0533,NA
CPP,d_prs ~ res_ecol + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_soc + factor(year) + factor(rgn_code),2,13,5,0.681302628879892,-258.2546847647848,NA,0.0829,NA,0.0110,0.0630,0.1188**,NA,0.1488**,0.1137*,0.0457°,0.0753**,0.0651*,0.0344,-0.0303,-0.0709*,-0.0382,-0.0060,0.0123,0.0401,0.0708*,0.1261***,0.1436***,NA,NA,NA,-0.2975
CPP,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),2,13,5,0.6973258630249964,-261.9107036647641,NA,0.7100*,NA,0.1107*,0.1838**,0.2518**,NA,0.3206**,0.3450**,0.0477°,0.0795**,0.0715**,0.0428,-0.0211,-0.0631*,-0.0131,0.0162,0.0420,0.0674*,0.1002**,0.1555***,0.1730***,NA,NA,-0.1394*,-1.2586*
CPP,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,intercept only,2,13,6,0.3886253230355866,-75.80795879573932,NA,0.0752,-0.2440***,-0.2533***,-0.2228***,-0.1681**,NA,-0.1513**,-0.1901**,0.1046,0.1844*,0.1785*,0.0918,-0.0250,-0.0765,-0.0265,0.0060,0.0470,0.1023,0.1930*,0.2926***,0.2495**,NA,NA,NA,NA
CPP,d_prs ~ res_reg + factor(year) + factor(rgn_code),3,12,6,0.3901405006651828,1.54731267989105,NA,0.2392*,-0.4159***,-0.3997***,-0.3883***,-0.2985**,NA,-0.2827**,-0.2995**,0.1339,0.2012°,0.1207,-0.0313,-0.1273,-0.1312,-0.0840,0.0009,0.0390,0.2109°,0.2876*,0.3969**,NA,NA,NA,-0.1089,NA
CPP,d_prs ~ res_ecol + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_soc + factor(year) + factor(rgn_code),3,12,5,0.7252639605997379,-207.49942762087065,NA,0.1361,NA,0.0212,0.0940°,0.1783***,NA,0.2146**,0.1655*,0.0400,0.0649°,0.0282,-0.0406,-0.1019**,-0.1065**,-0.0783*,-0.0255,-0.0033,0.0481,0.1077**,0.1546***,NA,NA,NA,NA,-0.4065
CPP,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),3,12,5,0.7379372661716914,-210.51648872056262,NA,0.8768*,NA,0.1364*,0.2342**,0.3332***,NA,0.4157***,0.4373**,0.0423,0.0700*,0.0358,-0.0308,-0.0911**,-0.0973**,-0.0486,0.0007,0.0320,0.0805*,0.1425***,0.1895***,NA,NA,NA,-0.1653°,-1.5391*
CPP,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,intercept only,3,12,6,0.39409682089412945,0.22779640643043564,NA,0.2167*,-0.4049***,-0.4123***,-0.3669***,-0.2841**,NA,-0.2658**,-0.3199***,0.1339,0.2010°,0.1204,-0.0316,-0.1260,-0.1310,-0.0973,-0.0125,0.0186,0.1901,0.2652*,0.3745**,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + factor(year) + factor(rgn_code),4,11,6,0.41811754003776447,16.281322879997234,NA,0.3340**,-0.5027***,-0.4700***,-0.4574***,-0.3361**,NA,-0.3202**,-0.3311**,0.1357,0.1274,-0.0297,-0.1504,-0.1957,-0.2098,-0.1123,-0.0350,0.1056,0.2872*,0.3670**,NA,NA,NA,NA,-0.1632,NA
CPP,d_prs ~ res_ecol + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_soc + factor(year) + factor(rgn_code),4,11,5,0.7690107054454896,-181.06463075588425,NA,0.0944,NA,0.0311,0.1109*,0.2228***,NA,0.2592***,0.1967*,0.0350,0.0332,-0.0422,-0.1076**,-0.1317***,-0.1386***,-0.0909*,-0.0346,0.0102,0.0909*,0.1416***,NA,NA,NA,NA,NA,-0.3828
