goal,yr_lag,r_squared,aic,model,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,res_ecol,res_reg,res_soc,best_model
AO,2,-0.04217719291891853,-127.36939233306032,prs_v_res_reg_only.csv,-0.0235,0.0118,0.0259,-0.0162,0.0403,NA,0.0185,0.0469,NA,-0.0841,NA,FALSE
AO,2,-0.042036154680347826,-128.2997716617818,prs_v_res_intercept_only.csv,-0.0547°,0.0135,0.0137,-0.0048,0.0486,NA,0.0275,0.0338,NA,NA,NA,TRUE
AO,2,-0.022570190728315342,-121.55361048650775,prs_v_res_soc_only.csv,-0.7261,NA,-0.0966,0.0119,-0.0173,NA,-0.1128,-0.0552,NA,NA,1.1954,FALSE
AO,2,-0.015635239596271777,-121.22328401253418,prs_v_res_reg_soc.csv,-0.6808,NA,-0.0789,0.0003,-0.0240,NA,-0.1192,-0.0369,NA,-0.0968,1.1757,FALSE
AO,2,-0.0020550777164551892,-121.46663222730254,prs_v_res_all.csv,21.6853,NA,-0.0883,-0.6558,-0.1408,NA,-0.5538°,-0.2508,-26.1851,-0.0780,1.5789°,FALSE
AO,2,-0.0017370297059173812,-122.38069865423955,prs_v_res_soc_ecol.csv,24.2425,NA,-0.1032,-0.7228,-0.1492,NA,-0.5992°,-0.2899°,-29.2204,NA,1.6410°,FALSE
AO,3,-0.055203141104461784,-80.49045114396351,prs_v_res_reg_ecol.csv,1.4648,0.0849,0.0913,-0.0071,0.1134,NA,0.0616,0.0998,-1.8280,-0.0714,NA,FALSE
AO,3,-0.04775492427534722,-82.03201416504596,prs_v_res_ecol_only.csv,2.4136,0.1188,0.1163,0.0049,0.1480,NA,0.0837,0.1124,-2.9946,NA,NA,FALSE
AO,3,-0.04257250233886767,-82.48323664480623,prs_v_res_reg_only.csv,-0.0629,0.0350,0.0396,-0.0102,0.0705,NA,0.0392,0.0629,NA,-0.0721,NA,FALSE
AO,3,-0.035502233622338064,-84.01262731794019,prs_v_res_intercept_only.csv,-0.0895*,0.0372,0.0315,-0.0002,0.0778,NA,0.0471,0.0517,NA,NA,NA,TRUE
AO,3,0.05079468779814422,-81.31730333416135,prs_v_res_all.csv,13.3354,NA,-0.2340*,-0.4123,-0.1649,NA,-0.5982,-0.2876,-17.6067,-0.0784,3.2028**,FALSE
AO,3,0.05638339229807621,-82.6555853310171,prs_v_res_soc_ecol.csv,15.0594,NA,-0.2482*,-0.4550,-0.1698,NA,-0.6299,-0.3205,-19.6773,NA,3.2667**,FALSE
AO,3,0.05731585118518756,-82.73270113438807,prs_v_res_reg_soc.csv,-1.7117**,NA,-0.2309*,0.0303,-0.0877,NA,-0.3071*,-0.1476°,NA,-0.0865,2.9461**,FALSE
AO,3,0.06089857438721291,-83.92330767140842,prs_v_res_soc_only.csv,-1.7626**,NA,-0.2463*,0.0407,-0.0830,NA,-0.3042*,-0.1660*,NA,NA,2.9838**,FALSE
AO,4,-0.04452724520800233,-53.82540962267771,prs_v_res_reg_ecol.csv,-24.4773,-0.7671,-0.7939,-0.0574,-0.5955,NA,-0.3111,-0.5251,29.1826,-0.0806,NA,FALSE
AO,4,-0.04424653648643018,-54.73538796817357,prs_v_res_reg_only.csv,-0.0883,0.0294,0.0358,-0.0080,0.0906,NA,0.0462,0.0704,NA,-0.0803,NA,FALSE
AO,4,-0.03555973243551902,-55.43708388515705,prs_v_res_ecol_only.csv,-24.4780,-0.7628,-0.7989,-0.0457,-0.5861,NA,-0.3018,-0.5368,29.1480,NA,NA,FALSE
AO,4,-0.03536763720193625,-56.35461238992595,prs_v_res_intercept_only.csv,-0.1178*,0.0327,0.0299,0.0036,0.0991,NA,0.0550,0.0580,NA,NA,NA,FALSE
AO,4,0.1744327937523199,-66.68700067858707,prs_v_res_all.csv,-6.2064,NA,-0.4011***,0.1966,-0.1174,NA,-0.4482,-0.2222,3.7901,-0.0713,5.0103***,FALSE
AO,4,0.18262603157579593,-68.27124330505487,prs_v_res_soc_ecol.csv,-5.7265,NA,-0.4135***,0.1897,-0.1176,NA,-0.4591,-0.2441,3.1664,NA,5.0716***,FALSE
AO,4,0.1871118777475006,-68.6674762069281,prs_v_res_reg_soc.csv,-2.9645***,NA,-0.4008***,0.1010,-0.1336°,NA,-0.5104***,-0.2513**,NA,-0.0708,5.0608***,FALSE
AO,4,0.19504935496398446,-70.25767650781484,prs_v_res_soc_only.csv,-3.0178***,NA,-0.4132***,0.1098°,-0.1312°,NA,-0.5111***,-0.2683**,NA,NA,5.1134***,TRUE
AO,5,-0.02694371274244678,-45.696178246157764,prs_v_res_reg_only.csv,-0.1061,0.0156,0.0233,-0.0151,0.1039,NA,0.0582,0.0883,NA,-0.1265,NA,FALSE
AO,5,-0.021196796019046893,-47.02035814908976,prs_v_res_intercept_only.csv,-0.1523**,0.0227,0.0199,0.0041,0.1178,NA,0.0724,0.0688,NA,NA,NA,FALSE
AO,5,0.044506261649718715,-50.3730784763797,prs_v_res_reg_ecol.csv,-60.5587*,-1.9588*,-2.0335*,-0.1382,-1.5972*,NA,-0.8282*,-1.3872*,72.3360*,-0.1317,NA,FALSE
AO,5,0.04853426565225438,-51.57426023507438,prs_v_res_ecol_only.csv,-60.3290*,-1.9423*,-2.0276*,-0.1176,-1.5750*,NA,-0.8093*,-1.4007*,72.0036*,NA,NA,FALSE
AO,5,0.3798680270124213,-75.10920554977312,prs_v_res_reg_soc.csv,-4.2794***,NA,-0.5780***,0.1821**,-0.1639*,NA,-0.7021***,-0.3337***,NA,-0.0506,7.2580***,FALSE
AO,5,0.38844764181349734,-75.17655547725849,prs_v_res_all.csv,-34.5991,NA,-0.5695***,1.0736,-0.0089,NA,-0.1060,-0.0540,35.5366,-0.0636,6.6557***,FALSE
AO,5,0.3886243797800294,-76.9195445414983,prs_v_res_soc_only.csv,-4.3322***,NA,-0.5874***,0.1888**,-0.1635*,NA,-0.7059***,-0.3478***,NA,NA,7.3227***,TRUE
AO,5,0.3961973621892466,-76.87041087030673,prs_v_res_soc_ecol.csv,-33.7645,NA,-0.5815***,1.0554,-0.0130,NA,-0.1285,-0.0799,34.4812,NA,6.7543***,FALSE
AO,6,0.03935240104569471,-56.2020690540179,prs_v_res_intercept_only.csv,-0.2042***,0.0208,0.0101,-0.0022,0.1458*,NA,0.0974,0.0874,NA,NA,NA,FALSE
AO,6,0.040266024097005304,-55.38869806389174,prs_v_res_reg_only.csv,-0.1370°,0.0076,0.0043,-0.0311,0.1248°,NA,0.0763,0.1151,NA,-0.1813,NA,FALSE
AO,6,0.26365787581907707,-73.93598796249316,prs_v_res_ecol_only.csv,-89.7435***,-2.9030***,-3.0369***,-0.1833*,-2.3730***,NA,-1.2151***,-2.0993***,107.1365***,NA,NA,FALSE
AO,6,0.2718425760240323,-73.85665550057381,prs_v_res_reg_ecol.csv,-90.3565***,-2.9399***,-3.0666***,-0.2166**,-2.4154***,NA,-1.2484***,-2.0855***,107.9585***,-0.1999,NA,FALSE
AO,6,0.5397723072635234,-92.48661054487297,prs_v_res_reg_soc.csv,-4.9526***,NA,-0.6692***,0.2198***,-0.1384*,NA,-0.7744***,-0.3326***,NA,-0.0570,8.3328***,FALSE
AO,6,0.5465680929458634,-94.23629341298248,prs_v_res_soc_only.csv,-5.0219***,NA,-0.6788***,0.2274***,-0.1388*,NA,-0.7811***,-0.3500***,NA,NA,8.4239***,FALSE
AO,6,0.5936943826059993,-99.12863905234316,prs_v_res_all.csv,-55.2109**,NA,-0.6222***,1.6891**,0.1284,NA,0.2598,0.1549,59.2001**,-0.0991,6.9030***,FALSE
AO,6,0.5957857353791052,-100.27318589797416,prs_v_res_soc_ecol.csv,-53.3494**,NA,-0.6404***,1.6444**,0.1172,NA,0.2074,0.1060,56.8680**,NA,7.1150***,TRUE
CPP,1,0.05118889860122244,-176.1993036185777,prs_v_res_reg_only.csv,0.0535°,-0.0986**,-0.1151**,-0.0844*,-0.0595,NA,-0.0507,-0.0822*,NA,0.0413,NA,FALSE
CPP,1,0.054929538237340814,-177.5371464282383,prs_v_res_intercept_only.csv,0.0652*,-0.1018**,-0.1070**,-0.0920*,-0.0647°,NA,-0.0570,-0.0746*,NA,NA,NA,FALSE
CPP,1,0.13004326157177282,-304.28514624743406,prs_v_res_reg_soc.csv,0.0759,NA,0.0017,0.0379,0.0648,NA,0.0809,0.0593,NA,0.0190,-0.1821,FALSE
CPP,1,0.13826041098435282,-306.048356231526,prs_v_res_soc_only.csv,0.1717,NA,0.0164,0.0564°,0.0849*,NA,0.1069*,0.0935*,NA,NA,-0.3258,TRUE
CPP,2,0.12310299052064477,-50.437479242574256,prs_v_res_reg_only.csv,0.1429*,-0.2358***,-0.2682***,-0.2049**,-0.1560*,NA,-0.1368°,-0.2076**,NA,0.0938,NA,FALSE
CPP,2,0.12401341111843134,-51.456394670405174,prs_v_res_intercept_only.csv,0.1697***,-0.2440***,-0.2533***,-0.2228**,-0.1681*,NA,-0.1513*,-0.1901**,NA,NA,NA,FALSE
CPP,2,0.18494338728816084,-188.94195264438918,prs_v_res_reg_soc.csv,0.0999,NA,-0.0027,0.0671,0.1196,NA,0.1505,0.0973,NA,0.0526,-0.2880,FALSE
CPP,2,0.19016408545298824,-190.38367522110454,prs_v_res_soc_only.csv,0.3640,NA,0.0372,0.1173°,0.1746**,NA,0.2215**,0.1913*,NA,NA,-0.6838°,TRUE
CPP,3,0.1609626809255189,20.789358342845013,prs_v_res_reg_only.csv,0.2483**,-0.3915***,-0.4276***,-0.3408**,-0.2664*,NA,-0.2450*,-0.3447**,NA,0.1332,NA,FALSE
CPP,3,0.16320456739777023,19.635716607475125,prs_v_res_intercept_only.csv,0.2863***,-0.4049***,-0.4123***,-0.3669***,-0.2841**,NA,-0.2658**,-0.3199**,NA,NA,NA,FALSE
CPP,3,0.25323139877996725,-138.16904162870057,prs_v_res_reg_soc.csv,0.2047,NA,0.0143,0.1166,0.1969,NA,0.2399,0.1685,NA,0.0695,-0.5225,FALSE
CPP,3,0.2583734859562996,-139.6015889192571,prs_v_res_soc_only.csv,0.5507°,NA,0.0657,0.1813*,0.2680**,NA,0.3322**,0.2910**,NA,NA,-1.0406*,TRUE
CPP,4,0.18442104252027947,35.7752934569272,prs_v_res_reg_only.csv,0.2653**,-0.4650***,-0.4911***,-0.3915**,-0.2917*,NA,-0.2689*,-0.3919**,NA,0.1620,NA,FALSE
CPP,4,0.18645161840336755,34.663949744804455,prs_v_res_intercept_only.csv,0.3116***,-0.4838***,-0.4806***,-0.4243***,-0.3138**,NA,-0.2944*,-0.3616**,NA,NA,NA,FALSE
CPP,4,0.3395264189190894,-114.07342400852025,prs_v_res_soc_only.csv,0.6303,NA,0.0936,0.2265*,0.3416***,NA,0.4160***,0.3640**,NA,NA,-1.2432*,TRUE
CPP,4,0.3408394498366478,-113.33300493609161,prs_v_res_reg_soc.csv,0.0439,NA,0.0083,0.1191,0.2230,NA,0.2612,0.1573,NA,0.1193,-0.3663,FALSE
CPP,5,0.18071562475781344,42.30477353547929,prs_v_res_reg_only.csv,0.2405*,-0.4950***,-0.5044***,-0.4003**,-0.2756*,NA,-0.2514°,-0.3891**,NA,0.1663,NA,FALSE
CPP,5,0.18535395124911003,40.975537032324624,prs_v_res_intercept_only.csv,0.2881**,-0.5171***,-0.5035***,-0.4353**,-0.2990*,NA,-0.2781*,-0.3580**,NA,NA,NA,FALSE
CPP,5,0.4246574591588236,-99.1708481529272,prs_v_res_soc_only.csv,0.6128,NA,0.1119,0.2512*,0.3921***,NA,0.4708***,0.4063**,NA,NA,-1.2983°,FALSE
CPP,5,0.4338455550711102,-99.36159328794174,prs_v_res_reg_soc.csv,-0.2170,NA,-0.0059,0.1029,0.2273,NA,0.2543,0.1150,NA,0.1731,-0.0594,TRUE
CPP,6,0.21354105355187214,15.244123938412393,prs_v_res_reg_only.csv,0.1206,-0.4360***,-0.4225***,-0.3152*,-0.1701,NA,-0.1436,-0.2991*,NA,0.1762,NA,FALSE
CPP,6,0.21774437924978007,13.989020949591444,prs_v_res_intercept_only.csv,0.1715*,-0.4631***,-0.4345***,-0.3540**,-0.1959°,NA,-0.1724,-0.2658*,NA,NA,NA,FALSE
CPP,6,0.5309230519624928,-94.49036177524917,prs_v_res_soc_only.csv,0.4013,NA,0.1129,0.2429*,0.4046***,NA,0.4756**,0.3945*,NA,NA,-1.0631,FALSE
CPP,6,0.558969609800576,-97.33243576605719,prs_v_res_reg_soc.csv,-0.7969,NA,-0.0511,0.0362,0.1722,NA,0.1681,-0.0271,NA,0.2649*,0.7203,TRUE
CSS,1,0.05118889860122244,-176.1993036185777,prs_v_res_reg_only.csv,0.0535°,-0.0986**,-0.1151**,-0.0844*,-0.0595,NA,-0.0507,-0.0822*,NA,0.0413,NA,FALSE
CSS,1,0.054929538237340814,-177.5371464282383,prs_v_res_intercept_only.csv,0.0652*,-0.1018**,-0.1070**,-0.0920*,-0.0647°,NA,-0.0570,-0.0746*,NA,NA,NA,FALSE
CSS,1,0.13004326157177282,-304.28514624743406,prs_v_res_reg_soc.csv,0.0759,NA,0.0017,0.0379,0.0648,NA,0.0809,0.0593,NA,0.0190,-0.1821,FALSE
CSS,1,0.13826041098435282,-306.048356231526,prs_v_res_soc_only.csv,0.1717,NA,0.0164,0.0564°,0.0849*,NA,0.1069*,0.0935*,NA,NA,-0.3258,TRUE
CSS,2,0.12310299052064477,-50.437479242574256,prs_v_res_reg_only.csv,0.1429*,-0.2358***,-0.2682***,-0.2049**,-0.1560*,NA,-0.1368°,-0.2076**,NA,0.0938,NA,FALSE
CSS,2,0.12401341111843134,-51.456394670405174,prs_v_res_intercept_only.csv,0.1697***,-0.2440***,-0.2533***,-0.2228**,-0.1681*,NA,-0.1513*,-0.1901**,NA,NA,NA,FALSE
CSS,2,0.18494338728816084,-188.94195264438918,prs_v_res_reg_soc.csv,0.0999,NA,-0.0027,0.0671,0.1196,NA,0.1505,0.0973,NA,0.0526,-0.2880,FALSE
CSS,2,0.19016408545298824,-190.38367522110454,prs_v_res_soc_only.csv,0.3640,NA,0.0372,0.1173°,0.1746**,NA,0.2215**,0.1913*,NA,NA,-0.6838°,TRUE
CSS,3,0.1609626809255189,20.789358342845013,prs_v_res_reg_only.csv,0.2483**,-0.3915***,-0.4276***,-0.3408**,-0.2664*,NA,-0.2450*,-0.3447**,NA,0.1332,NA,FALSE
CSS,3,0.16320456739777023,19.635716607475125,prs_v_res_intercept_only.csv,0.2863***,-0.4049***,-0.4123***,-0.3669***,-0.2841**,NA,-0.2658**,-0.3199**,NA,NA,NA,FALSE
CSS,3,0.25323139877996725,-138.16904162870057,prs_v_res_reg_soc.csv,0.2047,NA,0.0143,0.1166,0.1969,NA,0.2399,0.1685,NA,0.0695,-0.5225,FALSE
CSS,3,0.2583734859562996,-139.6015889192571,prs_v_res_soc_only.csv,0.5507°,NA,0.0657,0.1813*,0.2680**,NA,0.3322**,0.2910**,NA,NA,-1.0406*,TRUE
CSS,4,0.18442104252027947,35.7752934569272,prs_v_res_reg_only.csv,0.2653**,-0.4650***,-0.4911***,-0.3915**,-0.2917*,NA,-0.2689*,-0.3919**,NA,0.1620,NA,FALSE
CSS,4,0.18645161840336755,34.663949744804455,prs_v_res_intercept_only.csv,0.3116***,-0.4838***,-0.4806***,-0.4243***,-0.3138**,NA,-0.2944*,-0.3616**,NA,NA,NA,FALSE
CSS,4,0.3395264189190894,-114.07342400852025,prs_v_res_soc_only.csv,0.6303,NA,0.0936,0.2265*,0.3416***,NA,0.4160***,0.3640**,NA,NA,-1.2432*,TRUE
CSS,4,0.3408394498366478,-113.33300493609161,prs_v_res_reg_soc.csv,0.0439,NA,0.0083,0.1191,0.2230,NA,0.2612,0.1573,NA,0.1193,-0.3663,FALSE
CSS,5,0.18071562475781344,42.30477353547929,prs_v_res_reg_only.csv,0.2405*,-0.4950***,-0.5044***,-0.4003**,-0.2756*,NA,-0.2514°,-0.3891**,NA,0.1663,NA,FALSE
CSS,5,0.18535395124911003,40.975537032324624,prs_v_res_intercept_only.csv,0.2881**,-0.5171***,-0.5035***,-0.4353**,-0.2990*,NA,-0.2781*,-0.3580**,NA,NA,NA,FALSE
CSS,5,0.4246574591588236,-99.1708481529272,prs_v_res_soc_only.csv,0.6128,NA,0.1119,0.2512*,0.3921***,NA,0.4708***,0.4063**,NA,NA,-1.2983°,FALSE
CSS,5,0.4338455550711102,-99.36159328794174,prs_v_res_reg_soc.csv,-0.2170,NA,-0.0059,0.1029,0.2273,NA,0.2543,0.1150,NA,0.1731,-0.0594,TRUE
CSS,6,0.21354105355187214,15.244123938412393,prs_v_res_reg_only.csv,0.1206,-0.4360***,-0.4225***,-0.3152*,-0.1701,NA,-0.1436,-0.2991*,NA,0.1762,NA,FALSE
CSS,6,0.21774437924978007,13.989020949591444,prs_v_res_intercept_only.csv,0.1715*,-0.4631***,-0.4345***,-0.3540**,-0.1959°,NA,-0.1724,-0.2658*,NA,NA,NA,FALSE
CSS,6,0.5309230519624928,-94.49036177524917,prs_v_res_soc_only.csv,0.4013,NA,0.1129,0.2429*,0.4046***,NA,0.4756**,0.3945*,NA,NA,-1.0631,FALSE
CSS,6,0.558969609800576,-97.33243576605719,prs_v_res_reg_soc.csv,-0.7969,NA,-0.0511,0.0362,0.1722,NA,0.1681,-0.0271,NA,0.2649*,0.7203,TRUE
CW,1,-0.057729805991327154,-436.27580475603054,prs_v_res_reg_soc.csv,-0.0306,NA,-0.0064,-0.0010,-0.0007,NA,-0.0030,-0.0026,NA,0.0237,0.0170,FALSE
CW,1,-0.05685778150804377,-437.25911163624795,prs_v_res_soc_only.csv,-0.0029,NA,-0.0053,0.0013,0.0016,NA,0.0001,0.0006,NA,NA,0.0011,FALSE
CW,1,-0.04447603324890603,-527.9707438737576,prs_v_res_reg_only.csv,-0.0148,-0.0022,-0.0074,-0.0008,-0.0004,NA,-0.0019,-0.0014,NA,0.0200,NA,FALSE
CW,1,-0.04383727544311089,-528.9580446026422,prs_v_res_intercept_only.csv,-0.0000,-0.0022,-0.0074,-0.0008,-0.0004,NA,-0.0019,-0.0014,NA,NA,NA,TRUE
CW,2,-0.029871185765218522,-388.55403216440334,prs_v_res_soc_only.csv,-0.0093,NA,-0.0111,0.0020,0.0025,NA,-0.0012,-0.0010,NA,NA,0.0075,FALSE
CW,2,-0.023719475641246213,-388.1553471893829,prs_v_res_reg_soc.csv,-0.0502,NA,-0.0126,-0.0011,-0.0007,NA,-0.0053,-0.0054,NA,0.0369,0.0295,FALSE
CW,2,-0.011241851954227222,-471.05745175420464,prs_v_res_intercept_only.csv,-0.0000,-0.0045,-0.0150°,-0.0014,-0.0009,NA,-0.0042,-0.0039,NA,NA,NA,TRUE
CW,2,-0.006248189030838791,-470.625473129627,prs_v_res_reg_only.csv,-0.0225,-0.0045,-0.0150°,-0.0014,-0.0009,NA,-0.0042,-0.0039,NA,0.0310,NA,FALSE
CW,3,0.023592237979290887,-357.9660461311846,prs_v_res_soc_only.csv,0.0127,NA,-0.0140,0.0088,0.0098,NA,0.0069,0.0084,NA,NA,-0.0299,FALSE
CW,3,0.030613304337606118,-357.63534941061926,prs_v_res_reg_soc.csv,-0.0317,NA,-0.0155,0.0058,0.0068,NA,0.0029,0.0041,NA,0.0426,-0.0083,FALSE
CW,3,0.046391290517083905,-434.2155213411635,prs_v_res_intercept_only.csv,-0.0000,-0.0065,-0.0226**,-0.0018,-0.0009,NA,-0.0051,-0.0041,NA,NA,NA,TRUE
CW,3,0.05347210875206554,-433.9835769571745,prs_v_res_reg_only.csv,-0.0267,-0.0065,-0.0226**,-0.0018,-0.0009,NA,-0.0051,-0.0041,NA,0.0372,NA,FALSE
CW,4,0.13968641470101406,-348.9487653364233,prs_v_res_soc_only.csv,0.0352,NA,-0.0167,0.0155,0.0165,NA,0.0153,0.0174,NA,NA,-0.0677,FALSE
CW,4,0.15442813945034983,-349.3095003919723,prs_v_res_reg_soc.csv,-0.0167,NA,-0.0181,0.0129,0.0138,NA,0.0117,0.0137,NA,0.0561,-0.0484,FALSE
CW,4,0.16568780973906505,-422.24951545695893,prs_v_res_intercept_only.csv,0.0000,-0.0085,-0.0301***,-0.0021,-0.0014,NA,-0.0056,-0.0042,NA,NA,NA,FALSE
CW,4,0.1805001651342838,-422.8523013255667,prs_v_res_reg_only.csv,-0.0354,-0.0085,-0.0301***,-0.0021,-0.0014,NA,-0.0056,-0.0042,NA,0.0503,NA,TRUE
CW,5,0.14343103864411355,-295.08779103590166,prs_v_res_reg_soc.csv,0.0497,NA,-0.0204,0.0194,0.0195,NA,0.0193,0.0230,NA,NA,-0.0932,FALSE
CW,5,0.14343103864411355,-295.08779103590166,prs_v_res_soc_only.csv,0.0497,NA,-0.0204,0.0194,0.0195,NA,0.0193,0.0230,NA,NA,-0.0932,FALSE
CW,5,0.1739992743304828,-358.3206624225776,prs_v_res_intercept_only.csv,-0.0001,-0.0107,-0.0381***,-0.0034,-0.0036,NA,-0.0080,-0.0054,NA,NA,NA,TRUE
CW,5,0.1739992743304828,-358.3206624225776,prs_v_res_reg_only.csv,-0.0001,-0.0107,-0.0381***,-0.0034,-0.0036,NA,-0.0080,-0.0054,NA,NA,NA,TRUE
CW,6,0.3647006944214176,-289.9162573917342,prs_v_res_reg_soc.csv,0.0278,NA,-0.0289°,0.0171,0.0163,NA,0.0174,0.0280,NA,NA,-0.0625,FALSE
CW,6,0.3647006944214176,-289.9162573917342,prs_v_res_soc_only.csv,0.0278,NA,-0.0289°,0.0171,0.0163,NA,0.0174,0.0280,NA,NA,-0.0625,FALSE
CW,6,0.39282321508975704,-351.4697044052565,prs_v_res_intercept_only.csv,0.0001,-0.0130,-0.0469***,-0.0038,-0.0048,NA,-0.0065,0.0034,NA,NA,NA,TRUE
CW,6,0.39282321508975704,-351.4697044052565,prs_v_res_reg_only.csv,0.0001,-0.0130,-0.0469***,-0.0038,-0.0048,NA,-0.0065,0.0034,NA,NA,NA,TRUE
FIS,1,-0.03639446774519994,-260.7698488635283,prs_v_res_all.csv,-0.4418,NA,-0.0333,-0.0635,-0.0408,NA,-0.0774,-0.0830,0.1242,0.1173,0.4600,FALSE
FIS,1,-0.02942625479566585,-262.27270022918304,prs_v_res_soc_ecol.csv,-1.9444,NA,-0.0139,0.0356,0.0170,NA,0.0394,-0.0612,1.9760,NA,0.2513,FALSE
FIS,1,-0.023757967265840785,-262.76963291379707,prs_v_res_reg_soc.csv,-0.3322,NA,-0.0333,-0.0683,-0.0426,NA,-0.0824,-0.0814,NA,0.1180,0.4607,FALSE
FIS,1,-0.018262137338134643,-351.1038458281574,prs_v_res_reg_ecol.csv,-2.0224,-0.0354,-0.0307,0.0476,0.0233,-0.1710,0.0658,-0.0482,2.2874,-0.0375,NA,FALSE
FIS,1,-0.01770357992201399,-264.21254022058804,prs_v_res_soc_only.csv,-0.1847,NA,-0.0115,-0.0378,-0.0078,NA,-0.0341,-0.0317,NA,NA,0.2400,FALSE
FIS,1,-0.010205474235741141,-352.971102039084,prs_v_res_ecol_only.csv,-1.4491,-0.0198,-0.0167,0.0382,0.0293,-0.1161,0.0540,-0.0249,1.6210,NA,NA,FALSE
FIS,1,-0.009963700861430391,-352.99982518307945,prs_v_res_reg_only.csv,-0.0439**,0.0142,0.0203,0.0104,0.0422*,0.0097,0.0273,0.0325°,NA,-0.0290,NA,FALSE
FIS,1,-0.001652354712574633,-354.9151927119124,prs_v_res_intercept_only.csv,-0.0464***,0.0152,0.0195,0.0116,0.0426*,0.0116,0.0268,0.0323°,NA,NA,NA,TRUE
FIS,2,-0.005504010057856279,-174.04563718469055,prs_v_res_all.csv,-2.3308,NA,-0.0660,-0.0599,-0.0570,NA,-0.0925,-0.1877,1.8856,0.2519,0.9115,FALSE
FIS,2,-0.0038405080214019005,-175.07212250249438,prs_v_res_soc_ecol.csv,-5.0386,NA,-0.0251,0.1295,0.0578,NA,0.1347,-0.1341,5.2754,NA,0.4664,FALSE
FIS,2,0.007368534107208169,-176.91730095889213,prs_v_res_soc_only.csv,-0.3427,NA,-0.0189,-0.0672,-0.0085,NA,-0.0621,-0.0557,NA,NA,0.4388,FALSE
FIS,2,0.007504373961659594,-176.02685184809627,prs_v_res_reg_soc.csv,-0.6630,NA,-0.0653,-0.1324,-0.0832,NA,-0.1663,-0.1633,NA,0.2606,0.9176,FALSE
FIS,2,0.013350496181551263,-229.24854547461706,prs_v_res_reg_ecol.csv,-2.7933,-0.0367,-0.0272,0.0763,0.0602,-0.2267,0.1046,-0.0464,3.1234,-0.0226,NA,FALSE
FIS,2,0.02234647921317412,-231.1817212047817,prs_v_res_reg_only.csv,-0.0918***,0.0310,0.0427,0.0254,0.0861**,0.0205,0.0523°,0.0641*,NA,-0.0129,NA,FALSE
FIS,2,0.02276882999836316,-231.23011617037741,prs_v_res_ecol_only.csv,-2.4766,-0.0279,-0.0193,0.0713,0.0636,-0.1961,0.0981,-0.0335,2.7550,NA,NA,FALSE
FIS,2,0.03169207169482591,-233.17536841751064,prs_v_res_intercept_only.csv,-0.0929***,0.0315,0.0425,0.0260,0.0863**,0.0214,0.0521°,0.0640*,NA,NA,NA,TRUE
FIS,3,-0.0024799035408931136,-141.82551953730308,prs_v_res_all.csv,-4.8018,NA,-0.0710,0.0277,-0.0212,NA,-0.0092,-0.2498,4.5541,0.2908,1.0266,FALSE
FIS,3,-4.1472190494817873e-4,-142.86404943841927,prs_v_res_soc_ecol.csv,-6.7649,NA,-0.0247,0.1946,0.0921,NA,0.2010,-0.1714,7.1527,NA,0.5179,FALSE
