term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared,aic,bic
res_reg,0.08427656199561229,0.052990945260819614,1.5903955209858203,0.11481043725078668,SPP,112,14,2,0.8655083417559711,-302.1297103922142,-291.3277889290445
(Intercept),-0.040516574242174586,0.033956610224632165,-1.1931866571529515,0.23619585887933522,AO,91,13,3,0.8037689558997211,-79.48136236429866,-69.5268168853701
res_reg,-0.03952588457100131,0.0862114987541898,-0.4584757850423101,0.6478088898564824,AO,91,13,3,0.8037689558997211,-79.48136236429866,-69.5268168853701
(Intercept),-0.03601477989421771,0.06435523709122798,-0.5596246944621505,0.5772425912193837,CPP,91,13,3,0.28965099929223964,32.89339763441893,42.84794311334749
res_reg,0.1182419546219457,0.1415109137023472,0.835567741938652,0.40579702645478344,CPP,91,13,3,0.28965099929223964,32.89339763441893,42.84794311334749
(Intercept),-0.03601477989421771,0.06435523709122798,-0.5596246944621505,0.5772425912193837,CSS,91,13,3,0.28965099929223964,32.89339763441893,42.84794311334749
res_reg,0.1182419546219457,0.1415109137023472,0.835567741938652,0.40579702645478344,CSS,91,13,3,0.28965099929223964,32.89339763441893,42.84794311334749
(Intercept),-0.03255150775769413,0.021095342695528378,-1.5430660799169733,0.1266190467642378,CW,91,13,3,0.9807598295220967,-418.6587917070609,-408.7042462281324
res_reg,0.0371947548415166,0.02914758305749619,1.276083672809051,0.2054853413044158,CW,91,13,3,0.9807598295220967,-418.6587917070609,-408.7042462281324
(Intercept),-0.08574141794176746,0.018110210311826424,-4.7344241985846045,7.661094068706766e-6,FIS,104,13,3,0.5408478196014439,-173.56459231168026,-163.06470105854316
res_reg,0.0766420660565703,0.1903870913363268,0.40255915208651866,0.6881769701890135,FIS,104,13,3,0.5408478196014439,-173.56459231168026,-163.06470105854316
(Intercept),-0.08246856292757272,0.018808588170310277,-4.384622714944174,3.0008141133093996e-5,HAB,104,13,3,0.8665492195735738,-240.12398794467407,-229.62409669153698
res_reg,0.05213072901394335,0.06824809955553283,0.7638414747582102,0.44685466166996213,HAB,104,13,3,0.8665492195735738,-240.12398794467407,-229.62409669153698
(Intercept),-0.061391781766399124,0.04056444181102813,-1.5134383471217574,0.1334882266889367,ICO,104,13,3,0.8502105734131571,-124.43781475517773,-113.93792350204065
res_reg,-6.871286283656331e-4,0.14579629993951818,-0.004712935984319768,0.9962495177146573,ICO,104,13,3,0.8502105734131571,-124.43781475517773,-113.93792350204065
(Intercept),0.01870836029729911,0.13223159856661748,0.14148176759637335,0.8878322012179948,MAR,91,13,3,0.9888679909816195,-94.53901890779792,-84.58447342886936
res_reg,-0.03970889999777136,0.1834590062493519,-0.2164456289695597,0.8291715006774756,MAR,91,13,3,0.9888679909816195,-94.53901890779792,-84.58447342886936
