rgn_id,pfma_id,pfmsa_id,n_cells_rgn,n_pfma_tot,n_pfma_rgn,n_pfmsa_tot,n_pfmsa_rgn
4,13,7,13719,1302,1054,17,17
6,16,15,8142,1104,1098,47,46
5,26,10,28153,372,360,26,26
5,26,9,28153,372,360,10,10
5,26,5,28153,372,360,34,33
5,NA,NA,28153,2255178,36,2255178,36
4,13,6,13719,1302,1054,11,11
4,13,16,13719,1302,1054,42,23
6,13,16,8142,1302,226,42,19
5,26,4,28153,372,360,24,24
4,13,13,13719,1302,1054,21,21
4,26,11,13719,372,2,6,2
5,126,1,28153,9036,3542,650,650
5,26,7,28153,372,360,92,91
5,26,8,28153,372,360,11,11
4,13,3,13719,1302,1054,49,48
4,13,14,13719,1302,1054,84,77
6,16,14,8142,1104,1098,40,40
4,126,4,13719,9036,12,1411,12
5,26,11,28153,372,360,6,4
4,13,15,13719,1302,1054,47,1
5,126,4,28153,9036,3542,1411,289
6,13,15,8142,1302,226,47,45
6,13,14,8142,1302,226,84,7
6,15,4,8142,967,958,24,23
5,26,2,28153,372,360,42,34
5,126,2,28153,9036,3542,2502,2187
4,13,5,13719,1302,1054,3,3
6,15,3,8142,967,958,119,119
5,26,6,28153,372,360,23,23
6,16,13,8142,1104,1098,91,90
5,26,3,28153,372,360,6,6
5,26,1,28153,372,360,98,98
4,13,1,13719,1302,1054,98,19
6,13,1,8142,1302,226,98,79
4,13,2,13719,1302,1054,9,3
5,25,11,28153,457,447,23,23
6,13,2,8142,1302,226,9,6
6,15,2,8142,967,958,260,260
5,25,10,28153,457,447,5,5
6,14,13,8142,1692,1689,552,551
5,127,2,28153,100096,1,77192,1
5,25,9,28153,457,447,27,26
5,25,12,28153,457,447,11,10
6,16,12,8142,1104,1098,52,52
5,25,16,28153,457,447,3,3
5,25,8,28153,457,447,22,22
7,126,4,315882,9036,5482,1411,1110
5,25,13,28153,457,447,140,138
6,15,1,8142,967,958,160,159
5,125,3,28153,66521,6275,385,385
7,126,2,315882,9036,5482,2502,315
6,16,11,8142,1104,1098,78,78
5,25,14,28153,457,447,21,21
6,16,22,8142,1104,1098,8,8
5,25,5,28153,457,447,13,11
6,16,9,8142,1104,1098,7,6
6,16,10,8142,1104,1098,19,19
6,16,8,8142,1104,1098,13,13
5,125,4,28153,66521,6275,420,420
6,16,16,8142,1104,1098,13,13
5,25,6,28153,457,447,70,67
5,25,4,28153,457,447,30,29
6,16,18,8142,1104,1098,217,217
6,16,6,8142,1104,1098,43,42
6,14,12,8142,1692,1689,206,206
6,14,6,8142,1692,1689,160,160
6,16,21,8142,1104,1098,193,193
6,16,7,8142,1104,1098,39,37
6,28,5,8142,439,437,37,37
6,14,9,8142,1692,1689,108,107
6,14,11,8142,1692,1689,33,33
6,16,17,8142,1104,1098,22,22
5,25,1,28153,457,447,21,21
6,14,14,8142,1692,1689,10,10
5,25,3,28153,457,447,17,17
5,25,2,28153,457,447,16,16
5,25,15,28153,457,447,12,12
6,16,4,8142,1104,1098,4,4
6,14,10,8142,1692,1689,17,17
5,125,1,28153,66521,6275,159,158
6,16,2,8142,1104,1098,77,77
6,28,4,8142,439,437,36,36
7,126,3,315882,9036,5482,4473,4057
5,125,2,28153,66521,6275,133,133
6,14,15,8142,1692,1689,15,15
5,126,3,28153,9036,3542,4473,416
5,125,5,28153,66521,6275,5209,4284
5,25,7,28153,457,447,26,26
6,28,3,8142,439,437,39,39
6,28,2,8142,439,437,122,122
6,16,5,8142,1104,1098,14,14
6,14,8,8142,1692,1689,38,37
6,16,1,8142,1104,1098,95,95
6,14,7,8142,1692,1689,29,29
6,16,20,8142,1104,1098,3,3
6,16,19,8142,1104,1098,29,29
6,14,5,8142,1692,1689,165,165
5,24,2,28153,499,489,56,55
6,14,3,8142,1692,1689,210,210
6,28,1,8142,439,437,93,92
6,28,14,8142,439,437,1,1
6,14,4,8142,1692,1689,105,105
6,29,1,8142,1894,1803,43,42
6,28,13,8142,439,437,4,4
6,17,11,8142,1148,1140,584,584
6,29,2,8142,1894,1803,357,357
5,24,1,28153,499,489,39,38
6,28,12,8142,439,437,24,24
5,24,13,28153,499,489,9,9
5,124,3,28153,27553,8173,1882,1882
5,24,3,28153,499,489,17,17
5,24,14,28153,499,489,11,11
5,24,5,28153,499,489,35,34
6,29,3,8142,1894,1803,562,562
7,125,5,315882,66521,60205,5209,925
5,124,4,28153,27553,8173,422,422
6,28,6,8142,439,437,6,5
5,24,4,28153,499,489,32,29
5,24,7,28153,499,489,53,52
6,14,1,8142,1692,1689,22,22
6,14,2,8142,1692,1689,22,22
6,17,12,8142,1148,1140,103,103
6,28,7,8142,439,437,38,38
6,28,9,8142,439,437,3,3
6,28,10,8142,439,437,15,15
6,28,11,8142,439,437,13,13
6,28,8,8142,439,437,8,8
6,17,18,8142,1148,1140,31,31
6,17,19,8142,1148,1140,6,6
6,29,10,8142,1894,1803,86,85
6,29,12,8142,1894,1803,10,2
5,24,6,28153,499,489,101,101
6,17,20,8142,1148,1140,5,5
7,125,6,315882,66521,60205,60215,59280
5,24,10,28153,499,489,27,26
5,23,1,28153,553,545,21,18
6,17,21,8142,1148,1140,1,1
5,24,12,28153,499,489,33,33
5,24,9,28153,499,489,34,32
6,17,13,8142,1148,1140,17,17
6,17,10,8142,1148,1140,36,36
6,29,11,8142,1894,1803,4,1
6,17,14,8142,1148,1140,11,11
6,17,15,8142,1148,1140,4,3
5,24,8,28153,499,489,35,35
6,17,16,8142,1148,1140,17,17
6,29,5,8142,1894,1803,159,159
6,29,4,8142,1894,1803,325,325
6,29,9,8142,1894,1803,73,70
6,17,17,8142,1148,1140,23,23
5,24,11,28153,499,489,17,17
6,17,4,8142,1148,1140,58,57
6,29,8,8142,1894,1803,115,113
5,23,2,28153,553,545,20,20
6,29,6,8142,1894,1803,40,40
6,29,7,8142,1894,1803,47,47
5,23,6,28153,553,545,76,75
6,17,3,8142,1148,1140,16,15
6,17,5,8142,1148,1140,31,30
6,17,7,8142,1148,1140,11,11
5,23,10,28153,553,545,31,31
6,17,8,8142,1148,1140,14,14
5,23,3,28153,553,545,19,19
6,18,1,8142,578,572,202,202
5,125,6,28153,66521,6275,60215,895
5,23,9,28153,553,545,28,28
6,17,6,8142,1148,1140,54,53
6,17,2,8142,1148,1140,61,59
5,124,2,28153,27553,8173,20863,4225
5,124,1,28153,27553,8173,4386,1644
5,123,5,28153,7056,5317,282,282
5,23,4,28153,553,545,54,52
5,123,6,28153,7056,5317,300,300
5,23,11,28153,553,545,63,63
5,23,8,28153,553,545,103,103
5,23,5,28153,553,545,32,32
6,17,9,8142,1148,1140,45,44
6,17,1,8142,1148,1140,20,20
5,23,7,28153,553,545,106,104
5,123,3,28153,7056,5317,176,176
6,18,2,8142,578,572,22,22
6,18,3,8142,578,572,34,32
6,18,5,8142,578,572,82,82
6,18,7,8142,578,572,45,42
6,18,9,8142,578,572,2,2
6,18,4,8142,578,572,72,71
6,18,11,8142,578,572,27,27
6,18,10,8142,578,572,9,9
6,18,6,8142,578,572,72,72
5,123,4,28153,7056,5317,208,208
5,123,1,28153,7056,5317,159,159
6,18,8,8142,578,572,11,11
5,123,8,28153,7056,5317,1016,1016
5,123,2,28153,7056,5317,274,274
5,121,2,28153,1208,1207,479,479
5,21,0,28153,57,57,57,57
6,19,7,8142,816,185,14,14
6,19,5,8142,816,185,258,115
7,124,2,315882,27553,19366,20863,16636
6,19,8,8142,816,185,45,45
5,121,1,28153,1208,1207,287,287
6,19,6,8142,816,185,1,1
5,121,3,28153,1208,1207,442,441
5,19,5,28153,816,630,258,142
6,19,9,8142,816,185,1,1
5,123,9,28153,7056,5317,4334,2595
5,123,7,28153,7056,5317,307,307
5,20,1,28153,1077,1074,230,230
6,19,10,8142,816,185,2,2
5,20,2,28153,1077,1074,12,12
6,19,11,8142,816,185,5,5
5,20,3,28153,1077,1074,172,171
6,19,12,8142,816,185,2,2
5,20,4,28153,1077,1074,329,327
5,19,2,28153,816,630,4,4
5,19,1,28153,816,630,4,4
5,19,4,28153,816,630,118,118
5,19,3,28153,816,630,362,362
5,20,7,28153,1077,1074,11,11
5,20,6,28153,1077,1074,8,8
5,20,5,28153,1077,1074,315,315
7,124,1,315882,27553,19366,4386,2730
7,123,9,315882,7056,1739,4334,1739
