year,stockid,stocklong,areaid,score,b_bmsy,f_fmsy
1999,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.105866615708007,5.267995498297435
2000,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.105102235811198,5.140787571928355
2001,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.103955665965985,5.1762816741727
2002,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0993693865851328,5.452706744078547
2003,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0959296770494936,5.5221308591166824
2004,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0944009172558762,5.110341824994207
2005,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0924899675138544,4.742772114235987
2006,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0905790177718326,4.099396650669203
2007,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0871393082361934,3.680896090393735
2008,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0848461685457673,3.4305584878918576
2009,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.079495509268106307,3.2155532580755426
2010,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0737626600420409,3.1052332673321477
2011,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0733804700936365,3.09020474140442
2012,BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,0,0.0718517103000191,3.2003228529089225
1945,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0,4.57746478873239,NA
1946,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0,4.3158953722334,NA
1947,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0,4.20523138832998,NA
1948,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.1359182889344262,4.15492957746479,0.278483606557377
1949,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.12462218237704911,4.10965794768612,0.22684426229508173
1950,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.12565317622950817,4.03420523138833,0.23155737704918022
1951,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.13098744877049176,3.98893360160966,0.2559426229508195
1952,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.13098744877049176,3.98390342052314,0.2559426229508195
1953,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.12099129098360653,3.9989939637827,0.2102459016393442
1954,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.11139856557377045,4.08450704225352,0.1663934426229507
1955,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.10534707991803274,4.18008048289738,0.13872950819672117
1956,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.09960937499999997,4.25553319919517,0.11249999999999993
1957,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.10046106557377046,4.3158953722334,0.11639344262295073
1958,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.09974385245901637,4.37122736418511,0.1131147540983606
1959,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.10041623975409833,4.40140845070423,0.11618852459016385
1960,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.10059554303278685,4.38631790744467,0.11700819672131135
1961,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.10471951844262292,4.35613682092555,0.13586065573770484
1962,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.11664318647540979,4.27565392354125,0.19036885245901622
1963,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.12229123975409831,4.12474849094567,0.21618852459016372
1964,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.12377049180327865,3.98893360160966,0.22295081967213098
1965,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.12457735655737702,3.90845070422535,0.22663934426229498
1966,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.12471183401639344,3.81287726358149,0.22725409836065572
1967,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.1259669569672131,3.67203219315895,0.23299180327868846
1968,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.15030737704918032,3.58148893360161,0.3442622950819672
1969,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.16456198770491803,3.36016096579477,0.40942622950819674
1970,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.16976178278688525,3.23440643863179,0.43319672131147546
1971,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.17679943647540985,3.14386317907445,0.4653688524590165
1972,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.1512935450819672,3.05835010060362,0.34877049180327874
1973,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.14555584016393436,3.06338028169014,0.3225409836065572
1974,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.15030281587063216,2.98289738430584,0.32151639344262273
1975,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.17782442606458515,2.87726358148893,0.3098360655737702
1976,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.23302245594468368,2.79678068410463,0.41454918032786847
1977,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.28950557855328796,2.65090543259557,0.4364754098360652
1978,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.3564165732097506,2.55030181086519,0.5149590163934422
1979,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.4301206315763423,2.39939637826962,0.5504098360655735
1980,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.430797283702213,2.33400402414487,0.501639344262295
1981,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.40541409316555094,2.32394366197183,0.4450819672131147
1982,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.3525690516047117,2.35915492957746,0.36352459016393446
1983,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.3866888704151121,2.35412474849095,0.428483606557377
1984,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.5130992667067988,2.25855130784708,0.6018442622950813
1985,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.6930348742042417,2.09758551307847,0.7866803278688518
1986,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.754024144869215,1.99195171026157,0.8885245901639337
1987,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.77917505030181,1.94164989939638,0.9512295081967207
1988,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.819416498993965,1.86116700201207,1.0229508196721306
1989,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.88983903420523,1.72032193158954,1.1438524590163925
1990,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.8535111797836215,1.579476861167,1.2889344262295075
1991,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.8043032786885251,1.46881287726358,1.35655737704918
1992,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.7863729508196717,1.39336016096579,1.3709016393442626
1993,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.8580942622950812,1.30281690140845,1.313524590163935
1994,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.8657786885245905,1.25251509054326,1.3073770491803276
1995,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.9323770491803282,1.18712273641851,1.2540983606557374
1996,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.16700201207243,1.1249999999999998
1997,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.17203219315895,1.0450819672131146
1998,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.17203219315895,0.9590163934426247
1999,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.14688128772636,0.9856557377049197
2000,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.09657947686117,1.028688524590165
2001,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.07142857142857,1.0881147540983624
2002,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.04627766599598,1.14549180327869
2003,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.01106639839034,1.1577868852459026
2004,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.01106639839034,1.18237704918033
2005,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,0.9861680327868844,1.04627766599598,1.2110655737704925
2006,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.07142857142857,1.1434426229508194
2007,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.16197183098592,1.0676229508196722
2008,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.28269617706237,1.0184426229508192
2009,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,1,1.37323943661972,0.891393442622951
1944,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0,1.10787974960042,NA
1945,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0,1.40387815598221,NA
1946,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0,1.51804896987233,NA
1947,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.46572115144247317,1.6956480137014,0.24710839440760426
1948,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.48266035303808674,1.90284689816866,0.3478866955526305
1949,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.5255676268558533,1.89438980084346,0.40533032720529527
1950,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7602382528804792,1.86056141154269,0.717071205413909
1951,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,1.25165040412872,0.8908801821220307
1952,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,1.1290224929134,1.0897493630482151
1953,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.9648105458907693,0.959880546409523,1.2281515632873845
1954,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,0.83725263519421,0.982924363834488
1955,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,0.972566192397314,1.0064393007683285
1956,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,0.976794741059911,0.9459723200813135
1957,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,0.972566192397314,0.8498970063230553
1958,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,0.887995219145374,0.9164106850787725
1959,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,0.833024086531613,0.98023694247062
1960,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7779990912129291,0.731538918629284,1.14820077771233
1961,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0,0.553939874800209,1.4344111529642032
1962,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0,0.465140352885672,1.4935344229692848
1963,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0,0.498968742186448,1.40552137330263
1964,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.3147370726233951,0.600453910088777,1.1656690165774675
1965,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.9672805065690674,0.773824405255254,0.8707245218930255
1966,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.910800486856479,0.955651997746926,0.6980576992645475
1967,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.8138013720043913,1.25165040412872,0.5872015680050188
1968,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7597170170565607,1.31930718273027,0.5253908766360694
1969,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7844077008370921,1.28970734209209,0.5536088009566767
1970,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.9049217526230191,1.16285088221418,0.6913391458548792
1971,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.9254973224401288,0.959880546409523,0.7148540827887188
1972,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.8919885373094076,0.993708935710299,0.6765583283536087
1973,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.8520131445218804,1.40387815598221,0.6308721651678635
1974,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6711973975107091,1.61953413777466,0.47298616004065575
1975,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7029656608978444,1.58570574847388,0.49650109697449524
1976,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6057563141668569,1.95781803078242,0.5549525116386105
1977,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6864300110145496,1.8394186682297,0.6019823855062895
1978,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7488742549425099,1.699876562364,0.6080290835749913
1979,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.724157302087124,1.71256220835179,0.583170435959218
1980,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.8849340562292558,1.1290224929134,0.6684960642620068
1981,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,1.1374795902386,0.8176479499566452
1982,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,1,1.23473620947833,0.8230227926843797
1983,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.9678242089210396,1.46730638592117,0.763227667338331
1984,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.865534233258838,1.40387815598221,0.6463248380101008
1985,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6997539278752702,1.17553652820197,0.45686163185745177
1986,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6750632440947388,1.34467847470585,0.4286437075368445
1987,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.697191464511437,1.52227751853493,0.4629083299261535
1988,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7120992697655361,1.38273541266922,0.47097059401775554
1989,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6152052690591081,1.75484769497776,0.4629083299261533
1990,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6998147090754193,1.72101930567699,0.5562962223205442
