species,variable,value,year,fis_mar_sal
otherfarmed,wholesale_value,2.6,2003,mar
wildsalmon,wholesale_value,188.4,2003,sal
farmedsalmon,wholesale_value,302,2003,mar
othernonfarmed,wholesale_value,24.4,2003,fis
herring,weight,27.3,2002,fis
groundfish,weight,114.7,2002,fis
farmedshellfish,weight,9.2,2002,mar
wildshellfish,weight,18.6,2002,fis
othersum,weight,5.8,2002,fis
wildsalmon,weight,33.3,2002,sal
farmedsalmon,weight,84.3,2002,mar
herring,landed_value,48.4,2002,fis
groundfish,landed_value,131.3,2002,fis
farmedshellfish,landed_value,15.2,2002,mar
wildshellfish,landed_value,108.4,2002,fis
othersum,landed_value,13.3,2002,fis
wildsalmon,landed_value,57.3,2002,sal
farmedsalmon,landed_value,289,2002,mar
herring,wholesale_value,129.4,2002,fis
groundfish,wholesale_value,235.6,2002,fis
farmedshellfish,wholesale_value,28.4,2002,mar
wildshellfish,wholesale_value,181.3,2002,fis
othersum,wholesale_value,23.3,2002,fis
wildsalmon,wholesale_value,198.6,2002,sal
farmedsalmon,wholesale_value,338.9,2002,mar
farmedsalmon,wholesale_value,323,2001,mar
groundfish,wholesale_value,224.2,2001,fis
herring,wholesale_value,112.6,2001,fis
othersum,wholesale_value,1.9,2001,fis
shellfishfarmed,wholesale_value,25.6,2001,mar
wildsalmon,wholesale_value,161.9,2001,sal
wildshellfish,wholesale_value,182.4,2001,fis
farmedsalmon,landed_value,270.9,2001,mar
groundfish,landed_value,125.3,2001,fis
herring,landed_value,46.2,2001,fis
othersum,landed_value,1.2,2001,fis
shellfishfarmed,landed_value,17.2,2001,mar
wildsalmon,landed_value,37.1,2001,sal
wildshellfish,landed_value,129.5,2001,fis
farmedsalmon,weight,68,2001,mar
groundfish,weight,115.7,2001,fis
herring,weight,24.5,2001,fis
othersum,weight,1.7,2001,fis
shellfishfarmed,weight,8.9,2001,mar
wildsalmon,weight,24.7,2001,sal
wildshellfish,weight,20.1,2001,fis
herring,wholesale_value,122,1999,fis
othersum,wholesale_value,14.5,1999,fis
farmedshellfish,wholesale_value,18.1,1999,mar
wildshellfish,wholesale_value,140.3,1999,fis
groundfish,wholesale_value,209.2,1999,fis
farmedsalmon,wholesale_value,333.9,1999,mar
wildsalmon,wholesale_value,170.5,1999,sal
herring,landed_value,48.6,1999,fis
othersum,landed_value,10.6,1999,fis
farmedshellfish,landed_value,10.5,1999,mar
wildshellfish,landed_value,95.1,1999,fis
groundfish,landed_value,130.9,1999,fis
farmedsalmon,landed_value,290.5,1999,mar
wildsalmon,landed_value,26.3,1999,sal
herring,weight,27.1,1999,fis
othersum,weight,4.8,1999,fis
farmedshellfish,weight,6.5,1999,mar
wildshellfish,weight,17,1999,fis
groundfish,weight,139.6,1999,fis
farmedsalmon,weight,49.6,1999,mar
wildsalmon,weight,17,1999,sal
groundfish,wholesale_value,218.4,1998,fis
wildshellfish,wholesale_value,137,1998,fis
farmedshellfish,wholesale_value,16,1998,mar
wildsalmon,wholesale_value,208.3,1998,sal
farmedsalmon,wholesale_value,264.1,1998,mar
herring,wholesale_value,107.7,1998,fis
othernonfarmed,wholesale_value,115.1,1998,fis
groundfish,landed_value,121.8,1998,fis
wildshellfish,landed_value,94.3,1998,fis
farmedshellfish,landed_value,9,1998,mar
wildsalmon,landed_value,54,1998,sal
farmedsalmon,landed_value,228.9,1998,mar
herring,landed_value,36.6,1998,fis
othernonfarmed,landed_value,60,1998,fis
groundfish,weight,139.2,1998,fis
wildshellfish,weight,19.3,1998,fis
farmedshellfish,weight,6.1,1998,mar
wildsalmon,weight,30.3,1998,sal
farmedsalmon,weight,42.2,1998,mar
herring,weight,33.9,1998,fis
othernonfarmed,weight,11.8,1998,fis
