species,variable,value,year,xl_sheet
sardines,harvest,19.2,2012,2011_2012_2013
scallops,harvest,0.01,2012,2011_2012_2013
sea cucumbers,harvest,1.7,2012,2011_2012_2013
sea urchins: green,harvest,0.11,2012,2011_2012_2013
sea urchins: red,harvest,3,2012,2011_2012_2013
shellfish,harvest,21.7,2012,2011_2012_2013
shrimp,harvest,0.7,2012,2011_2012_2013
sockeye,harvest,2.1,2012,2011_2012_2013
soles,harvest,4.9,2012,2011_2012_2013
spawn on kelp,harvest,0.08,2012,2011_2012_2013
tuna,harvest,2.5,2012,2011_2012_2013
wild salmon,harvest,9,2012,2011_2012_2013
wild shellfish,harvest,12.8,2012,2011_2012_2013
other-sum,harvest,22,2012,2011_2012_2013
chinook,landed_value,11,2011,2011_2012_2013
chum,landed_value,10.7,2011,2011_2012_2013
clams,landed_value,1,2011,2011_2012_2013
coho,landed_value,4.9,2011,2011_2012_2013
crabs,landed_value,31.2,2011,2011_2012_2013
dogfish,landed_value,0.7,2011,2011_2012_2013
farmed atlantic,landed_value,408.9,2011,2011_2012_2013
"farmed geoduck &
other clams",landed_value,7,2011,2011_2012_2013
farmed oysters,landed_value,9.1,2011,2011_2012_2013
farmed pacific,landed_value,26.8,2011,2011_2012_2013
farmed salmon,landed_value,435.7,2011,2011_2012_2013
farmed scallops and other,landed_value,3.2,2011,2011_2012_2013
farmed shellfish,landed_value,19.3,2011,2011_2012_2013
food and bait,landed_value,1.3,2011,2011_2012_2013
geoducks,landed_value,40,2011,2011_2012_2013
groundfish,landed_value,129.5,2011,2011_2012_2013
hake,landed_value,16.3,2011,2011_2012_2013
halibut,landed_value,47.2,2011,2011_2012_2013
herring,landed_value,6.3,2011,2011_2012_2013
lingcod,landed_value,4.7,2011,2011_2012_2013
other,landed_value,1.8,2011,2011_2012_2013
other,landed_value,0.5,2011,2011_2012_2013
other,landed_value,44.4,2011,2011_2012_2013
other-farmed,landed_value,10.5,2011,2011_2012_2013
other-wild,landed_value,1.5,2011,2011_2012_2013
pacific cod,landed_value,2.1,2011,2011_2012_2013
pink,landed_value,8.7,2011,2011_2012_2013
pollock,landed_value,1.1,2011,2011_2012_2013
prawns,landed_value,46.4,2011,2011_2012_2013
rockfish,landed_value,22.7,2011,2011_2012_2013
roe herring,landed_value,4,2011,2011_2012_2013
sablefish,landed_value,26.3,2011,2011_2012_2013
salmon,landed_value,483.7,2011,2011_2012_2013
sardines,landed_value,3.5,2011,2011_2012_2013
scallops,landed_value,0.1,2011,2011_2012_2013
sea cucumbers,landed_value,5.5,2011,2011_2012_2013
sea urchins: green,landed_value,0.2,2011,2011_2012_2013
sea urchins: red,landed_value,3.2,2011,2011_2012_2013
shellfish,landed_value,149.5,2011,2011_2012_2013
shrimp,landed_value,2.1,2011,2011_2012_2013
sockeye,landed_value,12.7,2011,2011_2012_2013
soles,landed_value,5.5,2011,2011_2012_2013
spawn on kelp,landed_value,1,2011,2011_2012_2013
tuna,landed_value,28.9,2011,2011_2012_2013
wild salmon,landed_value,48,2011,2011_2012_2013
wild shellfish,landed_value,130.2,2011,2011_2012_2013
other-sum,landed_value,33.9,2011,2011_2012_2013
chinook,landed_value,8,2012,2011_2012_2013
chum,landed_value,5.3,2012,2011_2012_2013
clams,landed_value,1.1,2012,2011_2012_2013
coho,landed_value,3.1,2012,2011_2012_2013
crabs,landed_value,31.1,2012,2011_2012_2013
dogfish,landed_value,0.5,2012,2011_2012_2013
farmed atlantic,landed_value,349,2012,2011_2012_2013
"farmed geoduck &
other clams",landed_value,6.5,2012,2011_2012_2013
farmed oysters,landed_value,10.3,2012,2011_2012_2013
farmed pacific,landed_value,23.8,2012,2011_2012_2013
farmed salmon,landed_value,372.8,2012,2011_2012_2013
farmed scallops and other,landed_value,2.6,2012,2011_2012_2013
farmed shellfish,landed_value,19.4,2012,2011_2012_2013
food and bait,landed_value,1.3,2012,2011_2012_2013
geoducks,landed_value,47.8,2012,2011_2012_2013
groundfish,landed_value,123.4,2012,2011_2012_2013
hake,landed_value,16.5,2012,2011_2012_2013
halibut,landed_value,40.7,2012,2011_2012_2013
herring,landed_value,11.3,2012,2011_2012_2013
lingcod,landed_value,5.1,2012,2011_2012_2013
other,landed_value,1.5,2012,2011_2012_2013
other,landed_value,0.6,2012,2011_2012_2013
other,landed_value,24.4,2012,2011_2012_2013
other-farmed,landed_value,8.3,2012,2011_2012_2013
other-wild,landed_value,1.5,2012,2011_2012_2013
pacific cod,landed_value,1.7,2012,2011_2012_2013
pink,landed_value,1,2012,2011_2012_2013
pollock,landed_value,2,2012,2011_2012_2013
prawns,landed_value,33.3,2012,2011_2012_2013
rockfish,landed_value,22.4,2012,2011_2012_2013
roe herring,landed_value,8.7,2012,2011_2012_2013
sablefish,landed_value,25.7,2012,2011_2012_2013
salmon,landed_value,399.2,2012,2011_2012_2013
sardines,landed_value,3.3,2012,2011_2012_2013
scallops,landed_value,0.1,2012,2011_2012_2013
sea cucumbers,landed_value,5.8,2012,2011_2012_2013
sea urchins: green,landed_value,0.4,2012,2011_2012_2013
sea urchins: red,landed_value,3.9,2012,2011_2012_2013
shellfish,landed_value,146.1,2012,2011_2012_2013
shrimp,landed_value,2.6,2012,2011_2012_2013
sockeye,landed_value,9,2012,2011_2012_2013
soles,landed_value,5.9,2012,2011_2012_2013
spawn on kelp,landed_value,1.3,2012,2011_2012_2013
tuna,landed_value,11.3,2012,2011_2012_2013
wild salmon,landed_value,26.4,2012,2011_2012_2013
wild shellfish,landed_value,126.7,2012,2011_2012_2013
other-sum,landed_value,16.1,2012,2011_2012_2013
chinook,wholesale_value,21.4,2011,2011_2012_2013
chum,wholesale_value,31.8,2011,2011_2012_2013
clams,wholesale_value,3.7,2011,2011_2012_2013
coho,wholesale_value,24.5,2011,2011_2012_2013
crabs,wholesale_value,59.4,2011,2011_2012_2013
dogfish,wholesale_value,1.4,2011,2011_2012_2013
farmed atlantic,wholesale_value,457.6,2011,2011_2012_2013
"farmed geoduck &
other clams",wholesale_value,10.6,2011,2011_2012_2013
farmed oysters,wholesale_value,14.3,2011,2011_2012_2013
farmed pacific,wholesale_value,49.4,2011,2011_2012_2013
farmed salmon,wholesale_value,507,2011,2011_2012_2013
farmed scallops and other,wholesale_value,4.3,2011,2011_2012_2013
farmed shellfish,wholesale_value,29.2,2011,2011_2012_2013
food and bait,wholesale_value,3.1,2011,2011_2012_2013
geoducks,wholesale_value,45.6,2011,2011_2012_2013
groundfish,wholesale_value,312.6,2011,2011_2012_2013
hake,wholesale_value,50.5,2011,2011_2012_2013
halibut,wholesale_value,129.9,2011,2011_2012_2013
herring,wholesale_value,30.2,2011,2011_2012_2013
lingcod,wholesale_value,8.3,2011,2011_2012_2013
other,wholesale_value,16.7,2011,2011_2012_2013
other,wholesale_value,3,2011,2011_2012_2013
other,wholesale_value,92.4,2011,2011_2012_2013
other-farmed,wholesale_value,16.6,2011,2011_2012_2013
other-wild,wholesale_value,7.2,2011,2011_2012_2013
pacific cod,wholesale_value,4.4,2011,2011_2012_2013
pink,wholesale_value,37.6,2011,2011_2012_2013
pollock,wholesale_value,6.1,2011,2011_2012_2013
prawns,wholesale_value,69.7,2011,2011_2012_2013
rockfish,wholesale_value,45,2011,2011_2012_2013
roe herring,wholesale_value,25.8,2011,2011_2012_2013
sablefish,wholesale_value,34.3,2011,2011_2012_2013
salmon,wholesale_value,728.6,2011,2011_2012_2013
sardines,wholesale_value,20.1,2011,2011_2012_2013
scallops,wholesale_value,1.6,2011,2011_2012_2013
sea cucumbers,wholesale_value,10.8,2011,2011_2012_2013
sea urchins: green,wholesale_value,0.7,2011,2011_2012_2013
sea urchins: red,wholesale_value,7.5,2011,2011_2012_2013
shellfish,wholesale_value,236,2011,2011_2012_2013
shrimp,wholesale_value,4.8,2011,2011_2012_2013
sockeye,wholesale_value,105.7,2011,2011_2012_2013
soles,wholesale_value,12.8,2011,2011_2012_2013
spawn on kelp,wholesale_value,1.3,2011,2011_2012_2013
tuna,wholesale_value,48.5,2011,2011_2012_2013
wild salmon,wholesale_value,221.6,2011,2011_2012_2013
wild shellfish,wholesale_value,206.8,2011,2011_2012_2013
other-sum,wholesale_value,75.8,2011,2011_2012_2013
chinook,wholesale_value,19,2012,2011_2012_2013
chum,wholesale_value,38.1,2012,2011_2012_2013
clams,wholesale_value,3.6,2012,2011_2012_2013
coho,wholesale_value,23.4,2012,2011_2012_2013
crabs,wholesale_value,61.5,2012,2011_2012_2013
dogfish,wholesale_value,2,2012,2011_2012_2013
farmed atlantic,wholesale_value,384.5,2012,2011_2012_2013
"farmed geoduck &
other clams",wholesale_value,11.1,2012,2011_2012_2013
farmed oysters,wholesale_value,20.2,2012,2011_2012_2013
farmed pacific,wholesale_value,60.9,2012,2011_2012_2013
farmed salmon,wholesale_value,445.4,2012,2011_2012_2013
farmed scallops and other,wholesale_value,5.1,2012,2011_2012_2013
farmed shellfish,wholesale_value,36.4,2012,2011_2012_2013
food and bait,wholesale_value,4.8,2012,2011_2012_2013
geoducks,wholesale_value,48.6,2012,2011_2012_2013
groundfish,wholesale_value,286,2012,2011_2012_2013
hake,wholesale_value,48.5,2012,2011_2012_2013
halibut,wholesale_value,107.7,2012,2011_2012_2013
herring,wholesale_value,38.4,2012,2011_2012_2013
lingcod,wholesale_value,9,2012,2011_2012_2013
other,wholesale_value,21.2,2012,2011_2012_2013
other,wholesale_value,3.3,2012,2011_2012_2013
other,wholesale_value,76.1,2012,2011_2012_2013
other-farmed,wholesale_value,14.1,2012,2011_2012_2013
other-wild,wholesale_value,4.2,2012,2011_2012_2013
pacific cod,wholesale_value,3.9,2012,2011_2012_2013
pink,wholesale_value,13.2,2012,2011_2012_2013
pollock,wholesale_value,6.8,2012,2011_2012_2013
prawns,wholesale_value,53.8,2012,2011_2012_2013
rockfish,wholesale_value,44.6,2012,2011_2012_2013
roe herring,wholesale_value,32,2012,2011_2012_2013
sablefish,wholesale_value,26.4,2012,2011_2012_2013
salmon,wholesale_value,613.6,2012,2011_2012_2013
sardines,wholesale_value,17.8,2012,2011_2012_2013
scallops,wholesale_value,2.2,2012,2011_2012_2013
sea cucumbers,wholesale_value,8.4,2012,2011_2012_2013
sea urchins: green,wholesale_value,1.2,2012,2011_2012_2013
sea urchins: red,wholesale_value,11.5,2012,2011_2012_2013
shellfish,wholesale_value,235.6,2012,2011_2012_2013
shrimp,wholesale_value,5.1,2012,2011_2012_2013
sockeye,wholesale_value,74,2012,2011_2012_2013
soles,wholesale_value,11.3,2012,2011_2012_2013
spawn on kelp,wholesale_value,1.6,2012,2011_2012_2013
tuna,wholesale_value,40,2012,2011_2012_2013
wild salmon,wholesale_value,168.2,2012,2011_2012_2013
wild shellfish,wholesale_value,199.2,2012,2011_2012_2013
other-sum,wholesale_value,62,2012,2011_2012_2013
chinook,harvest,1.2,2010,2010_2011_2012
chum,harvest,0.5,2010,2010_2011_2012
coho,harvest,0.6,2010,2010_2011_2012
pink,harvest,1.3,2010,2010_2011_2012
sockeye,harvest,20,2010,2010_2011_2012
wild salmon1,harvest,23.6,2010,2010_2011_2012
atlantic,harvest,74.5,2010,2010_2011_2012
pacific 2,harvest,4.2,2010,2010_2011_2012
cultured salmon,harvest,78.7,2010,2010_2011_2012
spawn on kelp,harvest,0.11,2010,2010_2011_2012
roe herring,harvest,9.3,2010,2010_2011_2012
food and bait,harvest,0.8,2010,2010_2011_2012
herring,harvest,10.2,2010,2010_2011_2012
arrowtooth flounder,harvest,3.4,2010,2010_2011_2012
dogfish,harvest,1.9,2010,2010_2011_2012
hake,harvest,55.6,2010,2010_2011_2012
halibut,harvest,4.1,2010,2010_2011_2012
lingcod,harvest,1.6,2010,2010_2011_2012
pacific cod,harvest,2,2010,2010_2011_2012
pollock,harvest,3.7,2010,2010_2011_2012
rockfish,harvest,17.9,2010,2010_2011_2012
sablefish,harvest,2.4,2010,2010_2011_2012
soles,harvest,3.9,2010,2010_2011_2012
other,harvest,1.1,2010,2010_2011_2012
groundfish,harvest,97.6,2010,2010_2011_2012
clams,harvest,1.5,2010,2010_2011_2012
oysters,harvest,7.6,2010,2010_2011_2012
scallops & other,harvest,1,2010,2010_2011_2012
cultured shellfish,harvest,10.1,2010,2010_2011_2012
clams,harvest,0.9,2010,2010_2011_2012
crabs,harvest,5.2,2010,2010_2011_2012
geoducks,harvest,1.6,2010,2010_2011_2012
scallops,harvest,0.01,2010,2010_2011_2012
sea cucumbers,harvest,1.5,2010,2010_2011_2012
sea urchins: red,harvest,2.2,2010,2010_2011_2012
sea urchins: green,harvest,0.1,2010,2010_2011_2012
shrimp,harvest,0.5,2010,2010_2011_2012
prawns,harvest,2.2,2010,2010_2011_2012
other5,harvest,0.3,2010,2010_2011_2012
wild shellfish,harvest,14.5,2010,2010_2011_2012
shellfish,harvest,24.6,2010,2010_2011_2012
tuna,harvest,6.5,2010,2010_2011_2012
sardines,harvest,22.2,2010,2010_2011_2012
other-wild6,harvest,0.3,2010,2010_2011_2012
other-cultured 7,harvest,2.8,2010,2010_2011_2012
other,harvest,31.8,2010,2010_2011_2012
grand total,harvest,266.5,2010,2010_2011_2012
other-sum,harvest,29,2010,2010_2011_2012
chinook,landed_value,9.6,2010,2010_2011_2012
chum,landed_value,0.9,2010,2010_2011_2012
coho,landed_value,2.6,2010,2010_2011_2012
pink,landed_value,0.7,2010,2010_2011_2012
sockeye,landed_value,56.8,2010,2010_2011_2012
wild salmon1,landed_value,70.6,2010,2010_2011_2012
atlantic,landed_value,470.3,2010,2010_2011_2012
pacific 2,landed_value,29.4,2010,2010_2011_2012
cultured salmon,landed_value,499.7,2010,2010_2011_2012
spawn on kelp,landed_value,0.8,2010,2010_2011_2012
roe herring,landed_value,10.6,2010,2010_2011_2012
food and bait,landed_value,0.5,2010,2010_2011_2012
herring,landed_value,11.9,2010,2010_2011_2012
arrowtooth flounder,landed_value,1.5,2010,2010_2011_2012
dogfish,landed_value,1,2010,2010_2011_2012
hake,landed_value,16.9,2010,2010_2011_2012
halibut,landed_value,37.5,2010,2010_2011_2012
lingcod,landed_value,3.7,2010,2010_2011_2012
pacific cod,landed_value,2.5,2010,2010_2011_2012
pollock,landed_value,1.2,2010,2010_2011_2012
rockfish,landed_value,20,2010,2010_2011_2012
sablefish,landed_value,22.5,2010,2010_2011_2012
soles,landed_value,3.5,2010,2010_2011_2012
other,landed_value,1.2,2010,2010_2011_2012
groundfish,landed_value,111.5,2010,2010_2011_2012
clams,landed_value,8.1,2010,2010_2011_2012
oysters,landed_value,9,2010,2010_2011_2012
scallops & other,landed_value,4.9,2010,2010_2011_2012
cultured shellfish,landed_value,22,2010,2010_2011_2012
clams,landed_value,2,2010,2010_2011_2012
crabs,landed_value,36.8,2010,2010_2011_2012
geoducks,landed_value,40.9,2010,2010_2011_2012
scallops,landed_value,0.1,2010,2010_2011_2012
sea cucumbers,landed_value,4.4,2010,2010_2011_2012
sea urchins: red,landed_value,2.8,2010,2010_2011_2012
sea urchins: green,landed_value,0.4,2010,2010_2011_2012
shrimp,landed_value,1.8,2010,2010_2011_2012
prawns,landed_value,22.9,2010,2010_2011_2012
other5,landed_value,0.5,2010,2010_2011_2012
wild shellfish,landed_value,112.6,2010,2010_2011_2012
shellfish,landed_value,134.6,2010,2010_2011_2012
tuna,landed_value,22.7,2010,2010_2011_2012
sardines,landed_value,3.9,2010,2010_2011_2012
other-wild6,landed_value,1.5,2010,2010_2011_2012
other-cultured 7,landed_value,16.9,2010,2010_2011_2012
other,landed_value,45,2010,2010_2011_2012
grand total,landed_value,873.3,2010,2010_2011_2012
other-sum,landed_value,28.1,2010,2010_2011_2012
chinook,wholesale_value,18.5,2010,2010_2011_2012
chum,wholesale_value,9.7,2010,2010_2011_2012
coho,wholesale_value,20.5,2010,2010_2011_2012
pink,wholesale_value,16.8,2010,2010_2011_2012
sockeye,wholesale_value,174.4,2010,2010_2011_2012
wild salmon1,wholesale_value,240.9,2010,2010_2011_2012
atlantic,wholesale_value,502.8,2010,2010_2011_2012
pacific 2,wholesale_value,47.6,2010,2010_2011_2012
cultured salmon,wholesale_value,550.4,2010,2010_2011_2012
spawn on kelp,wholesale_value,1.1,2010,2010_2011_2012
roe herring,wholesale_value,38.7,2010,2010_2011_2012
food and bait,wholesale_value,3.2,2010,2010_2011_2012
herring,wholesale_value,43,2010,2010_2011_2012
arrowtooth flounder,wholesale_value,2.5,2010,2010_2011_2012
dogfish,wholesale_value,3.9,2010,2010_2011_2012
hake,wholesale_value,52.2,2010,2010_2011_2012
halibut,wholesale_value,121.9,2010,2010_2011_2012
lingcod,wholesale_value,8.3,2010,2010_2011_2012
pacific cod,wholesale_value,3.8,2010,2010_2011_2012
pollock,wholesale_value,3.7,2010,2010_2011_2012
rockfish,wholesale_value,36,2010,2010_2011_2012
sablefish,wholesale_value,26,2010,2010_2011_2012
soles,wholesale_value,8.9,2010,2010_2011_2012
other,wholesale_value,14.4,2010,2010_2011_2012
groundfish,wholesale_value,281.6,2010,2010_2011_2012
clams,wholesale_value,10.3,2010,2010_2011_2012
oysters,wholesale_value,14.5,2010,2010_2011_2012
scallops & other,wholesale_value,5.1,2010,2010_2011_2012
cultured shellfish,wholesale_value,29.9,2010,2010_2011_2012
clams,wholesale_value,3.9,2010,2010_2011_2012
crabs,wholesale_value,76.1,2010,2010_2011_2012
geoducks,wholesale_value,51.8,2010,2010_2011_2012
scallops,wholesale_value,0.2,2010,2010_2011_2012
sea cucumbers,wholesale_value,6.4,2010,2010_2011_2012
sea urchins: red,wholesale_value,8.2,2010,2010_2011_2012
sea urchins: green,wholesale_value,0.8,2010,2010_2011_2012
shrimp,wholesale_value,4.3,2010,2010_2011_2012
prawns,wholesale_value,37.9,2010,2010_2011_2012
other5,wholesale_value,3,2010,2010_2011_2012
wild shellfish,wholesale_value,192.6,2010,2010_2011_2012
shellfish,wholesale_value,222.5,2010,2010_2011_2012
tuna,wholesale_value,47.7,2010,2010_2011_2012
sardines,wholesale_value,23,2010,2010_2011_2012
other-wild6,wholesale_value,3.8,2010,2010_2011_2012
other-cultured 7,wholesale_value,18.7,2010,2010_2011_2012
other,wholesale_value,93.2,2010,2010_2011_2012
grand total,wholesale_value,1431.6,2010,2010_2011_2012
other-sum,wholesale_value,74.5,2010,2010_2011_2012
chinook,harvest,0.9,2009,2009_2010_2011
chum,harvest,2.7,2009,2009_2010_2011
coho,harvest,0.8,2009,2009_2010_2011
pink,harvest,13.4,2009,2009_2010_2011
sockeye,harvest,0.7,2009,2009_2010_2011
wild salmon,harvest,18.5,2009,2009_2010_2011
atlantic,harvest,72.7,2009,2009_2010_2011
pacific,harvest,3.6,2009,2009_2010_2011
cultured salmon,harvest,76.3,2009,2009_2010_2011
salmon,harvest,94.8,2009,2009_2010_2011
spawn on kelp,harvest,0.13,2009,2009_2010_2011
roe herring,harvest,11.6,2009,2009_2010_2011
food and bait,harvest,0.6,2009,2009_2010_2011
herring,harvest,12.3,2009,2009_2010_2011
arrowtooth flounder,harvest,3.9,2009,2009_2010_2011
dogfish,harvest,4.3,2009,2009_2010_2011
hake,harvest,56.2,2009,2009_2010_2011
halibut,harvest,4.1,2009,2009_2010_2011
lingcod,harvest,2.1,2009,2009_2010_2011
pacific cod,harvest,1,2009,2009_2010_2011
pollock,harvest,3.4,2009,2009_2010_2011
rockfish,harvest,18.1,2009,2009_2010_2011
sablefish,harvest,2.6,2009,2009_2010_2011
soles,harvest,4.2,2009,2009_2010_2011
other4,harvest,0.9,2009,2009_2010_2011
groundfish,harvest,100.8,2009,2009_2010_2011
clams,harvest,1.4,2009,2009_2010_2011
oysters,harvest,5.7,2009,2009_2010_2011
scallops & other,harvest,0.7,2009,2009_2010_2011
cultured shellfish,harvest,7.8,2009,2009_2010_2011
clams,harvest,0.8,2009,2009_2010_2011
crabs,harvest,5.6,2009,2009_2010_2011
geoducks,harvest,1.6,2009,2009_2010_2011
scallops,harvest,0.02,2009,2009_2010_2011
sea cucumbers,harvest,1.5,2009,2009_2010_2011
sea urchins: red,harvest,2.1,2009,2009_2010_2011
sea urchins: green,harvest,0.11,2009,2009_2010_2011
shrimp,harvest,0.7,2009,2009_2010_2011
prawns,harvest,3.4,2009,2009_2010_2011
other5,harvest,0.1,2009,2009_2010_2011
wild shellfish,harvest,15.9,2009,2009_2010_2011
shellfish,harvest,23.7,2009,2009_2010_2011
tuna,harvest,5.7,2009,2009_2010_2011
sardines,harvest,15.3,2009,2009_2010_2011
other-wild,harvest,0.3,2009,2009_2010_2011
other-cultured,harvest,2,2009,2009_2010_2011
other,harvest,23.3,2009,2009_2010_2011
grand total b.c.,harvest,255,2009,2009_2010_2011
other-sum,harvest,21.3,2009,2009_2010_2011
other non farmed,harvest,21.3,2009,2009_2010_2011
chinook,landed_value,7.1,2009,2009_2010_2011
chum,landed_value,4.3,2009,2009_2010_2011
coho,landed_value,3,2009,2009_2010_2011
pink,landed_value,6.7,2009,2009_2010_2011
sockeye,landed_value,2.6,2009,2009_2010_2011
wild salmon,landed_value,23.7,2009,2009_2010_2011
atlantic,landed_value,370.5,2009,2009_2010_2011
pacific,landed_value,23.7,2009,2009_2010_2011
cultured salmon,landed_value,394.2,2009,2009_2010_2011
salmon,landed_value,417.9,2009,2009_2010_2011
spawn on kelp,landed_value,1.6,2009,2009_2010_2011
roe herring,landed_value,15.5,2009,2009_2010_2011
food and bait,landed_value,0.5,2009,2009_2010_2011
herring,landed_value,17.6,2009,2009_2010_2011
arrowtooth flounder,landed_value,1.5,2009,2009_2010_2011
dogfish,landed_value,2,2009,2009_2010_2011
hake,landed_value,14.2,2009,2009_2010_2011
halibut,landed_value,31.5,2009,2009_2010_2011
lingcod,landed_value,4.5,2009,2009_2010_2011
pacific cod,landed_value,1.5,2009,2009_2010_2011
pollock,landed_value,2,2009,2009_2010_2011
rockfish,landed_value,22.5,2009,2009_2010_2011
sablefish,landed_value,24,2009,2009_2010_2011
soles,landed_value,3.5,2009,2009_2010_2011
other4,landed_value,1.5,2009,2009_2010_2011
groundfish,landed_value,108.7,2009,2009_2010_2011
clams,landed_value,7.4,2009,2009_2010_2011
oysters,landed_value,7,2009,2009_2010_2011
scallops & other,landed_value,3.1,2009,2009_2010_2011
cultured shellfish,landed_value,17.5,2009,2009_2010_2011
clams,landed_value,2,2009,2009_2010_2011
crabs,landed_value,32.2,2009,2009_2010_2011
geoducks,landed_value,31.8,2009,2009_2010_2011
scallops,landed_value,0.2,2009,2009_2010_2011
sea cucumbers,landed_value,3,2009,2009_2010_2011
sea urchins: red,landed_value,2.6,2009,2009_2010_2011
sea urchins: green,landed_value,0.4,2009,2009_2010_2011
shrimp,landed_value,1.3,2009,2009_2010_2011
prawns,landed_value,33,2009,2009_2010_2011
other5,landed_value,0.4,2009,2009_2010_2011
wild shellfish,landed_value,106.9,2009,2009_2010_2011
shellfish,landed_value,124.4,2009,2009_2010_2011
tuna,landed_value,16.2,2009,2009_2010_2011
sardines,landed_value,2.5,2009,2009_2010_2011
other-wild,landed_value,1.5,2009,2009_2010_2011
other-cultured,landed_value,11.1,2009,2009_2010_2011
other,landed_value,31.3,2009,2009_2010_2011
grand total b.c.,landed_value,699.9,2009,2009_2010_2011
other-sum,landed_value,20.2,2009,2009_2010_2011
other non farmed,landed_value,20.2,2009,2009_2010_2011
chinook,wholesale_value,16.1,2009,2009_2010_2011
chum,wholesale_value,21.3,2009,2009_2010_2011
coho,wholesale_value,23.9,2009,2009_2010_2011
pink,wholesale_value,41.8,2009,2009_2010_2011
sockeye,wholesale_value,39.2,2009,2009_2010_2011
wild salmon,wholesale_value,143.5,2009,2009_2010_2011
atlantic,wholesale_value,461,2009,2009_2010_2011
pacific,wholesale_value,32.5,2009,2009_2010_2011
cultured salmon,wholesale_value,493.5,2009,2009_2010_2011
salmon,wholesale_value,637,2009,2009_2010_2011
spawn on kelp,wholesale_value,2.2,2009,2009_2010_2011
roe herring,wholesale_value,59.9,2009,2009_2010_2011
food and bait,wholesale_value,3.2,2009,2009_2010_2011
herring,wholesale_value,65.3,2009,2009_2010_2011
arrowtooth flounder,wholesale_value,3,2009,2009_2010_2011
dogfish,wholesale_value,7.7,2009,2009_2010_2011
hake,wholesale_value,51.4,2009,2009_2010_2011
halibut,wholesale_value,133.1,2009,2009_2010_2011
lingcod,wholesale_value,8.9,2009,2009_2010_2011
pacific cod,wholesale_value,3.2,2009,2009_2010_2011
pollock,wholesale_value,5.6,2009,2009_2010_2011
rockfish,wholesale_value,37.3,2009,2009_2010_2011
sablefish,wholesale_value,29.9,2009,2009_2010_2011
soles,wholesale_value,8.6,2009,2009_2010_2011
other4,wholesale_value,12.7,2009,2009_2010_2011
groundfish,wholesale_value,301.4,2009,2009_2010_2011
clams,wholesale_value,12.6,2009,2009_2010_2011
oysters,wholesale_value,14,2009,2009_2010_2011
scallops & other,wholesale_value,3.7,2009,2009_2010_2011
cultured shellfish,wholesale_value,30.3,2009,2009_2010_2011
clams,wholesale_value,2.9,2009,2009_2010_2011
crabs,wholesale_value,56.3,2009,2009_2010_2011
geoducks,wholesale_value,42.7,2009,2009_2010_2011
scallops,wholesale_value,0.3,2009,2009_2010_2011
sea cucumbers,wholesale_value,6.3,2009,2009_2010_2011
sea urchins: red,wholesale_value,8.5,2009,2009_2010_2011
sea urchins: green,wholesale_value,1.2,2009,2009_2010_2011
shrimp,wholesale_value,4.9,2009,2009_2010_2011
prawns,wholesale_value,50.6,2009,2009_2010_2011
other5,wholesale_value,2.6,2009,2009_2010_2011
wild shellfish,wholesale_value,176.3,2009,2009_2010_2011
shellfish,wholesale_value,206.6,2009,2009_2010_2011
tuna,wholesale_value,27.9,2009,2009_2010_2011
sardines,wholesale_value,16.2,2009,2009_2010_2011
other-wild,wholesale_value,5.5,2009,2009_2010_2011
other-cultured,wholesale_value,12.3,2009,2009_2010_2011
other,wholesale_value,61.9,2009,2009_2010_2011
grand total b.c.,wholesale_value,1272.2,2009,2009_2010_2011
other-sum,wholesale_value,49.6,2009,2009_2010_2011
other non farmed,wholesale_value,49.6,2009,2009_2010_2011
arrowtooth flounder,harvest,5,2008,2008_2009_2010
atlantic salmon,harvest,77.2,2008,2008_2009_2010
chinook,harvest,1,2008,2008_2009_2010
chum,harvest,1.7,2008,2008_2009_2010
clams,harvest,0.8,2008,2008_2009_2010
coho,harvest,0.4,2008,2008_2009_2010
crabs,harvest,6.9,2008,2008_2009_2010
dogfish,harvest,2.2,2008,2008_2009_2010
farmed clams,harvest,1.3,2008,2008_2009_2010
farmed oysters,harvest,5.6,2008,2008_2009_2010
farmed salmon,harvest,81.4,2008,2008_2009_2010
farmed scallops and mussels,harvest,0.6,2008,2008_2009_2010
farmed shellfish,harvest,7.5,2008,2008_2009_2010
food and bait,harvest,0.8,2008,2008_2009_2010
geoducks,harvest,1.6,2008,2008_2009_2010
grand total b.c.,harvest,256.3,2008,2008_2009_2010
groundfish,harvest,115.8,2008,2008_2009_2010
hake,harvest,73.8,2008,2008_2009_2010
halibut,harvest,4.8,2008,2008_2009_2010
herring,harvest,11.4,2008,2008_2009_2010
lingcod,harvest,2.3,2008,2008_2009_2010
other,harvest,18.7,2008,2008_2009_2010
other groundfish,harvest,1,2008,2008_2009_2010
other shellfish,harvest,0.2,2008,2008_2009_2010
other-farmed,harvest,2.5,2008,2008_2009_2010
other-wild,harvest,0.4,2008,2008_2009_2010
pacific,harvest,4.2,2008,2008_2009_2010
pacific cod,harvest,0.4,2008,2008_2009_2010
pink,harvest,0.4,2008,2008_2009_2010
pollock,harvest,1.3,2008,2008_2009_2010
prawns,harvest,2.4,2008,2008_2009_2010
rockfish,harvest,17.7,2008,2008_2009_2010
roe herring,harvest,10.5,2008,2008_2009_2010
sablefish,harvest,3.1,2008,2008_2009_2010
salmon,harvest,86.8,2008,2008_2009_2010
