section,year,date,length,width,layers,km,method,location,pool
135,1962,31-Mar,69,18,1.34,74,S,Sutil Chnl,pool 2
135,1962,31-Mar,37,18,1.34,57,S,Heriot Bay,pool 2
135,1962,11-Apr,27,6,2.96,55,S,Hyacinthe Bay,pool 2
135,1963,23-Mar,46,27,2.96,53,S,Hyacinthe Bay,pool 2
135,1963,5-Apr,46,3,2.96,53,S,Hyacinthe Bay,pool 2
135,1964,5-Mar,137,18,2.96,74,S,Francisco Pt,pool 2
135,1964,23-Mar,183,4,2.96,52,S,Hyacinthe Bay,pool 2
135,1964,23-Mar,82,5,2.96,56,S,Hyacinthe Bay,pool 2
135,1964,25-Mar,5484,8,2.96,71,S,Francisco Pt,pool 2
135,1964,25-Mar,914,3,1.34,49,S,Hyacinthe Bay,pool 2
135,1965,10-Feb,823,6,2.96,74,S,Francisco Pt,pool 2
135,1965,10-Mar,457,6,2.96,72,S,Francisco Pt,pool 2
135,1965,10-Mar,457,3,2.96,51,S,Hyacinthe Bay,pool 2
135,1965,6-Apr,1371,4,2.96,56,S,Heriot Bay,pool 2
135,1966,21-Mar,457,18,1.34,74,S,Francisco Pt,pool 2
135,1966,24-Mar,46,3,1.34,58,S,Heriot Bay,pool 2
135,1966,1-Apr,91,2,1.34,53,S,Hyacinthe Bay,pool 2
135,1966,7-Apr,229,3,2.96,51,S,Hyacinthe Bay,pool 2
135,1967,11-Apr,91,4,0.55,51,S,Hyacinthe Bay,pool 2
135,1968,28-Mar,229,2,0.55,73,S,Francisco Pt,pool 2
135,1968,28-Mar,229,2,1.34,73,S,Quadra Is S,pool 2
135,1969,22-Mar,18,27,0.55,51,S,Hyacinthe Bay,pool 2
135,1969,27-Mar,46,18,2.96,55,S,Hyacinthe Bay,pool 2
135,1969,27-Mar,46,18,1.34,55,S,Hyacinthe Bay,pool 2
135,1969,30-Mar,914,5,0.55,61,S,Rebecca Spit,pool 2
135,1969,30-Mar,548,4,2.96,56,S,Quadra Is S,pool 2
135,1969,3-Apr,224,39,2.96,74,S,Francisco Pt,pool 2
135,1969,3-May,69,4,2.96,57,S,Heriot Bay,pool 2
135,1970,18-Mar,366,4,2.15,51,S,Hyacinthe Bay,pool 2
135,1970,21-Mar,274,3,1.34,51,S,Hyacinthe Bay,pool 2
135,1971,26-Mar,91,1,1.34,55,S,Heriot Bay,pool 2
135,1971,28-Mar,183,5,1.34,63,S,Rebecca Spit,pool 2
135,1971,29-Mar,2194,4,2.96,50,S,Hyacinthe Bay,pool 2
135,1971,10-Apr,366,4,2.96,49,S,Hyacinthe Bay,pool 2
135,1971,10-Apr,731,6,5.3,49,S,Hyacinthe Bay,pool 2
135,1971,10-Apr,640,3,2.96,53,S,Hyacinthe Bay,pool 2
135,1971,10-Apr,18,18,0.55,58,S,Heriot Bay,pool 2
135,1971,10-Apr,183,3,2.96,47,S,Open Bay,pool 2
135,1972,20-Mar,366,5,2.96,52,S,Hyacinthe Bay,pool 2
135,1972,27-Mar,640,9,2.96,66,S,Rebecca Spit,pool 2
135,1972,29-Mar,366,4,2.96,70,S,Sutil Chnl,pool 2
135,1972,29-Mar,274,3,2.96,74,S,Sutil Chnl,pool 2
135,1972,30-Mar,1371,5,2.96,50,S,Hyacinthe Bay,pool 2
135,1972,30-Mar,457,4,2.96,56,S,Heriot Bay,pool 2
135,1972,13-Apr,2011,4,5.3,52,S,Hyacinthe Bay,pool 2
135,1973,11-Apr,1554,3,2.96,51,S,Hyacinthe Bay,pool 2
135,1974,24-Mar,91,46,1.34,53,S,Hyacinthe Bay,pool 2
135,1974,23-Apr,91,5,2.96,53,S,Hyacinthe Bay,pool 2
135,1975,21-Mar,1855,4,1.34,52,S,Hyacinthe Bay,pool 2
135,1975,26-Mar,183,46,5.3,51,S,Hyacinthe Bay,pool 2
135,1975,26-Mar,91,32,5.3,52,S,Hyacinthe Bay,pool 2
135,1975,26-Mar,46,3,2.96,52,S,Hyacinthe Bay,pool 2
135,1975,14-Apr,366,69,4.13,57,S,Heriot Bay,pool 2
135,1975,14-Apr,1828,9,2.96,58,S,Rebecca Spit,pool 2
135,1976,30-Mar,183,18,2.96,52,S,Hyacinthe Bay,pool 2
135,1976,31-Mar,183,91,5.3,50,S,Hyacinthe Bay,pool 2
135,1976,2-Apr,46,3,5.3,84,S,Quathiaski Cv,pool 2
135,1976,2-Apr,73,7,2.96,50,S,Hyacinthe Bay,pool 2
135,1976,2-Apr,91,91,1.34,52,S,Hyacinthe Bay,pool 2
135,1976,2-Apr,137,4,2.96,54,S,Hyacinthe Bay,pool 2
135,1976,2-Apr,23,9,5.3,56,S,Hyacinthe Bay,pool 2
135,1976,9-Apr,183,9,2.96,57,S,Hyacinthe Bay,pool 2
135,1976,11-Apr,46,9,1.34,62,S,Drew Hrbr,pool 2
135,1977,30-Mar,183,5,0.55,50,S,Hyacinthe Bay,pool 2
135,1977,31-Mar,23,9,0.55,52,S,Hyacinthe Bay,pool 2
135,1977,31-Mar,91,5,0.55,57,S,Hyacinthe Bay,pool 2
135,1977,2-Apr,640,9,1.34,61,S,Hyacinthe Bay,pool 2
135,1977,2-Apr,183,3,1.34,63,S,Hyacinthe Bay,pool 2
135,1977,3-Apr,1462,6,2.96,54,S,Hyacinthe Bay,pool 2
135,1977,3-Apr,183,5,1.34,54,S,Hyacinthe Bay,pool 2
135,1977,4-Apr,64,64,2.15,51,S,Hyacinthe Bay,pool 2
135,1977,4-Apr,183,5,5.3,54,S,Hyacinthe Bay,pool 2
135,1978,20-Mar,183,69,2.96,53,S,Hyacinthe Bay,pool 2
135,1978,23-Mar,1600,4,1.34,73,S,Francisco Pt,pool 2
135,1978,23-Mar,256,46,2.96,51,S,Hyacinthe Bay,pool 2
135,1978,23-Mar,1079,14,1.34,57,S,Heriot Bay,pool 2
135,1978,25-Mar,457,9,1.34,54,S,Hyacinthe Bay,pool 2
135,1978,26-Mar,731,9,1.34,58,S,Drew Hrbr,pool 2
135,1979,14-Mar,1609,18,2.5,72,S,Francisco Pt,pool 2
135,1979,25-Mar,91,2,1,55,S,Heriot Bay,pool 2
135,1979,25-Mar,640,2,2,56,S,Heriot Bay,pool 2
135,1979,25-Mar,37,23,1,56,S,Heriot Bay,pool 2
135,1979,25-Mar,91,9,2,57,S,Heriot Bay,pool 2
135,1979,3-Apr,23,18,1,59,S,Drew Hrbr,pool 2
135,1979,3-Apr,183,5,1,60,S,Drew Hrbr,pool 2
135,1979,3-Apr,46,23,1,60,S,Drew Hrbr,pool 2
135,1979,3-Apr,274,5,3,61,S,Drew Hrbr,pool 2
135,1979,3-Apr,46,18,1,61,S,Drew Hrbr,pool 2
135,1979,10-Apr,183,91,0.5,51,S,Hyacinthe Bay,pool 2
135,1980,12-Mar,2776,4,3.4,*,S,Francisco Pt,pool 2
135,1980,21-Mar,914,4,3.15,*,S,Francisco Pt,pool 2
135,1980,29-Mar,91,3,3.9,63,S,Rebecca Spit,pool 2
135,1980,31-Mar,274,6,2.75,56,S,Heriot Bay,pool 2
135,1980,31-Mar,914,5,2.9,57,S,Heriot Bay,pool 2
135,1980,31-Mar,914,5,3,57,S,Heriot Bay,pool 2
135,1980,31-Mar,548,5,6.8,58,S,Heriot Bay,pool 2
135,1980,31-Mar,183,4,4,58,S,Heriot Bay,pool 2
135,1980,31-Mar,183,4,1.9,61,S,Heriot Bay,pool 2
135,1980,3-Apr,18,9,2.5,55,S,Heriot Bay,pool 2
135,1980,3-Apr,23,9,1,56,S,Heriot Bay,pool 2
135,1980,4-Apr,91,14,3,58,S,Heriot Bay,pool 2
135,1980,9-Apr,91,14,1.25,61.3,S,Drew Hrbr,pool 2
135,1980,16-Apr,18,9,2,51,S,Hyacinthe Bay,pool 2
135,1980,16-Apr,23,5,0.95,52,S,Hyacinthe Bay,pool 2
135,1980,16-Apr,27,3,2,60.9,S,Drew Hrbr,pool 2
135,1980,17-Apr,9,9,2,51,S,Hyacinthe Bay,pool 2
135,1980,17-Apr,9,9,1.5,52.2,S,Hyacinthe Bay,pool 2
135,1981,8-Mar,37,9,3,73,S,Francisco Pt,pool 2
135,1981,9-Mar,91,14,3,72,S,Cape Mudge,pool 2
135,1981,9-Mar,18,18,2.9,76,S,Francisco Pt,pool 2
135,1981,10-Mar,183,18,2.65,76,S,Cape Mudge,pool 2
135,1981,10-Mar,183,23,4.75,74,S,Francisco Pt,pool 2
135,1981,11-Mar,46,69,2.9,78,S,Cape Mudge,pool 2
135,1981,26-Mar,91,9,3,56,S,Heriot Bay,pool 2
135,1981,13-Apr,183,5,3,56,S,Heriot Bay,pool 2
135,1982,13-Mar,2450,180,3.5,72,S,Cape Mudge,pool 2
135,1982,13-Mar,3649,25,3.2,71,S,Francisco Pt,pool 2
135,1982,21-Mar,100,50,2,51,S,Hyacinthe Bay,pool 2
135,1982,28-Mar,700,4,1,51,S,Hyacinthe Bay,pool 2
135,1982,28-Mar,150,40,3.7,51,S,Hyacinthe Bay,pool 2
135,1982,28-Mar,100,30,4,52,S,Hyacinthe Bay,pool 2
135,1982,28-Mar,30,10,5.4,52,S,Hyacinthe Bay,pool 2
135,1982,28-Mar,20,15,4.6,52,S,Hyacinthe Bay,pool 2
135,1982,31-Mar,40,15,2.71,55,S,Hyacinthe Bay,pool 2
135,1983,11-Mar,1200,40,2.5,68.4,S,Francisco Pt,pool 2
135,1983,13-Mar,200,25,1.7,69.6,S,Francisco Pt,pool 2
135,1983,15-Mar,600,100,6.2,65.5,S,Francisco Pt,pool 2
135,1983,15-Mar,50,15,1.45,73,S,Francisco Pt,pool 2
135,1983,16-Mar,3500,50,6.1,65.3,S,Rebecca Spit,pool 2
135,1983,18-Mar,300,20,4.1,65.1,S,Rebecca Spit,pool 2
135,1983,29-Mar,4822,80,2.63,74.6,S,Cape Mudge,pool 2
135,1987,18-Mar,3540,12,3,63.5,S,Quadra Is E,pool 2
135,1987,18-Mar,606,18,2.67,71.2,S,Quadra Is E,pool 2
135,1987,18-Mar,150,30,2.26,72.4,S,Quadra Is E,pool 2
135,1993,15-Mar,1500,80,0.1,73.2,S,Cape Mudge,pool 2
135,1993,15-Mar,1500,80,0.1,73.2,S,Francisco Pt,pool 2
135,1997,22-Apr,450,*,*,60,S,Drew Hrbr,pool 2
135,1997,24-Apr,*,*,*,52,S,Hyacinthe Bay,pool 2
135,2002,19-Mar,50,46,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,90,12,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,29,20,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,48,12,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,21,8,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,120,16,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,44,12,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,28,8,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,186,8,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,69,12,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,99,12,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,42,8,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,230,4,*,*,S,Campbell Rvr,pool 2
135,2002,19-Mar,360,30,*,*,S,Willow Pt,pool 2
135,2002,19-Mar,348,30,*,*,S,Willow Pt,pool 2
135,2002,19-Mar,466,30,*,*,S,Willow Pt,pool 2
135,2002,19-Mar,411,25,*,*,S,Willow Pt,pool 2
135,2002,19-Mar,480,50,*,*,S,Willow Pt,pool 2
135,2002,19-Mar,843,60,*,*,S,Willow Pt,pool 2
135,2002,19-Mar,456,40,*,*,S,Willow Pt,pool 2
135,2002,19-Mar,431,100,*,*,S,Willow Pt,pool 2
135,2002,19-Mar,453,100,*,*,S,Willow Pt,pool 2
135,2002,20-Mar,2450,146,0.75,*,D,Willow Pt,pool 2
135,2015,7-Mar,8050,62,1.63,*,D,Francisco Pt,pool 2
135,2016,25-Mar,1400,45,0.14,*,D,Rebecca Spit      \,pool 2
136,1967,8-Mar,64,64,2.96,*,S,Dent Is,pool 0
136,1930,28-Mar,*,*,1.34,*,S,Von Donop Inlt,pool 1
136,1931,29-Mar,*,*,1.34,*,S,Von Donop Inlt,pool 1
136,1932,21-Mar,*,*,1.34,*,S,Von Donop Inlt,pool 1
136,1933,21-Mar,*,*,1.34,*,S,Von Donop Inlt,pool 1
136,1934,21-Mar,*,*,2.74,*,S,Von Donop Inlt,pool 1
136,1935,12-Apr,*,*,7.83,*,S,Von Donop Inlt,pool 1
136,1936,30-Mar,*,*,7.83,*,S,Von Donop Inlt,pool 1
136,1937,1-Mar,457,*,7.83,*,S,Von Donop Inlt,pool 1
136,1938,14-Apr,1206,*,7.83,*,S,Von Donop Inlt,pool 1
136,1939,9-Apr,1206,*,0.55,*,S,Von Donop Inlt,pool 1
136,1940,3-Apr,1206,*,5.3,*,S,Von Donop Inlt,pool 1
136,1941,25-Apr,1206,*,0.55,*,S,Von Donop Inlt,pool 1
136,1942,5-Apr,69,5,0.55,*,S,Von Donop Inlt,pool 1
136,1943,11-Mar,731,11,7.83,*,S,Quartz Bay,pool 1
136,1943,14-Mar,548,5,7.83,*,S,Von Donop Inlt,pool 1
136,1944,27-Mar,23,5,0.55,*,S,Quartz Bay,pool 1
136,1945,14-Apr,69,3,0.55,*,S,Von Donop Inlt,pool 1
136,1946,21-Mar,137,9,5.3,*,S,Quartz Bay,pool 1
136,1946,21-Mar,137,3,5.3,*,S,Von Donop Inlt,pool 1
136,1946,21-Mar,69,9,5.3,*,S,Von Donop Inlt,pool 1
136,1947,28-Feb,46,9,1.34,*,S,Quartz Bay,pool 1
136,1947,25-Mar,69,3,1.34,*,S,Von Donop Inlt,pool 1
136,1948,8-Mar,27,6,1.34,*,S,Quartz Bay,pool 1
136,1950,29-Mar,594,32,5.3,17.8,S,Quartz Bay,pool 1
136,1950,30-Mar,91,3,1.34,24.6,S,Carrington Bay,pool 1
136,1951,27-Mar,9,5,2.96,*,S,Von Donop Inlt,pool 1
136,1951,30-Mar,9,5,5.3,*,S,Von Donop Inlt,pool 1
136,1952,1-Mar,41,37,0.55,*,S,Von Donop Inlt,pool 1
136,1956,9-Apr,18,9,0.55,25,S,Carrington Bay,pool 1
136,1956,14-Apr,192,110,2.96,2,S,Von Donop Inlt,pool 1
136,1958,12-Apr,46,1,0.55,16,S,Carrington Bay,pool 1
136,1960,15-Mar,27,2,1.34,25,S,Carrington Bay,pool 1
136,1960,23-Mar,731,4,1.34,18,S,Quartz Bay,pool 1
136,1960,23-Mar,366,4,2.96,19,S,Quartz Bay,pool 1
136,1961,27-Mar,137,3,1.34,26,S,Carrington Bay,pool 1
136,1961,27-Mar,137,3,2.96,26,S,Carrington Bay,pool 1
136,1961,1-Apr,274,4,2.96,26,S,Carrington Bay,pool 1
136,1935,*,*,*,1.34,*,S,Evans Bay,pool 2
136,1955,1-Apr,3708,3,2.96,*,S,Evans Bay,pool 2
67,1942,25-Mar,4661,11,7.83,18.9,S,Thistle Pass,pool 1
67,1942,31-Mar,3473,15,7.83,4.1,S,Hastings Is Lgn,pool 1
67,1942,1-Apr,1645,14,7.83,0.8,S,Hastings Is Lgn,pool 1
67,1942,5-Apr,3839,9,5.3,283,S,Laredo Inlt,pool 1
67,1943,19-Mar,2194,13,2.74,1.2,S,Hastings Is Lgn,pool 1
67,1944,30-Mar,1462,14,7.83,1.2,S,Hastings Is Lgn,pool 1
67,1944,1-Apr,731,27,7.83,21.8,S,Thistle Pass,pool 1
67,1946,2-Apr,6398,11,7.83,15.3,S,Laredo Inlt,pool 1
67,1949,2-Apr,686,23,5.3,1.2,S,Hastings Is Lgn,pool 1
67,1949,2-Apr,411,18,5.3,2.7,S,Hastings Is Lgn,pool 1
67,1949,2-Apr,823,11,2.74,4.9,S,Hastings Is Lgn,pool 1
67,1949,2-Apr,320,14,2.74,9.6,S,Hastings Is Lgn,pool 1
67,1949,2-Apr,388,14,5.3,18.8,S,Thistle Pass,pool 1
67,1949,2-Apr,388,7,2.74,21.6,S,Thistle Pass,pool 1
67,1949,2-Apr,251,7,2.74,22,S,Thistle Pass,pool 1
67,1958,3-Apr,91,46,1.34,*,S,Laredo Inlt,pool 1
67,1959,10-Apr,1828,5,1.34,22,S,Thistle Pass,pool 1
67,1960,3-Apr,2285,7,2.96,0.1,S,Laredo Inlt,pool 1
67,1960,3-Apr,2742,7,2.96,9,S,Thistle Pass,pool 1
67,1960,3-Apr,137,5,1.34,15,S,Thistle Pass,pool 1
67,1961,30-Mar,548,9,2.96,6,S,Thistle Pass,pool 1
67,1987,25-Apr,1110,3,2.23,16.9,S,Thistle Pass,pool 1
67,1987,25-Apr,1480,3,2.15,18,S,Thistle Pass,pool 1
67,1987,25-Apr,1850,2,1.8,19.7,S,Thistle Pass,pool 1
67,1988,7-May,700,15,3.6,*,S,Thistle Pass,pool 1
67,1990,6-Apr,300,5,1.69,21.6,S,Thistle Pass,pool 1
67,1990,6-Apr,30,3,2.9,21.9,S,Thistle Pass,pool 1
67,1991,26-Mar,300,15,3.05,4.6,S,Hastings Is Lgn,pool 1
67,1991,26-Mar,350,5,1.23,4.9,S,Hastings Is Lgn,pool 1
67,1991,26-Mar,600,5,1.09,5.4,S,Hastings Is Lgn,pool 1
67,1991,26-Mar,200,25,1.08,10.1,S,Hastings Is Lgn,pool 1
67,1992,17-Apr,740,3,1.5,10.8,S,Thistle Pass,pool 1
67,1992,17-Apr,920,9,2.9,17.4,S,Thistle Pass,pool 1
67,1992,17-Apr,320,6,1,19.5,S,Thistle Pass,pool 1
67,1992,17-Apr,140,5,1.38,20.1,S,Thistle Pass,pool 1
67,1994,28-Mar,2860,46,0.71,1,D,Hastings Is Lgn,pool 1
67,1994,28-Mar,600,20,*,19.3,S,Thistle Pass,pool 1
67,1994,29-Mar,1240,36,*,10.2,D,Thistle Pass,pool 1
67,1994,29-Mar,2700,25,*,21.4,D,Hartnell Pt,pool 1
67,1994,29-Mar,1935,61,2,8.5,D,Milne Is,pool 1
67,1997,3-Apr,2800,24,*,4.1,D,Hastings Is Lgn,pool 1
67,1997,3-Apr,1400,20,*,9.2,D,Milne Is,pool 1
67,1998,31-Mar,3850,32,*,8.5,D,Thistle Pass,pool 1
67,1998,31-Mar,4200,40,*,20.2,D,Hartnell Pt,pool 1
67,2000,29-Mar,1400,22,2.59,5.3,D,Hastings Is Lgn,pool 1
67,2000,29-Mar,1050,21,0.66,12.9,D,Milne Is,pool 1
67,2008,9-Apr,1200,35,1.43,*,D,Hastings Is Lgn,pool 1
67,2008,9-Apr,1050,65,2.09,*,D,Thistle Pass,pool 1
67,2008,9-Apr,2625,35,0.9,*,D,Thistle Pass,pool 1
67,2008,9-Apr,2050,23,1.61,*,D,Hartnell Pt,pool 1
67,2008,9-Apr,1330,46,0.58,*,D,Milne Is,pool 1
67,2013,11-Apr,700,10,1.3,*,D,Thistle Pass,pool 1
67,2013,11-Apr,450,35,1.15,*,D,Thistle Pass,pool 1
67,2013,11-Apr,1400,30,2.16,*,D,Hartnell Pt,pool 1
67,1942,1-Apr,2559,14,7.83,47.3,S,Meyers Pass,pool 2
67,1942,5-Apr,3930,14,5.3,50.8,S,Meyers Pass,pool 2
67,1942,5-Apr,2833,18,2.74,63.1,S,Meyers Pass,pool 2
67,1943,22-Mar,2285,12,2.74,63.3,S,Meyers Pass,pool 2
67,1944,28-Mar,2559,11,5.3,63.8,S,Meyers Pass,pool 2
67,1944,1-Apr,5118,23,7.83,45,S,Meyers Pass,pool 2
67,1945,29-Mar,914,9,5.3,63.2,S,Meyers Pass,pool 2
67,1947,5-Apr,4113,14,2.74,45.5,S,Meyers Pass,pool 2
67,1948,1-Apr,2742,11,2.74,47.7,S,Meyers Pass,pool 2
67,1956,30-Mar,183,2,0.55,*,S,Meyers Pass,pool 2
67,1958,8-Apr,274,91,2.96,27,S,Meyers Pass,pool 2
67,1958,8-Apr,914,4,1.34,47,S,Meyers Pass,pool 2
67,1958,8-Apr,548,91,5.3,59,S,Meyers Pass,pool 2
67,1960,3-Apr,594,14,2.96,30,S,Meyers Pass,pool 2
67,1962,29-Mar,457,7,2.96,9,S,Meyers Pass,pool 2
67,1962,4-Apr,1371,5,2.96,22,S,Meyers Pass,pool 2
67,1965,15-Apr,46,9,1.34,52,S,Meyers Pass,pool 2
67,1977,15-Apr,1065,7,6,34,S,Meyers Pass,pool 2
67,1977,15-Apr,608,5,6,36,S,Meyers Pass,pool 2
67,1977,15-Apr,2134,3,6,47,S,Meyers Pass,pool 2
67,1977,15-Apr,1371,5,6,50,S,Meyers Pass,pool 2
67,1983,18-Mar,213,3,0.65,36.6,S,Swindle Is,pool 2
67,1993,18-Apr,700,2,*,28.6,S,Meyers Pass,pool 2
67,1995,17-Apr,100,15,1.55,34.5,S,Meyers Pass,pool 2
67,1995,17-Apr,200,5,1.45,35,S,Meyers Pass,pool 2
67,1995,17-Apr,100,14,1.88,51.5,S,Meyers Pass,pool 2
67,1995,17-Apr,150,8,3.4,52,S,Meyers Pass,pool 2
67,1995,18-Apr,350,4,1.35,60.6,S,Meyers Pass,pool 2
67,1998,*,1000,25,*,58.2,D,Meyers Pass,pool 2
67,1999,31-Mar,1400,*,*,46.5,D,Meyers Pass,pool 2
67,2008,9-Apr,800,21,0.58,*,D,Meyers Pass,pool 2
67,2013,13-Apr,1050,28,1.04,*,D,Meyers Pass,pool 2
67,2016,4-Apr,2625,30,1.77,*,D,Meyers Pass,pool 2
67,1934,20-Mar,*,*,5.3,*,S,Wilby Pt,pool 3
67,1934,*,34878,*,7.83,*,S,Wilby Pt,pool 3
67,1938,15-Mar,34878,*,7.83,*,S,Wilby Pt,pool 3
67,1939,15-Mar,32173,*,7.83,*,S,Wilby Pt,pool 3
67,1940,22-Mar,32173,*,2.74,*,S,Wilby Pt,pool 3
67,1941,12-Mar,32173,*,2.74,*,S,Wilby Pt,pool 3
67,1942,8-Mar,1828,18,2.74,87.1,S,Osment Inlt,pool 3
67,1942,23-Mar,3336,23,7.83,103,S,Parsons Anch,pool 3
67,1942,25-Mar,1280,14,7.83,7,S,Laredo Snd,pool 3
67,1942,29-Mar,2742,91,7.83,96.3,S,Marvin Is,pool 3
67,1942,29-Mar,8409,18,5.3,104.5,S,Wilby Pt,pool 3
67,1942,4-Apr,4022,23,2.74,89,S,Osment Inlt,pool 3
67,1943,26-Mar,3336,27,7.83,97,S,Parsons Anch,pool 3
67,1943,29-Mar,4936,73,7.83,92.1,S,Parsons Anch,pool 3
