category,data_desc,data_ban2010,zone,zone_desc,origin,layer_fname,layer_type,buffer_m,dir,load_layer,active_layer,layer_id,attr_id,priority
kelp forest,kelp bioband,Prov. of BC: shorezone kelp,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Kelp_BullKelp_Bioband_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp,FALSE,FALSE,7,NA,1
kelp forest,kelp bioband,Prov. of BC: shorezone kelp,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Kelp_GiantKelp_Bioband_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp,FALSE,FALSE,7,NA,1
kelp forest,kelp presence,Prov. of BC: shorezone kelp,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Kelp_GiantPerrenialKelp_MARXAN,poly,100,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp,TRUE,TRUE,7,NA,1
rocky reef,benthic hard,"Complexity analysis (LOS, Ardron): categories 6, 7, Strait of Georgia, Parks Canada benthic terrain modeler mapping",subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,8,NA,2
rocky reef,high rugosity,"Complexity analysis (LOS, Ardron): categories 6, 7, Strait of Georgia, Parks Canada benthic terrain modeler mapping",subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Physical_HighRugosity_DATA,poly,100,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,8,NA,2
seagrass,eelgrass habitat,Prov. of BC: shorezone eelgrass,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_VascPlants_PriorityEelgrassHabitat_DATA,poly,100,bcmca/bcmca_eco_set_plants_complete/FeatureData_Plants/VascularPlants,TRUE,TRUE,9,NA,1
seagrass,eelgrass bioband,Prov. of BC: shorezone eelgrass,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_VascPlants_Eelgrass_Bioband_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/VascularPlants,FALSE,FALSE,9,NA,1
seagrass,eelgrass presence,Prov. of BC: shorezone eelgrass,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_VascPlants_Eelgrass_Polygons_DATA,poly,100,bcmca/bcmca_eco_set_plants_complete/FeatureData_Plants/VascularPlants,TRUE,TRUE,9,NA,1
shallow suspension reefs,coral dfo observers,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_Coral_DFOobservers_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,10,'Coral',1
shallow suspension reefs,coral dfo surveys,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_Coral_DFOsurveys_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,10,'Coral',1
shallow suspension reefs,sponge dfo observers,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_Sponge_DFOobervers_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,10,'Sponge',1
shallow suspension reefs,sponge dfo surveys,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_Sponge_DFOsurveys_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,10,'Sponge',1
shallow suspension reefs,sponge reefs hecate update,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,Sponge_Reefs_Hecate_Update_2008,poly,NA,bcmca/bcmca_eco_set_inverts_complete/FeatureData_Inverts,TRUE,TRUE,10,NA,1
shallow suspension reefs,sponge reefs hecate update,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_SpongeReefs_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,10,NA,1
deep suspension reefs,coral dfo observers,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_Coral_DFOobservers_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,11,'Coral',1
deep suspension reefs,coral dfo surveys,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_Coral_DFOsurveys_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,11,'Coral',1
deep suspension reefs,sponge dfo observers,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_Sponge_DFOobervers_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,11,'Sponge',1
deep suspension reefs,sponge dfo surveys,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_Sponge_DFOsurveys_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,11,'Sponge',1
deep suspension reefs,sponge reefs hecate update,NA,offshore,50 m + depth,ohibc,Sponge_Reefs_Hecate_Update_2008,poly,NA,bcmca/bcmca_eco_set_inverts_complete/FeatureData_Inverts,TRUE,TRUE,11,NA,1
deep suspension reefs,sponge reefs hecate update,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Inverts_SpongeReefs_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,FALSE,FALSE,11,NA,1
hydrothermal vents,hydrothermal vent zones points,NA,offshore,50 m + depth,ohibc,BCMCA_ECO_Physical_HydothermalVents_DATA,point,1000,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,12,NA,2
hydrothermal vents,hydrothermal vent zones polygons,NA,offshore,50 m + depth,ohibc,dfo_endeavour_vent_zones,poly,100,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,12,NA,2
shallow soft bottom,benthic mud/sand substrate shallow,"MEC substrate type sand or mud, shelf",subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,13,NA,3
shallow hard bottom,benthic hard substrate shallow,"MEC substrate type sand or mud, shelf",subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,14,NA,3
soft shelf,benthic mud/sand substrate shelf,"MEC substrate sand or mud, shelf",shelf,offshore 50 m - 200 m,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,15,NA,3
soft slope,benthic mud/sand substrate slope,"MEC substrate sand or mud, slope",slope,offshore 200 m to abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,16,NA,3
soft deep,benthic mud/sand substrate deep,"MEC substrate sand or mud, deep",deep,offshore beyond abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,17,NA,3
hard shelf,benthic hard substrate shelf,"MEC substrate hard, shelf",shelf,offshore 50 m - 200 m,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,18,NA,3
hard slope,benthic hard substrate slope,"MEC substrate hard, slope",slope,offshore 200 m to abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,19,NA,3
hard deep,benthic hard substrate deep,"MEC substrate hard, deep",deep,offshore beyond abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,20,NA,3
unknown deep,benthic unknown substrate deep,"MEC substrate hard, deep",deep,offshore beyond abyssal boundary,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,21,NA,NA
canyons,canyons tbd,DFO (Manson 2007),offshore,50 m + depth,ban,canyons tbd,NA,NA,NA,TRUE,TRUE,22,NA,NA
seamounts,seamount peaks,DFO (Manson 2007),offshore,50 m + depth,chi,BCMCA_ECO_Physical_Seamounts_DATA,point,1000,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,23,NA,2
seamounts,offshore pacific shallower than 1000 m,DFO (Manson 2007),offshore,50 m + depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,point,1000,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,23,NA,2
shallow pelagic (< 50 m),offshore above 50 m,bathymetry,offshore,50 m + depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,24,NA,NA
deep pelagic (> 50 m),offshore below 50 m,bathymetry,offshore,50 m + depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,25,NA,NA
zone,intertidal zone,NA,intertidal,"0 - 50 m depth, 0 - 1 km from shore",NA,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,NA,NA,NA
zone,subtidal coastal zone,NA,subtidal coastal,0 - 50 m depth > 1 km from shore,NA,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,NA,NA,NA
zone,shelf zone,NA,shelf,offshore 50 m - 200 m,NA,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,NA,NA,NA
zone,slope zone,NA,slope,offshore 200 m to abyssal boundary,NA,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,NA,NA,NA
zone,deep zone,NA,deep,offshore beyond abyssal boundary,NA,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,NA,NA,NA
zone,offshore zone,NA,offshore,50 m + depth,NA,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,NA,NA,NA
