species,year,tonnes,raw_val,gapfill,x
pacific_cupped_oyster,1972,3700,3700,NA,65
rainbow_trout,1972,100,100,NA,43
pacific_cupped_oyster,1973,4500,4500,NA,65
rainbow_trout,1973,100,100,NA,43
pacific_cupped_oyster,1974,3676,3676,NA,65
rainbow_trout,1974,49,49,NA,43
pacific_cupped_oyster,1975,3036,3036,NA,65
rainbow_trout,1975,49,49,NA,43
pacific_cupped_oyster,1976,3036,3036,NA,65
rainbow_trout,1976,47,47,NA,43
pacific_cupped_oyster,1977,2998,2998,NA,65
rainbow_trout,1977,60,60,NA,43
pacific_cupped_oyster,1978,2793,2793,NA,65
rainbow_trout,1978,58,58,NA,43
pacific_cupped_oyster,1979,2231,2231,NA,65
rainbow_trout,1979,48,48,NA,43
pacific_cupped_oyster,1980,1922,1922,NA,65
rainbow_trout,1980,130,130,NA,43
pacific_cupped_oyster,1981,2409,2409,NA,65
rainbow_trout,1981,100,100,NA,43
pacific_cupped_oyster,1982,1579,1579,NA,65
rainbow_trout,1982,130,130,NA,43
pacific_cupped_oyster,1983,2453,2453,NA,65
rainbow_trout,1983,60,60,NA,43
chinook_spring_king_salmon,1984,43,43,NA,20
coho_silver_salmon,1984,64,64,NA,20
pacific_cupped_oyster,1984,2897,2897,NA,65
rainbow_trout,1984,193,193,NA,43
chinook_spring_king_salmon,1985,54,54,NA,20
coho_silver_salmon,1985,66,66,NA,20
pacific_cupped_oyster,1985,3420,3420,NA,65
rainbow_trout,1985,200,200,NA,43
chinook_spring_king_salmon,1986,87,87,NA,20
coho_silver_salmon,1986,304,304,NA,20
japanese_carpet_shell,1986,7,7,NA,29
pacific_cupped_oyster,1986,2864,2864,NA,65
rainbow_trout,1986,9,9,NA,43
atlantic_salmon,1987,3,3,NA,28
chinook_spring_king_salmon,1987,949,949,NA,20
coho_silver_salmon,1987,790,790,NA,20
japanese_carpet_shell,1987,25,25,NA,29
pacific_cupped_oyster,1987,3482,3482,NA,65
rainbow_trout,1987,192,192,NA,43
atlantic_salmon,1988,80,80,NA,28
chinook_spring_king_salmon,1988,3550,3550,NA,20
coho_silver_salmon,1988,2775,2775,NA,20
japanese_carpet_shell,1988,30,30,NA,29
pacific_cupped_oyster,1988,3701,3701,NA,65
rainbow_trout,1988,185,185,NA,43
scallops_nei,1988,5,5,NA,25
atlantic_salmon,1989,1280,1280,NA,28
chinook_spring_king_salmon,1989,8514,8514,NA,20
coho_silver_salmon,1989,1815,1815,NA,20
japanese_carpet_shell,1989,31,31,NA,29
pacific_cupped_oyster,1989,3721,3721,NA,65
rainbow_trout,1989,274,274,NA,43
scallops_nei,1989,10,10,NA,25
atlantic_salmon,1990,1790,1790,NA,28
chinook_spring_king_salmon,1990,11977,11977,NA,20
coho_silver_salmon,1990,1509,1509,NA,20
japanese_carpet_shell,1990,47,47,NA,29
pacific_cupped_oyster,1990,4076,4076,NA,65
rainbow_trout,1990,210,210,NA,43
scallops_nei,1990,0,-,zero_fill,25
atlantic_salmon,1991,3651,3651,NA,28
chinook_spring_king_salmon,1991,20147,20147,NA,20
coho_silver_salmon,1991,462,462,NA,20
japanese_carpet_shell,1991,169,169,NA,29
pacific_cupped_oyster,1991,4482,4482,NA,65
rainbow_trout,1991,102,102,NA,43
scallops_nei,1991,0,-,zero_fill,25
atlantic_salmon,1992,6785,6785,NA,28
chinook_spring_king_salmon,1992,12253,12253,NA,20
coho_silver_salmon,1992,762,762,NA,20
japanese_carpet_shell,1992,308,308,NA,29
pacific_cupped_oyster,1992,4484,4484,NA,65
rainbow_trout,1992,14,14,NA,43
scallops_nei,1992,6,6,NA,25
atlantic_salmon,1993,12360,12360,NA,28
chinook_spring_king_salmon,1993,10380,10380,NA,20
coho_silver_salmon,1993,2815,2815,NA,20
japanese_carpet_shell,1993,347,347,NA,29
pacific_cupped_oyster,1993,4758,4758,NA,65
rainbow_trout,1993,0,...,zero_fill,43
scallops_nei,1993,17,17,NA,25
atlantic_salmon,1994,15347,15347,NA,28
chinook_spring_king_salmon,1994,6996,6996,NA,20
coho_silver_salmon,1994,1314,1314,NA,20
japanese_carpet_shell,1994,390,390,NA,29
pacific_cupped_oyster,1994,4990,4990,NA,65
rainbow_trout,1994,0,...,zero_fill,43
scallops_nei,1994,27,27,NA,25
atlantic_salmon,1995,18439,18439,NA,28
chinook_spring_king_salmon,1995,8073,8073,NA,20
coho_silver_salmon,1995,768,768,NA,20
japanese_carpet_shell,1995,885,885,NA,29
pacific_cupped_oyster,1995,5260,5260,NA,65
rainbow_trout,1995,0,...,zero_fill,43
scallops_nei,1995,24,24,NA,25
atlantic_salmon,1996,18675,18675,NA,28
chinook_spring_king_salmon,1996,8393,8393,NA,20
coho_silver_salmon,1996,757,757,NA,20
japanese_carpet_shell,1996,979,979,NA,29
pacific_cupped_oyster,1996,5480,5480,NA,65
rainbow_trout,1996,0,...,zero_fill,43
scallops_nei,1996,142,142,NA,25
atlantic_salmon,1997,30705,30705,NA,28
chinook_spring_king_salmon,1997,4306,4306,NA,20
coho_silver_salmon,1997,1529,1529,NA,20
japanese_carpet_shell,1997,649,649,NA,29
pacific_cupped_oyster,1997,3650,3650,NA,65
rainbow_trout,1997,0,...,zero_fill,43
scallops_nei,1997,23,23,NA,25
atlantic_salmon,1998,33057,33057,NA,28
chinook_spring_king_salmon,1998,6565,6565,NA,20
coho_silver_salmon,1998,2625,2625,NA,20
japanese_carpet_shell,1998,704,704,NA,29
pacific_cupped_oyster,1998,5500,5500,NA,65
rainbow_trout,1998,0,...,zero_fill,43
scallops_nei,1998,21,21,NA,25
atlantic_salmon,1999,38800,38800,NA,28
chinook_spring_king_salmon,1999,8800,8800,NA,20
coho_silver_salmon,1999,2e3,2000,NA,20
japanese_carpet_shell,1999,800,800,NA,29
pacific_cupped_oyster,1999,5300,5300,NA,65
rainbow_trout,1999,0,...,zero_fill,43
scallops_nei,1999,30,30,NA,25
atlantic_salmon,2000,39300,39300,NA,28
chinook_spring_king_salmon,2000,8e3,8000,NA,20
coho_silver_salmon,2000,2100,2100,NA,20
japanese_carpet_shell,2000,1e3,1000,NA,29
pacific_cupped_oyster,2000,5500,5500,NA,65
rainbow_trout,2000,0,...,zero_fill,43
scallops_nei,2000,50,50,NA,25
atlantic_salmon,2001,58e3,58000,NA,28
chinook_spring_king_salmon,2001,7500,7500,NA,20
coho_silver_salmon,2001,2500,2500,NA,20
japanese_carpet_shell,2001,1400,1400,NA,29
pacific_cupped_oyster,2001,7400,7400,NA,65
rainbow_trout,2001,0,...,zero_fill,43
scallops_nei,2001,120,120,NA,25
atlantic_salmon,2002,72800,72800,NA,28
chinook_spring_king_salmon,2002,10400,10400,NA,20
coho_silver_salmon,2002,2300,2300,NA,20
japanese_carpet_shell,2002,1400,1400,NA,29
pacific_cupped_oyster,2002,7200,7200,NA,65
rainbow_trout,2002,0,...,zero_fill,43
scallops_nei,2002,100,100,NA,25
atlantic_salmon,2003,72678,72678,NA,28
blue_mussel,2003,7,7,NA,12
chinook_spring_king_salmon,2003,15700,15700,NA,20
coho_silver_salmon,2003,1400,1400,NA,20
japanese_carpet_shell,2003,1589,1589,NA,29
pacific_cupped_oyster,2003,7837,7837,NA,65
rainbow_trout,2003,0,...,zero_fill,43
scallops_nei,2003,130,130,NA,25
atlantic_salmon,2004,61774,61774,NA,28
blue_mussel,2004,78,78,NA,12
chinook_spring_king_salmon,2004,0,...,zero_fill,20
coho_silver_salmon,2004,0,...,zero_fill,20
japanese_carpet_shell,2004,1528,1528,NA,29
pacific_cupped_oyster,2004,7562,7562,NA,65
rainbow_trout,2004,0,...,zero_fill,43
scallops_nei,2004,77,77,NA,25
atlantic_salmon,2005,63370,63370,NA,28
blue_mussel,2005,78,78,NA,12
chinook_spring_king_salmon,2005,0,...,zero_fill,20
coho_silver_salmon,2005,0,...,zero_fill,20
japanese_carpet_shell,2005,1856,1856,NA,29
pacific_cupped_oyster,2005,8011,8011,NA,65
rainbow_trout,2005,0,...,zero_fill,43
scallops_nei,2005,226,226,NA,25
atlantic_salmon,2006,70181,70181,NA,28
blue_mussel,2006,252,252,NA,12
chinook_spring_king_salmon,2006,0,...,zero_fill,20
coho_silver_salmon,2006,0,...,zero_fill,20
japanese_carpet_shell,2006,1707,1707,NA,29
pacific_cupped_oyster,2006,8212,8212,NA,65
rainbow_trout,2006,0,...,zero_fill,43
scallops_nei,2006,46,46,NA,25
atlantic_salmon,2007,70998,70998,NA,28
blue_mussel,2007,543,543,NA,12
chinook_spring_king_salmon,2007,0,...,zero_fill,20
coho_silver_salmon,2007,0,...,zero_fill,20
japanese_carpet_shell,2007,1658,1658,NA,29
pacific_cupped_oyster,2007,7493,7493,NA,65
rainbow_trout,2007,0,...,zero_fill,43
scallops_nei,2007,157,157,NA,25
atlantic_salmon,2008,73265,73265,NA,28
blue_mussel,2008,285,285,NA,12
chinook_spring_king_salmon,2008,0,...,zero_fill,20
coho_silver_salmon,2008,0,...,zero_fill,20
japanese_carpet_shell,2008,1305,1305,NA,29
pacific_cupped_oyster,2008,5670,5670,NA,65
rainbow_trout,2008,0,...,zero_fill,43
scallops_nei,2008,276,276,NA,25
atlantic_salmon,2009,68662,68662,NA,28
blue_mussel,2009,312,312,NA,12
chinook_spring_king_salmon,2009,0,...,zero_fill,20
coho_silver_salmon,2009,0,...,zero_fill,20
japanese_carpet_shell,2009,1359,1359,NA,29
pacific_cupped_oyster,2009,5735,5735,NA,65
rainbow_trout,2009,0,...,zero_fill,43
scallops_nei,2009,385,385,NA,25
atlantic_salmon,2010,70831,70831,NA,28
blue_mussel,2010,364,364,NA,12
chinook_spring_king_salmon,2010,0,...,zero_fill,20
coho_silver_salmon,2010,0,...,zero_fill,20
japanese_carpet_shell,2010,1485,1485,NA,29
pacific_cupped_oyster,2010,7550,7550,NA,65
rainbow_trout,2010,0,...,zero_fill,43
scallops_nei,2010,695,695,NA,25
atlantic_salmon,2011,83144,83144,NA,28
blue_mussel,2011,288,288,NA,12
chinook_spring_king_salmon,2011,0,...,zero_fill,20
coho_silver_salmon,2011,0,...,zero_fill,20
japanese_carpet_shell,2011,1172,1172,NA,29
pacific_cupped_oyster,2011,6242,6242,NA,65
rainbow_trout,2011,0,...,zero_fill,43
scallops_nei,2011,271,271,NA,25
atlantic_salmon,2012,79981,79981,NA,28
blue_mussel,2012,274,274,NA,12
chinook_spring_king_salmon,2012,0,...,zero_fill,20
coho_silver_salmon,2012,0,...,zero_fill,20
japanese_carpet_shell,2012,2710,2710,NA,29
pacific_cupped_oyster,2012,6487,6487,NA,65
rainbow_trout,2012,0,...,zero_fill,43
scallops_nei,2012,198,198,NA,25
atlantic_salmon,2013,74673,74673,NA,28
blue_mussel,2013,291,291,NA,12
chinook_spring_king_salmon,2013,0,...,zero_fill,20
coho_silver_salmon,2013,0,...,zero_fill,20
japanese_carpet_shell,2013,2476,2476,NA,29
pacific_cupped_oyster,2013,5592,5592,NA,65
rainbow_trout,2013,0,...,zero_fill,43
scallops_nei,2013,91,91,NA,25
atlantic_salmon,2014,54971,54971,NA,28
blue_mussel,2014,592,592,NA,12
chinook_spring_king_salmon,2014,0,...,zero_fill,20
coho_silver_salmon,2014,0,...,zero_fill,20
japanese_carpet_shell,2014,1327,1327,NA,29
pacific_cupped_oyster,2014,8108,8108,NA,65
rainbow_trout,2014,0,...,zero_fill,43
scallops_nei,2014,100,100,NA,25
