species,year,tonnes,raw_val
Scallops nei,1959,NA,...
Atlantic salmon,1960,NA,...
Blue mussel,1960,NA,...
Chinook(=Spring=King) salmon,1960,NA,...
Coho(=Silver) salmon,1960,NA,...
Japanese carpet shell,1960,NA,...
Marine molluscs nei,1960,NA,...
Pacific cupped oyster,1960,2300,2300 F
Rainbow trout,1960,100,100
Scallops nei,1960,NA,...
Atlantic salmon,1961,NA,...
Blue mussel,1961,NA,...
Chinook(=Spring=King) salmon,1961,NA,...
Coho(=Silver) salmon,1961,NA,...
Japanese carpet shell,1961,NA,...
Marine molluscs nei,1961,NA,...
Pacific cupped oyster,1961,2300,2300 F
Rainbow trout,1961,100,100
Scallops nei,1961,NA,...
Atlantic salmon,1962,NA,...
Blue mussel,1962,NA,...
Chinook(=Spring=King) salmon,1962,NA,...
Coho(=Silver) salmon,1962,NA,...
Japanese carpet shell,1962,NA,...
Marine molluscs nei,1962,NA,...
Pacific cupped oyster,1962,2400,2400 F
Rainbow trout,1962,100,100
Scallops nei,1962,NA,...
Atlantic salmon,1963,NA,...
Blue mussel,1963,NA,...
Chinook(=Spring=King) salmon,1963,NA,...
Coho(=Silver) salmon,1963,NA,...
Japanese carpet shell,1963,NA,...
Marine molluscs nei,1963,NA,...
Pacific cupped oyster,1963,2500,2500 F
Rainbow trout,1963,100,100
Scallops nei,1963,NA,...
Atlantic salmon,1964,NA,...
Blue mussel,1964,NA,...
Chinook(=Spring=King) salmon,1964,NA,...
Coho(=Silver) salmon,1964,NA,...
Japanese carpet shell,1964,NA,...
Marine molluscs nei,1964,NA,...
Pacific cupped oyster,1964,2500,2500 F
Rainbow trout,1964,100,100
Scallops nei,1964,NA,...
Atlantic salmon,1965,NA,...
Blue mussel,1965,NA,...
Chinook(=Spring=King) salmon,1965,NA,...
Coho(=Silver) salmon,1965,NA,...
Japanese carpet shell,1965,NA,...
Marine molluscs nei,1965,NA,...
Pacific cupped oyster,1965,2500,2500 F
Rainbow trout,1965,100,100
Scallops nei,1965,NA,...
Atlantic salmon,1966,NA,...
Blue mussel,1966,NA,...
Chinook(=Spring=King) salmon,1966,NA,...
Coho(=Silver) salmon,1966,NA,...
Japanese carpet shell,1966,NA,...
Marine molluscs nei,1966,NA,...
Pacific cupped oyster,1966,2500,2500 F
Rainbow trout,1966,100,100
Scallops nei,1966,NA,...
Atlantic salmon,1967,NA,...
Blue mussel,1967,NA,...
Chinook(=Spring=King) salmon,1967,NA,...
Coho(=Silver) salmon,1967,NA,...
Japanese carpet shell,1967,NA,...
Marine molluscs nei,1967,NA,...
Pacific cupped oyster,1967,2500,2500 F
Rainbow trout,1967,100,100
Scallops nei,1967,NA,...
Atlantic salmon,1968,NA,...
Blue mussel,1968,NA,...
Chinook(=Spring=King) salmon,1968,NA,...
Coho(=Silver) salmon,1968,NA,...
Japanese carpet shell,1968,NA,...
Marine molluscs nei,1968,NA,...
Pacific cupped oyster,1968,2600,2600 F
Rainbow trout,1968,100,100
Scallops nei,1968,NA,...
Atlantic salmon,1969,NA,...
Blue mussel,1969,NA,...
Chinook(=Spring=King) salmon,1969,NA,...
Coho(=Silver) salmon,1969,NA,...
Japanese carpet shell,1969,NA,...
Marine molluscs nei,1969,NA,...
Pacific cupped oyster,1969,2600,2600 F
Rainbow trout,1969,100,100
Scallops nei,1969,NA,...
Atlantic salmon,1970,NA,...
Blue mussel,1970,NA,...
Chinook(=Spring=King) salmon,1970,NA,...
Coho(=Silver) salmon,1970,NA,...
Japanese carpet shell,1970,NA,...
Marine molluscs nei,1970,NA,...
Pacific cupped oyster,1970,2700,2700
Rainbow trout,1970,100,100
Scallops nei,1970,NA,...
Atlantic salmon,1971,NA,...
Blue mussel,1971,NA,...
Chinook(=Spring=King) salmon,1971,NA,...
Coho(=Silver) salmon,1971,NA,...
Japanese carpet shell,1971,NA,...
Marine molluscs nei,1971,NA,...
Pacific cupped oyster,1971,2900,2900
Rainbow trout,1971,100,100
Scallops nei,1971,NA,...
Atlantic salmon,1972,NA,...
Blue mussel,1972,NA,...
Chinook(=Spring=King) salmon,1972,NA,...
Coho(=Silver) salmon,1972,NA,...
Japanese carpet shell,1972,NA,...
Marine molluscs nei,1972,NA,...
Pacific cupped oyster,1972,3700,3700
Rainbow trout,1972,100,100
Scallops nei,1972,NA,...
Atlantic salmon,1973,NA,...
Blue mussel,1973,NA,...
Chinook(=Spring=King) salmon,1973,NA,...
Coho(=Silver) salmon,1973,NA,...
Japanese carpet shell,1973,NA,...
Marine molluscs nei,1973,NA,...
Pacific cupped oyster,1973,4500,4500
Rainbow trout,1973,100,100
Scallops nei,1973,NA,...
Atlantic salmon,1974,NA,...
Blue mussel,1974,NA,...
Chinook(=Spring=King) salmon,1974,NA,...
Coho(=Silver) salmon,1974,NA,...
Japanese carpet shell,1974,NA,...
Marine molluscs nei,1974,NA,...
Pacific cupped oyster,1974,3676,3676
Rainbow trout,1974,49,49
Scallops nei,1974,NA,...
Atlantic salmon,1975,NA,...
Blue mussel,1975,NA,...
Chinook(=Spring=King) salmon,1975,NA,...
Coho(=Silver) salmon,1975,NA,...
Japanese carpet shell,1975,NA,...
Marine molluscs nei,1975,NA,...
Pacific cupped oyster,1975,3036,3036
Rainbow trout,1975,49,49
Scallops nei,1975,NA,...
Atlantic salmon,1976,NA,...
Blue mussel,1976,NA,...
Chinook(=Spring=King) salmon,1976,NA,...
Coho(=Silver) salmon,1976,NA,...
Japanese carpet shell,1976,NA,...
Marine molluscs nei,1976,NA,...
Pacific cupped oyster,1976,3036,3036
Rainbow trout,1976,47,47
Scallops nei,1976,NA,...
Atlantic salmon,1977,NA,...
Blue mussel,1977,NA,...
Chinook(=Spring=King) salmon,1977,NA,...
Coho(=Silver) salmon,1977,NA,...
Japanese carpet shell,1977,NA,...
Marine molluscs nei,1977,NA,...
Pacific cupped oyster,1977,2998,2998
Rainbow trout,1977,60,60
Scallops nei,1977,NA,...
Atlantic salmon,1978,NA,...
Blue mussel,1978,NA,...
Chinook(=Spring=King) salmon,1978,NA,...
Coho(=Silver) salmon,1978,NA,...
Japanese carpet shell,1978,NA,...
Marine molluscs nei,1978,NA,...
Pacific cupped oyster,1978,2793,2793
Rainbow trout,1978,58,58
Scallops nei,1978,NA,...
Atlantic salmon,1979,NA,...
Blue mussel,1979,NA,...
Chinook(=Spring=King) salmon,1979,NA,...
Coho(=Silver) salmon,1979,NA,...
Japanese carpet shell,1979,NA,...
Marine molluscs nei,1979,NA,...
Pacific cupped oyster,1979,2231,2231
Rainbow trout,1979,48,48
Scallops nei,1979,NA,...
Atlantic salmon,1980,NA,...
Blue mussel,1980,NA,...
Chinook(=Spring=King) salmon,1980,NA,...
Coho(=Silver) salmon,1980,NA,...
Japanese carpet shell,1980,NA,...
Marine molluscs nei,1980,NA,...
Pacific cupped oyster,1980,1922,1922
Rainbow trout,1980,130,130
Scallops nei,1980,NA,...
Atlantic salmon,1981,NA,...
Blue mussel,1981,NA,...
Chinook(=Spring=King) salmon,1981,NA,...
Coho(=Silver) salmon,1981,NA,...
Japanese carpet shell,1981,NA,...
Marine molluscs nei,1981,NA,...
Pacific cupped oyster,1981,2409,2409
Rainbow trout,1981,100,100
Scallops nei,1981,NA,...
Atlantic salmon,1982,NA,...
Blue mussel,1982,NA,...
Chinook(=Spring=King) salmon,1982,NA,...
Coho(=Silver) salmon,1982,NA,...
Japanese carpet shell,1982,NA,...
Marine molluscs nei,1982,NA,...
Pacific cupped oyster,1982,1579,1579
Rainbow trout,1982,130,130
Scallops nei,1982,NA,...
Atlantic salmon,1983,NA,...
Blue mussel,1983,NA,...
Chinook(=Spring=King) salmon,1983,NA,...
Coho(=Silver) salmon,1983,NA,...
Japanese carpet shell,1983,NA,...
Marine molluscs nei,1983,NA,...
Pacific cupped oyster,1983,2453,2453
Rainbow trout,1983,60,60
Scallops nei,1983,NA,...
Atlantic salmon,1984,NA,...
Blue mussel,1984,NA,...
Chinook(=Spring=King) salmon,1984,43,43
Coho(=Silver) salmon,1984,64,64
Japanese carpet shell,1984,NA,...
Marine molluscs nei,1984,0,-
Pacific cupped oyster,1984,2897,2897
Rainbow trout,1984,193,193
Scallops nei,1984,0,-
Atlantic salmon,1985,NA,...
Blue mussel,1985,NA,...
Chinook(=Spring=King) salmon,1985,54,54
Coho(=Silver) salmon,1985,66,66
Japanese carpet shell,1985,NA,...
Marine molluscs nei,1985,0,-
Pacific cupped oyster,1985,3420,3420
Rainbow trout,1985,200,200
Scallops nei,1985,0,-
Atlantic salmon,1986,0,-
Blue mussel,1986,NA,...
Chinook(=Spring=King) salmon,1986,87,87
Coho(=Silver) salmon,1986,304,304
Japanese carpet shell,1986,7,7
Marine molluscs nei,1986,6,6
Pacific cupped oyster,1986,2864,2864
Rainbow trout,1986,9,9
Scallops nei,1986,0,-
Atlantic salmon,1987,3,3
Blue mussel,1987,NA,...
Chinook(=Spring=King) salmon,1987,949,949
Coho(=Silver) salmon,1987,790,790
Japanese carpet shell,1987,25,25
Marine molluscs nei,1987,17,17
Pacific cupped oyster,1987,3482,3482
Rainbow trout,1987,192,192
Scallops nei,1987,0,-
Atlantic salmon,1988,80,80
Blue mussel,1988,NA,...
Chinook(=Spring=King) salmon,1988,3550,3550
Coho(=Silver) salmon,1988,2775,2775
Japanese carpet shell,1988,30,30
Marine molluscs nei,1988,0,-
Pacific cupped oyster,1988,3701,3701
Rainbow trout,1988,185,185
Scallops nei,1988,5,5
Atlantic salmon,1989,1280,1280
Blue mussel,1989,NA,...
Chinook(=Spring=King) salmon,1989,8514,8514
Coho(=Silver) salmon,1989,1815,1815
Japanese carpet shell,1989,31,31
Marine molluscs nei,1989,0,-
Pacific cupped oyster,1989,3721,3721
Rainbow trout,1989,274,274
Scallops nei,1989,10,10
Atlantic salmon,1990,1790,1790
Blue mussel,1990,NA,...
Chinook(=Spring=King) salmon,1990,11977,11977
Coho(=Silver) salmon,1990,1509,1509
Japanese carpet shell,1990,47,47
Marine molluscs nei,1990,0,-
Pacific cupped oyster,1990,4076,4076
Rainbow trout,1990,210,210
Scallops nei,1990,0,-
Atlantic salmon,1991,3651,3651
Blue mussel,1991,NA,...
Chinook(=Spring=King) salmon,1991,20147,20147
Coho(=Silver) salmon,1991,462,462
Japanese carpet shell,1991,169,169
Marine molluscs nei,1991,0,-
Pacific cupped oyster,1991,4482,4482
Rainbow trout,1991,102,102
Scallops nei,1991,0,-
Atlantic salmon,1992,6785,6785
Blue mussel,1992,NA,...
Chinook(=Spring=King) salmon,1992,12253,12253
Coho(=Silver) salmon,1992,762,762
Japanese carpet shell,1992,308,308
Marine molluscs nei,1992,0,-
Pacific cupped oyster,1992,4484,4484
Rainbow trout,1992,14,14
Scallops nei,1992,6,6
Atlantic salmon,1993,12360,12360
Blue mussel,1993,NA,...
Chinook(=Spring=King) salmon,1993,10380,10380
Coho(=Silver) salmon,1993,2815,2815
Japanese carpet shell,1993,347,347
Marine molluscs nei,1993,0,-
Pacific cupped oyster,1993,4758,4758
Rainbow trout,1993,NA,...
Scallops nei,1993,17,17
Atlantic salmon,1994,15347,15347
Blue mussel,1994,NA,...
Chinook(=Spring=King) salmon,1994,6996,6996
Coho(=Silver) salmon,1994,1314,1314
Japanese carpet shell,1994,390,390
Marine molluscs nei,1994,0,-
Pacific cupped oyster,1994,4990,4990
Rainbow trout,1994,NA,...
Scallops nei,1994,27,27
Atlantic salmon,1995,18439,18439
Blue mussel,1995,NA,...
Chinook(=Spring=King) salmon,1995,8073,8073
Coho(=Silver) salmon,1995,768,768
Japanese carpet shell,1995,885,885
Marine molluscs nei,1995,0,-
Pacific cupped oyster,1995,5260,5260
Rainbow trout,1995,NA,...
Scallops nei,1995,24,24
Atlantic salmon,1996,18675,18675
Blue mussel,1996,NA,...
Chinook(=Spring=King) salmon,1996,8393,8393
Coho(=Silver) salmon,1996,757,757
Japanese carpet shell,1996,979,979
Marine molluscs nei,1996,0,-
Pacific cupped oyster,1996,5480,5480
Rainbow trout,1996,NA,...
Scallops nei,1996,142,142
Atlantic salmon,1997,30705,30705
Blue mussel,1997,NA,...
Chinook(=Spring=King) salmon,1997,4306,4306
Coho(=Silver) salmon,1997,1529,1529
Japanese carpet shell,1997,649,649
Marine molluscs nei,1997,0,-
Pacific cupped oyster,1997,3650,3650
Rainbow trout,1997,NA,...
Scallops nei,1997,23,23
Atlantic salmon,1998,33057,33057
Blue mussel,1998,NA,...
Chinook(=Spring=King) salmon,1998,6565,6565
Coho(=Silver) salmon,1998,2625,2625
Japanese carpet shell,1998,704,704
Marine molluscs nei,1998,0,-
Pacific cupped oyster,1998,5500,5500
Rainbow trout,1998,NA,...
Scallops nei,1998,21,21
Atlantic salmon,1999,38800,38800
Blue mussel,1999,NA,...
Chinook(=Spring=King) salmon,1999,8800,8800
Coho(=Silver) salmon,1999,2e3,2000
Japanese carpet shell,1999,800,800
Marine molluscs nei,1999,0,-
Pacific cupped oyster,1999,5300,5300
Rainbow trout,1999,NA,...
Scallops nei,1999,30,30
Atlantic salmon,2000,39300,39300
Blue mussel,2000,NA,...
Chinook(=Spring=King) salmon,2000,8e3,8000
Coho(=Silver) salmon,2000,2100,2100
Japanese carpet shell,2000,1e3,1000
Marine molluscs nei,2000,0,-
Pacific cupped oyster,2000,5500,5500
Rainbow trout,2000,NA,...
Scallops nei,2000,50,50
Atlantic salmon,2001,58e3,58000
Blue mussel,2001,NA,...
Chinook(=Spring=King) salmon,2001,7500,7500
Coho(=Silver) salmon,2001,2500,2500
Japanese carpet shell,2001,1400,1400
Marine molluscs nei,2001,0,-
Pacific cupped oyster,2001,7400,7400
Rainbow trout,2001,NA,...
Scallops nei,2001,120,120
Atlantic salmon,2002,72800,72800
Blue mussel,2002,NA,...
Chinook(=Spring=King) salmon,2002,10400,10400
Coho(=Silver) salmon,2002,2300,2300
Japanese carpet shell,2002,1400,1400
Marine molluscs nei,2002,0,-
Pacific cupped oyster,2002,7200,7200
Rainbow trout,2002,NA,...
Scallops nei,2002,100,100
Atlantic salmon,2003,72678,72678
Blue mussel,2003,7,7
Chinook(=Spring=King) salmon,2003,15700,15700
Coho(=Silver) salmon,2003,1400,1400
Japanese carpet shell,2003,1589,1589
Marine molluscs nei,2003,0,-
Pacific cupped oyster,2003,7837,7837
Rainbow trout,2003,NA,...
Scallops nei,2003,130,130
Atlantic salmon,2004,61774,61774
Blue mussel,2004,78,78
Chinook(=Spring=King) salmon,2004,NA,...
Coho(=Silver) salmon,2004,NA,...
Japanese carpet shell,2004,1528,1528
Marine molluscs nei,2004,0,-
Pacific cupped oyster,2004,7562,7562
Rainbow trout,2004,NA,...
Scallops nei,2004,77,77
Atlantic salmon,2005,63370,63370
Blue mussel,2005,78,78
Chinook(=Spring=King) salmon,2005,NA,...
Coho(=Silver) salmon,2005,NA,...
Japanese carpet shell,2005,1856,1856
Marine molluscs nei,2005,0,-
Pacific cupped oyster,2005,8011,8011
Rainbow trout,2005,NA,...
Scallops nei,2005,226,226
Atlantic salmon,2006,70181,70181
Blue mussel,2006,252,252
Chinook(=Spring=King) salmon,2006,NA,...
Coho(=Silver) salmon,2006,NA,...
Japanese carpet shell,2006,1707,1707
Marine molluscs nei,2006,0,-
Pacific cupped oyster,2006,8212,8212
Rainbow trout,2006,NA,...
Scallops nei,2006,46,46
Atlantic salmon,2007,70998,70998
Blue mussel,2007,543,543
Chinook(=Spring=King) salmon,2007,NA,...
Coho(=Silver) salmon,2007,NA,...
Japanese carpet shell,2007,1658,1658
Marine molluscs nei,2007,0,-
Pacific cupped oyster,2007,7493,7493
Rainbow trout,2007,NA,...
Scallops nei,2007,157,157
Atlantic salmon,2008,73265,73265
Blue mussel,2008,285,285
Chinook(=Spring=King) salmon,2008,NA,...
Coho(=Silver) salmon,2008,NA,...
Japanese carpet shell,2008,1305,1305
Marine molluscs nei,2008,0,-
Pacific cupped oyster,2008,5670,5670
Rainbow trout,2008,NA,...
Scallops nei,2008,276,276
Atlantic salmon,2009,68662,68662
Blue mussel,2009,312,312
Chinook(=Spring=King) salmon,2009,NA,...
Coho(=Silver) salmon,2009,NA,...
Japanese carpet shell,2009,1359,1359
Marine molluscs nei,2009,530,530
Pacific cupped oyster,2009,5735,5735
Rainbow trout,2009,NA,...
Scallops nei,2009,385,385
Atlantic salmon,2010,70831,70831
Blue mussel,2010,364,364
Chinook(=Spring=King) salmon,2010,NA,...
Coho(=Silver) salmon,2010,NA,...
Japanese carpet shell,2010,1485,1485
Marine molluscs nei,2010,26,26
Pacific cupped oyster,2010,7550,7550
Rainbow trout,2010,NA,...
Scallops nei,2010,695,695
Atlantic salmon,2011,83144,83144
Blue mussel,2011,288,288
Chinook(=Spring=King) salmon,2011,NA,...
Coho(=Silver) salmon,2011,NA,...
Japanese carpet shell,2011,1172,1172
Marine molluscs nei,2011,0,-
Pacific cupped oyster,2011,6242,6242
Rainbow trout,2011,NA,...
Scallops nei,2011,271,271
Atlantic salmon,2012,79981,79981
Blue mussel,2012,274,274
Chinook(=Spring=King) salmon,2012,NA,...
Coho(=Silver) salmon,2012,NA,...
Japanese carpet shell,2012,2710,2710
Marine molluscs nei,2012,0,-
Pacific cupped oyster,2012,6487,6487
Rainbow trout,2012,NA,...
Scallops nei,2012,198,198
Atlantic salmon,2013,74673,74673
Blue mussel,2013,291,291
Chinook(=Spring=King) salmon,2013,NA,...
Coho(=Silver) salmon,2013,NA,...
Japanese carpet shell,2013,2476,2476
Marine molluscs nei,2013,0,-
Pacific cupped oyster,2013,5592,5592
Rainbow trout,2013,NA,...
Scallops nei,2013,91,91
Atlantic salmon,2014,54971,54971
Blue mussel,2014,592,592
Chinook(=Spring=King) salmon,2014,NA,...
Coho(=Silver) salmon,2014,NA,...
Japanese carpet shell,2014,1327,1327
Marine molluscs nei,2014,0,-
Pacific cupped oyster,2014,8108,8108
Rainbow trout,2014,NA,...
Scallops nei,2014,100,100
