year,rgn_id,n_fn,n_tot,pct_fn
2012,1,305,1323,0.23053665910808768
2012,2,291,1158,0.25129533678756477
2012,3,309,1380,0.22391304347826088
2012,4,533,2291,0.23264949803579224
2012,5,313,1511,0.2071475843812045
2012,6,382,2859,0.1336131514515565
2012,7,70,717,0.09762900976290098
2012,8,296,1222,0.24222585924713586
2013,1,319,1426,0.22370266479663395
2013,2,289,1144,0.2526223776223776
2013,3,313,1378,0.22714078374455732
2013,4,505,2226,0.22686433063791556
2013,5,287,1474,0.19470827679782904
2013,6,431,2757,0.15632934348929997
2013,7,76,701,0.10841654778887304
2013,8,294,1217,0.24157764995891537
2014,1,297,1188,0.25
2014,2,292,1140,0.256140350877193
2014,3,315,1366,0.23060029282576866
2014,4,552,2422,0.22791081750619324
2014,5,320,1556,0.20565552699228792
2014,6,296,1634,0.18115055079559364
2014,7,75,691,0.1085383502170767
2014,8,297,1211,0.24525185796862098
2015,1,NA,1197,NA
2015,2,309,1147,0.26939843068875324
2015,3,NA,1376,NA
2015,4,554,2390,0.2317991631799163
2015,5,306,1520,0.2013157894736842
2015,6,280,1593,0.17576898932831136
2015,7,98,707,0.13861386138613863
2015,8,NA,1219,NA
2016,1,NA,1124,NA
2016,2,236,1071,0.2203548085901027
2016,3,NA,1309,NA
2016,4,444,2278,0.19490781387181738
2016,5,272,1455,0.18694158075601375
2016,6,255,1547,0.16483516483516483
2016,7,84,673,0.12481426448736999
2016,8,NA,1151,NA
