iucn_sid,am_sid,iucn_pop_trend,cosewic_trend
NA,Fis-30057,NA,NA
NA,Fis-30085,NA,NA
NA,Fis-30134,NA,NA
NA,Fis-30146,NA,NA
NA,Fis-30147,NA,NA
NA,Fis-30250,NA,NA
NA,Fis-30256,NA,NA
NA,Fis-30257,NA,NA
NA,Fis-30258,NA,NA
NA,Fis-30259,NA,NA
NA,Fis-30260,NA,NA
NA,Fis-30263,NA,NA
NA,Fis-30268,NA,NA
NA,Fis-30269,NA,NA
NA,Fis-30273,NA,NA
NA,Fis-30480,NA,NA
NA,Fis-30485,NA,NA
NA,Fis-30487,NA,NA
NA,Fis-30496,NA,NA
NA,Fis-30516,NA,NA
NA,Fis-30556,NA,NA
NA,Fis-30630,NA,NA
NA,Fis-30631,NA,NA
NA,Fis-30632,NA,NA
NA,Fis-30633,NA,NA
NA,Fis-30634,NA,NA
NA,Fis-30637,NA,NA
NA,Fis-30639,NA,NA
NA,Fis-30641,NA,NA
NA,Fis-30642,NA,NA
NA,Fis-30644,NA,NA
NA,Fis-30707,NA,NA
NA,Fis-30708,NA,NA
NA,Fis-30736,NA,NA
NA,Fis-30737,NA,NA
NA,Fis-30757,NA,NA
NA,Fis-30759,NA,NA
NA,Fis-30764,NA,NA
NA,Fis-30765,NA,NA
NA,Fis-30766,NA,NA
NA,Fis-30768,NA,NA
NA,Fis-30769,NA,NA
NA,Fis-30771,NA,NA
NA,Fis-30773,NA,NA
NA,Fis-30774,NA,NA
NA,Fis-30777,NA,NA
NA,Fis-30787,NA,NA
NA,Fis-30807,NA,NA
NA,Fis-30817,NA,NA
NA,Fis-30819,NA,NA
NA,Fis-30821,NA,NA
NA,Fis-30822,NA,NA
NA,Fis-30825,NA,NA
NA,Fis-30827,NA,NA
NA,Fis-30828,NA,NA
NA,Fis-30829,NA,NA
NA,Fis-30830,NA,NA
NA,Fis-30834,NA,NA
NA,Fis-30835,NA,NA
NA,Fis-30836,NA,NA
NA,Fis-30837,NA,NA
NA,Fis-30840,NA,NA
NA,Fis-30841,NA,NA
NA,Fis-30843,NA,NA
NA,Fis-30847,NA,NA
NA,Fis-30850,NA,NA
NA,Fis-30851,NA,NA
NA,Fis-30852,NA,NA
NA,Fis-30854,NA,NA
NA,Fis-30856,NA,NA
NA,Fis-30857,NA,NA
NA,Fis-30858,NA,NA
NA,Fis-30864,NA,NA
NA,Fis-30865,NA,NA
NA,Fis-30866,NA,NA
NA,Fis-30880,NA,NA
NA,Fis-30881,NA,NA
NA,Fis-30882,NA,NA
NA,Fis-30883,NA,NA
NA,Fis-30887,NA,NA
NA,Fis-30889,NA,NA
NA,Fis-30901,NA,NA
NA,Fis-30905,NA,NA
NA,Fis-30906,NA,NA
NA,Fis-30907,NA,NA
NA,Fis-30910,NA,NA
NA,Fis-31255,NA,NA
NA,Fis-31256,NA,NA
NA,Fis-32138,NA,NA
NA,Fis-32327,NA,NA
NA,Fis-32329,NA,NA
NA,Fis-32343,NA,NA
NA,Fis-32387,NA,NA
NA,Fis-32495,NA,NA
NA,Fis-32896,NA,NA
NA,Fis-33019,NA,NA
NA,Fis-33124,NA,NA
NA,Fis-33134,NA,NA
NA,Fis-33191,NA,NA
NA,Fis-33413,NA,NA
NA,Fis-34636,NA,NA
NA,Fis-34639,NA,NA
NA,Fis-34692,NA,NA
NA,Fis-34702,NA,NA
NA,Fis-34713,NA,NA
NA,Fis-34768,NA,NA
NA,Fis-34787,NA,NA
NA,Fis-34791,NA,NA
NA,Fis-34794,NA,NA
NA,Fis-34795,NA,NA
NA,Fis-34804,NA,NA
NA,Fis-34829,NA,NA
NA,Fis-34831,NA,NA
NA,Fis-35069,NA,NA
NA,Fis-35216,NA,NA
NA,Fis-35242,NA,NA
NA,Fis-35470,NA,NA
NA,Fis-35980,NA,NA
NA,Fis-47542,NA,NA
NA,Fis-47774,NA,NA
NA,Fis-48258,NA,NA
NA,Fis-49057,NA,NA
NA,Fis-49870,NA,NA
NA,Fis-49907,NA,NA
NA,Fis-50075,NA,NA
NA,Fis-50089,NA,NA
NA,Fis-50127,NA,NA
NA,Fis-50295,NA,NA
NA,Fis-50433,NA,NA
NA,Fis-50608,NA,NA
NA,Fis-50627,NA,NA
NA,Fis-50631,NA,NA
NA,Fis-51602,NA,NA
NA,Fis-52195,NA,NA
NA,Fis-52352,NA,NA
NA,Fis-52571,NA,NA
NA,Fis-52688,NA,NA
NA,Fis-52868,NA,NA
NA,Fis-52885,NA,NA
NA,Fis-52893,NA,NA
NA,Fis-52894,NA,NA
NA,Fis-52940,NA,NA
NA,Fis-53166,NA,NA
NA,Fis-53189,NA,NA
NA,Fis-53240,NA,NA
NA,Fis-53296,NA,NA
NA,Fis-53392,NA,NA
NA,Fis-53393,NA,NA
NA,Fis-53394,NA,NA
NA,Fis-53396,NA,NA
NA,Fis-53397,NA,NA
NA,Fis-53631,NA,NA
NA,Fis-53728,NA,NA
NA,Fis-53729,NA,NA
NA,Fis-54023,NA,NA
NA,Fis-54370,NA,NA
NA,Fis-54429,NA,NA
NA,Fis-54537,NA,NA
NA,Fis-54551,NA,NA
NA,Fis-54628,NA,NA
NA,Fis-54879,NA,NA
NA,Fis-54895,NA,NA
NA,Fis-54896,NA,NA
NA,Fis-54902,NA,NA
NA,Fis-54907,NA,NA
NA,Fis-54909,NA,NA
NA,Fis-55090,NA,NA
NA,Fis-55519,NA,NA
NA,Fis-56163,NA,NA
NA,Fis-56185,NA,NA
NA,Fis-56826,NA,NA
NA,Fis-56840,NA,NA
NA,Fis-57179,NA,NA
NA,Fis-57210,NA,NA
NA,Fis-57501,NA,NA
NA,Fis-57502,NA,NA
NA,Fis-57503,NA,NA
NA,Fis-57505,NA,NA
NA,Fis-57507,NA,NA
NA,Fis-57510,NA,NA
NA,Fis-57512,NA,NA
NA,Fis-57528,NA,NA
NA,Fis-57529,NA,NA
NA,Fis-57562,NA,NA
NA,Fis-57568,NA,NA
NA,Fis-57574,NA,NA
NA,Fis-57663,NA,NA
NA,Fis-61169,NA,NA
NA,Fis-62376,NA,NA
NA,Fis-62571,NA,NA
NA,Fis-62940,NA,NA
NA,Fis-63259,NA,NA
NA,Fis-63650,NA,NA
NA,Fis-63956,NA,NA
NA,Fis-64711,NA,NA
NA,Fis-8227,NA,NA
NA,Hex-1246,NA,NA
NA,Hex-1267,NA,NA
NA,Hex-1431,NA,NA
NA,Hex-1985,NA,NA
NA,Hex-2453,NA,NA
NA,Hex-3591,NA,NA
NA,Hex-3898,NA,NA
NA,Hex-483,NA,NA
NA,Hex-5236,NA,NA
NA,Hex-5992,NA,NA
NA,Hex-7312,NA,NA
NA,ITS-154685,NA,NA
NA,ITS-158580,NA,NA
NA,ITS-158582,NA,NA
NA,ITS-158597,NA,NA
NA,ITS-158600,NA,NA
NA,ITS-181145,NA,NA
NA,ITS-551539,NA,NA
NA,ITS-551549,NA,NA
NA,ITS-551983,NA,NA
NA,ITS-551986,NA,NA
NA,ITS-552060,NA,NA
NA,ITS-552848,NA,NA
NA,ITS-612378,NA,NA
NA,ITS-64279,NA,NA
NA,ITS-657028,NA,NA
NA,ITS-657029,NA,NA
NA,ITS-660028,NA,NA
NA,ITS-660123,NA,NA
NA,ITS-660125,NA,NA
NA,ITS-660135,NA,NA
NA,ITS-660182,NA,NA
NA,ITS-667657,NA,NA
NA,ITS-667658,NA,NA
NA,ITS-667660,NA,NA
NA,ITS-682544,NA,NA
NA,ITS-682581,NA,NA
NA,ITS-682635,NA,NA
NA,ITS-684695,NA,NA
NA,ITS-85107,NA,NA
NA,ITS-87294,NA,NA
NA,ITS-89476,NA,NA
NA,ITS-89606,NA,NA
NA,ITS-89654,NA,NA
NA,ITS-89818,NA,NA
NA,ITS-89928,NA,NA
NA,ITS-93329,NA,NA
NA,ITS-93332,NA,NA
NA,ITS-94279,NA,NA
NA,ITS-94295,NA,NA
NA,ITS-95442,NA,NA
NA,ITS-95750,NA,NA
NA,ITS-95917,NA,NA
NA,ITS-95923,NA,NA
NA,ITS-95933,NA,NA
NA,ITS-95940,NA,NA
NA,ITS-95944,NA,NA
NA,ITS-95949,NA,NA
NA,ITS-96028,NA,NA
NA,ITS-96033,NA,NA
NA,ITS-96038,NA,NA
NA,ITS-96051,NA,NA
NA,ITS-96056,NA,NA
NA,ITS-96081,NA,NA
NA,ITS-96082,NA,NA
NA,ITS-96083,NA,NA
NA,ITS-96093,NA,NA
NA,ITS-96097,NA,NA
NA,ITS-96099,NA,NA
NA,ITS-96102,NA,NA
NA,ITS-96109,NA,NA
NA,ITS-96110,NA,NA
NA,ITS-96111,NA,NA
NA,ITS-96117,NA,NA
NA,ITS-96121,NA,NA
NA,ITS-96124,NA,NA
NA,ITS-96126,NA,NA
NA,ITS-96137,NA,NA
NA,ITS-96139,NA,NA
NA,ITS-96140,NA,NA
NA,ITS-96142,NA,NA
NA,ITS-96145,NA,NA
NA,ITS-96148,NA,NA
NA,ITS-96149,NA,NA
NA,ITS-96154,NA,NA
NA,ITS-96163,NA,NA
NA,ITS-96165,NA,NA
NA,ITS-96170,NA,NA
NA,ITS-96178,NA,NA
NA,ITS-96215,NA,NA
NA,ITS-96477,NA,NA
NA,ITS-96545,NA,NA
NA,ITS-96549,NA,NA
NA,ITS-96593,NA,NA
NA,ITS-96596,NA,NA
NA,ITS-96617,NA,NA
NA,ITS-96787,NA,NA
NA,ITS-96967,NA,NA
NA,ITS-96970,NA,NA
NA,ITS-96977,NA,NA
NA,ITS-96979,NA,NA
NA,ITS-96981,NA,NA
NA,ITS-96982,NA,NA
NA,ITS-96984,NA,NA
NA,ITS-96995,NA,NA
NA,ITS-97020,NA,NA
NA,ITS-97026,NA,NA
NA,ITS-97037,NA,NA
NA,ITS-97045,NA,NA
NA,ITS-97074,NA,NA
NA,ITS-97081,NA,NA
NA,ITS-97195,NA,NA
NA,ITS-97298,NA,NA
NA,ITS-97837,NA,NA
NA,ITS-97921,NA,NA
NA,ITS-97933,NA,NA
NA,ITS-97935,NA,NA
NA,ITS-97947,NA,NA
NA,ITS-97950,NA,NA
NA,ITS-97953,NA,NA
NA,ITS-97954,NA,NA
NA,ITS-97966,NA,NA
NA,ITS-98012,NA,NA
NA,ITS-98155,NA,NA
NA,ITS-98208,NA,NA
NA,ITS-Mam-612597,NA,NA
NA,SLB-100444,NA,NA
NA,SLB-101854,NA,NA
NA,SLB-111574,NA,NA
NA,SLB-113180,NA,NA
NA,SLB-118397,NA,NA
NA,SLB-119122,NA,NA
NA,SLB-119333,NA,NA
NA,SLB-119334,NA,NA
NA,SLB-119335,NA,NA
NA,SLB-119368,NA,NA
NA,SLB-119475,NA,NA
NA,SLB-119529,NA,NA
NA,SLB-119530,NA,NA
NA,SLB-119543,NA,NA
NA,SLB-119544,NA,NA
NA,SLB-119568,NA,NA
NA,SLB-119577,NA,NA
NA,SLB-119637,NA,NA
NA,SLB-120057,NA,NA
NA,SLB-130155,NA,NA
NA,SLB-130283,NA,NA
NA,SLB-131273,NA,NA
NA,SLB-132722,NA,NA
NA,SLB-132739,NA,NA
NA,SLB-133119,NA,NA
NA,SLB-133812,NA,NA
NA,SLB-134854,NA,NA
NA,SLB-138599,NA,NA
NA,SLB-140653,NA,NA
NA,SLB-141400,NA,NA
NA,SLB-143238,NA,NA
NA,SLB-145429,NA,NA
NA,SLB-147286,NA,NA
NA,SLB-153747,NA,NA
NA,SLB-154005,NA,NA
NA,SLB-154625,NA,NA
NA,SLB-154626,NA,NA
NA,SLB-156238,NA,NA
NA,SLB-158004,NA,NA
NA,SLB-166541,NA,NA
NA,SLB-188852,NA,NA
NA,SLB-189632,NA,NA
NA,SLB-190089,NA,NA
NA,SLB-190206,NA,NA
NA,SLB-190276,NA,NA
NA,SLB-190381,NA,NA
NA,SLB-190383,NA,NA
NA,SLB-190422,NA,NA
NA,SLB-190484,NA,NA
NA,SLB-27845,NA,NA
NA,SLB-56007,NA,NA
NA,SLB-56010,NA,NA
NA,SLB-56831,NA,NA
NA,SLB-64873,NA,NA
NA,SLB-64971,NA,NA
NA,SLB-64977,NA,NA
NA,SLB-64981,NA,NA
NA,SLB-65492,NA,NA
NA,SLB-65694,NA,NA
NA,SLB-65739,NA,NA
NA,SLB-65922,NA,NA
NA,SLB-66324,NA,NA
NA,SLB-66328,NA,NA
NA,SLB-66452,NA,NA
NA,SLB-66824,NA,NA
NA,SLB-67342,NA,NA
NA,SLB-67618,NA,NA
NA,SLB-67642,NA,NA
NA,SLB-68942,NA,NA
NA,SLB-69078,NA,NA
NA,SLB-69728,NA,NA
NA,SLB-71681,NA,NA
NA,SLB-74686,NA,NA
NA,SLB-75746,NA,NA
NA,SLB-75788,NA,NA
NA,SLB-77390,NA,NA
NA,SLB-83781,NA,NA
NA,SLB-96837,NA,NA
NA,SLB-9723,NA,NA
NA,SLB-97303,NA,NA
NA,SLB-9740,NA,NA
NA,SLB-97520,NA,NA
NA,SLB-97601,NA,NA
NA,SLB-97619,NA,NA
NA,SLB-97620,NA,NA
NA,SLB-97626,NA,NA
NA,SLB-98767,NA,NA
NA,URM-2-1045,NA,NA
NA,URM-2-1071,NA,NA
NA,URM-2-1077,NA,NA
NA,URM-2-1092,NA,NA
NA,URM-2-1097,NA,NA
NA,URM-2-11,NA,NA
NA,URM-2-1124,NA,NA
NA,URM-2-1136,NA,NA
NA,URM-2-1151,NA,NA
NA,URM-2-1165,NA,NA
NA,URM-2-137,NA,NA
NA,URM-2-1797,NA,NA
NA,URM-2-1836,NA,NA
NA,URM-2-1864,NA,NA
NA,URM-2-187,NA,NA
NA,URM-2-1888,NA,NA
NA,URM-2-1893,NA,NA
NA,URM-2-1935,NA,NA
NA,URM-2-1939,NA,NA
NA,URM-2-1980,NA,NA
NA,URM-2-2005,NA,NA
NA,URM-2-2048,NA,NA
NA,URM-2-2060,NA,NA
NA,URM-2-2126,NA,NA
NA,URM-2-2128,NA,NA
NA,URM-2-2291,NA,NA
NA,URM-2-2294,NA,NA
NA,URM-2-2581,NA,NA
NA,URM-2-2613,NA,NA
NA,URM-2-2761,NA,NA
NA,URM-2-2765,NA,NA
NA,URM-2-2829,NA,NA
NA,URM-2-3,NA,NA
NA,URM-2-3083,NA,NA
NA,URM-2-311,NA,NA
NA,URM-2-3295,NA,NA
NA,URM-2-3314,NA,NA
NA,URM-2-333,NA,NA
NA,URM-2-3412,NA,NA
NA,URM-2-3436,NA,NA
NA,URM-2-3504,NA,NA
NA,URM-2-3509,NA,NA
NA,URM-2-351,NA,NA
NA,URM-2-3514,NA,NA
NA,URM-2-3547,NA,NA
NA,URM-2-3552,NA,NA
NA,URM-2-3557,NA,NA
NA,URM-2-3561,NA,NA
NA,URM-2-3648,NA,NA
NA,URM-2-37,NA,NA
NA,URM-2-3711,NA,NA
NA,URM-2-3747,NA,NA
NA,URM-2-3770,NA,NA
NA,URM-2-3773,NA,NA
NA,URM-2-3830,NA,NA
NA,URM-2-3855,NA,NA
NA,URM-2-3862,NA,NA
NA,URM-2-3872,NA,NA
NA,URM-2-4042,NA,NA
NA,URM-2-4049,NA,NA
NA,URM-2-4053,NA,NA
NA,URM-2-4064,NA,NA
NA,URM-2-4065,NA,NA
NA,URM-2-4081,NA,NA
NA,URM-2-4084,NA,NA
NA,URM-2-41,NA,NA
NA,URM-2-4175,NA,NA
NA,URM-2-4194,NA,NA
NA,URM-2-4198,NA,NA
NA,URM-2-4199,NA,NA
NA,URM-2-4201,NA,NA
NA,URM-2-4206,NA,NA
NA,URM-2-4214,NA,NA
NA,URM-2-433,NA,NA
NA,URM-2-437,NA,NA
NA,URM-2-547,NA,NA
NA,URM-2-587,NA,NA
NA,URM-2-588,NA,NA
NA,URM-2-6,NA,NA
NA,URM-2-602,NA,NA
NA,URM-2-609,NA,NA
NA,URM-2-614,NA,NA
NA,URM-2-615,NA,NA
NA,URM-2-620,NA,NA
NA,URM-2-627,NA,NA
NA,URM-2-63,NA,NA
NA,URM-2-630,NA,NA
NA,URM-2-646,NA,NA
NA,URM-2-687,NA,NA
NA,URM-2-696,NA,NA
NA,URM-2-738,NA,NA
NA,URM-2-788,NA,NA
NA,URM-2-853,NA,NA
NA,URM-2-964,NA,NA
NA,URM-2-973,NA,NA
NA,URM-2-988,NA,NA
NA,URM-Cn-10097,NA,NA
NA,URM-Cn-10098,NA,NA
NA,URM-Cn-10258,NA,NA
NA,URM-Cn-10261,NA,NA
NA,URM-Cn-10268,NA,NA
NA,URM-Cn-10281,NA,NA
NA,URM-Cn-10292,NA,NA
NA,URM-Cn-4415,NA,NA
NA,URM-Cn-4450,NA,NA
NA,URM-Cn-5097,NA,NA
NA,URM-Cn-5100,NA,NA
NA,URM-Cn-5160,NA,NA
NA,URM-Cn-5177,NA,NA
NA,URM-Cn-5206,NA,NA
NA,URM-Cn-5333,NA,NA
NA,URM-Cn-5671,NA,NA
NA,URM-Cn-5912,NA,NA
NA,URM-Cn-6244,NA,NA
NA,URM-Cn-6268,NA,NA
NA,URM-M-1439,NA,NA
NA,URM-M-1442,NA,NA
NA,W-Ase-123915,NA,NA
NA,W-Ase-123935,NA,NA
NA,W-Ase-123974,NA,NA
NA,W-Ase-124147,NA,NA
NA,W-Ase-124154,NA,NA
NA,W-Ase-124160,NA,NA
NA,W-Ase-178726,NA,NA
NA,W-Ase-213245,NA,NA
NA,W-Ase-213301,NA,NA
NA,W-Ase-213335,NA,NA
NA,W-Ase-240755,NA,NA
NA,W-Ase-240757,NA,NA
NA,W-Ase-240758,NA,NA
NA,W-Ase-240764,NA,NA
NA,W-Ase-240771,NA,NA
NA,W-Ase-242160,NA,NA
NA,W-Ase-254775,NA,NA
NA,W-Ase-254837,NA,NA
NA,W-Ase-254842,NA,NA
NA,W-Ase-254890,NA,NA
NA,W-Ase-255042,NA,NA
NA,W-Ase-255048,NA,NA
NA,W-Ase-255062,NA,NA
NA,W-Ase-255116,NA,NA
NA,W-Ase-255123,NA,NA
NA,W-Ase-292719,NA,NA
NA,W-Ase-292720,NA,NA
NA,W-Ase-292727,NA,NA
NA,W-Ase-292729,NA,NA
NA,W-Ase-292746,NA,NA
NA,W-Ase-292869,NA,NA
NA,W-Ase-292882,NA,NA
NA,W-Ase-345389,NA,NA
NA,W-Ase-368114,NA,NA
NA,W-Ase-368318,NA,NA
NA,W-Ase-368322,NA,NA
NA,W-Ase-368510,NA,NA
NA,W-Ase-368527,NA,NA
NA,W-Ase-368805,NA,NA
NA,W-Ase-368808,NA,NA
NA,W-Ase-369041,NA,NA
NA,W-Ase-369053,NA,NA
NA,W-Ase-369117,NA,NA
NA,W-Ase-370831,NA,NA
NA,W-Ase-370836,NA,NA
NA,W-Ase-378630,NA,NA
NA,W-Ase-380614,NA,NA
NA,W-Ase-380657,NA,NA
NA,W-Ase-380747,NA,NA
NA,W-Ase-380775,NA,NA
NA,W-Ase-381961,NA,NA
NA,W-Ase-382131,NA,NA
NA,W-Ase-559194,NA,NA
NA,W-Bch-107310,NA,NA
NA,W-Bch-107315,NA,NA
NA,W-Bch-107379,NA,NA
NA,W-Bch-107451,NA,NA
NA,W-Bch-209568,NA,NA
NA,W-Bch-211050,NA,NA
NA,W-Bch-240780,NA,NA
NA,W-Bch-440206,NA,NA
NA,W-Bch-440382,NA,NA
NA,W-Bch-440384,NA,NA
NA,W-Bch-440388,NA,NA
NA,W-Bch-440391,NA,NA
NA,W-Bch-440444,NA,NA
NA,W-Bch-440471,NA,NA
NA,W-Bch-441490,NA,NA
NA,W-Bch-441601,NA,NA
NA,W-Bch-442169,NA,NA
NA,W-Bch-442171,NA,NA
NA,W-Bch-444382,NA,NA
NA,WBD-Eup-19,NA,NA
NA,WBD-Eup-35,NA,NA
NA,WBD-Eup-49,NA,NA
NA,WBD-Eup-50,NA,NA
NA,WBD-Eup-61,NA,NA
NA,WBD-Eup-64,NA,NA
NA,WBD-Eup-65,NA,NA
NA,WBD-Eup-72,NA,NA
NA,WBD-Eup-85,NA,NA
NA,WBD-Eup-90,NA,NA
NA,WBD-Eup-95,NA,NA
NA,WBD-Eup-97,NA,NA
NA,W-Bra-183339,NA,NA
NA,W-Bra-235453,NA,NA
NA,W-Bra-235579,NA,NA
NA,W-Bra-235615,NA,NA
NA,W-Bry-111360,NA,NA
NA,W-Bry-111411,NA,NA
NA,W-Bry-111418,NA,NA
NA,W-Bry-111663,NA,NA
NA,W-Bry-111700,NA,NA
NA,W-Bry-173982,NA,NA
NA,W-Bry-470797,NA,NA
NA,W-Cha-105414,NA,NA
NA,W-Cha-105416,NA,NA
NA,W-Cha-105431,NA,NA
NA,W-Cha-105440,NA,NA
NA,W-Cha-105441,NA,NA
NA,W-Cha-105445,NA,NA
NA,W-Ech-124321,NA,NA
NA,W-Ech-124324,NA,NA
NA,W-Ech-158062,NA,NA
NA,W-Ech-160784,NA,NA
NA,W-Ech-220659,NA,NA
NA,W-Ech-240747,NA,NA
NA,W-Ech-513000,NA,NA
NA,W-Ech-513094,NA,NA
NA,W-Ech-513143,NA,NA
NA,W-Ech-513214,NA,NA
NA,W-Ech-513215,NA,NA
NA,W-Ech-513483,NA,NA
NA,W-Ech-568594,NA,NA
NA,W-Ech-569742,NA,NA
NA,W-Ech-591102,NA,NA
NA,W-Gtr-114692,NA,NA
NA,W-Hol-225804,NA,NA
NA,W-Hol-225807,NA,NA
NA,W-Hol-241785,NA,NA
NA,W-Hol-529305,NA,NA
NA,W-Hol-529459,NA,NA
NA,W-Hol-529595,NA,NA
NA,W-Hyd-117263,NA,NA
NA,W-Hyd-117267,NA,NA
NA,W-Hyd-117279,NA,NA
NA,W-Hyd-117320,NA,NA
NA,W-Hyd-117328,NA,NA
NA,W-Hyd-117368,NA,NA
NA,W-Hyd-117370,NA,NA
NA,W-Hyd-117373,NA,NA
NA,W-Hyd-117385,NA,NA
NA,W-Hyd-117386,NA,NA
NA,W-Hyd-117388,NA,NA
NA,W-Hyd-117425,NA,NA
NA,W-Hyd-117428,NA,NA
NA,W-Hyd-117517,NA,NA
NA,W-Hyd-117544,NA,NA
NA,W-Hyd-117545,NA,NA
NA,W-Hyd-117554,NA,NA
NA,W-Hyd-117588,NA,NA
NA,W-Hyd-117598,NA,NA
NA,W-Hyd-117606,NA,NA
NA,W-Hyd-117628,NA,NA
NA,W-Hyd-117635,NA,NA
NA,W-Hyd-117679,NA,NA
NA,W-Hyd-117699,NA,NA
NA,W-Hyd-117702,NA,NA
NA,W-Hyd-117743,NA,NA
NA,W-Hyd-117768,NA,NA
NA,W-Hyd-117782,NA,NA
NA,W-Hyd-117802,NA,NA
NA,W-Hyd-117821,NA,NA
NA,W-Hyd-117824,NA,NA
NA,W-Hyd-117870,NA,NA
NA,W-Hyd-117887,NA,NA
NA,W-Hyd-117906,NA,NA
NA,W-Hyd-117965,NA,NA
NA,W-Hyd-117970,NA,NA
NA,W-Hyd-135278,NA,NA
NA,W-Hyd-135403,NA,NA
NA,W-Hyd-135407,NA,NA
NA,W-Hyd-135417,NA,NA
NA,W-Hyd-135420,NA,NA
NA,W-Hyd-135423,NA,NA
NA,W-Hyd-135426,NA,NA
NA,W-Hyd-135427,NA,NA
NA,W-Hyd-135429,NA,NA
NA,W-Hyd-135433,NA,NA
NA,W-Hyd-135439,NA,NA
NA,W-Hyd-135441,NA,NA
NA,W-Hyd-135445,NA,NA
NA,W-Hyd-135446,NA,NA
NA,W-Hyd-135449,NA,NA
NA,W-Hyd-135451,NA,NA
NA,W-Hyd-135455,NA,NA
NA,W-Hyd-135484,NA,NA
NA,W-Hyd-135504,NA,NA
NA,W-Hyd-151860,NA,NA
NA,W-Hyd-157917,NA,NA
NA,W-Hyd-157947,NA,NA
NA,W-Hyd-196554,NA,NA
NA,W-Hyd-196556,NA,NA
NA,W-Hyd-284054,NA,NA
NA,W-Hyd-284249,NA,NA
NA,W-Hyd-284646,NA,NA
NA,W-Hyd-284982,NA,NA
NA,W-Hyd-285265,NA,NA
NA,W-Hyd-285860,NA,NA
NA,W-Hyd-287252,NA,NA
NA,W-Hyd-287481,NA,NA
NA,W-Hyd-289899,NA,NA
NA,W-Hyd-292482,NA,NA
NA,W-Hyd-418879,NA,NA
NA,W-Hyd-418901,NA,NA
NA,W-Iso-118204,NA,NA
NA,W-Iso-118801,NA,NA
NA,W-Iso-118917,NA,NA
NA,W-Iso-256048,NA,NA
NA,W-Iso-260262,NA,NA
NA,W-Iso-260464,NA,NA
NA,W-Iso-261827,NA,NA
NA,W-Iso-261982,NA,NA
NA,W-Msc-138709,NA,NA
NA,W-Msc-138757,NA,NA
NA,W-Msc-138821,NA,NA
NA,W-Msc-139029,NA,NA
NA,W-Msc-139033,NA,NA
NA,W-Msc-139035,NA,NA
NA,W-Msc-139048,NA,NA
NA,W-Msc-139106,NA,NA
NA,W-Msc-139178,NA,NA
NA,W-Msc-139185,NA,NA
NA,W-Msc-139478,NA,NA
NA,W-Msc-139523,NA,NA
NA,W-Msc-139557,NA,NA
NA,W-Msc-139682,NA,NA
NA,W-Msc-140048,NA,NA
NA,W-Msc-140103,NA,NA
NA,W-Msc-140151,NA,NA
NA,W-Msc-140152,NA,NA
NA,W-Msc-140161,NA,NA
NA,W-Msc-140170,NA,NA
NA,W-Msc-140187,NA,NA
NA,W-Msc-140197,NA,NA
NA,W-Msc-140223,NA,NA
NA,W-Msc-140233,NA,NA
NA,W-Msc-140430,NA,NA
NA,W-Msc-140431,NA,NA
NA,W-Msc-140435,NA,NA
NA,W-Msc-140440,NA,NA
NA,W-Msc-140467,NA,NA
NA,W-Msc-140472,NA,NA
NA,W-Msc-140474,NA,NA
NA,W-Msc-140480,NA,NA
NA,W-Msc-140481,NA,NA
NA,W-Msc-140584,NA,NA
NA,W-Msc-140627,NA,NA
NA,W-Msc-140629,NA,NA
NA,W-Msc-140640,NA,NA
NA,W-Msc-140702,NA,NA
NA,W-Msc-140721,NA,NA
NA,W-Msc-140732,NA,NA
NA,W-Msc-140814,NA,NA
NA,W-Msc-140816,NA,NA
NA,W-Msc-140835,NA,NA
NA,W-Msc-141134,NA,NA
NA,W-Msc-141579,NA,NA
NA,W-Msc-141607,NA,NA
NA,W-Msc-141630,NA,NA
NA,W-Msc-141636,NA,NA
NA,W-Msc-141662,NA,NA
NA,W-Msc-141821,NA,NA
NA,W-Msc-141879,NA,NA
NA,W-Msc-141887,NA,NA
NA,W-Msc-141905,NA,NA
NA,W-Msc-141983,NA,NA
NA,W-Msc-141987,NA,NA
NA,W-Msc-146791,NA,NA
NA,W-Msc-153507,NA,NA
NA,W-Msc-156225,NA,NA
NA,W-Msc-156226,NA,NA
NA,W-Msc-156716,NA,NA
NA,W-Msc-156916,NA,NA
NA,W-Msc-157006,NA,NA
NA,W-Msc-157007,NA,NA
NA,W-Msc-159928,NA,NA
NA,W-Msc-160127,NA,NA
NA,W-Msc-160204,NA,NA
NA,W-Msc-181218,NA,NA
NA,W-Msc-183000,NA,NA
NA,W-Msc-215410,NA,NA
NA,W-Msc-215423,NA,NA
NA,W-Msc-225182,NA,NA
NA,W-Msc-240765,NA,NA
NA,W-Msc-240767,NA,NA
NA,W-Msc-240774,NA,NA
NA,W-Msc-240776,NA,NA
NA,W-Msc-246814,NA,NA
NA,W-Msc-248351,NA,NA
NA,W-Msc-254460,NA,NA
NA,W-Msc-254477,NA,NA
NA,W-Msc-341951,NA,NA
NA,W-Msc-342023,NA,NA
NA,W-Msc-342305,NA,NA
NA,W-Msc-343681,NA,NA
NA,W-Msc-367756,NA,NA
NA,W-Msc-367819,NA,NA
NA,W-Msc-367837,NA,NA
NA,W-Msc-367856,NA,NA
NA,W-Msc-367883,NA,NA
NA,W-Msc-367955,NA,NA
NA,W-Msc-367964,NA,NA
NA,W-Msc-381980,NA,NA
NA,W-Msc-385818,NA,NA
NA,W-Msc-386035,NA,NA
