sciname,comname,iucn_sid,am_sid,year,risk_score,risk_source
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,1994,0.4,bc
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,1996,0.4,bc
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,2008,0.4,bc
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,2012,0.4,bc
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,2016,0.4,bc
Gavia immer,Common Loon,22697842,NA,1988,0,bc
Gavia immer,Common Loon,22697842,NA,1994,0,bc
Gavia immer,Common Loon,22697842,NA,2e3,0,bc
Gavia immer,Common Loon,22697842,NA,2004,0,bc
Gavia immer,Common Loon,22697842,NA,2008,0,bc
Gavia immer,Common Loon,22697842,NA,2009,0,bc
Gavia immer,Common Loon,22697842,NA,2012,0,bc
Gavia immer,Common Loon,22697842,NA,2016,0,bc
Globicephala macrorhynchus,Short-Finned Pilot Whale,9249,ITS-Mam-180466,1996,0.4,iucn
Grampus griseus,Risso's Dolphin,9461,ITS-Mam-180457,2008,0.2,bc
Grampus griseus,Risso's Dolphin,9461,ITS-Mam-180457,2012,0.2,bc
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,1988,0,bc
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,1994,0,bc
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2e3,0,bc
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2004,0,bc
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2008,0,bc
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2009,0,bc
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2012,0,bc
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2016,0,bc
Haliotis kamtschatkana,Northern Abalone,61743,W-Msc-405014,2006,0.6,bc
Hippoglossus stenolepis,Halibut,NA,Fis-29418,NA,NA,iucn
Hypomesus pretiosus,Surf Smelt,NA,Fis-22880,NA,NA,iucn
Kogia breviceps,Pygmy Sperm Whale,11047,ITS-Mam-180491,1996,0,iucn
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,1996,0.1,bc
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,2008,0.1,bc
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,2012,0.1,bc
Lamna ditropis,Salmon Shark,39342,Fis-29426,2009,0,iucn
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1965,0.4,bc
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1986,0.4,bc
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1988,0.4,bc
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1990,0.4,bc
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1994,0.4,bc
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1996,0.4,bc
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,2008,0.4,bc
Mesoplodon densirostris,Blainville's Beaked Whale,13244,ITS-Mam-180517,NA,NA,iucn
Oncorhynchus gorbuscha,Pink Salmon,NA,Fis-22915,2017,0,bc
Oncorhynchus kisutch,Coho Salmon,NA,Fis-22917,2017,0.2,bc
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,2008,0.2,bc
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,2011,0.2,bc
Oncorhynchus tshawytscha,Chinook Salmon,NA,Fis-22921,2017,0.2,bc
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,1996,0,bc
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,2008,0,bc
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,2016,0,bc
Phocoena phocoena,Harbor Porpoise,17027,ITS-Mam-180473,1996,0.4,bc
Phocoena phocoena,Harbor Porpoise,17027,ITS-Mam-180473,2008,0.4,bc
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,1996,0.1,bc
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,2008,0.1,bc
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,2012,0.1,bc
Physeter macrocephalus,Sperm Whale,41755,ITS-Mam-180488,1996,0.3,bc
Physeter macrocephalus,Sperm Whale,41755,ITS-Mam-180488,2008,0.3,bc
Pseudorca crassidens,False Killer Whale,18596,ITS-Mam-180463,1996,0,iucn
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,1988,0.4,bc
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,1994,0.4,bc
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2e3,0.4,bc
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2004,0.4,bc
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2008,0.4,bc
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2009,0.4,bc
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2012,0.4,bc
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2015,0.4,bc
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2016,0.4,bc
Squalus suckleyi,Spiny Dogfish,195488,Fis-164793,2016,0,iucn
Stenella coeruleoalba,Striped Dolphin,20731,ITS-Mam-180434,1996,0.4,iucn
Stenella coeruleoalba,Striped Dolphin,20731,ITS-Mam-180434,2008,0,iucn
Thaleichthys pacificus,Eulachon,202415,Fis-22963,2013,0.5,bc
Tursiops truncatus,Bottlenose Dolphin,22563,ITS-Mam-180426,2008,0,iucn
Tursiops truncatus,Bottlenose Dolphin,22563,ITS-Mam-180426,2012,0,iucn
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,1965,0,bc
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,1996,0,bc
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,2008,0,bc
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,2015,0,bc
Ziphius cavirostris,Cuvier's Beaked Whale,23211,ITS-Mam-180498,2008,0,iucn
Orcinus orca pop. 2,Killer Whale (Northeast Pacific Offshore Population),15421,ITS-Mam-180469,1996,0.6,bc
Orcinus orca pop. 3,Killer Whale (West Coast Transient Population),15421,ITS-Mam-180469,1996,0.6,bc
Orcinus orca pop. 5,Killer Whale (Northeast Pacific Southern Resident Population),15421,ITS-Mam-180469,1996,0.8,bc
Orcinus orca pop. 6,Killer Whale (Northeast Pacific Northern Resident Population),15421,ITS-Mam-180469,1996,0.6,bc
