sciname,comname,iucn_sid,am_sid,year,cat_ts_score,pr_score,cat_ts
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2016,0.4,0.4,EN
Branta canadensis,Canada Goose,22679935,NA,2006,0,0,LC
Branta canadensis,Canada Goose,22679935,NA,2008,0,0,LC
Branta canadensis,Canada Goose,22679935,NA,2009,0,0,LC
Branta canadensis,Canada Goose,22679935,NA,2012,0,0,LC
Branta canadensis,Canada Goose,22679935,NA,2016,0,0,LC
Cetorhinus maximus,Basking Shark,4292,Fis-22747,1996,0.4,NA,VU
Cetorhinus maximus,Basking Shark,4292,Fis-22747,2000,0.4,NA,VU
Cetorhinus maximus,Basking Shark,4292,Fis-22747,2005,0.4,NA,VU
Clupea pallasii,Pacific Herring,NA,Fis-153539,NA,NA,NA,NE
Delphinus delphis,Common Dophin,6336,ITS-Mam-180438,1996,0,NA,LC
Delphinus delphis,Common Dophin,6336,ITS-Mam-180438,2008,0,NA,LC
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,1996,0.4,0.4,LC
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2000,0.4,0.4,EN
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2008,0.4,0.4,EN
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2011,0.4,0.4,EN
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,2015,0.4,0.4,EN
Eschrichtius robustus,Gray Whale,8097,ITS-Mam-180521,1996,0.4,0.4,VU
Eschrichtius robustus,Gray Whale,8097,ITS-Mam-180521,2008,0.4,0.4,LC
Eubalaena japonica,North Pacific Right Whale,41711,ITS-Mam-612591,1996,1,1,EN
Eubalaena japonica,North Pacific Right Whale,41711,ITS-Mam-612591,2008,1,1,EN
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,1994,0.4,0.4,VU
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,1996,0.4,0.4,EN
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,2008,0.4,0.4,EN
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,2012,0.4,0.4,NT
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,2016,0.4,0.4,NT
Gavia immer,Common Loon,22697842,NA,1988,0,0,LC
Gavia immer,Common Loon,22697842,NA,1994,0,0,LC
Gavia immer,Common Loon,22697842,NA,2000,0,0,LC
Gavia immer,Common Loon,22697842,NA,2004,0,0,LC
Gavia immer,Common Loon,22697842,NA,2008,0,0,LC
Gavia immer,Common Loon,22697842,NA,2009,0,0,LC
Gavia immer,Common Loon,22697842,NA,2012,0,0,LC
Gavia immer,Common Loon,22697842,NA,2016,0,0,LC
Globicephala macrorhynchus,Short-Finned Pilot Whale,9249,ITS-Mam-180466,1996,0.4,NA,VU
Grampus griseus,Risso's Dolphin,9461,ITS-Mam-180457,2008,0.2,0.2,LC
Grampus griseus,Risso's Dolphin,9461,ITS-Mam-180457,2012,0.2,0.2,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,1988,0,0,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,1994,0,0,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2000,0,0,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2004,0,0,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2008,0,0,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2009,0,0,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2012,0,0,LC
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,2016,0,0,LC
Haliotis kamtschatkana,Northern Abalone,61743,W-Msc-405014,2006,0.6,0.6,EN
Hippoglossus stenolepis,Halibut,NA,Fis-29418,NA,NA,NA,NE
Hypomesus pretiosus,Surf Smelt,NA,Fis-22880,NA,NA,NA,NE
Kogia breviceps,Pygmy Sperm Whale,11047,ITS-Mam-180491,1996,0,NA,LC
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,1996,0.1,0.1,LC
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,2008,0.1,0.1,LC
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,2012,0.1,0.1,LC
Lamna ditropis,Salmon Shark,39342,Fis-29426,2009,0,NA,LC
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1965,0.4,0.4,EN
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1986,0.4,0.4,EN
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1988,0.4,0.4,EN
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1990,0.4,0.4,VU
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1994,0.4,0.4,VU
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,1996,0.4,0.4,VU
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,2008,0.4,0.4,LC
Mesoplodon densirostris,Blainville's Beaked Whale,13244,ITS-Mam-180517,NA,NA,NA,DD
Oncorhynchus gorbuscha,Pink Salmon,NA,Fis-22915,NA,0,0,NE
Oncorhynchus kisutch,Coho Salmon,NA,Fis-22917,NA,0.2,0.2,NE
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,2008,0.2,0.2,LC
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,2011,0.2,0.2,LC
Oncorhynchus tshawytscha,Chinook Salmon,NA,Fis-22921,NA,0.2,0.2,NE
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,1996,0,0,LC
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,2008,0,0,LC
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,2016,0,0,LC
Phocoena phocoena,Harbor Porpoise,17027,ITS-Mam-180473,1996,0.4,0.4,VU
Phocoena phocoena,Harbor Porpoise,17027,ITS-Mam-180473,2008,0.4,0.4,LC
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,1996,0.1,0.1,VU
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,2008,0.1,0.1,LC
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,2012,0.1,0.1,LC
Physeter macrocephalus,Sperm Whale,41755,ITS-Mam-180488,1996,0.3,0.3,VU
Physeter macrocephalus,Sperm Whale,41755,ITS-Mam-180488,2008,0.3,0.3,VU
Pseudorca crassidens,False Killer Whale,18596,ITS-Mam-180463,1996,0,NA,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,1988,0.4,0.4,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,1994,0.4,0.4,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2000,0.4,0.4,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2004,0.4,0.4,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2008,0.4,0.4,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2009,0.4,0.4,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2012,0.4,0.4,LC
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2015,0.4,0.4,NT
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,2016,0.4,0.4,NT
Squalus suckleyi,Spiny Dogfish,195488,Fis-164793,2016,0,NA,LC
Stenella coeruleoalba,Striped Dolphin,20731,ITS-Mam-180434,1996,0.4,NA,VU
Stenella coeruleoalba,Striped Dolphin,20731,ITS-Mam-180434,2008,0,NA,LC
Thaleichthys pacificus,Eulachon,202415,Fis-22963,2013,0.5,0.5,LC
Tursiops truncatus,Bottlenose Dolphin,22563,ITS-Mam-180426,2008,0,NA,LC
Tursiops truncatus,Bottlenose Dolphin,22563,ITS-Mam-180426,2012,0,NA,LC
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,1965,0,0,CR
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,1996,0,0,LC
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,2008,0,0,LC
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,2015,0,0,LC
Ziphius cavirostris,Cuvier's Beaked Whale,23211,ITS-Mam-180498,2008,0,NA,LC
Orcinus orca pop. 2,Killer Whale (Northeast Pacific Offshore Population),15421,ITS-Mam-180469,1996,0.6,0.6,VU
Orcinus orca pop. 3,Killer Whale (West Coast Transient Population),15421,ITS-Mam-180469,1996,0.6,0.6,VU
Orcinus orca pop. 5,Killer Whale (Northeast Pacific Southern Resident Population),15421,ITS-Mam-180469,1996,0.8,0.8,VU
Orcinus orca pop. 6,Killer Whale (Northeast Pacific Northern Resident Population),15421,ITS-Mam-180469,1996,0.6,0.6,VU
